P,P,C,1B,2B,3B,SS,OF,OF,OF
Chris Archer,Aaron Nola,Roberto Perez,Anthony Rizzo,Ben Zobrist,Kris Bryant,Francisco Lindor,Aaron Judge,Jason Heyward,Jon Jay
Chris Archer,Aaron Nola,Miguel Montero,Chris Davis,Jonathan Schoop,Kris Bryant,Addison Russell,Seth Smith,Adam Jones,Mark Trumbo
Chris Archer,Aaron Nola,Martin Maldonado,Anthony Rizzo,Danny Espinosa,Kris Bryant,Addison Russell,Cameron Maybin,Kole Calhoun,Eric Young
Chris Archer,Aaron Nola,Miguel Montero,Anthony Rizzo,Jose Altuve,Alex Bregman,Addison Russell,George Springer,Josh Reddick,Norichika Aoki
Chris Archer,Aaron Nola,Roberto Perez,Edwin Encarnacion,Jose Ramirez,Kris Bryant,Erik Gonzalez,Aaron Judge,Josh Reddick,Austin Jackson
Chris Archer,Aaron Nola,Elias Diaz,Jose Osuna,Josh Harrison,David Freese,Addison Russell,Aaron Judge,Andrew McCutchen,Josh Reddick
Chris Archer,Aaron Nola,Roberto Perez,Matt Holliday,Starlin Castro,Maikel Franco,Addison Russell,Aaron Judge,Brett Gardner,Aaron Hicks
Carlos Carrasco,Jaime Garcia,Martin Maldonado,Anthony Rizzo,Ben Zobrist,Kris Bryant,Trevor Story,Josh Reddick,Jason Heyward,Jon Jay
Chris Archer,Aaron Nola,Miguel Montero,Chris Carter,Javier Baez,Ronald Torreyes,Trevor Story,Aaron Judge,Brett Gardner,Aaron Hicks
Chris Archer,Jaime Garcia,Eric Fryer,Anthony Rizzo,Kolten Wong,Jedd Gyorko,Aledmys Diaz,Aaron Judge,Seth Smith,Tommy Pham
Chris Archer,Jaime Garcia,Roberto Perez,Anthony Rizzo,Jonathan Schoop,Ruben Tejada,Francisco Lindor,Seth Smith,Adam Jones,Mark Trumbo
Chris Archer,Aaron Nola,Derek Norris,Anthony Rizzo,Daniel Robertson,Kris Bryant,Tim Beckham,Corey Dickerson,Josh Reddick,Mallex Smith
Chris Archer,Aaron Nola,Elias Diaz,Josh Bell,Jose Altuve,David Freese,Jordy Mercer,Andrew McCutchen,Seth Smith,Christian Yelich
Chris Archer,Aaron Nola,Omar Narvaez,Matt Davidson,Jose Altuve,Kris Bryant,Tim Anderson,Leury Garcia,Josh Reddick,Melky Cabrera
Chris Archer,Aaron Nola,Miguel Montero,Jose Abreu,Jose Altuve,Todd Frazier,Addison Russell,Avisail Garcia,Leury Garcia,Melky Cabrera
Chris Archer,Jaime Garcia,Miguel Montero,Matt Carpenter,Josh Harrison,Jedd Gyorko,Aledmys Diaz,Josh Reddick,Dexter Fowler,Stephen Piscotty
Chris Archer,Jaime Garcia,Martin Maldonado,CJ Cron,Danny Espinosa,Kris Bryant,Andrelton Simmons,Josh Reddick,Christian Yelich,Eric Young
Chris Archer,Aaron Nola,Miguel Montero,Matt Adams,Brandon Phillips,Kris Bryant,Addison Russell,Ender Inciarte,Matt Kemp,Nick Markakis
Chris Archer,Aaron Nola,Omar Narvaez,Anthony Rizzo,Yolmer Sanchez,Todd Frazier,Tim Anderson,Avisail Garcia,Josh Reddick,Seth Smith
Chris Archer,Jaime Garcia,Elias Diaz,Jose Osuna,Josh Harrison,David Freese,Francisco Lindor,Adam Frazier,Christian Yelich,Jon Jay
Chris Archer,Jaime Garcia,Roberto Perez,Chris Carter,Ben Zobrist,Ronald Torreyes,Didi Gregorius,Brett Gardner,Aaron Hicks,Josh Reddick
Chris Archer,Aaron Nola,Andrew Knapp,Tommy Joseph,Jose Altuve,Maikel Franco,Freddy Galvis,Aaron Judge,Josh Reddick,Michael Saunders
Chris Archer,Chad Green,Martin Maldonado,Matt Holliday,Ben Zobrist,Ronald Torreyes,Francisco Lindor,Aaron Judge,Brett Gardner,Aaron Hicks
Chris Archer,Aaron Nola,Miguel Montero,Logan Morrison,Daniel Robertson,Evan Longoria,Addison Russell,Aaron Judge,Corey Dickerson,Mallex Smith
Chris Archer,Jaime Garcia,Miguel Montero,Albert Pujols,Danny Espinosa,Jedd Gyorko,Francisco Lindor,Cameron Maybin,Kole Calhoun,Eric Young
Jaime Garcia,Ivan Nova,Miguel Montero,Matt Holliday,Starlin Castro,Kris Bryant,Trevor Story,Aaron Judge,Brett Gardner,Aaron Hicks
Chris Archer,Ivan Nova,Martin Maldonado,Anthony Rizzo,Jose Altuve,Jedd Gyorko,Aledmys Diaz,Dexter Fowler,Stephen Piscotty,Tommy Pham
Chris Archer,Aaron Nola,Martin Maldonado,Mark Reynolds,Jonathan Schoop,Ruben Tejada,JJ Hardy,Aaron Judge,Seth Smith,Adam Jones
Jake Arrieta,Adam Wainwright,Elias Diaz,Anthony Rizzo,Ben Zobrist,Kris Bryant,Aledmys Diaz,Seth Smith,Jason Heyward,Jon Jay
Chris Archer,Jake Arrieta,Roberto Perez,Chris Davis,Kolten Wong,Jedd Gyorko,Aledmys Diaz,Josh Reddick,Stephen Piscotty,Tommy Pham
Chris Archer,Aaron Nola,Rene Rivera,Jay Bruce,Neil Walker,Jose Reyes,Asdrubal Cabrera,Aaron Judge,Josh Reddick,Jon Jay
Chris Archer,Jaime Garcia,Roberto Perez,Yuli Gurriel,Javier Baez,Alex Bregman,Francisco Lindor,George Springer,Josh Reddick,Norichika Aoki
Carlos Carrasco,Jaime Garcia,Martin Maldonado,Chris Davis,Jonathan Schoop,Jedd Gyorko,Trevor Story,Seth Smith,Adam Jones,Mark Trumbo
Chris Archer,Carlos Carrasco,Miguel Montero,Tommy Joseph,Jose Altuve,Maikel Franco,Addison Russell,Howie Kendrick,Daniel Nava,Michael Saunders
Chris Archer,Jaime Garcia,Derek Norris,Chris Davis,Daniel Robertson,Evan Longoria,Francisco Lindor,Corey Dickerson,Seth Smith,Mallex Smith
Chris Archer,Ivan Nova,Martin Maldonado,Chris Davis,Danny Espinosa,Jedd Gyorko,Andrelton Simmons,Aaron Judge,Cameron Maybin,Eric Young
Chris Archer,Aaron Nola,Miguel Montero,Tyler Moore,Jose Altuve,Derek Dietrich,Addison Russell,Marcell Ozuna,Christian Yelich,Ichiro Suzuki
Chris Archer,Carlos Carrasco,Roberto Perez,Edwin Encarnacion,Jose Ramirez,Jedd Gyorko,Addison Russell,Jon Jay,Austin Jackson,Daniel Robertson
