"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
1,1,3500,111.428571428571,39,"Matt Adams","ATL",NA,"1B",5,3,2,4,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,10200,30.7352941176471,31.35,"Jacob deGrom","NYM",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,9,1,0,1,5,4,0
3,2,4600,63.0434782608696,29,"Mookie Betts","BOS",NA,"OF",1,1,0,1,1,5,1,3,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,3,4700,59.5744680851064,28,"Jay Bruce","NYM",NA,"OF",4,2,1,2,0,3,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,4,3500,80,28,"Asdrubal Cabrera","NYM",NA,"2B/SS",6,2,2,2,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,5,2700,96.2962962962963,26,"Brian Goodwin","WAS",NA,"OF",8,1,1,2,0,4,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,6,3800,68.4210526315789,26,"Howie Kendrick","PHI",NA,"2B/OF",4,1,0,1,3,6,3,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,7,3600,72.2222222222222,26,"Mitch Haniger","SEA",NA,"OF",2,4,0,2,0,6,3,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2,7800,32.5641025641026,25.4,"Masahiro Tanaka","NYY",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,6.66666666666667,0,0,1,4,2,0
10,8,5500,45.4545454545455,25,"Aaron Judge","NYY",NA,"OF",3,3,1,2,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
