"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"1B","Paul Goldschmidt",5500,"ARI@PHI 01:35PM ET",11.294,"ARI","PHI",10.46,10.7,11.29,NA,"3","3",19
"3B","Jake Lamb",5400,"ARI@PHI 01:35PM ET",10.266,"ARI","PHI",10.44,9.3,9.5,NA,"4","4",3
"1B/OF","Cody Bellinger",5300,"LAD@CIN 01:10PM ET",10.082,"LAD","CIN",8.66,10.8,9.43,NA,"4","4",7
"OF","Bryce Harper",5200,"WAS@NYM 01:10PM ET",11.033,"WAS","NYM",11.08,10.9,7.6,NA,"3","3",5
"2B","Brian Dozier",5100,"CLE@MIN 02:10PM ET",8.9,"MIN","CLE",NA,NA,NA,NA,"1","x",NA
"1B","Joey Votto",5000,"LAD@CIN 01:10PM ET",10.348,"CIN","LAD",7.71,9.5,9.73,NA,"3","3",2
"1B","Edwin Encarnacion",4900,"CLE@MIN 02:10PM ET",7.952,"CLE","MIN",8.55,9.1,9.5,NA,"4","4",37
"1B","Anthony Rizzo",4900,"CHC@PIT 01:35PM ET",9.288,"CHC","PIT",8.63,11.1,9.65,NA,"1","1",28
"3B","Miguel Sano",4800,"CLE@MIN 02:10PM ET",9.574,"MIN","CLE",7.85,8.6,9.04,NA,"4","3",0
"1B/OF","Eric Thames",4800,"SD@MIL 02:10PM ET",9.855,"MIL","SD",9.28,11.9,9.68,NA,"2","2",2
"3B","Josh Donaldson",4700,"CWS@TOR 01:07PM ET",9.5,"TOR","CWS",10.41,9.2,10.89,NA,"2","2",3
"3B","Kris Bryant",4700,"CHC@PIT 01:35PM ET",9.154,"CHC","PIT",NA,NA,NA,NA,"3","x",NA
"3B/OF","Hernan Perez",4700,"SD@MIL 02:10PM ET",7.081,"MIL","SD",6.39,7.8,8.04,NA,"5","3",14
"1B/OF","Jay Bruce",4700,"WAS@NYM 01:10PM ET",9.339,"NYM","WAS",8.2,9.7,8.65,NA,"4","3",4
"2B","Daniel Murphy",4700,"WAS@NYM 01:10PM ET",9.587,"WAS","NYM",10.07,8.8,6.39,NA,"5","5",5
"OF","Matt Kemp",4700,"MIA@ATL 01:35PM ET",8.782,"ATL","MIA",8.52,8.3,8.77,NA,"4","4",5
"OF","Giancarlo Stanton",4700,"MIA@ATL 01:35PM ET",9.219,"MIA","ATL",7.75,9.9,10.29,NA,"2","2",0
"OF","JD Martinez",4600,"TB@DET 01:10PM ET",10.469,"DET","TB",8.49,8.5,9.89,NA,"4","4",0
"2B/3B","Jose Ramirez",4600,"CLE@MIN 02:10PM ET",8.365,"CLE","MIN",7.66,8.4,9.08,NA,"5","3",24
"OF","Dexter Fowler",4600,"STL@BAL 01:35PM ET",7.839,"STL","BAL",8.02,9.2,9.07,NA,"2","2",21
"1B","Justin Smoak",4600,"CWS@TOR 01:07PM ET",8.462,"TOR","CWS",8.37,8.9,9.02,NA,"5","5",5
"1B","Ryan Zimmerman",4600,"WAS@NYM 01:10PM ET",10.721,"WAS","NYM",7.86,7.2,6.3,NA,"4","4",2
"SS","Trea Turner",4600,"WAS@NYM 01:10PM ET",9.643,"WAS","NYM",9.96,9.6,8.06,NA,"1","1",25
"OF","Ender Inciarte",4600,"MIA@ATL 01:35PM ET",8.545,"ATL","MIA",7.84,8.3,8.62,NA,"1","1",8
"1B","Matt Carpenter",4500,"STL@BAL 01:35PM ET",8.156,"STL","BAL",8.79,11.1,9.21,NA,"1","1",8
"OF","Ryan Braun",4500,"SD@MIL 02:10PM ET",8.581,"MIL","SD",NA,0,NA,NA,"x","x",NA
"OF","Keon Broxton",4500,"SD@MIL 02:10PM ET",7.391,"MIL","SD",5.18,7.2,2.12,NA,"7","6",3
"3B","Travis Shaw",4500,"SD@MIL 02:10PM ET",9.707,"MIL","SD",7.77,9.6,9.03,NA,"4","4",3
"3B","Justin Turner",4500,"LAD@CIN 01:10PM ET",8.404,"LAD","CIN",8.42,10.6,9.31,NA,"3","3",23
"OF","Adam Duvall",4500,"LAD@CIN 01:10PM ET",8.746,"CIN","LAD",7.11,7.1,8.49,NA,"4","4",19
"SS","Corey Seager",4500,"LAD@CIN 01:10PM ET",8.343,"LAD","CIN",10.53,10.8,9.43,NA,"2","2",4
"2B","Brandon Drury",4500,"ARI@PHI 01:35PM ET",7.05,"ARI","PHI",6.81,7.5,7.65,NA,"6","6",10
"1B","Freddie Freeman",4500,"MIA@ATL 01:35PM ET",12.514,"ATL","MIA",NA,0,NA,NA,"x","x",NA
"1B","Justin Bour",4500,"MIA@ATL 01:35PM ET",8.875,"MIA","ATL",6.91,9.3,2.1,NA,"5","5",10
"OF","Marcell Ozuna",4500,"MIA@ATL 01:35PM ET",9.538,"MIA","ATL",7.2,8.7,8.98,NA,"4","4",18
"1B","Logan Morrison",4400,"TB@DET 01:10PM ET",8.515,"TB","DET",7.95,8.8,8.69,NA,"4","4",34
"OF","Corey Dickerson",4400,"TB@DET 01:10PM ET",9.615,"TB","DET",8.27,9.5,9.72,NA,"2","2",16
"1B","Chris Davis",4400,"STL@BAL 01:35PM ET",7.311,"BAL","STL",NA,0,NA,NA,"x","x",NA
"OF","Starling Marte",4400,"CHC@PIT 01:35PM ET",7.769,"PIT","CHC",NA,0,NA,NA,"x","x",NA
"OF","Adam Frazier",4400,"CHC@PIT 01:35PM ET",7.5,"PIT","CHC",7.72,8.3,7.85,NA,"1","1",2
"2B","Yangervis Solarte",4400,"SD@MIL 02:10PM ET",6.716,"SD","MIL",6.48,9.1,7.81,NA,"4","4",3
"OF","Domingo Santana",4400,"SD@MIL 02:10PM ET",8.123,"MIL","SD",NA,NA,NA,NA,"3","x",NA
"OF","Scott Schebler",4400,"LAD@CIN 01:10PM ET",8.129,"CIN","LAD",6.86,7.4,7.65,NA,"6","5",4
"OF","Michael Conforto",4400,"WAS@NYM 01:10PM ET",9.067,"NYM","WAS",8.73,10.4,8.7,NA,"1","1",19
"OF","David Peralta",4400,"ARI@PHI 01:35PM ET",7.864,"ARI","PHI",NA,NA,NA,NA,"2","x",NA
"OF","AJ Pollock",4400,"ARI@PHI 01:35PM ET",9.135,"ARI","PHI",NA,0,NA,NA,"x","x",NA
"OF","Michael Brantley",4300,"CLE@MIN 02:10PM ET",7.87,"CLE","MIN",NA,0,10.32,NA,"x","x",NA
"OF","Eddie Rosario",4300,"CLE@MIN 02:10PM ET",6.217,"MIN","CLE",6.28,6.3,6.73,NA,"9","7",8
"SS","Francisco Lindor",4300,"CLE@MIN 02:10PM ET",8.222,"CLE","MIN",9.25,8.6,9.81,NA,"2","1",0
"OF","Randal Grichuk",4300,"STL@BAL 01:35PM ET",6.391,"STL","BAL",NA,0,NA,NA,"x","x",NA
"1B/OF","Trey Mancini",4300,"STL@BAL 01:35PM ET",7.635,"BAL","STL",6.71,7,6.79,NA,"5","5",24
"OF","Avisail Garcia",4300,"CWS@TOR 01:07PM ET",9,"CWS","TOR",8.26,7.9,7.62,NA,"4","4",0
"1B/3B","Matt Davidson",4300,"CWS@TOR 01:07PM ET",7.434,"CWS","TOR",5.98,6.6,6.64,NA,"6","6",0
"OF","Andrew McCutchen",4300,"CHC@PIT 01:35PM ET",8.215,"PIT","CHC",7.1,7.2,7.43,NA,"6","6",0
"1B","Wil Myers",4300,"SD@MIL 02:10PM ET",8.269,"SD","MIL",8.46,8.4,8.71,NA,"3","3",6
"2B","Jonathan Villar",4300,"SD@MIL 02:10PM ET",7.305,"MIL","SD",NA,0,NA,NA,"x","x",NA
"OF","Yoenis Cespedes",4300,"WAS@NYM 01:10PM ET",8.6,"NYM","WAS",NA,NA,NA,NA,"3","x",NA
"OF","Gregor Blanco",4300,"ARI@PHI 01:35PM ET",6.594,"ARI","PHI",7.4,7.8,8.94,NA,"1","1",15
"OF/SS","Chris Owings",4300,"ARI@PHI 01:35PM ET",7.719,"ARI","PHI",7.66,7.7,8.15,NA,"5","5",16
"2B","Brandon Phillips",4300,"MIA@ATL 01:35PM ET",7.22,"ATL","MIA",6.72,7.7,8.09,NA,"2","2",9
"SS","Tim Beckham",4200,"TB@DET 01:10PM ET",7.317,"TB","DET",5.4,7.8,7.25,NA,"x","7",0
"OF","Max Kepler",4200,"CLE@MIN 02:10PM ET",7.311,"MIN","CLE",7.38,8.2,7.9,NA,"5","4",3
"2B","Jonathan Schoop",4200,"STL@BAL 01:35PM ET",7.859,"BAL","STL",6.17,7.1,7.45,NA,"6","6",2
"3B","Jedd Gyorko",4200,"STL@BAL 01:35PM ET",7.448,"STL","BAL",9.19,8.7,8.66,NA,"4","4",0
"OF","Jose Bautista",4200,"CWS@TOR 01:07PM ET",7.606,"TOR","CWS",9.45,8.6,10.15,NA,"3","3",5
"2B","Jose Pirela",4200,"SD@MIL 02:10PM ET",11.8,"SD","MIL",NA,NA,NA,NA,"1","x",NA
"1B/2B","Chase Utley",4200,"LAD@CIN 01:10PM ET",5.293,"LAD","CIN",NA,NA,NA,NA,"1","x",NA
"OF","Steven Souza",4100,"TB@DET 01:10PM ET",8.422,"TB","DET",NA,8.9,8.74,NA,"5","5",23
"C","Welington Castillo",4100,"STL@BAL 01:35PM ET",7.351,"BAL","STL",6.15,5.9,1.7,NA,"7","7",17
"1B","Kendrys Morales",4100,"CWS@TOR 01:07PM ET",7.71,"TOR","CWS",8.87,8.6,9.24,NA,"4","4",21
"1B","Jose Abreu",4100,"CWS@TOR 01:07PM ET",8.4,"CWS","TOR",7.63,8.8,8.45,NA,"3","3",7
"2B","Ian Happ",4100,"CHC@PIT 01:35PM ET",7.483,"CHC","PIT",6.63,8.8,8.02,NA,"2","2",16
"1B/OF","Matt Adams",4100,"MIA@ATL 01:35PM ET",5.982,"ATL","MIA",7.48,8.5,8.06,NA,"5","5",2
"OF","Christian Yelich",4100,"MIA@ATL 01:35PM ET",8.111,"MIA","ATL",8.14,10.1,9.59,NA,"3","3",12
"OF","Lonnie Chisenhall",4000,"CLE@MIN 02:10PM ET",7.19,"CLE","MIN",6.68,7.6,7.74,NA,"6","5",2
"3B","Manny Machado",4000,"STL@BAL 01:35PM ET",7.262,"BAL","STL",8.99,8.6,8.8,NA,"3","2",7
"SS","Aledmys Diaz",4000,"STL@BAL 01:35PM ET",6.629,"STL","BAL",6.84,8.1,7.42,NA,"7","7",5
"2B/3B","Josh Harrison",4000,"CHC@PIT 01:35PM ET",7.677,"PIT","CHC",6.25,7.1,8.26,NA,"2","2",0
"1B","Josh Bell",4000,"CHC@PIT 01:35PM ET",6.866,"PIT","CHC",6.82,8.2,7.28,NA,"5","5",2
"2B/OF","Scooter Gennett",4000,"LAD@CIN 01:10PM ET",5.962,"CIN","LAD",7.64,8,1.84,NA,"2","2",20
"OF","Joc Pederson",4000,"LAD@CIN 01:10PM ET",5.95,"LAD","CIN",8.16,9.5,6.92,NA,"7","1",7
"2B/OF","Chris Taylor",4000,"LAD@CIN 01:10PM ET",8.302,"LAD","CIN",NA,NA,NA,NA,"5","x",NA
