P,P,C,1B,2B,3B,SS,OF,OF,OF
Jacob deGrom,John Lackey,Austin Barnes,Eric Thames,Logan Forsythe,Justin Turner,Corey Seager,Christian Yelich,Joc Pederson,Mallex Smith
Robbie Ray,Trevor Bauer,Austin Barnes,Lucas Duda,Logan Forsythe,Justin Turner,Corey Seager,Michael Conforto,Joc Pederson,Gregory Polanco
Jacob deGrom,Jimmy Nelson,Austin Barnes,Matt Carpenter,Jason Kipnis,Justin Turner,Corey Seager,Joc Pederson,Yasiel Puig,Gregory Polanco
Jacob deGrom,Trevor Bauer,Cameron Rupp,Cody Bellinger,Dee Gordon,Justin Turner,Corey Seager,Joc Pederson,Yasiel Puig,Mallex Smith
Jameson Taillon,Jimmy Nelson,Austin Barnes,Eric Thames,Logan Forsythe,Justin Turner,Corey Seager,Bryce Harper,Yasiel Puig,Seth Smith
Jacob deGrom,Jimmy Nelson,Derek Norris,Eric Thames,Jason Kipnis,Evan Longoria,Corey Seager,Corey Dickerson,Steven Souza,Mallex Smith
Jacob deGrom,Kenta Maeda,AJ Ellis,Eric Thames,Dee Gordon,Derek Dietrich,Corey Seager,Giancarlo Stanton,Christian Yelich,Mallex Smith
Robbie Ray,Trevor Bauer,Manny Pina,Eric Thames,Eric Sogard,Travis Shaw,Corey Seager,Mallex Smith,Lewis Brinson,Gregory Polanco
Jacob deGrom,Jameson Taillon,Austin Barnes,Cody Bellinger,Logan Forsythe,Evan Longoria,Corey Seager,Yasiel Puig,Mallex Smith,Gregory Polanco
Jacob deGrom,Kenta Maeda,AJ Ellis,Anthony Rizzo,Logan Forsythe,Justin Turner,Corey Seager,Michael Conforto,Joc Pederson,Yasiel Puig
Jameson Taillon,Jimmy Nelson,Austin Barnes,Cody Bellinger,Eric Sogard,Justin Turner,Corey Seager,Michael Conforto,Joc Pederson,Mallex Smith
Jacob deGrom,Trevor Bauer,Austin Barnes,Cody Bellinger,Logan Forsythe,Justin Turner,Corey Seager,Corey Dickerson,Seth Smith,Billy Hamilton
Jacob deGrom,Jimmy Nelson,Yadier Molina,Cody Bellinger,Logan Forsythe,Todd Frazier,Corey Seager,Christian Yelich,Joc Pederson,Yasiel Puig
Jacob deGrom,Trevor Bauer,AJ Ellis,Justin Bour,Dee Gordon,Justin Turner,Corey Seager,Marcell Ozuna,Michael Conforto,Christian Yelich
Robbie Ray,Trevor Bauer,Derek Norris,Matt Carpenter,Daniel Robertson,Evan Longoria,Corey Seager,Corey Dickerson,Christian Yelich,Mallex Smith
Jacob deGrom,John Lackey,Yadier Molina,Matt Carpenter,Dee Gordon,Jedd Gyorko,Corey Seager,Dexter Fowler,Stephen Piscotty,Mallex Smith
Jacob deGrom,Ubaldo Jimenez,Austin Barnes,Cody Bellinger,Ian Happ,Justin Turner,Corey Seager,Michael Conforto,Christian Yelich,Yasiel Puig
Robbie Ray,Trevor Bauer,AJ Ellis,Eric Thames,Dee Gordon,Justin Turner,JT Riddle,Giancarlo Stanton,Christian Yelich,Gregory Polanco
Jacob deGrom,Jimmy Nelson,Austin Barnes,Eric Thames,Logan Forsythe,Evan Longoria,Kike Hernandez,Michael Conforto,Joc Pederson,Yasiel Puig
Jacob deGrom,Jameson Taillon,Yadier Molina,Matt Carpenter,Logan Forsythe,Justin Turner,Kike Hernandez,Joc Pederson,Yasiel Puig,Mallex Smith
Robbie Ray,John Lackey,Tucker Barnhart,Matt Carpenter,Logan Forsythe,Justin Turner,Corey Seager,Joc Pederson,Yasiel Puig,Allen Cordoba
Jacob deGrom,Jameson Taillon,Cameron Rupp,Eric Thames,Dee Gordon,Evan Longoria,Tim Beckham,Corey Dickerson,Mallex Smith,Colby Rasmus
Jacob deGrom,Jameson Taillon,AJ Ellis,Matt Carpenter,Dee Gordon,Evan Longoria,JT Riddle,Giancarlo Stanton,Michael Conforto,Christian Yelich
Jacob deGrom,John Lackey,Austin Barnes,Cody Bellinger,Yangervis Solarte,Maikel Franco,Corey Seager,Joc Pederson,Yasiel Puig,Billy Hamilton
Robbie Ray,Ubaldo Jimenez,AJ Ellis,Cody Bellinger,Logan Forsythe,Justin Turner,Corey Seager,Joc Pederson,Mallex Smith,Billy Hamilton
Jacob deGrom,Kenta Maeda,Austin Barnes,Cody Bellinger,Jason Kipnis,Justin Turner,Kike Hernandez,Joc Pederson,Seth Smith,Mallex Smith
Jacob deGrom,Jameson Taillon,Yadier Molina,Matt Carpenter,Greg Garcia,Jedd Gyorko,Aledmys Diaz,Michael Conforto,Christian Yelich,Mallex Smith
Robbie Ray,Kenta Maeda,Austin Barnes,Carlos Santana,Logan Forsythe,Justin Turner,Corey Seager,Yasiel Puig,Mallex Smith,Alex Presley
Jacob deGrom,Jimmy Nelson,Cameron Rupp,Justin Bour,Dee Gordon,Justin Turner,JT Riddle,Giancarlo Stanton,Christian Yelich,Mallex Smith
Jacob deGrom,Jacob Faria,Tucker Barnhart,Cody Bellinger,Logan Forsythe,Justin Turner,Corey Seager,Giancarlo Stanton,Joc Pederson,Gregory Polanco
Robbie Ray,John Lackey,Derek Norris,Lucas Duda,Dee Gordon,Evan Longoria,Corey Seager,Steven Souza,Mallex Smith,Colby Rasmus
Jacob deGrom,Jacob Faria,Austin Barnes,Lucas Duda,Logan Forsythe,Travis Shaw,Corey Seager,Joc Pederson,Yasiel Puig,Seth Smith
Jacob deGrom,John Lackey,Austin Barnes,Matt Carpenter,Yangervis Solarte,Evan Longoria,Tim Beckham,Corey Dickerson,Steven Souza,Mallex Smith
Jacob deGrom,Jimmy Nelson,Manny Pina,Eric Thames,Eric Sogard,Travis Shaw,Orlando Arcia,Michael Conforto,Seth Smith,Mallex Smith
Robbie Ray,Trevor Bauer,Yadier Molina,Lucas Duda,Jason Kipnis,Evan Longoria,Tim Beckham,Corey Dickerson,Steven Souza,Mallex Smith
Jacob deGrom,Jimmy Nelson,Yadier Molina,Matt Carpenter,Greg Garcia,Justin Turner,Corey Seager,Christian Yelich,Stephen Piscotty,Tommy Pham
Jacob deGrom,Jameson Taillon,Yadier Molina,Logan Morrison,Daniel Robertson,Evan Longoria,Corey Seager,Corey Dickerson,Michael Conforto,Mallex Smith
Robbie Ray,Trevor Bauer,Yadier Molina,Matt Carpenter,Greg Garcia,Jedd Gyorko,Corey Seager,Michael Conforto,Stephen Piscotty,Gregory Polanco
Jacob deGrom,Trevor Bauer,Austin Barnes,Anthony Rizzo,Yangervis Solarte,Justin Turner,Kike Hernandez,Christian Yelich,Joc Pederson,Yasiel Puig
Jacob deGrom,John Lackey,Cameron Rupp,Cody Bellinger,Logan Forsythe,Justin Turner,Kike Hernandez,Giancarlo Stanton,Michael Conforto,Yasiel Puig
Robbie Ray,Jimmy Nelson,Derek Norris,Eric Thames,Daniel Robertson,Evan Longoria,Tim Beckham,Michael Conforto,Mallex Smith,Gregory Polanco
Jacob deGrom,John Lackey,Yadier Molina,Matt Carpenter,Jason Kipnis,Justin Turner,Aledmys Diaz,Dexter Fowler,Michael Conforto,Tommy Pham
Jacob deGrom,Jameson Taillon,Travis d'Arnaud,Lucas Duda,Wilmer Flores,Justin Turner,Corey Seager,Michael Conforto,Mallex Smith,Curtis Granderson
Jacob deGrom,Jimmy Nelson,Austin Barnes,Cody Bellinger,Logan Forsythe,Justin Turner,Kike Hernandez,Steven Souza,Christian Yelich,Gregory Polanco
Kenta Maeda,John Lackey,Austin Barnes,Cody Bellinger,Dee Gordon,Justin Turner,Corey Seager,Bryce Harper,Giancarlo Stanton,Joc Pederson
Jacob deGrom,Jimmy Nelson,Yadier Molina,Logan Morrison,Dee Gordon,Evan Longoria,Tim Beckham,Steven Souza,Christian Yelich,Mallex Smith
Jacob deGrom,Kenta Maeda,Derek Norris,Anthony Rizzo,Ian Happ,Evan Longoria,Tim Beckham,Corey Dickerson,Michael Conforto,Mallex Smith
Robbie Ray,Ubaldo Jimenez,Austin Barnes,Eric Thames,Logan Forsythe,Todd Frazier,Corey Seager,Steven Souza,Joc Pederson,Yasiel Puig
Jacob deGrom,John Lackey,Cameron Rupp,Justin Bour,Jason Kipnis,Derek Dietrich,Corey Seager,Giancarlo Stanton,Marcell Ozuna,Christian Yelich
Jacob deGrom,Joe Ross,Austin Barnes,Miguel Cabrera,Logan Forsythe,Justin Turner,Corey Seager,Giancarlo Stanton,Steven Souza,Yasiel Puig
Jameson Taillon,Lance Lynn,Cameron Rupp,Cody Bellinger,Logan Forsythe,Justin Turner,Corey Seager,Bryce Harper,Christian Yelich,Joc Pederson
Jacob deGrom,Jimmy Nelson,AJ Ellis,Eric Thames,Dee Gordon,Travis Shaw,JT Riddle,Marcell Ozuna,Christian Yelich,Joc Pederson
Jacob deGrom,Jimmy Nelson,Yadier Molina,Eric Thames,Jason Kipnis,Jedd Gyorko,Aledmys Diaz,Stephen Piscotty,Tommy Pham,Mallex Smith
Jacob deGrom,Kenta Maeda,Cameron Rupp,Eric Thames,Eric Sogard,Travis Shaw,Corey Seager,Keon Broxton,Michael Conforto,Lewis Brinson
Robbie Ray,John Lackey,AJ Ellis,Lucas Duda,Dee Gordon,Derek Dietrich,JT Riddle,Bryce Harper,Christian Yelich,Mallex Smith
Jacob deGrom,Jameson Taillon,Derek Norris,Eric Thames,Daniel Robertson,Justin Turner,Tim Beckham,Steven Souza,Christian Yelich,Mallex Smith
Jacob deGrom,Kenta Maeda,Derek Norris,Logan Morrison,Dee Gordon,Justin Turner,Corey Seager,Corey Dickerson,Mallex Smith,Colby Rasmus
Robbie Ray,Ubaldo Jimenez,AJ Ellis,Lucas Duda,Dee Gordon,Evan Longoria,Corey Seager,Giancarlo Stanton,Marcell Ozuna,Christian Yelich
Jacob deGrom,John Lackey,AJ Ellis,Justin Bour,Dee Gordon,Travis Shaw,Francisco Lindor,Giancarlo Stanton,Christian Yelich,Seth Smith
Jacob deGrom,Kenta Maeda,Austin Barnes,Cody Bellinger,Logan Forsythe,Manny Machado,Corey Seager,Joc Pederson,Jason Heyward,Curtis Granderson
Robbie Ray,Ben Lively,Yadier Molina,Cody Bellinger,Logan Forsythe,Justin Turner,Corey Seager,Yasiel Puig,Seth Smith,Gregory Polanco
Robbie Ray,Jacob deGrom,Kevan Smith,Jose Abreu,Yolmer Sanchez,Todd Frazier,Corey Seager,Mallex Smith,Gregory Polanco,Willy Garcia
Jacob deGrom,John Lackey,Willson Contreras,Anthony Rizzo,Ian Happ,Justin Turner,Corey Seager,Jason Heyward,Mallex Smith,Jon Jay
Jacob deGrom,Trevor Bauer,Austin Barnes,Matt Carpenter,Dee Gordon,Derek Dietrich,Aledmys Diaz,Giancarlo Stanton,Marcell Ozuna,Christian Yelich
Jacob Faria,Lance Lynn,Austin Barnes,Eric Thames,Dee Gordon,Justin Turner,Corey Seager,Michael Conforto,Joc Pederson,Yasiel Puig
Jacob deGrom,Jameson Taillon,Yadier Molina,Matt Carpenter,Paul DeJong,Jedd Gyorko,Corey Seager,Giancarlo Stanton,Tommy Pham,Gregory Polanco
Jacob deGrom,Jimmy Nelson,Cameron Rupp,Matt Carpenter,Paul DeJong,Justin Turner,Aledmys Diaz,Dexter Fowler,Stephen Piscotty,Mallex Smith
Robbie Ray,Kenta Maeda,Yadier Molina,Matt Carpenter,Greg Garcia,Justin Turner,Aledmys Diaz,Tommy Pham,Mallex Smith,Gregory Polanco
Jacob deGrom,Jameson Taillon,Yadier Molina,Matt Carpenter,Dee Gordon,Evan Longoria,Aledmys Diaz,Seth Smith,Stephen Piscotty,Tommy Pham
Jacob deGrom,Kenta Maeda,Cameron Rupp,Matt Carpenter,Greg Garcia,Jedd Gyorko,Corey Seager,Dexter Fowler,Michael Conforto,Tommy Pham
Robbie Ray,John Lackey,Austin Barnes,Lucas Duda,Tommy La Stella,Justin Turner,Kike Hernandez,Joc Pederson,Yasiel Puig,Mallex Smith
Jacob deGrom,Trevor Bauer,Yadier Molina,Matt Carpenter,Yangervis Solarte,Travis Shaw,Aledmys Diaz,Dexter Fowler,Christian Yelich,Stephen Piscotty
Jacob deGrom,Jimmy Nelson,Yadier Molina,Matt Carpenter,Ian Happ,Jedd Gyorko,Aledmys Diaz,Dexter Fowler,Seth Smith,Gregory Polanco
Jacob deGrom,John Lackey,Manny Pina,Eric Thames,Eric Sogard,Hernan Perez,Corey Seager,Christian Yelich,Seth Smith,Lewis Brinson
Robbie Ray,Trevor Bauer,AJ Ellis,Eric Thames,Logan Forsythe,Justin Turner,Kike Hernandez,Joc Pederson,Yasiel Puig,Kevin Pillar
Jacob deGrom,John Lackey,AJ Ellis,Anthony Rizzo,Yangervis Solarte,Justin Turner,JT Riddle,Giancarlo Stanton,Marcell Ozuna,Christian Yelich
Jacob deGrom,Jacob Faria,Cameron Rupp,Logan Morrison,Yangervis Solarte,Evan Longoria,Corey Seager,Steven Souza,Mallex Smith,Colby Rasmus
Robbie Ray,Jimmy Nelson,Travis d'Arnaud,Lucas Duda,Jason Kipnis,Jose Reyes,Corey Seager,Michael Conforto,Curtis Granderson,Gregory Polanco
Jacob deGrom,Jameson Taillon,Cameron Rupp,Tommy Joseph,Dee Gordon,Maikel Franco,Corey Seager,Michael Conforto,Aaron Altherr,Howie Kendrick
Jacob deGrom,Jimmy Nelson,James McCann,Miguel Cabrera,Ian Kinsler,Justin Turner,Corey Seager,JD Martinez,Justin Upton,Mallex Smith
Robbie Ray,Kenta Maeda,Austin Barnes,Logan Morrison,Daniel Robertson,Evan Longoria,Corey Seager,Steven Souza,Mallex Smith,Gregory Polanco
Jacob deGrom,Jimmy Nelson,AJ Ellis,Cody Bellinger,Eric Sogard,Justin Turner,Kike Hernandez,Joc Pederson,Yasiel Puig,Billy Hamilton
Robbie Ray,Jacob deGrom,Derek Norris,Lucas Duda,Daniel Robertson,Evan Longoria,Ryan Goins,Corey Dickerson,Steven Souza,Gregory Polanco
Jacob deGrom,Lance Lynn,Austin Barnes,Cody Bellinger,Ian Kinsler,Justin Turner,Corey Seager,Joc Pederson,Kevin Pillar,Allen Cordoba
Robbie Ray,John Lackey,Tucker Barnhart,Eric Thames,Daniel Robertson,Evan Longoria,Trea Turner,Corey Dickerson,Mallex Smith,Colby Rasmus
Jacob deGrom,Lance Lynn,Cameron Rupp,Logan Morrison,Jason Kipnis,Justin Turner,Tim Beckham,Corey Dickerson,Steven Souza,Mallex Smith
Jacob deGrom,Jimmy Nelson,Roberto Perez,Eric Thames,Jason Kipnis,Justin Turner,Francisco Lindor,Lonnie Chisenhall,Bradley Zimmer,Mallex Smith
Robbie Ray,Trevor Bauer,Austin Barnes,Cody Bellinger,Logan Forsythe,Todd Frazier,Kike Hernandez,Yasiel Puig,Mallex Smith,Billy Hamilton
Jacob deGrom,Jameson Taillon,Austin Barnes,Eric Thames,Eric Sogard,Travis Shaw,Orlando Arcia,Corey Dickerson,Christian Yelich,Lewis Brinson
Jacob deGrom,Lance Lynn,Austin Barnes,Lucas Duda,Logan Forsythe,Justin Turner,Kike Hernandez,Giancarlo Stanton,Corey Dickerson,Joc Pederson
Jameson Taillon,Trevor Bauer,Austin Barnes,Cody Bellinger,Jason Kipnis,Travis Shaw,Corey Seager,Bryce Harper,Joc Pederson,Yasiel Puig
