P,P,C,1B,2B,3B,SS,OF,OF,OF
Robbie Ray,Trevor Bauer,Austin Barnes,Lucas Duda,Logan Forsythe,Justin Turner,Corey Seager,Michael Conforto,Joc Pederson,Gregory Polanco
Jacob deGrom,John Lackey,Austin Barnes,Eric Thames,Logan Forsythe,Justin Turner,Corey Seager,Christian Yelich,Joc Pederson,Mallex Smith
Jacob deGrom,Jimmy Nelson,Austin Barnes,Matt Carpenter,Jason Kipnis,Justin Turner,Corey Seager,Joc Pederson,Yasiel Puig,Gregory Polanco
Jacob deGrom,Trevor Bauer,Yadier Molina,Cody Bellinger,Dee Gordon,Justin Turner,Corey Seager,Joc Pederson,Yasiel Puig,Mallex Smith
Jameson Taillon,Jimmy Nelson,Yadier Molina,Eric Thames,Logan Forsythe,Justin Turner,Corey Seager,Bryce Harper,Joc Pederson,Yasiel Puig
Jacob deGrom,Jimmy Nelson,Derek Norris,Eric Thames,Jason Kipnis,Evan Longoria,Corey Seager,Corey Dickerson,Steven Souza,Mallex Smith
Jacob deGrom,Jameson Taillon,Cameron Rupp,Cody Bellinger,Logan Forsythe,Justin Turner,Corey Seager,Christian Yelich,Yasiel Puig,Gregory Polanco
Jameson Taillon,Kenta Maeda,Austin Barnes,Cody Bellinger,Jason Kipnis,Justin Turner,Corey Seager,Bryce Harper,Joc Pederson,Mallex Smith
Jacob deGrom,Kenta Maeda,AJ Ellis,Eric Thames,Dee Gordon,Derek Dietrich,Corey Seager,Giancarlo Stanton,Christian Yelich,Mallex Smith
Jacob deGrom,Jimmy Nelson,Austin Barnes,Cody Bellinger,Logan Forsythe,Maikel Franco,Corey Seager,Yasiel Puig,Seth Smith,Mallex Smith
Robbie Ray,Trevor Bauer,Manny Pina,Eric Thames,Eric Sogard,Travis Shaw,Corey Seager,Mallex Smith,Lewis Brinson,Gregory Polanco
Jacob deGrom,Kenta Maeda,AJ Ellis,Anthony Rizzo,Logan Forsythe,Justin Turner,Corey Seager,Michael Conforto,Joc Pederson,Yasiel Puig
Jacob deGrom,John Lackey,Yadier Molina,Matt Carpenter,Dee Gordon,Jedd Gyorko,Corey Seager,Dexter Fowler,Stephen Piscotty,Mallex Smith
Jacob deGrom,Jimmy Nelson,Cameron Rupp,Cody Bellinger,Logan Forsythe,Justin Turner,Kike Hernandez,Michael Conforto,Joc Pederson,Mallex Smith
Robbie Ray,Trevor Bauer,Yadier Molina,Eric Thames,Daniel Robertson,Evan Longoria,Corey Seager,Corey Dickerson,Mallex Smith,Colby Rasmus
Jacob deGrom,Jameson Taillon,Austin Barnes,Lucas Duda,Logan Forsythe,Evan Longoria,Corey Seager,Corey Dickerson,Joc Pederson,Yasiel Puig
Jacob deGrom,Trevor Bauer,Austin Barnes,Cody Bellinger,Logan Forsythe,Justin Turner,Corey Seager,Corey Dickerson,Franchy Cordero,Billy Hamilton
Robbie Ray,Trevor Bauer,Tucker Barnhart,Eric Thames,Logan Forsythe,Justin Turner,Kike Hernandez,Joc Pederson,Yasiel Puig,Mallex Smith
Jacob deGrom,Ubaldo Jimenez,Austin Barnes,Cody Bellinger,Ian Happ,Justin Turner,Corey Seager,Michael Conforto,Joc Pederson,Seth Smith
Jacob deGrom,Trevor Bauer,AJ Ellis,Justin Bour,Dee Gordon,Justin Turner,Corey Seager,Marcell Ozuna,Michael Conforto,Christian Yelich
Robbie Ray,Trevor Bauer,AJ Ellis,Matt Carpenter,Dee Gordon,Evan Longoria,JT Riddle,Giancarlo Stanton,Christian Yelich,Mallex Smith
Jacob deGrom,Jimmy Nelson,Yadier Molina,Matt Carpenter,Jason Kipnis,Jedd Gyorko,Aledmys Diaz,Michael Conforto,Tommy Pham,Mallex Smith
Jacob deGrom,Jameson Taillon,Austin Barnes,Matt Carpenter,Logan Forsythe,Justin Turner,Kike Hernandez,Yasiel Puig,Franchy Cordero,Mallex Smith
Jacob deGrom,Jameson Taillon,Cameron Rupp,Logan Morrison,Dee Gordon,Evan Longoria,Corey Seager,Corey Dickerson,Mallex Smith,Colby Rasmus
Jimmy Nelson,John Lackey,Austin Barnes,Cody Bellinger,Dee Gordon,Justin Turner,Corey Seager,Bryce Harper,Christian Yelich,Yasiel Puig
Jacob deGrom,Jameson Taillon,Yadier Molina,Matt Carpenter,Jason Kipnis,Justin Turner,Aledmys Diaz,Dexter Fowler,Stephen Piscotty,Gregory Polanco
Jacob deGrom,Kenta Maeda,Austin Barnes,Cody Bellinger,Logan Forsythe,Jedd Gyorko,Corey Seager,Giancarlo Stanton,Joc Pederson,Gregory Polanco
Robbie Ray,Ubaldo Jimenez,AJ Ellis,Cody Bellinger,Logan Forsythe,Justin Turner,Corey Seager,Joc Pederson,Mallex Smith,Billy Hamilton
Jacob deGrom,Jameson Taillon,Yadier Molina,Matt Carpenter,Logan Forsythe,Evan Longoria,Tim Beckham,Corey Dickerson,Steven Souza,Mallex Smith
Jacob deGrom,Trevor Bauer,Austin Barnes,Cody Bellinger,Jason Kipnis,Justin Turner,Kike Hernandez,Michael Conforto,Christian Yelich,Yasiel Puig
Robbie Ray,Trevor Bauer,Yadier Molina,Matt Carpenter,Jason Kipnis,Jedd Gyorko,Corey Seager,Stephen Piscotty,Tommy Pham,Gregory Polanco
Jacob deGrom,Jimmy Nelson,Yadier Molina,Matt Carpenter,Greg Garcia,Justin Turner,Corey Seager,Christian Yelich,Stephen Piscotty,Tommy Pham
Jacob deGrom,John Lackey,Austin Barnes,Cody Bellinger,Yangervis Solarte,Todd Frazier,Corey Seager,Joc Pederson,Yasiel Puig,Billy Hamilton
Jacob deGrom,Jameson Taillon,Cameron Rupp,Justin Bour,Dee Gordon,Justin Turner,JT Riddle,Giancarlo Stanton,Christian Yelich,Mallex Smith
Robbie Ray,John Lackey,Derek Norris,Lucas Duda,Dee Gordon,Evan Longoria,Corey Seager,Steven Souza,Mallex Smith,Colby Rasmus
Jacob deGrom,Jimmy Nelson,Manny Pina,Eric Thames,Eric Sogard,Travis Shaw,Orlando Arcia,Michael Conforto,Seth Smith,Mallex Smith
Robbie Ray,Jacob deGrom,Derek Norris,Lucas Duda,Daniel Robertson,Evan Longoria,Troy Tulowitzki,Corey Dickerson,Mallex Smith,Gregory Polanco
Jameson Taillon,Jimmy Nelson,Austin Barnes,Cody Bellinger,Logan Forsythe,Travis Shaw,Corey Seager,Michael Conforto,Christian Yelich,Joc Pederson
Jacob deGrom,Kenta Maeda,Austin Barnes,Eric Thames,Eric Sogard,Justin Turner,Kike Hernandez,Joc Pederson,Yasiel Puig,Seth Smith
Jacob deGrom,Trevor Bauer,Yadier Molina,Matt Carpenter,Ian Happ,Jedd Gyorko,Aledmys Diaz,Dexter Fowler,Corey Dickerson,Christian Yelich
Robbie Ray,Ubaldo Jimenez,Austin Barnes,Eric Thames,Logan Forsythe,Todd Frazier,Corey Seager,Joc Pederson,Yasiel Puig,Seth Smith
Jacob deGrom,Jimmy Nelson,AJ Ellis,Matt Carpenter,Jason Kipnis,Justin Turner,JT Riddle,Giancarlo Stanton,Marcell Ozuna,Christian Yelich
Jacob deGrom,John Lackey,Derek Norris,Anthony Rizzo,Dee Gordon,Evan Longoria,Tim Beckham,Corey Dickerson,Michael Conforto,Mallex Smith
Jacob deGrom,Kenta Maeda,Austin Barnes,Eric Thames,Ian Happ,Evan Longoria,Tim Beckham,Corey Dickerson,Mallex Smith,Colby Rasmus
Robbie Ray,Jimmy Nelson,Yadier Molina,Matt Carpenter,Greg Garcia,Evan Longoria,Aledmys Diaz,Stephen Piscotty,Mallex Smith,Gregory Polanco
Jacob deGrom,John Lackey,Cameron Rupp,Matt Carpenter,Dee Gordon,Derek Dietrich,Francisco Lindor,Giancarlo Stanton,Marcell Ozuna,Christian Yelich
Jacob deGrom,Jameson Taillon,Travis d'Arnaud,Lucas Duda,Wilmer Flores,Justin Turner,Corey Seager,Michael Conforto,Mallex Smith,Curtis Granderson
Robbie Ray,Trevor Bauer,Derek Norris,Eric Thames,Ian Happ,Evan Longoria,Tim Beckham,Steven Souza,Mallex Smith,Gregory Polanco
Jacob deGrom,Jameson Taillon,Derek Norris,Eric Thames,Daniel Robertson,Justin Turner,Tim Beckham,Corey Dickerson,Christian Yelich,Mallex Smith
Jacob deGrom,Jimmy Nelson,Cameron Rupp,Logan Morrison,Ian Happ,Evan Longoria,Tim Beckham,Michael Conforto,Steven Souza,Mallex Smith
Robbie Ray,Kenta Maeda,Austin Barnes,Carlos Santana,Logan Forsythe,Justin Turner,Corey Seager,Yasiel Puig,Mallex Smith,Alex Presley
Jacob deGrom,Trevor Bauer,Austin Barnes,Jay Bruce,Logan Forsythe,Justin Turner,Francisco Lindor,Giancarlo Stanton,Joc Pederson,Yasiel Puig
Jacob deGrom,Jameson Taillon,Yadier Molina,Eric Thames,Greg Garcia,Jedd Gyorko,Aledmys Diaz,Christian Yelich,Stephen Piscotty,Mallex Smith
Jacob deGrom,Jimmy Nelson,AJ Ellis,Justin Bour,Dee Gordon,Evan Longoria,Francisco Lindor,Giancarlo Stanton,Christian Yelich,Billy Hamilton
Robbie Ray,Kenta Maeda,Austin Barnes,Matt Carpenter,Logan Forsythe,Evan Longoria,Kike Hernandez,Joc Pederson,Yasiel Puig,Gregory Polanco
Jacob deGrom,Trevor Bauer,Yadier Molina,Matt Carpenter,Paul DeJong,Travis Shaw,Corey Seager,Dexter Fowler,Michael Conforto,Tommy Pham
Jacob deGrom,Lance Lynn,Austin Barnes,Tommy Joseph,Logan Forsythe,Justin Turner,Corey Seager,Dexter Fowler,Yasiel Puig,Curtis Granderson
Robbie Ray,Ben Lively,Kevan Smith,Matt Carpenter,Logan Forsythe,Justin Turner,Corey Seager,Christian Yelich,Joc Pederson,Yasiel Puig
Jacob deGrom,John Lackey,Austin Barnes,Logan Morrison,Jason Kipnis,Justin Turner,Tim Beckham,Corey Dickerson,Steven Souza,Mallex Smith
Jacob deGrom,Jameson Taillon,Austin Barnes,Cody Bellinger,Dee Gordon,Justin Turner,Kike Hernandez,Joc Pederson,Kevin Pillar,Gregory Polanco
Jacob Faria,Lance Lynn,Austin Barnes,Eric Thames,Dee Gordon,Justin Turner,Corey Seager,Michael Conforto,Joc Pederson,Yasiel Puig
Jacob deGrom,John Lackey,AJ Ellis,Anthony Rizzo,Dee Gordon,Travis Shaw,JT Riddle,Giancarlo Stanton,Michael Conforto,Christian Yelich
Jacob deGrom,John Lackey,Yadier Molina,Eric Thames,Greg Garcia,Justin Turner,Aledmys Diaz,Dexter Fowler,Michael Conforto,Tommy Pham
Jacob deGrom,Jameson Taillon,AJ Ellis,Eric Thames,Dee Gordon,Evan Longoria,JT Riddle,Marcell Ozuna,Corey Dickerson,Christian Yelich
Robbie Ray,Jimmy Nelson,Travis d'Arnaud,Lucas Duda,Jason Kipnis,Jose Reyes,Corey Seager,Michael Conforto,Curtis Granderson,Gregory Polanco
Jacob deGrom,John Lackey,Yadier Molina,Eric Thames,Eric Sogard,Travis Shaw,Corey Seager,Keon Broxton,Michael Conforto,Lewis Brinson
Jacob deGrom,Jimmy Nelson,Roberto Perez,Eric Thames,Jason Kipnis,Justin Turner,Francisco Lindor,Lonnie Chisenhall,Bradley Zimmer,Mallex Smith
Robbie Ray,John Lackey,Tucker Barnhart,Cody Bellinger,Logan Forsythe,Evan Longoria,Corey Seager,Joc Pederson,Yasiel Puig,Allen Cordoba
Jacob deGrom,Kenta Maeda,Yadier Molina,Matt Carpenter,Greg Garcia,Travis Shaw,Aledmys Diaz,Giancarlo Stanton,Dexter Fowler,Mallex Smith
Jacob deGrom,John Lackey,Yadier Molina,Cody Bellinger,Logan Forsythe,Justin Turner,Kike Hernandez,Giancarlo Stanton,Yasiel Puig,Seth Smith
Robbie Ray,Trevor Bauer,Yadier Molina,Matt Carpenter,Logan Forsythe,Todd Frazier,Aledmys Diaz,Dexter Fowler,Tommy Pham,Mallex Smith
Jacob deGrom,John Lackey,Willson Contreras,Anthony Rizzo,Ian Happ,Justin Turner,Corey Seager,Jason Heyward,Mallex Smith,Jon Jay
Jacob deGrom,Jimmy Nelson,Derek Norris,Matt Carpenter,Dee Gordon,Justin Turner,Tim Beckham,Steven Souza,Mallex Smith,Colby Rasmus
Robbie Ray,Jacob deGrom,AJ Ellis,Lucas Duda,Dee Gordon,Derek Dietrich,JT Riddle,Christian Yelich,Gregory Polanco,Allen Cordoba
Robbie Ray,Trevor Bauer,AJ Ellis,Justin Bour,Dee Gordon,Derek Dietrich,Corey Seager,Giancarlo Stanton,Billy Hamilton,Gregory Polanco
Jacob deGrom,Joe Ross,Tucker Barnhart,Cody Bellinger,Logan Forsythe,Justin Turner,Corey Seager,Dexter Fowler,Joc Pederson,Justin Upton
Jacob deGrom,Jimmy Nelson,Austin Barnes,Anthony Rizzo,Logan Forsythe,Manny Machado,Kike Hernandez,Christian Yelich,Joc Pederson,Yasiel Puig
Jameson Taillon,Jacob Faria,Austin Barnes,Matt Carpenter,Logan Forsythe,Justin Turner,Corey Seager,Giancarlo Stanton,Joc Pederson,Seth Smith
Robbie Ray,Jacob deGrom,Kevan Smith,Jose Abreu,Yolmer Sanchez,Todd Frazier,Corey Seager,Mallex Smith,Gregory Polanco,Willy Garcia
Jacob deGrom,Jimmy Nelson,Cameron Rupp,Matt Carpenter,Ian Happ,Evan Longoria,Aledmys Diaz,Dexter Fowler,Stephen Piscotty,Tommy Pham
Robbie Ray,John Lackey,Tucker Barnhart,Matt Carpenter,Daniel Robertson,Evan Longoria,Tim Beckham,Corey Dickerson,Christian Yelich,Mallex Smith
Jacob deGrom,Jameson Taillon,Cameron Rupp,Tommy Joseph,Dee Gordon,Maikel Franco,Corey Seager,Michael Conforto,Aaron Altherr,Howie Kendrick
Jacob deGrom,Jameson Taillon,Austin Barnes,Matt Carpenter,Greg Garcia,Jedd Gyorko,Corey Seager,Dexter Fowler,Tommy Pham,Gregory Polanco
Jacob deGrom,Kenta Maeda,Austin Barnes,Cody Bellinger,Ian Kinsler,Justin Turner,Corey Seager,Steven Souza,Yasiel Puig,Allen Cordoba
Robbie Ray,Jameson Taillon,AJ Ellis,Logan Morrison,Daniel Robertson,Evan Longoria,Corey Seager,Steven Souza,Mallex Smith,Gregory Polanco
Jacob deGrom,Jimmy Nelson,Yadier Molina,Cody Bellinger,Dee Gordon,Derek Dietrich,JT Riddle,Marcell Ozuna,Christian Yelich,Mallex Smith
Jacob deGrom,Kenta Maeda,Derek Norris,Cody Bellinger,Yangervis Solarte,Evan Longoria,Tim Beckham,Steven Souza,Christian Yelich,Mallex Smith
Robbie Ray,Ubaldo Jimenez,Derek Norris,Logan Morrison,Ian Happ,Evan Longoria,Corey Seager,Corey Dickerson,Christian Yelich,Mallex Smith
Jacob deGrom,Kenta Maeda,Yadier Molina,Matt Carpenter,Yangervis Solarte,Jedd Gyorko,Aledmys Diaz,Joc Pederson,Seth Smith,Stephen Piscotty
Jacob deGrom,Kenta Maeda,Manny Pina,Eric Thames,Eric Sogard,Hernan Perez,Corey Seager,Christian Yelich,Seth Smith,Lewis Brinson
Robbie Ray,John Lackey,Luis Torrens,Eric Thames,Yangervis Solarte,Cory Spangenberg,Corey Seager,Franchy Cordero,Mallex Smith,Allen Cordoba
Jacob deGrom,Jimmy Nelson,Yadier Molina,Matt Carpenter,Greg Garcia,Jedd Gyorko,Francisco Lindor,Dexter Fowler,Joc Pederson,Billy Hamilton
Jacob deGrom,Jameson Taillon,Cameron Rupp,Matt Carpenter,Paul DeJong,Jedd Gyorko,Aledmys Diaz,Dexter Fowler,Mallex Smith,Billy Hamilton
Robbie Ray,Jacob deGrom,Luis Torrens,Matt Carpenter,Jason Kipnis,Cory Spangenberg,Erick Aybar,Franchy Cordero,Gregory Polanco,Allen Cordoba
Jacob Faria,Jimmy Nelson,Cameron Rupp,Cody Bellinger,Ian Happ,Justin Turner,Corey Seager,Giancarlo Stanton,Joc Pederson,Yasiel Puig
Jacob deGrom,Jameson Taillon,Manny Pina,Eric Thames,Jason Kipnis,Travis Shaw,Orlando Arcia,Giancarlo Stanton,Christian Yelich,Lewis Brinson
