P,P,C,1B,2B,3B,SS,OF,OF,OF
Robbie Ray,Trevor Bauer,Tucker Barnhart,Cody Bellinger,Logan Forsythe,Justin Turner,Corey Seager,Yasiel Puig,Mallex Smith,Gregory Polanco
Jacob deGrom,John Lackey,Cameron Rupp,Cody Bellinger,Jason Kipnis,Justin Turner,Corey Seager,Joc Pederson,Yasiel Puig,Mallex Smith
Robbie Ray,Jimmy Nelson,Derek Norris,Matt Carpenter,Daniel Robertson,Evan Longoria,Corey Seager,Corey Dickerson,Mallex Smith,Gregory Polanco
Jameson Taillon,Jimmy Nelson,Cameron Rupp,Cody Bellinger,Logan Forsythe,Justin Turner,Corey Seager,Bryce Harper,Christian Yelich,Yasiel Puig
Jacob deGrom,Jimmy Nelson,Cameron Rupp,Logan Morrison,Dee Gordon,Evan Longoria,Corey Seager,Corey Dickerson,Steven Souza,Mallex Smith
Jameson Taillon,Kenta Maeda,Yadier Molina,Cody Bellinger,Dee Gordon,Justin Turner,Corey Seager,Michael Conforto,Joc Pederson,Yasiel Puig
Jacob deGrom,John Lackey,Yadier Molina,Matt Carpenter,Dee Gordon,Jedd Gyorko,Corey Seager,Dexter Fowler,Tommy Pham,Mallex Smith
Jacob deGrom,Kenta Maeda,AJ Ellis,Cody Bellinger,Logan Forsythe,Justin Turner,Corey Seager,Steven Souza,Yasiel Puig,Seth Smith
Robbie Ray,Trevor Bauer,AJ Ellis,Justin Bour,Jason Kipnis,Derek Dietrich,Corey Seager,Marcell Ozuna,Christian Yelich,Gregory Polanco
Jacob deGrom,Trevor Bauer,Yadier Molina,Justin Bour,Dee Gordon,Evan Longoria,Corey Seager,Giancarlo Stanton,Marcell Ozuna,Christian Yelich
Robbie Ray,John Lackey,Derek Norris,Logan Morrison,Dee Gordon,Evan Longoria,Troy Tulowitzki,Corey Dickerson,Christian Yelich,Mallex Smith
Robbie Ray,Ubaldo Jimenez,AJ Ellis,Cody Bellinger,Daniel Robertson,Justin Turner,Corey Seager,Christian Yelich,Joc Pederson,Yasiel Puig
Robbie Ray,Trevor Bauer,Derek Norris,Eric Thames,Daniel Robertson,Justin Turner,Tim Beckham,Michael Conforto,Mallex Smith,Colby Rasmus
Robbie Ray,Trevor Bauer,AJ Ellis,Logan Morrison,Daniel Robertson,Evan Longoria,Trea Turner,Corey Dickerson,Michael Conforto,Mallex Smith
Robbie Ray,Trevor Bauer,Yadier Molina,Eric Thames,Greg Garcia,Jedd Gyorko,Aledmys Diaz,Michael Conforto,Stephen Piscotty,Gregory Polanco
Jacob deGrom,Jameson Taillon,Derek Norris,Logan Morrison,Daniel Robertson,Justin Turner,Corey Seager,Corey Dickerson,Michael Conforto,Mallex Smith
Jameson Taillon,Jimmy Nelson,Cameron Rupp,Justin Bour,Dee Gordon,Justin Turner,Trea Turner,Giancarlo Stanton,Marcell Ozuna,Christian Yelich
Robbie Ray,John Lackey,Yadier Molina,Lucas Duda,Logan Forsythe,Jedd Gyorko,Aledmys Diaz,Stephen Piscotty,Tommy Pham,Mallex Smith
Robbie Ray,Jameson Taillon,Derek Norris,Lucas Duda,Daniel Robertson,Todd Frazier,Tim Beckham,Corey Dickerson,Christian Yelich,Mallex Smith
