"George Springer_HOU","Cody Bellinger_LAD","Jose Altuve_HOU","Carlos Correa_HOU","JD Martinez_DET","Nelson Cruz_SEA","Robinson Cano_SEA","Corey Seager_LAD","Chris Taylor_LAD","Yonder Alonso_OAK","Yoenis Cespedes_NYM","Mitch Haniger_SEA","Yasiel Puig_LAD","Jean Segura_SEA","Ben Gamel_SEA","Justin Turner_LAD","Carlos Beltran_HOU","Ryon Healy_OAK","Jarrod Dyson_SEA","Mike Zunino_SEA","Jay Bruce_NYM","Michael Conforto_NYM","Jed Lowrie_OAK","Miguel Cabrera_DET","Justin Upton_DET","Alex Avila_DET","Matt Joyce_OAK","Ian Kinsler_DET","Brian McCann_HOU","Khris Davis_OAK","Marwin Gonzalez_HOU","Nicholas Castellanos_DET","Adrian Gonzalez_LAD","Joc Pederson_LAD","Rajai Davis_OAK","Curtis Granderson_NYM","Derek Fisher_HOU","Victor Martinez_DET","Chase Utley_LAD","David Wright_NYM","Asdrubal Cabrera_NYM","Josh Reddick_HOU","Stephen Vogt_OAK","Marcus Semien_OAK","Danny Valencia_SEA","Kyle Seager_SEA","Jose Reyes_NYM","Neil Walker_NYM","Franklin Gutierrez_LAD","Lucas Duda_NYM","Kike Hernandez_LAD","Leonys Martin_SEA","Logan Forsythe_LAD","Travis d'Arnaud_NYM","Trayce Thompson_LAD","Austin Barnes_LAD","Mark Canha_OAK","Chad Pinder_OAK","Yasmani Grandal_LAD","Wilmer Flores_NYM","Andrew Toles_LAD","Willie Calhoun_LAD","Evan Gattis_HOU","Joey Wendle_OAK","Yuli Gurriel_HOU","DJ Peterson_SEA","Mikie Mahtook_DET","Rob Segedin_LAD","Alex Verdugo_LAD","Jake Marisnick_HOU","Andrew Romine_DET","Jose Iglesias_DET","Tyler Smith_SEA","Andre Ethier_LAD","Amed Rosario_NYM","Norichika Aoki_HOU","Jake Smolinski_OAK","Ryan LaMarre_OAK","JD Davis_HOU","Alex Bregman_HOU","Alex Presley_DET","John Hicks_DET","JaCoby Jones_DET","Scott Van Slyke_LAD","Brandon Nimmo_NYM","TJ Rivera_NYM","Colin Moran_HOU","Bruce Maxwell_OAK","Matt Chapman_OAK","Carlos Ruiz_SEA","Shawn O'Malley_SEA","Dixon Machado_DET","Tyler Collins_DET","Josh Phegley_OAK","Jaycob Brugman_OAK","James McCann_DET","Taylor Motter_SEA","Boog Powell_SEA","Juan Lagares_NYM","Gavin Cecchini_NYM","Jim Adduci_DET","Tuffy Gosewisch_SEA","Guillermo Heredia_SEA","Matt Reynolds_NYM","Kevin Plawecki_NYM","Adam Rosales_OAK","Mike Freeman_LAD","Kyle Tucker_HOU","Daniel Vogelbach_SEA","Kyle Lewis_SEA","Rene Rivera_NYM","Juan Centeno_HOU","Jaff Decker_OAK","Teoscar Hernandez_HOU","Tony Kemp_HOU","Brett Eibner_LAD","Renato Nunez_OAK","Matt Olson_OAK","Franklin Barreto_OAK"
73.7749853886616,0,1.04471069549971,24.8823529411765,0,0,0,0,0,0,0,0,0,0,0,0,3.41578014184397,0,0,0,0,0,0,0,0,0,0,0,-0.000840336134453781,0,10.5,0,0,0,0,0,32,0,0,0,0,-1.40254706533776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0392156862745,0,0,0,0,0,0,-0.19047619047619,0,0,0,0,0,12.6793650793651,0,0,0,8.13348416289593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,90.8858585858586,0,0,0,0,0,24.7281284606866,1.04285714285714,0,0,0,48.1251778093883,0,0,-13.0579710144928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.06833333333333,-17.0625,0,0,0,0,-3.97727272727273,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0.805147058823529,0,0,16,0,0,-2.7952380952381,0,13.7361111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43.5833333333333,0,0,0
1.04471069549971,0,65.9513888888889,-4.7546992481203,0,0,0,0,0,0,0,0,0,0,0,0,16.2345399698341,0,0,0,0,0,0,0,0,0,0,0,-6.33012820512821,0,2.25,0,0,0,0,0,5.33333333333333,0,0,0,0,-6.24734042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27301587301587,0,0,0,0,0,0,6.27,0,0,0,0,0,7.21052631578947,0,0,0,7.4775974025974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.5,0,0,0,0,0,0,0
24.8823529411765,0,-4.7546992481203,54.9865575686733,0,0,0,0,0,0,0,0,0,0,0,0,14.9308510638298,0,0,0,0,0,0,0,0,0,0,0,-7.66025641025641,0,12.5142857142857,0,0,0,0,0,44.3333333333333,0,0,0,0,17.6564482029598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3863636363636,0,0,0,0,0,0,14.7943722943723,0,0,0,0,0,0.568253968253968,0,0,0,6.03098039215686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,121.964367816092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5238095238095,33.884236453202,17.7134502923977,0,20.1991341991342,0,0,0,0,0,0,0,0,0,33.5434782608696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,0,0,1.15454545454545,17.4215384615385,0,0,0,0,0,0,0,0,-9.03333333333333,89.6666666666667,0,0,0,0,0,0,0,0,0,39.6805555555556,-52,0,0,27.0961538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,61.4564971751412,2.48244897959184,0,0,0,0,10.3661538461538,0,14.752380952381,6.20945945945946,0,0,0,5.58862745098039,14.4126984126984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8563265306122,6.51590909090909,0,0,0,0,0,17.3653846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.16959064327485,0,0,0,0,0,0,25.0441347270616,0,0,0,0,-1.9,6.1417004048583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.48244897959184,67.625974025974,0,0,0,0,3.94461538461538,0,6.78735632183908,11.46875,0,0,0,4.61887141535615,-18.2051282051282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3787439613527,12.9570135746606,0,0,0,0,0,3.03205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0916666666667,0,0,0,0,0,0,15.4764705882353,0,0,0,0,0,12.4174174174174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24.7281284606866,0,0,0,0,0,51.1169398907104,-9.58571428571429,0,0,0,12.8616352201258,0,0,11.2980085348506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24466571834993,11.5769230769231,0,0,0,0,9.51778093883357,0,0,0,0,0,0,0,0,0,1.56944444444444,0,0,0,12.1402116402116,0,0,7.99450549450549,0,0,16.1121453900709,0,1.18014705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.35,0,0,0
0,1.04285714285714,0,0,0,0,0,-9.58571428571429,85.2147435897436,0,0,0,18.6292335115865,0,0,4.7280701754386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66959064327485,26.9952380952381,0,0,0,0,-12.175,0,0,0,0,0,0,0,0,0,-8.85714285714286,0,0,0,12.9095238095238,0,0,-2.33333333333333,0,0,0.95935960591133,0,-1.16666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,0,0,0
0,0,0,0,0,0,0,0,0,66.6595744680851,0,0,0,0,0,0,0,14.6464646464646,0,0,0,0,12.9893939393939,0,0,0,5.28414634146341,0,0,-1.8695652173913,0,0,0,0,9.68253968253968,0,0,0,0,0,0,0,-6.89047619047619,35.2,0,0,0,0,0,0,0,0,0,0,0,0,-16.0909090909091,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.45,0,0,0,0,0,21.9015151515152,6.45,0,0,0,0,0,0,0,0,0,0,4.17241379310345,0,0,0,0,0,0,2.38181818181818,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,144.067193675889,0,0,0,0,0,0,0,0,0,-21.5800865800866,0.611111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,30.6428571428571,0,0,0,0,45.0490196078431,0,0,0,0,0,1.78333333333333,10.4736842105263,0,89.9428571428571,0,0,0,130.652380952381,0,0,0,0,0,44.6545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0,0,0,2.07142857142857,0,0,0,0,0,0,0,0
0,0,0,0,0,10.3661538461538,3.94461538461538,0,0,0,0,56.4861538461538,0,9.92857142857143,8,0,0,0,-7.06493506493506,29.0409356725146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7056277056277,14.6640316205534,0,0,0,0,0,-0.948717948717949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02380952380952,0,0,0,0,0,0,-12.1960784313725,0,0,0,0,0,33.3777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,48.1251778093883,0,0,0,0,0,12.8616352201258,18.6292335115865,0,0,0,65.0804597701149,0,0,8.71621621621622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06349206349206,8.76851851851852,0,0,0,0,0.155555555555556,0,0,0,0,0,0,0,0,0,39.1666666666667,0,0,0,2.10833333333333,0,0,20.1060606060606,0,0,-3.77777777777778,0,-0.481617647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5,0,0,0
0,0,0,0,0,14.752380952381,6.78735632183908,0,0,0,0,9.92857142857143,0,53.8814102564103,13.5233990147783,0,0,0,18.8092691622103,9.80263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.30965909090909,4.59317211948791,0,0,0,0,0,8.43333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43956043956044,0,0,0,0,0,0,8.90476190476191,0,0,0,0,3.03333333333333,11.2827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6.20945945945946,11.46875,0,0,0,0,8,0,13.5233990147783,59.0454042081949,0,0,0,4.69206349206349,3.05731225296443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7809523809524,-5.51219512195122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3857142857143,0,0,0,0,0,0,-2.94827586206897,0,0,0,0,15,4.04634581105169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
