"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Luis Severino",12300,"LAA@NYY 07:05PM ET",21.292,"NYY","LAA",24.19,19,7.5,NA,7.5
"SP","Jake Arrieta",8800,"CHC@MIA 07:10PM ET",13.291,"CHC","MIA",22.34,17.6,20.15,NA,20.15
"SP","Daniel Norris",7600,"DET@SEA 10:10PM ET",13.408,"DET","SEA",14.84,14.1,8.7,NA,8.7
"SP","Jaime Garcia",7500,"SF@ATL 07:35PM ET",14.231,"ATL","SF",18.92,17.4,-2.2575,NA,-1.65
"SP","Hyun-Jin Ryu",7100,"NYM@LAD 10:10PM ET",12.742,"LAD","NYM",14.9,17.4,9.05,NA,9.05
"SP","Steven Matz",6900,"NYM@LAD 10:10PM ET",9.7,"NYM","LAD",16.75,17.1,18.7,NA,19.3
"SP","Wade Miley",5900,"CLE@BAL 07:05PM ET",11.921,"BAL","CLE",12.53,9.7,3.25,NA,3.25
"SP","Mike Clevinger",5700,"CLE@BAL 07:05PM ET",14.681,"CLE","BAL",NA,13.2,13.25,NA,12.05
"SP","Jesse Chavez",5200,"LAA@NYY 07:05PM ET",10.941,"LAA","NYY",11.53,10.4,-0.4,NA,-0.4
"SP","Jeff Locke",4800,"CHC@MIA 07:10PM ET",11.163,"MIA","CHC",11.06,11.8,-3,NA,-2.4
"SP","Andrew Moore",4700,"DET@SEA 10:10PM ET",0,"SEA","DET",10.65,10.5,18.15,NA,18.15
"SP","Matt Cain",4500,"SF@ATL 07:35PM ET",8.293,"SF","ATL",13.3,10.1,-9,NA,-9
