"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Carlos Martinez",13500,"PIT@STL 08:15PM ET",23.904,"STL"
"SP","Chase Anderson",9400,"MIL@ATL 07:35PM ET",17.721,"MIL"
"SP","Jason Vargas",9300,"TOR@KC 08:15PM ET",19.493,"KC"
"SP","Carlos Rodon",9200,"OAK@CWS 08:10PM ET",0,"CWS"
"SP","Danny Duffy",9100,"TOR@KC 08:15PM ET",15.118,"KC"
"SP","Marcus Stroman",8700,"TOR@KC 08:15PM ET",16.273,"TOR"
"SP","Jimmy Nelson",8500,"MIL@ATL 07:35PM ET",17.996,"MIL"
"SP","Jose Quintana",8300,"OAK@CWS 08:10PM ET",13.811,"CWS"
"SP","J.A. Happ",8000,"TOR@KC 08:15PM ET",16.843,"TOR"
"SP","Marco Estrada",7900,"TOR@KC 08:15PM ET",15.59,"TOR"
"SP","Julio Teheran",7900,"MIL@ATL 07:35PM ET",8.987,"ATL"
"SP","Lance Lynn",7800,"PIT@STL 08:15PM ET",16.575,"STL"
"SP","Mike Leake",7700,"PIT@STL 08:15PM ET",16.843,"STL"
"SP","Aaron Sanchez",7600,"TOR@KC 08:15PM ET",10.71,"TOR"
"SP","Gerrit Cole",7500,"PIT@STL 08:15PM ET",13.553,"PIT"
"SP","Jameson Taillon",7500,"PIT@STL 08:15PM ET",14.875,"PIT"
"SP","Jaime Garcia",7500,"MIL@ATL 07:35PM ET",14.231,"ATL"
"SP","Lucas Giolito",7400,"OAK@CWS 08:10PM ET",0,"CWS"
"SP","Ivan Nova",7400,"PIT@STL 08:15PM ET",16.964,"PIT"
"SP","Jason Hammel",7200,"TOR@KC 08:15PM ET",11.104,"KC"
"SP","Michael Wacha",7200,"PIT@STL 08:15PM ET",12.046,"STL"
"SP","Sonny Gray",6900,"OAK@CWS 08:10PM ET",14.195,"OAK"
"SP","Sean Manaea",6800,"OAK@CWS 08:10PM ET",17.815,"OAK"
"SP","Mike Foltynewicz",6800,"MIL@ATL 07:35PM ET",11.836,"ATL"
"SP","Francisco Liriano",6700,"TOR@KC 08:15PM ET",10.318,"TOR"
"SP","Eric Skoglund",6700,"TOR@KC 08:15PM ET",6.317,"KC"
"SP","Zach Davies",6500,"MIL@ATL 07:35PM ET",9.523,"MIL"
"SP","Josh Hader",6500,"MIL@ATL 07:35PM ET",3.6,"MIL"
"RP","Sean Newcomb",6500,"MIL@ATL 07:35PM ET",11.963,"ATL"
"SP","Ian Kennedy",6400,"TOR@KC 08:15PM ET",11.208,"KC"
"SP","Kyle Zimmer",6400,"TOR@KC 08:15PM ET",0,"KC"
"SP","James Shields",6400,"OAK@CWS 08:10PM ET",15.863,"CWS"
"SP","Adam Wainwright",6300,"PIT@STL 08:15PM ET",9.787,"STL"
"SP","Nate Karns",6200,"TOR@KC 08:15PM ET",15.156,"KC"
"SP","Jharel Cotton",6100,"OAK@CWS 08:10PM ET",12.1,"OAK"
"SP","Reynaldo Lopez",6100,"OAK@CWS 08:10PM ET",0,"CWS"
"SP","Taylor Jungmann",6100,"MIL@ATL 07:35PM ET",-0.9,"MIL"
"SP","Luke Weaver",6000,"PIT@STL 08:15PM ET",0,"STL"
"SP","Junior Guerra",6000,"MIL@ATL 07:35PM ET",12.136,"MIL"
"SP","Aaron Blair",6000,"MIL@ATL 07:35PM ET",0,"ATL"
"SP","Jorge Lopez",6000,"MIL@ATL 07:35PM ET",0,"MIL"
"SP","Kendall Graveman",5900,"OAK@CWS 08:10PM ET",12.569,"OAK"
"SP","Matt Garza",5900,"MIL@ATL 07:35PM ET",11.915,"MIL"
"SP","R.A. Dickey",5800,"MIL@ATL 07:35PM ET",10.496,"ATL"
"SP","Mat Latos",5700,"TOR@KC 08:15PM ET",4.983,"TOR"
"SP","Andrew Triggs",5700,"OAK@CWS 08:10PM ET",12.533,"OAK"
"SP","Derek Holland",5600,"OAK@CWS 08:10PM ET",12.225,"CWS"
"SP","Jesse Hahn",5600,"OAK@CWS 08:10PM ET",13.529,"OAK"
"SP","Nick Kingham",5600,"PIT@STL 08:15PM ET",0,"PIT"
"SP","Mike Minor",5500,"TOR@KC 08:15PM ET",4.373,"KC"
"SP","Joe Biagini",5500,"TOR@KC 08:15PM ET",6.409,"TOR"
"SP","Jake Junis",5500,"TOR@KC 08:15PM ET",6.2,"KC"
"SP","Dan Winkler",5500,"MIL@ATL 07:35PM ET",0,"ATL"
"SP","Wade LeBlanc",5400,"PIT@STL 08:15PM ET",3.688,"PIT"
"SP","Wily Peralta",5400,"MIL@ATL 07:35PM ET",5.35,"MIL"
"SP","Mike Pelfrey",5300,"OAK@CWS 08:10PM ET",9.904,"CWS"
"RP","Trevor Williams",5300,"PIT@STL 08:15PM ET",7.377,"PIT"
"SP","Michael Kopech",5200,"OAK@CWS 08:10PM ET",0,"CWS"
"SP","Tyler Glasnow",5200,"PIT@STL 08:15PM ET",5.11,"PIT"
"SP","Matt Wisler",5200,"MIL@ATL 07:35PM ET",2.736,"ATL"
"1B","Justin Smoak",5100,"TOR@KC 08:15PM ET",8.671,"TOR"
"SP","Sean Reid-Foley",5100,"TOR@KC 08:15PM ET",0,"TOR"
"SP","Lucas Sims",5100,"MIL@ATL 07:35PM ET",0,"ATL"
"SP","Chris Young",5000,"TOR@KC 08:15PM ET",1.736,"KC"
"RP","Matt Strahm",5000,"TOR@KC 08:15PM ET",3.777,"KC"
"SP","John Gant",5000,"PIT@STL 08:15PM ET",6.5,"STL"
"SP","Bartolo Colon",5000,"MIL@ATL 07:35PM ET",4.796,"ATL"
"SP","Brandon Woodruff",5000,"MIL@ATL 07:35PM ET",0,"MIL"
"SP","Mike Bolsinger",4900,"TOR@KC 08:15PM ET",7.67,"TOR"
"SP","Steven Brault",4900,"PIT@STL 08:15PM ET",0,"PIT"
"SP","Miguel Gonzalez",4800,"OAK@CWS 08:10PM ET",8.692,"CWS"
"RP","Carson Fulmer",4800,"OAK@CWS 08:10PM ET",0,"CWS"
"SP","Mitch Keller",4800,"PIT@STL 08:15PM ET",0,"PIT"
"SP","Paolo Espino",4800,"MIL@ATL 07:35PM ET",6.533,"MIL"
"RP","Chris Smith",4700,"TOR@KC 08:15PM ET",0,"TOR"
"SP","David Holmberg",4700,"OAK@CWS 08:10PM ET",5.585,"CWS"
"SP","Chad Kuhl",4700,"PIT@STL 08:15PM ET",7.93,"PIT"
"SP","Max Fried",4700,"MIL@ATL 07:35PM ET",0,"ATL"
"SP","TJ House",4600,"TOR@KC 08:15PM ET",0,"TOR"
"SP","A.J. Puk",4600,"OAK@CWS 08:10PM ET",0,"OAK"
"OF","Dexter Fowler",4600,"PIT@STL 08:15PM ET",8.197,"STL"
"OF","Ryan Braun",4600,"MIL@ATL 07:35PM ET",8.581,"MIL"
"1B","Freddie Freeman",4600,"MIL@ATL 07:35PM ET",12.514,"ATL"
"1B/OF","Eric Thames",4600,"MIL@ATL 07:35PM ET",9.418,"MIL"
"3B","Josh Donaldson",4500,"TOR@KC 08:15PM ET",8.677,"TOR"
"SP","Daniel Mengden",4500,"OAK@CWS 08:10PM ET",-1.8,"OAK"
"RP","Zack Burdi",4500,"OAK@CWS 08:10PM ET",0,"CWS"
"OF","Andrew McCutchen",4500,"PIT@STL 08:15PM ET",8.629,"PIT"
"OF","Starling Marte",4500,"PIT@STL 08:15PM ET",7.769,"PIT"
"RP","Jim Johnson",4500,"MIL@ATL 07:35PM ET",3.813,"ATL"
"RP","Jason Motte",4500,"MIL@ATL 07:35PM ET",2.119,"ATL"
"RP","Eric O'Flaherty",4500,"MIL@ATL 07:35PM ET",0.993,"ATL"
"RP","Chaz Roe",4500,"MIL@ATL 07:35PM ET",-0.367,"ATL"
"SP","Josh Collmenter",4500,"MIL@ATL 07:35PM ET",1.75,"ATL"
"RP","Sam Freeman",4500,"MIL@ATL 07:35PM ET",3.472,"ATL"
"RP","Arodys Vizcaino",4500,"MIL@ATL 07:35PM ET",3.716,"ATL"
"RP","Ian Krol",4500,"MIL@ATL 07:35PM ET",2.005,"ATL"
"RP","Jose Ramirez",4500,"MIL@ATL 07:35PM ET",2.655,"ATL"
"RP","Luke Jackson",4500,"MIL@ATL 07:35PM ET",2.678,"ATL"
"RP","Jason Hursh",4500,"MIL@ATL 07:35PM ET",2.5,"ATL"
"RP","Mauricio Cabrera",4500,"MIL@ATL 07:35PM ET",0,"ATL"
"SP","Luis Ortiz",4500,"MIL@ATL 07:35PM ET",0,"MIL"
"RP","Joakim Soria",4400,"TOR@KC 08:15PM ET",3.44,"KC"
"RP","Peter Moylan",4400,"TOR@KC 08:15PM ET",1.211,"KC"
"RP","Travis Wood",4400,"TOR@KC 08:15PM ET",1.569,"KC"
"RP","Kelvin Herrera",4400,"TOR@KC 08:15PM ET",2.558,"KC"
"RP","Scott Alexander",4400,"TOR@KC 08:15PM ET",4.616,"KC"
"SP","Raul Alcantara",4400,"OAK@CWS 08:10PM ET",-5.483,"OAK"
"2B","Jonathan Villar",4400,"MIL@ATL 07:35PM ET",7.305,"MIL"
"OF","Lorenzo Cain",4300,"TOR@KC 08:15PM ET",8.536,"KC"
"RP","Miguel Almonte",4300,"TOR@KC 08:15PM ET",-6.75,"KC"
"RP","Ryan Madson",4300,"OAK@CWS 08:10PM ET",3.032,"OAK"
"RP","Santiago Casilla",4300,"OAK@CWS 08:10PM ET",2.638,"OAK"
"RP","John Axford",4300,"OAK@CWS 08:10PM ET",1.621,"OAK"
"RP","Sean Doolittle",4300,"OAK@CWS 08:10PM ET",4.004,"OAK"
"RP","Liam Hendriks",4300,"OAK@CWS 08:10PM ET",3.615,"OAK"
"1B","Yonder Alonso",4300,"OAK@CWS 08:10PM ET",8.603,"OAK"
"RP","Daniel Coulombe",4300,"OAK@CWS 08:10PM ET",2.358,"OAK"
"1B","Jose Abreu",4300,"OAK@CWS 08:10PM ET",8.696,"CWS"
"SP","Dylan Covey",4300,"OAK@CWS 08:10PM ET",2.419,"CWS"
"RP","Josh Smith",4300,"OAK@CWS 08:10PM ET",1.075,"OAK"
"RP","Bobby Wahl",4300,"OAK@CWS 08:10PM ET",2.493,"OAK"
"RP","Frankie Montas",4300,"OAK@CWS 08:10PM ET",2.481,"OAK"
"RP","Ryan Dull",4300,"OAK@CWS 08:10PM ET",2.255,"OAK"
"SP","Grant Holmes",4300,"OAK@CWS 08:10PM ET",0,"OAK"
"1B","Matt Carpenter",4300,"PIT@STL 08:15PM ET",8.132,"STL"
"3B","Jedd Gyorko",4300,"PIT@STL 08:15PM ET",7.677,"STL"
"OF","Keon Broxton",4300,"MIL@ATL 07:35PM ET",7.478,"MIL"
"RP","Jason Grilli",4200,"TOR@KC 08:15PM ET",1.972,"TOR"
"RP","J.P. Howell",4200,"TOR@KC 08:15PM ET",0.469,"TOR"
"1B","Kendrys Morales",4200,"TOR@KC 08:15PM ET",7.94,"TOR"
"RP","Joe Smith",4200,"TOR@KC 08:15PM ET",3.854,"TOR"
"RP","Aaron Loup",4200,"TOR@KC 08:15PM ET",2.376,"TOR"
"RP","Ryan Tepera",4200,"TOR@KC 08:15PM ET",4.282,"TOR"
"RP","Matt Dermody",4200,"TOR@KC 08:15PM ET",-12.25,"TOR"
"RP","Danny Barnes",4200,"TOR@KC 08:15PM ET",4.796,"TOR"
"RP","Leonel Campos",4200,"TOR@KC 08:15PM ET",4.817,"TOR"
"RP","Roberto Osuna",4200,"TOR@KC 08:15PM ET",3.808,"TOR"
"RP","Dominic Leone",4200,"TOR@KC 08:15PM ET",3.702,"TOR"
"RP","Anthony Swarzak",4200,"OAK@CWS 08:10PM ET",3.666,"CWS"
"RP","David Robertson",4200,"OAK@CWS 08:10PM ET",4.835,"CWS"
"RP","Nate Jones",4200,"OAK@CWS 08:10PM ET",4.059,"CWS"
"RP","Zach Putnam",4200,"OAK@CWS 08:10PM ET",4.814,"CWS"
"RP","Dan Jennings",4200,"OAK@CWS 08:10PM ET",1.75,"CWS"
"RP","Jake Petricka",4200,"OAK@CWS 08:10PM ET",4.38,"CWS"
"RP","Chris Beck",4200,"OAK@CWS 08:10PM ET",2.9,"CWS"
"RP","Tommy Kahnle",4200,"OAK@CWS 08:10PM ET",4.972,"CWS"
"RP","Michael Ynoa",4200,"OAK@CWS 08:10PM ET",3.031,"CWS"
"RP","Daniel Gossett",4200,"OAK@CWS 08:10PM ET",6.35,"OAK"
"RP","Tony Watson",4200,"PIT@STL 08:15PM ET",2.418,"PIT"
"RP","Antonio Bastardo",4200,"PIT@STL 08:15PM ET",-2.033,"PIT"
"SP","Juan Nicasio",4200,"PIT@STL 08:15PM ET",2.971,"PIT"
"OF","Stephen Piscotty",4200,"PIT@STL 08:15PM ET",6.9,"STL"
"RP","A.J. Schugel",4200,"PIT@STL 08:15PM ET",0,"PIT"
