P,P,C,1B,2B,3B,SS,OF,OF,OF
Clayton Kershaw,Anibal Sanchez,Martin Maldonado,Mitch Moreland,Dustin Pedroia,Maikel Franco,Xander Bogaerts,Mookie Betts,Andrew Benintendi,Cameron Maybin
Clayton Kershaw,Anibal Sanchez,Martin Maldonado,Albert Pujols,Andres Blanco,Jake Lamb,Andrelton Simmons,Mookie Betts,Cameron Maybin,Kole Calhoun
Clayton Kershaw,Anibal Sanchez,Christian Vazquez,Albert Pujols,Dustin Pedroia,Deven Marrero,Xander Bogaerts,Mookie Betts,Josh Reddick,Joc Pederson
Clayton Kershaw,Gerrit Cole,Martin Maldonado,Albert Pujols,Danny Espinosa,Maikel Franco,Andrelton Simmons,Josh Reddick,Andrew Benintendi,Kole Calhoun
Clayton Kershaw,Anibal Sanchez,Martin Maldonado,Tommy Joseph,Andres Blanco,Maikel Franco,Freddy Galvis,Mookie Betts,Josh Reddick,Aaron Altherr
Clayton Kershaw,Anibal Sanchez,Martin Maldonado,Albert Pujols,Robinson Cano,Kyle Seager,Jean Segura,Mookie Betts,Nelson Cruz,Ben Gamel
Clayton Kershaw,Gerrit Cole,Cameron Rupp,Tommy Joseph,Andres Blanco,Maikel Franco,Xander Bogaerts,Mookie Betts,David Peralta,Odubel Herrera
Clayton Kershaw,Anibal Sanchez,Martin Maldonado,Luis Valbuena,Danny Espinosa,Justin Turner,Andrelton Simmons,Mookie Betts,Josh Reddick,Eric Young
Gerrit Cole,Anibal Sanchez,Martin Maldonado,Paul Goldschmidt,Andres Blanco,Jake Lamb,Chris Owings,Mookie Betts,David Peralta,Gregor Blanco
Clayton Kershaw,Anibal Sanchez,Brian McCann,Albert Pujols,Cliff Pennington,Justin Turner,Xander Bogaerts,Eric Young,Cameron Maybin,Kole Calhoun
Clayton Kershaw,Anibal Sanchez,Yasmani Grandal,Cody Bellinger,Logan Forsythe,Justin Turner,Freddy Galvis,Andrew Benintendi,Joc Pederson,Kole Calhoun
Clayton Kershaw,Anibal Sanchez,Martin Maldonado,Josh Bell,Josh Harrison,David Freese,Xander Bogaerts,Mookie Betts,Adam Frazier,Gregory Polanco
Gerrit Cole,Anibal Sanchez,Brian McCann,Albert Pujols,Jose Altuve,Maikel Franco,Carlos Correa,George Springer,Mookie Betts,Josh Reddick
Clayton Kershaw,Anibal Sanchez,Christian Vazquez,Hanley Ramirez,Robinson Cano,Deven Marrero,Carlos Correa,Mookie Betts,Jackie Bradley,Cameron Maybin
Clayton Kershaw,Anibal Sanchez,Brian McCann,Yuli Gurriel,Andres Blanco,Alex Bregman,Carlos Correa,Mookie Betts,Carlos Beltran,Aaron Altherr
Clayton Kershaw,Gerrit Cole,Yasmani Grandal,Albert Pujols,Cliff Pennington,Kyle Seager,Andrelton Simmons,David Peralta,Cameron Maybin,Kole Calhoun
Clayton Kershaw,Dinelson Lamet,Cameron Rupp,Mitch Moreland,Dustin Pedroia,Deven Marrero,Xander Bogaerts,Mookie Betts,Gregor Blanco,Kole Calhoun
Gerrit Cole,Dinelson Lamet,Yasmani Grandal,Mitch Moreland,Dustin Pedroia,Jake Lamb,Xander Bogaerts,Mookie Betts,Josh Reddick,Andrew Benintendi
Robbie Ray,Anibal Sanchez,Martin Maldonado,Albert Pujols,Danny Espinosa,Justin Turner,Andrelton Simmons,David Peralta,Joc Pederson,Kole Calhoun
Clayton Kershaw,Anibal Sanchez,Martin Maldonado,Albert Pujols,Jose Altuve,Alex Bregman,Freddy Galvis,George Springer,Josh Reddick,Jake Marisnick
Clayton Kershaw,Gerrit Cole,Christian Vazquez,Tommy Joseph,Dustin Pedroia,Deven Marrero,Andrelton Simmons,Mookie Betts,Jackie Bradley,Kole Calhoun
Clayton Kershaw,Anibal Sanchez,Cameron Rupp,Miguel Cabrera,Andrew Romine,Nicholas Castellanos,Xander Bogaerts,Mookie Betts,JD Martinez,Justin Upton
Robbie Ray,Anibal Sanchez,Yasmani Grandal,Mitch Moreland,Dustin Pedroia,Deven Marrero,Xander Bogaerts,Mookie Betts,David Peralta,Denard Span
Clayton Kershaw,Anibal Sanchez,Brian McCann,Mitch Moreland,Robinson Cano,Kyle Seager,Xander Bogaerts,Nelson Cruz,Mitch Haniger,Jarrod Dyson
Jacob deGrom,Gerrit Cole,Martin Maldonado,Albert Pujols,Dustin Pedroia,Justin Turner,Andrelton Simmons,Jackie Bradley,Cameron Maybin,Kole Calhoun
Clayton Kershaw,Gerrit Cole,Martin Maldonado,Wil Myers,Jose Pirela,Cory Spangenberg,Carlos Asuaje,Mookie Betts,Andrew Benintendi,Hunter Renfroe
Robbie Ray,Dinelson Lamet,Martin Maldonado,Albert Pujols,Jose Altuve,Kyle Seager,Andrelton Simmons,Josh Reddick,Cameron Maybin,Kole Calhoun
Gerrit Cole,Anibal Sanchez,Yasmani Grandal,Cody Bellinger,Logan Forsythe,Justin Turner,Xander Bogaerts,Mookie Betts,Josh Reddick,Yasiel Puig
Clayton Kershaw,Jacob deGrom,Yasmani Grandal,Tommy Joseph,Andres Blanco,Maikel Franco,Asdrubal Cabrera,Kole Calhoun,Odubel Herrera,Aaron Altherr
Clayton Kershaw,Anibal Sanchez,Martin Maldonado,Lucas Duda,Dustin Pedroia,Jake Lamb,Asdrubal Cabrera,Yoenis Cespedes,Curtis Granderson,Jay Bruce
Dinelson Lamet,Anibal Sanchez,Brian McCann,Paul Goldschmidt,Brandon Drury,Jake Lamb,Chris Owings,David Peralta,Josh Reddick,Andrew Benintendi
Clayton Kershaw,Anibal Sanchez,Brian McCann,Wilmer Flores,Jose Altuve,Kyle Seager,Carlos Correa,Carlos Beltran,Josh Reddick,Hunter Pence
Clayton Kershaw,Gerrit Cole,Christian Vazquez,Hanley Ramirez,Jose Pirela,Deven Marrero,Jean Segura,Josh Reddick,Andrew Benintendi,Jackie Bradley
Robbie Ray,Anibal Sanchez,Christian Vazquez,Paul Goldschmidt,Dustin Pedroia,Deven Marrero,Jean Segura,Mookie Betts,Jackie Bradley,Gregory Polanco
Jacob deGrom,David Price,Cameron Rupp,Mitch Moreland,Dustin Pedroia,Kyle Seager,Xander Bogaerts,Mookie Betts,Andrew Benintendi,Aaron Altherr
Gerrit Cole,Anibal Sanchez,Brian McCann,Yuli Gurriel,Jose Altuve,Jake Lamb,Carlos Correa,David Peralta,Carlos Beltran,Cameron Maybin
Clayton Kershaw,Anibal Sanchez,Brian McCann,Josh Bell,Dustin Pedroia,David Freese,Jordy Mercer,Andrew McCutchen,Josh Reddick,Gregory Polanco
Clayton Kershaw,Anibal Sanchez,Carlos Ruiz,Albert Pujols,Taylor Motter,Jake Lamb,Jean Segura,Mookie Betts,Mitch Haniger,Jarrod Dyson
Clayton Kershaw,Anibal Sanchez,Cameron Rupp,Yuli Gurriel,Dustin Pedroia,Alex Bregman,Xander Bogaerts,George Springer,Carlos Beltran,Jake Marisnick
Clayton Kershaw,Anibal Sanchez,Martin Maldonado,Jose Martinez,Paul DeJong,Jedd Gyorko,Xander Bogaerts,Mookie Betts,Dexter Fowler,Tommy Pham
