"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,774494723,"ronjshultz77",0,171.15,"OF Curtis Granderson 3B Justin Turner P Jordan Zimmermann 2B José Pirela 1B Paul Goldschmidt OF George Springer C Evan Gattis P Rafael Montero SS Carlos Correa OF Cody Bellinger",NA,"Brandon McCarthy","48.46%",-0.85
2,774494165,"mglz (1/4)",0,163.25,"P Jeremy Hellickson OF Justin Upton C Buster Posey 2B José Altuve 3B Nolan Arenado 1B Paul Goldschmidt OF George Springer P Rafael Montero SS Carlos Correa OF Cody Bellinger",NA,"George Springer","47.25%",18
3,774150748,"burfrank (1/4)",0,162.85,"C René Rivera P Brandon McCarthy OF Jay Bruce 3B Justin Turner P Mike Leake 1B Paul Goldschmidt OF Mitch Haniger 2B Chris Taylor SS Carlos Correa OF Cody Bellinger",NA,"Paul Goldschmidt","44.91%",10
4,774471620,"shoobysmack",0,162.25,"P Jeremy Hellickson 3B Justin Turner C Buster Posey OF Charlie Blackmon 1B Matt Carpenter OF George Springer P Rafael Montero 2B Chris Taylor SS Carlos Correa OF Cody Bellinger",NA,"Cody Bellinger","42.27%",35
5,774486521,"joeroe256 (3/3)",0,160.85,"OF Curtis Granderson 2B Ian Kinsler P Jordan Zimmermann 3B Wilmer Flores P Randall Delgado 1B Paul Goldschmidt OF George Springer C Evan Gattis SS Carlos Correa OF Cody Bellinger",NA,"Carlos Correa","40.09%",14
6,774486323,"Blackjack_79 (4/8)",0,159.8,"SS Asdrúbal Cabrera 1B Lucas Duda 3B Wilmer Flores P Randall Delgado 2B José Pirela OF Kiké Hernández P Rafael Montero C Austin Hedges OF Chris Taylor OF Cody Bellinger",NA,"Buster Posey","37.58%",4
7,774464754,"boyz69",0,159,"OF Curtis Granderson 3B Justin Turner P Mike Leake C Buster Posey 1B Wil Myers OF George Springer 2B Chris Taylor SS Carlos Correa P Francis Martes OF Cody Bellinger",NA,"Mike Leake","35.96%",6.7
8,774447082,"jamma34 (2/2)",0,158.4,"P Brandon McCarthy OF Jay Bruce 3B Justin Turner P Randall Delgado SS Chris Owings 1B Paul Goldschmidt OF George Springer C Evan Gattis 2B Chris Taylor OF Cody Bellinger",NA,"Justin Turner","31.97%",18
9,774493788,"gatorbred (2/2)",0,158.25,"OF Curtis Granderson SS Asdrúbal Cabrera OF Jay Bruce OF Justin Upton 3B Justin Turner P Mike Leake 1B Lucas Duda 2B José Altuve C Evan Gattis P Rafael Montero",NA,"Jordan Zimmermann","31.03%",3.6
10,774486324,"Blackjack_79 (5/8)",0,157.7,"P Brandon McCarthy 3B Justin Turner 2B Logan Forsythe SS Chris Owings OF Kiké Hernández 1B Paul Goldschmidt C Evan Gattis P Rafael Montero OF Chris Taylor OF Cody Bellinger",NA,"José Altuve","29.82%",9
11,774172050,"BoomBap95 (2/2)",0,156.3,"OF Curtis Granderson SS Asdrúbal Cabrera OF Justin Upton 3B Justin Turner P Mike Leake P Jordan Zimmermann 2B DJ LeMahieu OF George Springer C Evan Gattis 1B Cody Bellinger",NA,"Chris Owings","23.93%",5
12,774192682,"japgar (2/14)",0,156.15,"OF Curtis Granderson SS Asdrúbal Cabrera OF Jay Bruce P Jordan Zimmermann 1B Lucas Duda C Buster Posey 3B Wilmer Flores 2B José Pirela P Rafael Montero OF Cody Bellinger",NA,"J.D. Martinez","22.61%",10
13,774202597,"Nautiguy (2/3)",0,155.75,"OF Curtis Granderson 3B Justin Turner P Jordan Zimmermann 1B Lucas Duda P Matt Moore SS Chris Owings OF George Springer C Evan Gattis 2B Chris Taylor OF Cody Bellinger",NA,"Nelson Cruz","21.98%",2
14,774393299,"Japan7012",0,155,"OF Jay Bruce OF Justin Upton 3B Justin Turner P Mike Leake C Buster Posey OF George Springer 2B Chris Taylor SS Carlos Correa P Francis Martes 1B Cody Bellinger",NA,"Charlie Blackmon","21.11%",0
15,774310455,"vonta88 (1/2)",0,153.4,"P Brandon McCarthy OF Justin Upton 3B Justin Turner P Randall Delgado 2B Kiké Hernández 1B Paul Goldschmidt OF George Springer C Evan Gattis SS Nick Ahmed OF Cody Bellinger",NA,"Evan Gattis","18.94%",16
15,774318767,"dwashing65 (17/20)",0,153.4,"P Brandon McCarthy OF Curtis Granderson 3B Justin Turner P Randall Delgado 1B Paul Goldschmidt OF Mitch Haniger C Austin Barnes 2B Chris Taylor SS Carlos Correa OF Cody Bellinger",NA,"Matt Moore","17.92%",3.15
17,774455031,"JackBauer24",0,153.25,"OF Nelson Cruz 3B Justin Turner P Mike Leake 2B José Altuve OF J.D. Martinez OF George Springer C Evan Gattis P Rafael Montero SS Carlos Correa 1B Cody Bellinger",NA,"Randall Delgado","17.87%",16.25
18,774457613,"BucketNaked (1/2)",0,152.85,"2B Robinson Canó P Brandon McCarthy P Jeremy Hellickson OF Justin Upton 3B Justin Turner OF George Springer C Evan Gattis 1B Josh Bell SS Carlos Correa OF Cody Bellinger",NA,"Robinson Canó","16.43%",11
19,774295597,"blowjobbles (8/20)",0,152.55,"P Clayton Richard 3B Justin Turner P Matt Moore 2B José Altuve OF Kiké Hernández OF George Springer C Evan Gattis OF Chris Taylor SS Carlos Correa 1B Cody Bellinger",NA,"Jean Segura","15.86%",0
20,774478172,"Schzoid",0,151.8,"2B Ian Kinsler OF Charlie Blackmon P Randall Delgado 3B Nolan Arenado 1B Paul Goldschmidt OF George Springer C Evan Gattis P Rafael Montero SS Carlos Correa OF Cody Bellinger",NA,"Justin Upton","14.60%",16
21,774337737,"LAESCUELA",0,150.95,"C René Rivera 1B Mark Reynolds P Mike Leake OF Charlie Blackmon 2B José Altuve P Randall Delgado 3B Nolan Arenado OF George Springer SS Carlos Correa OF Cody Bellinger",NA,"Josh Harrison","14.54%",2
22,774291468,"hughes41 (1/13)",0,150.7,"P Brandon McCarthy OF Curtis Granderson SS Asdrúbal Cabrera 3B Justin Turner 1B Lucas Duda C Yasmani Grandal 2B José Altuve OF George Springer P Rafael Montero OF Cody Bellinger",NA,"Mike Zunino","14.39%",0
23,774460598,"icehouse131211 (3/3)",0,150.3,"P Jeremy Hellickson 3B Justin Turner P Jordan Zimmermann C Yasmani Grandal 2B José Altuve 1B Wilmer Flores OF George Springer OF Joc Pederson SS Carlos Correa OF Cody Bellinger",NA,"Nolan Arenado","14.30%",9
