"Aaron Judge_NYY","Bryce Harper_WAS","Daniel Murphy_WAS","Trea Turner_WAS","Jose Ramirez_CLE","Edwin Encarnacion_CLE","Xander Bogaerts_BOS","Brian Dozier_MIN","Mookie Betts_BOS","Gary Sanchez_NYY","Logan Morrison_TB","Miguel Sano_MIN","Anthony Rizzo_CHC","Justin Smoak_TOR","Corey Dickerson_TB","Kris Bryant_CHC","Ryan Braun_MIL","Anthony Rendon_WAS","Francisco Lindor_CLE","Brett Gardner_NYY","Manny Machado_BAL","Joey Votto_CIN","Ryan Zimmerman_WAS","Adam Duvall_CIN","Mike Trout_LAA","Steven Souza_TB","Dee Gordon_MIA","Ian Happ_CHC","Freddie Freeman_ATL","Ender Inciarte_ATL","Jose Abreu_CWS","Avisail Garcia_CWS","Andrew Benintendi_BOS","Matt Holliday_NYY","Carlos Gomez_TEX","Scott Schebler_CIN","Michael Brantley_CLE","Shin-Soo Choo_TEX","Elvis Andrus_TEX","Justin Bour_MIA","Addison Russell_CHC","Matt Adams_ATL","Jonathan Villar_MIL","Domingo Santana_MIL","Carlos Santana_CLE","Lonnie Chisenhall_CLE","Khris Davis_OAK","Todd Frazier_CWS","Cameron Maybin_LAA","Aaron Hicks_NYY","Didi Gregorius_NYY","Giancarlo Stanton_MIA","Brandon Phillips_ATL","Matt Kemp_ATL","Eric Thames_MIL","Scooter Gennett_CIN","Adam Eaton_WAS","Bradley Zimmer_CLE","Jose Bautista_TOR","Kendrys Morales_TOR","Josh Donaldson_TOR","Matt Joyce_OAK","Eric Young_LAA","Adrian Beltre_TEX","Evan Longoria_TB","Jonathan Schoop_BAL","Willson Contreras_CHC","Nick Markakis_ATL","Eric Sogard_MIL","Travis Shaw_MIL","Jason Kipnis_CLE","Eddie Rosario_MIN","Russell Martin_TOR","Mike Moustakas_KC","Matt Davidson_CWS","Luis Valbuena_LAA","Yunel Escobar_LAA","Kole Calhoun_LAA","Delino DeShields_TEX","Nomar Mazara_TEX","Ben Zobrist_CHC","Marcell Ozuna_MIA","Keon Broxton_MIL","Hernan Perez_MIL","Lewis Brinson_MIL","Billy Hamilton_CIN","Michael Taylor_WAS","Eduardo Escobar_MIN","Albert Pujols_LAA","Jefry Marte_LAA","Jackie Bradley_BOS","Andrelton Simmons_LAA","Mike Napoli_TEX","Chris Davis_BAL","Tyler Flowers_ATL","Ryan Cordell_MIL","Joe Mauer_MIN","Lorenzo Cain_KC","Whit Merrifield_KC","Yonder Alonso_OAK","Hanley Ramirez_BOS","CJ Cron_LAA","Jacoby Ellsbury_NYY","Starlin Castro_NYY","Joey Gallo_TEX","Adam Jones_BAL","Brad Miller_TB","JT Realmuto_MIA","Brian Goodwin_WAS","Max Kepler_MIN","Steve Pearce_TOR","Salvador Perez_KC","Eric Hosmer_KC","Jorge Bonifacio_KC","Devon Travis_TOR","Mark Trumbo_BAL","Jayson Werth_WAS","Ryan Raburn_WAS","Adam Lind_WAS","Eugenio Suarez_CIN","Austin Jackson_CLE","Jed Lowrie_OAK","Marcus Semien_OAK","Yoan Moncada_CWS","Chris Young_BOS","Robinson Chirinos_TEX","Chris Carter_NYY","Seth Smith_BAL","Mallex Smith_TB","Jason Heyward_CHC","Tyler Moore_MIA","Javier Baez_CHC","Kyle Schwarber_CHC","Robbie Grossman_MIN","Kennys Vargas_MIN","Kevin Pillar_TOR","Chad Pinder_OAK","Tim Anderson_CWS","Dustin Pedroia_BOS","Brock Holt_BOS","Greg Bird_NYY","Trevor Plouffe_TB","Wilson Ramos_TB","Kevin Kiermaier_TB","Orlando Arcia_MIL","Adonis Garcia_ATL","Dansby Swanson_ATL","Tyler Naquin_CLE","Jorge Soler_KC","Melky Cabrera_CWS","Stephen Vogt_OAK","Tyler Saladino_CWS","Martin Maldonado_LAA","Mitch Moreland_BOS","Sandy Leon_BOS","Ronald Guzman_TEX","Colby Rasmus_TB","Trey Mancini_BAL","Christian Yelich_MIA","Kurt Suzuki_ATL","Jorge Polanco_MIN","Yolmer Sanchez_CWS","Alen Hanson_CWS","Ryon Healy_OAK","Jhonny Peralta_BOS","Jonathan Lucroy_TEX","Rougned Odor_TEX","Rob Refsnyder_NYY","Tim Beckham_TB","Matt Duffy_TB","Miguel Montero_CHC","Martin Prado_MIA","Manny Pina_MIL","Devin Mesoraco_CIN","Phillip Ervin_CIN","Abraham Almonte_CLE","Erik Gonzalez_CLE","Byron Buxton_MIN","Francisco Mejia_CLE","Bobby Bradley_CLE","Troy Tulowitzki_TOR","Alex Gordon_KC","Rajai Davis_OAK","Mark Canha_OAK","Danny Espinosa_LAA","Chase Headley_NYY","Tyler Austin_NYY","Jurickson Profar_TEX","Mark Zagunis_CHC","Nick Franklin_MIL","Jesus Aguilar_MIL","Brandon Guyer_CLE","Yan Gomes_CLE","Greg Allen_CLE","Joey Wendle_OAK","Ben Revere_LAA","Steve Selsky_BOS","Marco Hernandez_BOS","Welington Castillo_BAL","Jon Jay_CHC","Zack Cozart_CIN","Jose Peraza_CIN","Chris Gimenez_MIN","Paulo Orlando_KC","Billy Burns_KC","Ryan Goins_TOR","Harold Ramirez_TOR","Richard Urena_TOR","Charlie Tilson_CWS","Kevan Smith_CWS","Adam Engel_CWS","Pablo Sandoval_BOS","David Fletcher_LAA","Mason Williams_NYY","Peter Bourjos_TB","Jesus Sucre_TB","Daniel Robertson_TB","Jake Bauers_TB","Albert Almora_CHC","Danny Santana_ATL","Michael Reed_MIL","Brett Phillips_MIL","Stephen Drew_WAS","Arismendy Alcantara_CIN","Jason Castro_MIN","Daniel Palka_MIN","Dalton Pompey_TOR","Cheslor Cuthbert_KC","Rowdy Tellez_TOR","Cliff Pennington_LAA","Christian Vazquez_BOS","Sam Travis_BOS","Nolan Fontana_LAA","Pete Kozma_TEX","Ronald Torreyes_NYY","Brett Nicholas_TEX","Jared Hoying_TEX","Gleyber Torres_NYY","Derek Dietrich_MIA","Jeimer Candelario_CHC","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Micah Johnson_ATL","Matt Wieters_WAS","Giovanny Urshela_CLE","Brandon Moss_KC","Jarrod Saltalamacchia_TOR","Ezequiel Carrera_TOR","Jake Smolinski_OAK","Ryan LaMarre_OAK","Matt Chapman_OAK","Shane Robinson_LAA","Ryan Rua_TEX","Andy Ibanez_TEX","Craig Gentry_BAL","Derek Norris_TB","Joey Rickard_BAL","Ichiro Suzuki_MIA","Destin Hood_MIA","Johan Camargo_ATL","Rio Ruiz_ATL","Travis Demeritte_ATL","Jesse Winker_CIN","Ehire Adrianza_MIN","Yandy Diaz_CLE","Darrell Ceciliani_TOR","Terrance Gore_KC","Ryan O'Hearn_KC","Leury Garcia_CWS","Jacob May_CWS","Jaycob Brugman_OAK","Bruce Maxwell_OAK","Juan Graterol_LAA","Deven Marrero_BOS","Carlos Perez_LAA","Austin Romine_NYY","JJ Hardy_BAL","Rickie Weeks_TB","Tomas Telis_MIA","Tommy La Stella_CHC","Jett Bandy_MIL","Jacob Nottingham_MIL","Ronald Acuna_ATL","Roberto Perez_CLE","Chris Coghlan_TOR","Anthony Alford_TOR","Josh Phegley_OAK","Cody Asche_CWS","Willy Garcia_CWS","Hanser Alberto_TEX","Curt Casali_TB","Christian Colon_MIA","Steve Lombardozzi_MIA","Adeiny Hechavarria_MIA","Jace Peterson_ATL","Corey Ray_MIL","Chris Heisey_WAS","Wilmer Difo_WAS","Dwight Smith_TOR","Geovany Soto_CWS","Adam Rosales_OAK","Josh Rutledge_BOS","Drew Stubbs_TEX","Kyle Higashioka_NYY","Jorge Mateo_NYY","Miguel Andujar_NYY","Tyler Wade_NYY","AJ Ellis_MIA","Tucker Barnhart_CIN","Pedro Severino_WAS","Alcides Escobar_KC","Darwin Barney_TOR","Raul Mondesi_KC","Hyun Soo Kim_BAL","David Washington_BAL","Mike Aviles_MIA","JT Riddle_MIA","Rafael Bautista_WAS","Patrick Kivlehan_CIN","Daniel Robertson_CLE","Omar Narvaez_CWS","Paul Janish_BAL","Michael Martinez_TB","Francisco Pena_BAL","Ruben Tejada_BAL","Ryan Flaherty_BAL","Shane Peterson_TB","Luis Sardinas_BAL","Anthony Recker_ATL","Jose Lobaton_WAS","Jaff Decker_OAK","Renato Nunez_OAK","Franklin Barreto_OAK","Drew Robinson_TEX","Miguel Rojas_MIA","Eloy Jimenez_CHC","Emilio Bonifacio_ATL","Drew Butera_KC","Luke Maile_TOR","Matt Olson_OAK","Anthony Santander_BAL","Lane Adams_ATL","Mike Ohlman_TOR","Ramon Torres_KC","Ian Parmley_TOR","Hunter Dozier_KC","Grant Green_CWS","Zack Collins_CWS","Caleb Joseph_BAL","Taylor Featherston_TB","Willy Adames_TB","Stuart Turner_CIN","Nick Senzel_CIN"
108.549977385798,0,0,0,0,0,0,0,0,31.1607396870555,0,0,0,0,0,0,0,0,0,19.5028195488722,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4409701928697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61666666666667,1.02995169082126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.733333333333333,29.5574400723654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.64939024390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1193548387097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.10221674876847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,95.5059322033898,8.80503144654088,25.3151595744681,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0083857442348,0,0,0,0,25.6775510204082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.8235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9036585365854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4294871794872,0,0,0,0,0,0,0,15.065873015873,-9,-15.5833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.3571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2409090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35.5,29.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8.80503144654088,72.2064971751412,20.2708333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7250174703005,0,0,0,0,10.9019607843137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59803921568627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4303135888502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.6868131868132,0,0,0,0,0,0,0,16.502024291498,28.25,35.6346153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.078073089701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.4,16.5909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25.3151595744681,20.2708333333333,94.9542087542088,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.9617346938776,0,0,0,0,13.3670212765957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1881606765328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5208333333333,0,0,0,0,0,0,0,-0.524064171122995,-2.4,-21.8181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21862348178138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-3.46428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,85.5448087431694,23.1215970961887,0,0,0,0,0,0,0,0,0,0,0,0,5.64745762711864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1075757575758,0,0,0,0,0,0,0,24.5215846994536,16.7883064516129,0,0,0,0,0,0,0,0,0,0,0,-5.55228758169935,0,0,0,0,0,0,0,0,0,0,0,0,8.06859903381643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7936507936508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.982683982684,-49.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.5054945054945,-1.23717948717949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9038461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.252688172043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,23.1215970961887,69.8923849814913,0,0,0,0,0,0,0,0,0,0,0,0,-7.03387978142077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66860465116279,0,0,0,0,0,0,0,4.30803807509254,-9.38920454545454,0,0,0,0,0,0,0,0,0,0,0,-27.4916666666667,0,0,0,0,0,0,0,0,0,0,0,0,-3.30606060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95073891625616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69264069264069,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65714285714286,21.0213414634146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.7952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11034482758621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,55.4336538461538,0,11.7686011904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0272556390977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0972850678733,0,0,0,0,0,0,0,0,0,-1.31656184486373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5445868945869,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04920212765957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.24188311688312,18.3683712121212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9547619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.76612903225806,69.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.22282608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,45.3201754385965,0,0,0,-4.20571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77093596059113,0,0,0,0,0,0,0,0,7.37414965986395,0,0,0,0,0,0,0,0,0,0,0,0,20.171768707483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.970930232558139,7.1268115942029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.02787456445993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71187943262411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.97058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2365853658537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.56944444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,11.7686011904762,0,90.4952510176391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2472238457043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.08898944193062,0,0,0,0,0,0,0,0,0,7.47379454926625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.6089947089947,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1902040816327,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72958257713249,16.5811051693405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9387351778656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33522727272727,33.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4861538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152173913043478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.1607396870555,0,0,0,0,0,0,0,0,100.907051282051,0,0,0,0,0,0,0,0,0,6.25960170697013,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4932432432432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5322580645161,2.63193277310924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.85238095238095,35.559379217274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.005291005291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19034090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.55494505494505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.0833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
