"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"Max Scherzer","Jesse Chavez","Russell Martin","Matt Carpenter","Dustin Pedroia","Kyle Seager","Xander Bogaerts","Mookie Betts","Jackie Bradley","Chris Young"
"Max Scherzer","Drew Pomeranz","Evan Gattis","Sam Travis","Dustin Pedroia","Josh Donaldson","Xander Bogaerts","Jackie Bradley","Chris Young","Christian Yelich"
"Max Scherzer","Drew Pomeranz","Christian Vazquez","Matt Carpenter","Dustin Pedroia","Deven Marrero","Xander Bogaerts","Mookie Betts","Khris Davis","Christian Yelich"
"Max Scherzer","Drew Pomeranz","Russell Martin","Matt Carpenter","Darwin Barney","Josh Donaldson","Francisco Lindor","Khris Davis","Jose Bautista","Kevin Pillar"
"Max Scherzer","Jesse Chavez","Russell Martin","Matt Carpenter","Brian Dozier","Adrian Beltre","Elvis Andrus","Nomar Mazara","Shin-Soo Choo","Delino DeShields"
"Max Scherzer","Jesse Chavez","Evan Gattis","Matt Carpenter","Jose Altuve","Kyle Seager","Carlos Correa","George Springer","Jake Marisnick","Matt Olson"
"Max Scherzer","Drew Pomeranz","Yadier Molina","Matt Carpenter","Jason Kipnis","Jedd Gyorko","Franklin Barreto","Tommy Pham","Jose Bautista","Stephen Piscotty"
"Max Scherzer","Drew Pomeranz","Evan Gattis","Yonder Alonso","Jed Lowrie","Josh Donaldson","Francisco Lindor","Khris Davis","Matt Joyce","Matt Olson"
"Max Scherzer","Drew Pomeranz","Robinson Chirinos","Joey Gallo","Rougned Odor","Josh Donaldson","Francisco Lindor","Shin-Soo Choo","Delino DeShields","Christian Yelich"
"Max Scherzer","Jesse Chavez","Russell Martin","Justin Bour","Dee Gordon","Josh Donaldson","Xander Bogaerts","Giancarlo Stanton","Marcell Ozuna","Christian Yelich"
"Max Scherzer","Kenta Maeda","Evan Gattis","Miguel Cabrera","Dustin Pedroia","Deven Marrero","Xander Bogaerts","Mookie Betts","Chris Young","Matt Olson"
"Max Scherzer","Luis Severino","Russell Martin","Justin Smoak","Darwin Barney","Josh Donaldson","Franklin Barreto","Jose Bautista","Mallex Smith","Matt Olson"
"Max Scherzer","Drew Pomeranz","Russell Martin","Miguel Cabrera","Ian Kinsler","Josh Donaldson","Jose Iglesias","Justin Upton","Jose Bautista","Mikie Mahtook"
"Max Scherzer","Luis Severino","Christian Vazquez","Sam Travis","Jason Kipnis","Josh Donaldson","Franklin Barreto","Andrew Benintendi","Jackie Bradley","Chris Young"
"Max Scherzer","Drew Pomeranz","Russell Martin","Mike Napoli","Rougned Odor","Adrian Beltre","Elvis Andrus","Nomar Mazara","Jose Bautista","Christian Yelich"
"Max Scherzer","Drew Pomeranz","Yan Gomes","Matt Carpenter","Jason Kipnis","Josh Donaldson","Francisco Lindor","Michael Brantley","Bradley Zimmer","Christian Yelich"
"Max Scherzer","Jesse Chavez","Manny Pina","Eric Thames","Jason Kipnis","Travis Shaw","Francisco Lindor","Ryan Braun","Domingo Santana","Jose Bautista"
"Max Scherzer","Drew Pomeranz","Christian Vazquez","Joey Gallo","Jason Kipnis","Adrian Beltre","Elvis Andrus","Shin-Soo Choo","Jose Bautista","Delino DeShields"
"Max Scherzer","Jesse Chavez","Jason Castro","Joe Mauer","Brian Dozier","Eduardo Escobar","Xander Bogaerts","Mookie Betts","Jose Bautista","Byron Buxton"
"Max Scherzer","Luis Severino","Bruce Maxwell","Matt Carpenter","Brian Dozier","Josh Donaldson","Franklin Barreto","Matt Joyce","Jaycob Brugman","Matt Olson"
