"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,777084277,"machoman56",0,213.5,"2B Robinson Canó OF Grégor Blanco 1B Ian Desmond 3B Justin Turner OF Charlie Blackmon P Mike Foltynewicz C Austin Barnes SS Trevor Story P Alex Wood OF Yasiel Puig",NA,"Alex Wood","68.57%",28.5
2,776781046,"KBSports (10/12)",0,202.85,"2B Robinson Canó OF Ian Desmond SS Chris Owings 3B Nolan Arenado 1B Paul Goldschmidt C Austin Barnes P Alex Wood OF Chris Taylor OF Matt Olson P Ariel Miranda",NA,"Sonny Gray","48.81%",22.2
3,776985171,"harmoncm1",0,198.2,"2B Robinson Canó OF Nelson Cruz 1B Mark Reynolds P Sonny Gray SS Chris Owings 3B Nolan Arenado P Mike Foltynewicz OF Hunter Renfroe C Austin Barnes OF Cody Bellinger",NA,"Matt Olson","40.24%",14
4,777079640,"ijones223 (2/2)",0,197.7,"2B Robinson Canó OF Matt Kemp 1B Mark Reynolds P Sonny Gray SS Chris Owings 3B Nolan Arenado OF Trayce Thompson C Austin Barnes P Alex Wood OF Matt Olson",NA,"Robbie Ray","38.57%",17.5
5,777085028,"jerryrokkz",0,196.55,"2B Robinson Canó OF Nelson Cruz P Sonny Gray SS Jean Segura 3B Kyle Seager OF Ben Gamel C Austin Barnes OF Chris Taylor 1B Cody Bellinger P Ariel Miranda",NA,"Paul Goldschmidt","33.33%",0
6,777027260,"hotchet921",0,195.55,"2B Robinson Canó 3B Justin Turner OF Khris Davis OF Charlie Blackmon P Sonny Gray SS Jean Segura C Austin Barnes OF Chris Taylor 1B Cody Bellinger P Ariel Miranda",NA,"Trevor Story","32.62%",7
7,777074908,"GreenytheTerp",0,193.7,"2B Robinson Canó OF Nelson Cruz 1B Danny Valencia 3B Logan Forsythe P Sonny Gray OF Ben Gamel C Austin Barnes SS Trevor Story P Alex Wood OF Matt Olson",NA,"Khris Davis","31.43%",2
8,776727914,"buckeyes2323 (4/12)",0,192.85,"2B Robinson Canó OF Chris Herrmann SS Jean Segura 3B Kyle Seager OF Mitch Haniger OF Ben Gamel C Austin Barnes P Alex Wood 1B Ryon Healy P Ariel Miranda",NA,"Robinson Canó","30.24%",37
9,777064899,"Hendu42x (3/3)",0,191.7,"2B Robinson Canó OF Ian Desmond 1B Mark Reynolds OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado C Austin Barnes SS Trevor Story P Alex Wood OF Matt Olson",NA,"Jean Segura","28.33%",9
10,776781038,"KBSports (2/12)",0,189.85,"OF Nelson Cruz 1B Ian Desmond OF David Peralta 2B Logan Forsythe SS Chris Owings 3B Nolan Arenado OF Ben Gamel C Austin Barnes P Alex Wood P Ariel Miranda",NA,"Austin Barnes","27.86%",38
