"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Gio Gonzalez","Jason Hammel","Gary Sanchez","Eric Hosmer","Logan Forsythe","Chase Headley","Didi Gregorius","Brett Gardner","Jacoby Ellsbury","Raimel Tapia"
"2","Gio Gonzalez","Jason Hammel","Gary Sanchez","Eric Hosmer","Chris Taylor","Mike Moustakas","Alcides Escobar","George Springer","Jorge Soler","Brandon Moss"
"3","Gio Gonzalez","Dillon Overton","Evan Gattis","Chris Carter","Jose Altuve","Ronald Torreyes","Carlos Correa","George Springer","David Peralta","Carlos Beltran"
"4","Gio Gonzalez","Jason Hammel","Austin Barnes","Cody Bellinger","Logan Forsythe","Justin Turner","Corey Seager","Jacoby Ellsbury","Raimel Tapia","Brandon Moss"
"5","Jason Hammel","Dillon Overton","Gary Sanchez","Paul Goldschmidt","Daniel Descalso","Jake Lamb","Chris Owings","Bryce Harper","Brett Gardner","David Peralta"
"6","Gio Gonzalez","Jason Hammel","Austin Barnes","Eric Hosmer","Whit Merrifield","Mike Moustakas","Francisco Lindor","David Peralta","Jorge Bonifacio","Lorenzo Cain"
"7","Jason Hammel","Ricky Nolasco","Austin Barnes","Cody Bellinger","Chris Taylor","Justin Turner","Corey Seager","George Springer","David Peralta","Randal Grichuk"
"8","Gio Gonzalez","Tyler Chatwood","Austin Barnes","Kennys Vargas","Chris Taylor","Eduardo Escobar","Jorge Polanco","Bryce Harper","Eddie Rosario","Max Kepler"
"9","Gio Gonzalez","Jason Hammel","Austin Barnes","Mark Reynolds","Chris Taylor","Nolan Arenado","Trevor Story","Charlie Blackmon","David Peralta","Raimel Tapia"
"10","Tyler Chatwood","Jason Hammel","Austin Barnes","Chris Carter","Jose Altuve","Alex Bregman","Carlos Correa","Bryce Harper","George Springer","Jake Marisnick"
"11","Gio Gonzalez","Dillon Overton","Evan Gattis","Paul Goldschmidt","Brandon Drury","Jake Lamb","Chris Owings","David Peralta","Jacoby Ellsbury","Max Kepler"
"12","Rich Hill","Dillon Overton","Gary Sanchez","Albert Pujols","Jose Altuve","Chase Headley","Didi Gregorius","Brett Gardner","David Peralta","Jacoby Ellsbury"
"13","Gio Gonzalez","Dillon Overton","Jason Castro","Joe Mauer","Jose Altuve","Miguel Sano","Jean Segura","Bryce Harper","Max Kepler","Robbie Grossman"
"14","Gio Gonzalez","Rich Hill","Austin Barnes","Eric Hosmer","Logan Forsythe","Mike Moustakas","Alexi Amarista","Lorenzo Cain","Jorge Soler","Brandon Moss"
"15","Gio Gonzalez","Ricky Nolasco","Austin Barnes","Paul Goldschmidt","Daniel Descalso","Jake Lamb","Chris Owings","David Peralta","Raimel Tapia","Brandon Moss"
"16","Rich Hill","Jason Hammel","Yadier Molina","Jose Martinez","Chris Taylor","Jedd Gyorko","Didi Gregorius","Tommy Pham","David Peralta","Randal Grichuk"
"17","Gio Gonzalez","Dillon Overton","Gary Sanchez","Yuli Gurriel","Jose Altuve","Alex Bregman","Didi Gregorius","George Springer","Max Kepler","Jake Marisnick"
"18","Gio Gonzalez","Dillon Overton","Gary Sanchez","Eric Hosmer","Jose Altuve","Mike Moustakas","Jean Segura","Jorge Bonifacio","Lorenzo Cain","Jorge Soler"
"19","Jason Hammel","Dillon Overton","Evan Gattis","Paul Goldschmidt","Jose Altuve","Jake Lamb","Carlos Correa","George Springer","Brett Gardner","Jake Marisnick"
"20","Tyler Chatwood","Ricky Nolasco","Austin Barnes","Cody Bellinger","Logan Forsythe","Justin Turner","Corey Seager","Bryce Harper","Brett Gardner","Max Kepler"
