"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Michael Wacha","Jason Hammel","Jeff Mathis","Cody Bellinger","Robinson Cano","Kyle Seager","Jean Segura","JD Martinez","Nelson Cruz","Ben Gamel"
"2","Jason Hammel","Dillon Overton","Carlos Ruiz","Wil Myers","Robinson Cano","Jake Lamb","Jean Segura","Bryce Harper","Ben Gamel","Jarrod Dyson"
"3","Tyler Chatwood","Felix Jorge","Carlos Ruiz","Cody Bellinger","Robinson Cano","Anthony Rendon","Jean Segura","JD Martinez","Ben Gamel","Jarrod Dyson"
"4","Jason Hammel","Dillon Overton","Gary Sanchez","Ryan Zimmerman","Daniel Murphy","Jake Lamb","Jean Segura","Bryce Harper","Michael Taylor","Brian Goodwin"
"5","Jason Hammel","Ricky Nolasco","Austin Barnes","Paul Goldschmidt","Daniel Descalso","Jake Lamb","Chris Owings","Bryce Harper","David Peralta","Raimel Tapia"
"6","Jason Hammel","Dillon Overton","Evan Gattis","Edwin Encarnacion","Jose Altuve","Jake Lamb","Carlos Correa","Bryce Harper","George Springer","Jake Marisnick"
"7","Gio Gonzalez","Dillon Overton","Jason Castro","Wil Myers","Robinson Cano","Kyle Seager","Jean Segura","Nelson Cruz","Ben Gamel","Bradley Zimmer"
"8","Jason Hammel","Ricky Nolasco","Austin Barnes","Cody Bellinger","Chris Taylor","Justin Turner","Corey Seager","Bryce Harper","Tommy Pham","Raimel Tapia"
"9","Rich Hill","Dillon Overton","Evan Gattis","Paul Goldschmidt","Brandon Drury","Jake Lamb","Chris Owings","Bryce Harper","Rey Fuentes","Raimel Tapia"
"10","Zack Greinke","Felix Jorge","Evan Gattis","Kennys Vargas","Robinson Cano","Kyle Seager","Jean Segura","Nelson Cruz","Ben Gamel","Rey Fuentes"
"11","Tyler Chatwood","Felix Jorge","Austin Barnes","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Jean Segura","Bryce Harper","Tommy Pham","Brian Goodwin"
"12","Gio Gonzalez","Dillon Overton","Roberto Perez","Carlos Santana","Jason Kipnis","Jake Lamb","Francisco Lindor","Bryce Harper","Bradley Zimmer","Raimel Tapia"
"13","Sam Gaviglio","Ricky Nolasco","Evan Gattis","Marwin Gonzalez","Jose Altuve","Jake Lamb","Carlos Correa","Bryce Harper","Carlos Beltran","Raimel Tapia"
"14","Michael Wacha","Jordan Montgomery","Carlos Ruiz","Cody Bellinger","Andrew Romine","Jake Lamb","Jean Segura","Ben Gamel","Jarrod Dyson","Mitch Haniger"
"15","Sam Gaviglio","Jordan Montgomery","Carlos Ruiz","Wil Myers","Robinson Cano","Justin Turner","Jean Segura","JD Martinez","Nelson Cruz","Ben Gamel"
"16","Tyler Chatwood","Jordan Montgomery","Austin Barnes","Chris Carter","Robinson Cano","Kyle Seager","Jean Segura","Bryce Harper","Nelson Cruz","Ben Gamel"
"17","Gio Gonzalez","Felix Jorge","Evan Gattis","Kennys Vargas","Jose Altuve","Chase Headley","Carlos Correa","George Springer","Jake Marisnick","Rey Fuentes"
"18","Jason Hammel","Ricky Nolasco","Gary Sanchez","Paul Goldschmidt","Whit Merrifield","Chase Headley","Didi Gregorius","George Springer","Brett Gardner","Jacoby Ellsbury"
"19","Jordan Montgomery","Ricky Nolasco","Gary Sanchez","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Didi Gregorius","Bryce Harper","Brian Goodwin","Raimel Tapia"
"20","Tyler Chatwood","Dillon Overton","Gary Sanchez","Wil Myers","Robinson Cano","Chase Headley","Didi Gregorius","Brett Gardner","Ben Gamel","Jacoby Ellsbury"
