"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Carlos Carrasco",12000,"CLE@DET 07:15PM ET",19.48,"CLE","DET",22.85,17.8,NA,NA,28.15
"SP","Zack Greinke",11900,"COL@ARI 10:10PM ET",21.526,"ARI","COL",21.16,18.4,18.9455,NA,29.95
"SP","Gio Gonzalez",11700,"WAS@STL 07:15PM ET",18.897,"WAS","STL",20.45,20.1,15.356,NA,29.35
"SP","Rich Hill",11300,"LAD@SD 10:10PM ET",12.995,"LAD","SD",23.23,18.3,15.284,NA,38.75
"SP","Tyler Chatwood",8000,"COL@ARI 10:10PM ET",14.109,"COL","ARI",13.4,14.7,11.582,NA,12.85
"SP","Michael Wacha",7600,"WAS@STL 07:15PM ET",12.75,"STL","WAS",18.12,12.8,12.95,NA,32.5
"SP","Sam Gaviglio",7200,"SEA@LAA 10:07PM ET",11.311,"SEA","LAA",13.22,10.1,8.176,NA,NA
"SP","Jordan Montgomery",6900,"NYY@HOU 07:15PM ET",17.268,"NYY","HOU",12.31,11.8,11.563,NA,10.4
"SP","Jason Hammel",6800,"MIN@KC 08:35PM ET",11.327,"KC","MIN",NA,15.2,NA,NA,3.4
"RP","Francis Martes",6600,"NYY@HOU 07:15PM ET",9.838,"HOU","NYY",13.23,10.9,10.45,NA,18.25
"SP","Ricky Nolasco",6400,"SEA@LAA 10:07PM ET",12.463,"LAA","SEA",15.28,12.8,15.167,NA,40.85
"SP","Jordan Zimmermann",6000,"CLE@DET 07:15PM ET",9.897,"DET","CLE",NA,9.3,NA,NA,10.55
"SP","Felix Jorge",5200,"MIN@KC 08:35PM ET",0,"MIN","KC",11.74,9.8,NA,NA,8.45
"SP","Dillon Overton",4200,"LAD@SD 10:10PM ET",1.939,"SD","LAD",11.88,12.3,9.473,NA,1.9
