"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Max Scherzer",13500,"WAS@STL 08:08PM ET",30.497,"WAS","STL",28.95,28.9,26.0145,NA,41.35
"SP","Carlos Martinez",10900,"WAS@STL 08:08PM ET",23.253,"STL","WAS",25.51,19.1,18.0775,NA,1.25
"SP","Kenta Maeda",9200,"LAD@SD 04:40PM ET",14.957,"LAD","SD",23.63,21.3,17.072,NA,-5.75
"SP","James Paxton",8700,"SEA@LAA 03:37PM ET",18.9,"SEA","LAA",21.33,16.1,14.709,NA,19.85
"SP","Sean Manaea",8000,"ATL@OAK 04:05PM ET",17.511,"OAK","ATL",20.91,16.4,15.264,NA,19.1
"SP","Julio Teheran",7400,"ATL@OAK 04:05PM ET",7.814,"ATL","OAK",18.33,14.8,15.4375,NA,22.05
"SP","Jhoulys Chacin",6400,"LAD@SD 04:40PM ET",11.644,"SD","LAD",14.54,15.6,14.179,NA,21.85
"SP","Taijuan Walker",6200,"COL@ARI 04:10PM ET",15.65,"ARI","COL",17.56,15.2,15.432,NA,24.35
"SP","German Marquez",6000,"COL@ARI 04:10PM ET",13.021,"COL","ARI",13.86,13.2,12.338,NA,13.95
"SP","Jesse Chavez",5300,"SEA@LAA 03:37PM ET",10.503,"LAA","SEA",18.16,12.1,14.425,NA,10.25
