"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,779558984,"BLUEJAY76 (2/2)",0,174.4,"OF Nelson Cruz P Scott Feldman OF Alex Gordon 3B Mike Moustakas C Salvador Perez 1B Eric Hosmer SS Jean Segura 2B Scooter Gennett P Alex Wood OF Jorge Soler",NA,"Alex Wood","56.80%",36.75
2,779320851,"banichar",0,166.5,"2B Robinson Canó OF Nelson Cruz OF Lorenzo Cain 1B Danny Valencia 3B Mike Moustakas C Mike Zunino P Zack Godley P Alex Wood OF Jorge Soler SS Pat Valaika",NA,"Ariel Miranda","49.36%",7.05
3,779377291,"pchales (1/3)",0,165.5,"OF Nelson Cruz C Ryan Hanigan OF Carlos González OF Lorenzo Cain 1B Danny Valencia 3B Mike Moustakas SS Jean Segura P Zack Godley 2B Whit Merrifield P Alex Wood",NA,"Charlie Blackmon","42.90%",3
4,779543122,"Buelech (2/8)",0,163.8,"1B Joey Votto OF Lorenzo Cain 3B Mike Moustakas C Salvador Perez SS Jean Segura OF Mitch Haniger 2B Whit Merrifield OF Jorge Bonifacio P Alex Wood P Ariel Miranda",NA,"Nolan Arenado","36.31%",0
5,779045351,"krom0002 (9/20)",0,163.5,"OF Carlos González 1B Mark Reynolds OF Lorenzo Cain 3B Mike Moustakas C Mike Zunino P Zack Godley 2B Whit Merrifield OF Scott Schebler P Alex Wood SS Pat Valaika",NA,"Mark Reynolds","36.22%",7
6,779487752,"davecc (1/3)",0,163.4,"2B Robinson Canó OF Nelson Cruz 1B Joey Votto P Scott Feldman 3B Mike Moustakas C Salvador Perez SS Jean Segura OF Billy Hamilton OF Scooter Gennett P Zack Godley",NA,"Carlos González","36.22%",6
6,779522408,"cowboysrool",0,163.4,"1B Joey Votto P Scott Feldman OF Lorenzo Cain 3B Mike Moustakas C Salvador Perez SS Jean Segura OF Scooter Gennett P Zack Godley 2B Whit Merrifield OF Scott Schebler",NA,"Scooter Gennett","33.89%",15
8,779534350,"ettuBrute (4/6)",0,161.5,"OF Lorenzo Cain 3B Mike Moustakas 1B Eric Hosmer SS Jean Segura OF Alexi Amarista C Tucker Barnhart P Zack Godley 2B Whit Merrifield OF Jorge Bonifacio P Alex Wood",NA,"Zack Godley","29.34%",19.75
9,779559088,"Sick0hNee (17/20)",0,160.5,"OF Carlos González OF Lorenzo Cain OF Jarrod Dyson 3B Mike Moustakas C Salvador Perez 1B Eric Hosmer SS Alexi Amarista P Zack Godley 2B Whit Merrifield P Alex Wood",NA,"Cody Bellinger","28.74%",2
10,779331277,"lil.hardy28",0,160.4,"1B Joey Votto P Scott Feldman OF Lorenzo Cain 3B Mike Moustakas SS Zack Cozart C Salvador Perez 2B Whit Merrifield OF Jorge Bonifacio OF Ben Gamel P Alex Wood",NA,"Scott Schebler","26.40%",0
