"Mookie Betts_BOS","Miguel Sano_MIN","Mike Trout_LAA","Mike Napoli_TEX","Andrelton Simmons_LAA","Tommy Pham_STL","Dustin Pedroia_BOS","Elvis Andrus_TEX","Xander Bogaerts_BOS","Hanley Ramirez_BOS","Dexter Fowler_STL","Jackie Bradley_BOS","Andrew Benintendi_BOS","Brian Dozier_MIN","Justin Bour_MIA","Jedd Gyorko_STL","Paul DeJong_STL","Adrian Beltre_TEX","Shin-Soo Choo_TEX","Joe Mauer_MIN","Cameron Maybin_LAA","Max Kepler_MIN","Yadier Molina_STL","Giancarlo Stanton_MIA","Christian Yelich_MIA","JT Realmuto_MIA","Nomar Mazara_TEX","Eddie Rosario_MIN","Marcell Ozuna_MIA","Stephen Piscotty_STL","Aledmys Diaz_STL","Carlos Gomez_TEX","Mitch Moreland_BOS","Rougned Odor_TEX","Eduardo Escobar_MIN","Chad Huffman_STL","Randal Grichuk_STL","Matt Carpenter_STL","Deven Marrero_BOS","Delino DeShields_TEX","Joey Gallo_TEX","Daniel Palka_MIN","Chris Young_BOS","Sandy Leon_BOS","Robbie Grossman_MIN","Dee Gordon_MIA","Robinson Chirinos_TEX","Kennys Vargas_MIN","CJ Cron_LAA","Eric Young_LAA","Jonathan Lucroy_TEX","Yunel Escobar_LAA","Jason Castro_MIN","Jefry Marte_LAA","Jorge Polanco_MIN","Martin Prado_MIA","Jurickson Profar_TEX","Derek Dietrich_MIA","Nick Franklin_LAA","Tyler Moore_MIA","Brock Holt_BOS","Ryan Rua_TEX","Andy Ibanez_TEX","Chris Gimenez_MIN","Kole Calhoun_LAA","Jose Martinez_STL","Kolten Wong_STL","Jhonny Peralta_BOS","Pablo Sandoval_BOS","Christian Vazquez_BOS","Steve Selsky_BOS","Marco Hernandez_BOS","Brett Nicholas_TEX","Jared Hoying_TEX","Tzu-Wei Lin_BOS","Albert Pujols_LAA","Luis Valbuena_LAA","Ben Revere_LAA","Harrison Bader_STL","Hanser Alberto_TEX","Sam Travis_BOS","Martin Maldonado_LAA","Josh Rutledge_BOS","Ehire Adrianza_MIN","Luke Voit_STL","Drew Stubbs_TEX","Cliff Pennington_LAA","Shane Robinson_LAA","David Fletcher_LAA","Destin Hood_MIA","Alex Mejia_STL","Magneuris Sierra_STL","Kaleb Cowart_LAA","Byron Buxton_MIN","Nolan Fontana_LAA","Ichiro Suzuki_MIA","Tomas Telis_MIA","Greg Garcia_STL","JT Riddle_MIA","Carson Kelly_STL","Pete Kozma_TEX","Christian Colon_MIA","Steve Lombardozzi_MIA","Drew Robinson_TEX","Ronald Guzman_TEX","Juan Graterol_LAA","Carlos Perez_LAA","AJ Ellis_MIA","Eric Fryer_STL","Mike Aviles_MIA","Miguel Rojas_MIA","Danny Espinosa_LAA"
111.117192982456,0,0,0,0,0,27.7631578947368,0,11.463768115942,22.7860655737705,0,7.98142076502732,19.4167832167832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.10813492063492,0,0,0,0,0,23.3558467741935,0,0,0,-16.5459677419355,15.6584084084084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,10.9387351778656,-6.29352226720648,0,-5.1,0,0,42.1333333333333,0,0,0,0,0,7.85714285714286,0,-0.152173913043478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80.420941300899,0,0,0,0,0,0,0,0,0,0,0,-0.95,0,0,0,0,0,20.1806966618287,0,31.038838612368,0,0,0,0,0,-3.74,0,0,0,0,0,0,22.046218487395,0,0,0,0,0,0,0,0,0,12.0763285024155,0,0,7.38405797101449,0,0,0,0,3.70673635307782,0,13.1994680851064,0,0,0,0,0,0,0,0,3.27142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5666666666667,0,0,0,0,0,0,0,0,0,15.3181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,50.5264270613108,0,11.0741971207087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7924369747899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0584795321637,0,0,2.6551724137931,0,13.3116883116883,0,0,0,0,0,0,0,0,0,0,0.496153846153846,0,0,0,0,0,0,0,0,0,0,9.81906906906907,6.43406593406593,21.9125,0,0,0,-5.80714285714286,0,0,0,0,12.875,0,0,0,0,0,0,0,-19.8333333333333,0,0,0,0,0,0,0,0,0,0,16.55,0,0,0,0,0,18.9019607843137
0,0,0,54.6961924907456,0,0,0,-4.60819672131148,0,0,0,0,0,0,0,0,0,-11.4795321637427,-13.2140783744557,0,0,0,0,0,0,0,-5.04571428571429,0,0,0,0,4.17483811285846,0,11.6625683060109,0,0,0,0,0,-5.17923186344239,-1.47058823529412,0,0,0,0,0,-15.8315789473684,0,0,0,5.01488095238095,0,0,0,0,0,-4.18181818181818,0,0,0,0,-6.41176470588235,0,0,0,0,0,0,0,0,0,0,0,-6.57142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.63333333333333,0,0,0,0,0,0,0,0,0,0,0
0,0,11.0741971207087,0,40.7891975308642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4711792702274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2777777777778,31.0355731225296,0,-3.89124293785311,0,15.1481481481481,0,0,0,0,0,0,0,0,0,0,5.32484620642515,0,0,0,0,0,0,0,0,0,0,4.96941649899396,9.9525641025641,-2.95714285714286,0,0,0,12.937996031746,0,0,0,0,3.83116883116883,0,0,0,0,0,0,0,-15.1666666666667,0,0,0,0,0,0,0,0,0,0,2.41428571428571,0,0,0,0,0,0.627344222625529
0,0,0,0,0,87.3131313131313,0,0,0,0,6.04761904761905,0,0,0,0,30.504048582996,10.6184615384615,0,0,0,0,0,0.462698412698413,0,0,0,0,0,0,1.71692307692308,-9.24789915966386,0,0,0,0,0,-0.58421052631579,6.62439024390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68589743589744,6.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.666666666667,0,0,0,0,0,-171,-2.6,0,0,0,0,0,-3.6047619047619,0,0,0,0,0,0,0,0,0,0,2.41071428571429,0,0,0
27.7631578947368,0,0,0,0,0,30.5635593220339,0,7.27866473149492,11.4183574879227,0,1.2512077294686,12.2215488215488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.07126696832579,0,0,0,0,0,13.4,0,0,0,10.7645299145299,7.36129032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.766666666666667,10.0357142857143,0,-0.0606060606060606,0,0,-1,0,0,0,0,0,15.5,0,8.34615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-4.60819672131148,0,0,0,69.8574846206425,0,0,0,0,0,0,0,0,0,14.9351851851852,6.85711150131695,0,0,0,0,0,0,0,4.790625,0,0,0,0,4.36489795918367,0,-5.63333333333333,0,0,0,0,0,7.39184397163121,3.77832167832168,0,0,0,0,0,19.6977011494253,0,0,0,0.197727272727273,0,0,0,0,0,8.19230769230769,0,0,0,0,0.443076923076923,0,0,0,0,0,0,0,0,0,0,0,-2.95512820512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.33928571428571,0,0,0,0,0,0,0,0,0,0,0
11.463768115942,0,0,0,0,0,7.27866473149492,0,54.3094567404427,-3.01935874168179,0,3.69540229885057,11.1364357482813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4228813559322,0,0,0,0,0,24.735632183908,0,0,0,13.5689655172414,17.5445378151261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9547619047619,-0.81984126984127,0,-0.151515151515152,0,0,-1,0,0,0,0,0,41.9761904761905,0,9.22282608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.7860655737705,0,0,0,0,0,11.4183574879227,0,-3.01935874168179,46.3881544156531,0,-1.25551020408163,8.0105580693816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.88588235294118,0,0,0,0,0,-8.10461538461538,0,0,0,6.4201581027668,20.6637931034483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.67368421052632,-7.11079545454545,0,-3.1025641025641,0,0,36.55,0,0,0,0,0,-15.952380952381,0,-6.51102941176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
