"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Clayton Kershaw",12900,"ARI@LAD 10:10PM ET",27.528,"LAD"
"SP","Zack Greinke",11900,"ARI@LAD 10:10PM ET",21.994,"ARI"
"SP","Alex Wood",11600,"ARI@LAD 10:10PM ET",22.66,"LAD"
"SP","Robbie Ray",10500,"ARI@LAD 10:10PM ET",23.513,"ARI"
"SP","Rich Hill",10200,"ARI@LAD 10:10PM ET",15.336,"LAD"
"SP","Kenta Maeda",9200,"ARI@LAD 10:10PM ET",13.577,"LAD"
"SP","Sonny Gray",9000,"OAK@SEA 10:10PM ET",16.415,"OAK"
"SP","James Paxton",8700,"OAK@SEA 10:10PM ET",18.973,"SEA"
"SP","Felix Hernandez",8200,"OAK@SEA 10:10PM ET",11.988,"SEA"
"SP","Drew Smyly",8200,"OAK@SEA 10:10PM ET",0,"SEA"
"SP","Zack Godley",8200,"ARI@LAD 10:10PM ET",18.063,"ARI"
"SP","Julio Urias",8200,"ARI@LAD 10:10PM ET",4.74,"LAD"
"SP","Hisashi Iwakuma",8100,"OAK@SEA 10:10PM ET",7.858,"SEA"
"SP","Jesse Hahn",8000,"OAK@SEA 10:10PM ET",9.425,"OAK"
"SP","Jharel Cotton",8000,"OAK@SEA 10:10PM ET",12.279,"OAK"
"SP","Sean Manaea",8000,"OAK@SEA 10:10PM ET",17.617,"OAK"
"SP","Brandon McCarthy",7500,"ARI@LAD 10:10PM ET",14.611,"LAD"
"SP","Hyun-Jin Ryu",7400,"ARI@LAD 10:10PM ET",12.993,"LAD"
"SP","Archie Bradley",7000,"ARI@LAD 10:10PM ET",5.005,"ARI"
"SP","Scott Kazmir",6600,"ARI@LAD 10:10PM ET",0,"LAD"
"SP","Patrick Corbin",6600,"ARI@LAD 10:10PM ET",11.595,"ARI"
"SP","Chase De Jong",6500,"OAK@SEA 10:10PM ET",3.336,"SEA"
"SP","Yovani Gallardo",6400,"OAK@SEA 10:10PM ET",8.459,"SEA"
"SP","Anthony Banda",6300,"ARI@LAD 10:10PM ET",0,"ARI"
"SP","Taijuan Walker",6200,"ARI@LAD 10:10PM ET",16.319,"ARI"
"SP","Sam Gaviglio",6100,"OAK@SEA 10:10PM ET",11.245,"SEA"
"SP","Shelby Miller",6000,"ARI@LAD 10:10PM ET",14.575,"ARI"
"SP","Kendall Graveman",5900,"OAK@SEA 10:10PM ET",12.569,"OAK"
"SP","Ariel Miranda",5900,"OAK@SEA 10:10PM ET",13.437,"SEA"
"SP","Andrew Triggs",5700,"OAK@SEA 10:10PM ET",12.533,"OAK"
"RP","Randall Delgado",5700,"ARI@LAD 10:10PM ET",6.958,"ARI"
"SP","Christian Bergman",5600,"OAK@SEA 10:10PM ET",9.206,"SEA"
"RP","Daniel Gossett",5500,"OAK@SEA 10:10PM ET",7.38,"OAK"
"SP","Rob Whalen",5500,"OAK@SEA 10:10PM ET",1.95,"SEA"
"SP","Andrew Moore",5500,"OAK@SEA 10:10PM ET",17.575,"SEA"
"1B","Paul Goldschmidt",4900,"ARI@LAD 10:10PM ET",11.131,"ARI"
"2B","Robinson Cano",4800,"OAK@SEA 10:10PM ET",8.532,"SEA"
"RP","Ryan Weber",4800,"OAK@SEA 10:10PM ET",4.45,"SEA"
"SP","Braden Shipley",4800,"ARI@LAD 10:10PM ET",2.975,"ARI"
"OF","Khris Davis",4700,"OAK@SEA 10:10PM ET",8.916,"OAK"
"SP","Paul Blackburn",4700,"OAK@SEA 10:10PM ET",18.5,"OAK"
"SP","A.J. Puk",4600,"OAK@SEA 10:10PM ET",0,"OAK"
"1B/OF","Cody Bellinger",4600,"ARI@LAD 10:10PM ET",10.209,"LAD"
"SS","Jean Segura",4500,"OAK@SEA 10:10PM ET",9.411,"SEA"
"SP","Casey Lawrence",4500,"OAK@SEA 10:10PM ET",3.22,"SEA"
"SP","Daniel Mengden",4500,"OAK@SEA 10:10PM ET",-1.8,"OAK"
"SS","Corey Seager",4500,"ARI@LAD 10:10PM ET",8.962,"LAD"
"SP","Walker Buehler",4500,"ARI@LAD 10:10PM ET",0,"LAD"
"OF","Nelson Cruz",4400,"OAK@SEA 10:10PM ET",8.305,"SEA"
"SP","Raul Alcantara",4400,"OAK@SEA 10:10PM ET",-5.483,"OAK"
"3B","Justin Turner",4400,"ARI@LAD 10:10PM ET",9.548,"LAD"
"RP","Ryan Madson",4300,"OAK@SEA 10:10PM ET",3.094,"OAK"
"RP","Santiago Casilla",4300,"OAK@SEA 10:10PM ET",2.566,"OAK"
"RP","Jean Machi",4300,"OAK@SEA 10:10PM ET",4.13,"SEA"
"RP","John Axford",4300,"OAK@SEA 10:10PM ET",1.834,"OAK"
"RP","Marc Rzepczynski",4300,"OAK@SEA 10:10PM ET",1.432,"SEA"
"RP","Steve Cishek",4300,"OAK@SEA 10:10PM ET",2.266,"SEA"
"RP","Sean Doolittle",4300,"OAK@SEA 10:10PM ET",3.543,"OAK"
"RP","Evan Scribner",4300,"OAK@SEA 10:10PM ET",0.338,"SEA"
"RP","Liam Hendriks",4300,"OAK@SEA 10:10PM ET",3.435,"OAK"
"RP","Nick Vincent",4300,"OAK@SEA 10:10PM ET",2.703,"SEA"
"RP","Daniel Coulombe",4300,"OAK@SEA 10:10PM ET",2.5,"OAK"
"RP","James Pazos",4300,"OAK@SEA 10:10PM ET",3.519,"SEA"
"RP","Josh Smith",4300,"OAK@SEA 10:10PM ET",1.333,"OAK"
"RP","Bobby Wahl",4300,"OAK@SEA 10:10PM ET",2.493,"OAK"
"RP","Frankie Montas",4300,"OAK@SEA 10:10PM ET",2.481,"OAK"
"RP","Tony Zych",4300,"OAK@SEA 10:10PM ET",2.839,"SEA"
"RP","Evan Marshall",4300,"OAK@SEA 10:10PM ET",-0.158,"SEA"
"RP","Edwin Diaz",4300,"OAK@SEA 10:10PM ET",3.714,"SEA"
"RP","Shae Simmons",4300,"OAK@SEA 10:10PM ET",0,"SEA"
"RP","Ryan Dull",4300,"OAK@SEA 10:10PM ET",2.255,"OAK"
"RP","Emilio Pagan",4300,"OAK@SEA 10:10PM ET",7.95,"SEA"
"RP","Dan Altavilla",4300,"OAK@SEA 10:10PM ET",2.75,"SEA"
"SP","Grant Holmes",4300,"OAK@SEA 10:10PM ET",0,"OAK"
"RP","Zac Curtis",4300,"OAK@SEA 10:10PM ET",1.433,"SEA"
"SP","Taylor Clarke",4300,"ARI@LAD 10:10PM ET",0,"ARI"
"RP","Justin Marks",4200,"ARI@LAD 10:10PM ET",1.2,"LAD"
"2B/OF","Chris Taylor",4200,"ARI@LAD 10:10PM ET",8.319,"LAD"
"RP","Frank Duncan",4200,"ARI@LAD 10:10PM ET",0,"ARI"
"RP","Fernando Rodney",4100,"ARI@LAD 10:10PM ET",3.02,"ARI"
"SP","Jorge De La Rosa",4100,"ARI@LAD 10:10PM ET",2.317,"ARI"
"RP","Sergio Romo",4100,"ARI@LAD 10:10PM ET",2.224,"LAD"
"RP","Kenley Jansen",4100,"ARI@LAD 10:10PM ET",5.501,"LAD"
"RP","Josh Ravin",4100,"ARI@LAD 10:10PM ET",7.9,"LAD"
"RP","Chris Hatcher",4100,"ARI@LAD 10:10PM ET",3.888,"LAD"
"RP","Josh Fields",4100,"ARI@LAD 10:10PM ET",3.875,"LAD"
"RP","T.J. McFarland",4100,"ARI@LAD 10:10PM ET",4.253,"ARI"
"RP","Pedro Baez",4100,"ARI@LAD 10:10PM ET",3.371,"LAD"
"RP","J.J. Hoover",4100,"ARI@LAD 10:10PM ET",2.531,"ARI"
"RP","Luis Avilan",4100,"ARI@LAD 10:10PM ET",2.019,"LAD"
"OF/SS","Chris Owings",4100,"ARI@LAD 10:10PM ET",8.15,"ARI"
"RP","Jake Barrett",4100,"ARI@LAD 10:10PM ET",0,"ARI"
"3B","Jake Lamb",4100,"ARI@LAD 10:10PM ET",9.63,"ARI"
"RP","Grant Dayton",4100,"ARI@LAD 10:10PM ET",2.269,"LAD"
"RP","Adam Liberatore",4100,"ARI@LAD 10:10PM ET",3.125,"LAD"
