P,P,C,1B,2B,3B,SS,OF,OF,OF
Chris Sale,Robbie Ray,Russell Martin,Wil Myers,Jonathan Schoop,Manny Machado,Marcus Semien,Seth Smith,Adam Jones,Hyun Soo Kim
Chris Sale,Robbie Ray,Welington Castillo,Trey Mancini,Jason Kipnis,Manny Machado,Dansby Swanson,Seth Smith,Matt Joyce,Adam Jones
Chris Sale,Rich Hill,Russell Martin,Trey Mancini,Jason Kipnis,Manny Machado,Francisco Lindor,Mark Trumbo,Adam Jones,Hyun Soo Kim
Chris Sale,Mike Foltynewicz,Welington Castillo,Wil Myers,Jonathan Schoop,Manny Machado,Dansby Swanson,George Springer,Mark Trumbo,Adam Jones
Chris Sale,Josh Tomlin,Brian McCann,Trey Mancini,Jonathan Schoop,Manny Machado,Francisco Lindor,George Springer,Seth Smith,Adam Jones
Chris Sale,Mike Foltynewicz,Russell Martin,Trey Mancini,Jonathan Schoop,Manny Machado,Carlos Correa,Mark Trumbo,Seth Smith,Matt Joyce
Chris Sale,Robbie Ray,Welington Castillo,Trey Mancini,Brian Dozier,Manny Machado,Marcus Semien,Mark Trumbo,Allen Cordoba,Hyun Soo Kim
Chris Sale,Robbie Ray,Luis Torrens,Wil Myers,Jose Pirela,Manny Machado,Francisco Lindor,Manuel Margot,Adam Jones,Allen Cordoba
Chris Sale,Rich Hill,Welington Castillo,Mitch Moreland,Jonathan Schoop,Manny Machado,Jorge Polanco,Seth Smith,Matt Joyce,Hyun Soo Kim
Chris Sale,Rich Hill,Welington Castillo,Trey Mancini,Jonathan Schoop,Manny Machado,Tzu-Wei Lin,Michael Brantley,Adam Jones,Allen Cordoba
Chris Sale,Dylan Bundy,Welington Castillo,Trey Mancini,Jose Pirela,Manny Machado,Francisco Lindor,Bryce Harper,Mark Trumbo,Seth Smith
Chris Sale,Robbie Ray,Jason Castro,Trey Mancini,Jonathan Schoop,Alex Bregman,Dansby Swanson,Mark Trumbo,Adam Jones,Hyun Soo Kim
Chris Sale,Dylan Bundy,Yan Gomes,Wil Myers,Jason Kipnis,Manny Machado,Francisco Lindor,Bryce Harper,Michael Brantley,Bradley Zimmer
Chris Sale,Mike Foltynewicz,Russell Martin,Edwin Encarnacion,Jason Kipnis,Manny Machado,Francisco Lindor,Lonnie Chisenhall,Michael Brantley,Seth Smith
Chris Sale,Dylan Bundy,Matt Wieters,Trey Mancini,Jonathan Schoop,Manny Machado,Carlos Correa,Bryce Harper,Adam Jones,Hyun Soo Kim
Chris Sale,Rich Hill,Welington Castillo,Trey Mancini,Jose Pirela,Miguel Sano,Marcus Semien,Seth Smith,Adam Jones,Hyun Soo Kim
Chris Sale,Rich Hill,Bruce Maxwell,Kendrys Morales,Jonathan Schoop,Manny Machado,Erick Aybar,Mark Trumbo,Seth Smith,Adam Jones
Chris Sale,Josh Tomlin,Welington Castillo,Mitch Moreland,Daniel Murphy,Manny Machado,Carlos Correa,Mark Trumbo,Seth Smith,Adam Jones
Chris Sale,Rich Hill,Russell Martin,Wil Myers,Jose Pirela,Manny Machado,Erick Aybar,Mark Trumbo,Hunter Renfroe,Allen Cordoba
Chris Sale,Dylan Bundy,Brian McCann,Yuli Gurriel,Jason Kipnis,Manny Machado,Carlos Correa,George Springer,Adam Jones,Jake Marisnick
Chris Sale,Dylan Bundy,Brian McCann,Wil Myers,Jose Altuve,Alex Bregman,Marcus Semien,George Springer,Carlos Beltran,Adam Jones
Chris Sale,Josh Tomlin,Welington Castillo,Edwin Encarnacion,Jonathan Schoop,Manny Machado,Francisco Lindor,Max Kepler,Mark Trumbo,Hyun Soo Kim
