P,P,C,1B,2B,3B,SS,OF,OF,OF
Johnny Cueto,Charlie Morton,Yadier Molina,Eric Thames,Jonathan Villar,Travis Shaw,Freddy Galvis,Bryce Harper,Domingo Santana,Ryan Braun
Johnny Cueto,Charlie Morton,Yadier Molina,Eric Thames,Robinson Cano,Kyle Seager,Jean Segura,Bryce Harper,Nelson Cruz,Ben Gamel
Johnny Cueto,Charlie Morton,Yadier Molina,Ryan Zimmerman,Wilmer Difo,Stephen Drew,Carlos Correa,Bryce Harper,Mike Trout,Brian Goodwin
Johnny Cueto,Charlie Morton,Yadier Molina,Hanley Ramirez,Dustin Pedroia,Kris Bryant,Xander Bogaerts,Bryce Harper,Mookie Betts,Chris Young
Johnny Cueto,Charlie Morton,Yadier Molina,Eric Thames,Rougned Odor,Adrian Beltre,Elvis Andrus,Bryce Harper,Nomar Mazara,Shin-Soo Choo
Jacob deGrom,Charlie Morton,Kevan Smith,Danny Valencia,Robinson Cano,Kyle Seager,Freddy Galvis,Bryce Harper,Nelson Cruz,Mitch Haniger
Johnny Cueto,Charlie Morton,Kevan Smith,Paul Goldschmidt,Jonathan Villar,Jake Lamb,Chris Owings,Bryce Harper,AJ Pollock,David Peralta
Johnny Cueto,Charlie Morton,Yadier Molina,Eric Thames,Jose Altuve,Alex Bregman,Carlos Correa,George Springer,Josh Reddick,Alex Presley
Johnny Cueto,Charlie Morton,Yadier Molina,Matt Carpenter,Jonathan Villar,Jedd Gyorko,Carlos Correa,Bryce Harper,Dexter Fowler,Tommy Pham
Jacob deGrom,Dan Straily,Jeff Mathis,Ryan Zimmerman,Wilmer Difo,Stephen Drew,Freddy Galvis,Bryce Harper,Josh Reddick,Brian Goodwin
Jacob deGrom,Charlie Morton,Yadier Molina,Joey Gallo,Drew Robinson,Travis Shaw,Elvis Andrus,Bryce Harper,Carlos Gomez,Shin-Soo Choo
Johnny Cueto,Charlie Morton,Kevan Smith,Joey Votto,Jonathan Villar,Eugenio Suarez,Zack Cozart,Bryce Harper,Adam Duvall,Billy Hamilton
Johnny Cueto,Charlie Morton,Yadier Molina,Tommy Joseph,Jose Altuve,Maikel Franco,Freddy Galvis,Bryce Harper,Aaron Altherr,Nick Williams
Jacob deGrom,Johnny Cueto,Bruce Maxwell,Danny Valencia,Robinson Cano,Kyle Seager,Orlando Arcia,Nelson Cruz,Mike Trout,Ben Gamel
Johnny Cueto,Charlie Morton,Yadier Molina,Chris Davis,Jonathan Schoop,Manny Machado,Carlos Correa,Bryce Harper,Mark Trumbo,Adam Jones
Jacob deGrom,Johnny Cueto,Yadier Molina,Danny Valencia,Jonathan Villar,Kyle Seager,Chris Owings,Nelson Cruz,Jarrod Dyson,Mitch Haniger
Jacob deGrom,Johnny Cueto,Yadier Molina,Buster Posey,Joe Panik,Kyle Seager,Brandon Crawford,Bryce Harper,Hunter Pence,Gorkys Hernandez
Jacob deGrom,Charlie Morton,Yadier Molina,Buster Posey,Kolten Wong,Jedd Gyorko,Freddy Galvis,Bryce Harper,Dexter Fowler,Stephen Piscotty
Jacob deGrom,Dan Straily,Kevan Smith,Buster Posey,Robinson Cano,Kyle Seager,Jean Segura,Nelson Cruz,Josh Reddick,Ben Gamel
Jacob deGrom,Charlie Morton,Bruce Maxwell,Joey Gallo,Jonathan Villar,Adrian Beltre,Elvis Andrus,Mike Trout,Nomar Mazara,Shin-Soo Choo
Johnny Cueto,Charlie Morton,Yadier Molina,Cody Bellinger,Logan Forsythe,Justin Turner,Corey Seager,Bryce Harper,Joc Pederson,Kyle Schwarber
Jacob deGrom,Johnny Cueto,Bruce Maxwell,Hanley Ramirez,Dustin Pedroia,Kyle Seager,Xander Bogaerts,Shin-Soo Choo,Jackie Bradley,Chris Young
Jacob deGrom,Charlie Morton,Bruce Maxwell,Hanley Ramirez,Dustin Pedroia,Deven Marrero,Xander Bogaerts,Mookie Betts,Mike Trout,Kyle Schwarber
Jacob deGrom,Charlie Morton,Yadier Molina,Albert Pujols,Jonathan Villar,Yunel Escobar,Andrelton Simmons,Bryce Harper,Mike Trout,Kole Calhoun
Jacob deGrom,Johnny Cueto,Jeff Mathis,Kennys Vargas,Drew Robinson,Miguel Sano,Jorge Polanco,Bryce Harper,Max Kepler,Robbie Grossman
Carlos Carrasco,Charlie Morton,Jeff Mathis,Danny Valencia,Robinson Cano,Kyle Seager,Carlos Correa,Nelson Cruz,Josh Reddick,Ben Gamel
Johnny Cueto,Charlie Morton,Yadier Molina,Josh Bell,Josh Harrison,David Freese,Carlos Correa,Bryce Harper,Andrew McCutchen,Gregory Polanco
Johnny Cueto,Charlie Morton,Yadier Molina,Edwin Encarnacion,Jose Ramirez,Kyle Seager,Francisco Lindor,Bryce Harper,Michael Brantley,Bradley Zimmer
Jacob deGrom,Charlie Morton,Yadier Molina,Jose Abreu,Jonathan Villar,Todd Frazier,Tim Anderson,Bryce Harper,Melky Cabrera,Avisail Garcia
Jacob deGrom,Charlie Morton,Yadier Molina,Eric Thames,Whit Merrifield,Mike Moustakas,Alcides Escobar,Bryce Harper,Jorge Soler,Alex Gordon
Johnny Cueto,Charlie Morton,Yan Gomes,Eric Thames,Erik Gonzalez,Kris Bryant,Francisco Lindor,Bryce Harper,Bradley Zimmer,Tyler Naquin
Johnny Cueto,Charlie Morton,Yan Gomes,Joey Gallo,Jose Altuve,Kris Bryant,Elvis Andrus,Carlos Gomez,Nomar Mazara,Shin-Soo Choo
Jacob deGrom,Johnny Cueto,Bruce Maxwell,Eric Thames,Jonathan Villar,Matt Chapman,Marcus Semien,Bryce Harper,Matt Joyce,Rajai Davis
Carlos Carrasco,Johnny Cueto,Yan Gomes,Danny Valencia,Robinson Cano,Kyle Seager,Jorge Polanco,Nelson Cruz,Kyle Schwarber,Mitch Haniger
Johnny Cueto,Charlie Morton,Kevan Smith,Jose Abreu,Jose Altuve,Kris Bryant,Tim Anderson,Bryce Harper,Melky Cabrera,Adam Engel
Jacob deGrom,Dan Straily,Bruce Maxwell,Eric Thames,Jonathan Villar,Travis Shaw,Alcides Escobar,Domingo Santana,Ryan Braun,Kyle Schwarber
Jacob deGrom,Johnny Cueto,Yadier Molina,Freddie Freeman,Brandon Phillips,Kyle Seager,Freddy Galvis,Nick Markakis,Ender Inciarte,Matt Kemp
Jacob deGrom,Dan Straily,Yan Gomes,Hanley Ramirez,Dustin Pedroia,Stephen Drew,Xander Bogaerts,Mookie Betts,Josh Reddick,Chris Young
Jacob deGrom,Johnny Cueto,Yadier Molina,Buster Posey,Whit Merrifield,Kris Bryant,Alcides Escobar,Lorenzo Cain,Jorge Bonifacio,Alex Gordon
Jacob deGrom,Johnny Cueto,Yadier Molina,Justin Bour,Dee Gordon,Kyle Seager,Freddy Galvis,Giancarlo Stanton,Marcell Ozuna,Christian Yelich
Carlos Carrasco,Jon Gray,Yan Gomes,Ryan Zimmerman,Wilmer Difo,Stephen Drew,Jorge Polanco,Bryce Harper,Kyle Schwarber,Brian Goodwin
Dan Straily,Taijuan Walker,Bruce Maxwell,Buster Posey,Jose Altuve,Alex Bregman,Carlos Correa,Bryce Harper,George Springer,Josh Reddick
Jacob deGrom,Charlie Morton,Kevan Smith,Matt Davidson,Tyler Saladino,Todd Frazier,Freddy Galvis,Bryce Harper,Mike Trout,Avisail Garcia
Carlos Carrasco,Johnny Cueto,Kevan Smith,Joey Gallo,Drew Robinson,Kyle Seager,Elvis Andrus,Carlos Gomez,Mike Trout,Shin-Soo Choo
Gerrit Cole,Jon Gray,Yan Gomes,Eric Thames,Jonathan Villar,Travis Shaw,Xander Bogaerts,Domingo Santana,Ryan Braun,Mike Trout
Jacob deGrom,Johnny Cueto,Bruce Maxwell,Ryon Healy,Jed Lowrie,Matt Chapman,Freddy Galvis,Bryce Harper,Mike Trout,Khris Davis
Gio Gonzalez,Gerrit Cole,Bruce Maxwell,Ryan Zimmerman,Wilmer Difo,Stephen Drew,Xander Bogaerts,Bryce Harper,Mookie Betts,Brian Goodwin
Gerrit Cole,Jon Gray,Yan Gomes,Anthony Rizzo,Robinson Cano,Kyle Seager,Jean Segura,Nelson Cruz,Mike Trout,Ben Gamel
Johnny Cueto,Dan Straily,Yadier Molina,Paul Goldschmidt,Brandon Drury,Jake Lamb,Chris Owings,Mike Trout,Josh Reddick,David Peralta
Carlos Carrasco,Charlie Morton,Yan Gomes,Hanley Ramirez,Dustin Pedroia,Manny Machado,Xander Bogaerts,Mike Trout,Jackie Bradley,Chris Young
Jacob deGrom,Johnny Cueto,Yadier Molina,Alex Avila,Andrew Romine,Travis Shaw,Jose Iglesias,Bryce Harper,Justin Upton,Alex Presley
Jacob deGrom,Johnny Cueto,Yadier Molina,TJ Rivera,Asdrubal Cabrera,Kyle Seager,Freddy Galvis,Jay Bruce,Michael Conforto,Yoenis Cespedes
Jacob deGrom,Johnny Cueto,Yadier Molina,Yonder Alonso,Jed Lowrie,Kyle Seager,Marcus Semien,Bryce Harper,Matt Joyce,Khris Davis
Jacob deGrom,Johnny Cueto,Jeff Mathis,Albert Pujols,Robinson Cano,Yunel Escobar,Freddy Galvis,Mike Trout,Cameron Maybin,Kole Calhoun
Johnny Cueto,Charlie Morton,Yadier Molina,Joey Votto,Jose Peraza,Eugenio Suarez,Carlos Correa,Adam Duvall,Mike Trout,Scott Schebler
Johnny Cueto,Jon Gray,Kevan Smith,Hanley Ramirez,Dustin Pedroia,Deven Marrero,Xander Bogaerts,Aaron Judge,Mookie Betts,Josh Reddick
Jacob deGrom,Charlie Morton,Bruce Maxwell,Paul Goldschmidt,Brandon Drury,Jake Lamb,Chris Owings,David Peralta,Shin-Soo Choo,Odubel Herrera
Jacob deGrom,Dan Straily,Yadier Molina,Matt Carpenter,Robinson Cano,Jedd Gyorko,Freddy Galvis,Dexter Fowler,Tommy Pham,Shin-Soo Choo
Jacob deGrom,Dan Straily,Jeff Mathis,Buster Posey,Rougned Odor,Adrian Beltre,Elvis Andrus,Nomar Mazara,Shin-Soo Choo,Kyle Schwarber
Carlos Carrasco,Charlie Morton,Ryan Hanigan,Danny Valencia,Jose Altuve,Kyle Seager,Xander Bogaerts,Nelson Cruz,Jarrod Dyson,Mitch Haniger
James Paxton,Dan Straily,Yan Gomes,Danny Valencia,Robinson Cano,Kyle Seager,Xander Bogaerts,Bryce Harper,Nelson Cruz,Ben Gamel
Jacob deGrom,Johnny Cueto,Yadier Molina,Eric Thames,Jose Altuve,Evan Longoria,Adeiny Hechavarria,Mallex Smith,Corey Dickerson,Shane Peterson
Johnny Cueto,Jon Gray,Kevan Smith,Joey Gallo,Robinson Cano,Adrian Beltre,Elvis Andrus,Josh Reddick,Nomar Mazara,Shin-Soo Choo
Jacob deGrom,Johnny Cueto,Jeff Mathis,Logan Morrison,Jonathan Villar,Evan Longoria,Freddy Galvis,Steven Souza,Mallex Smith,Corey Dickerson
Johnny Cueto,Jon Gray,Yadier Molina,Eric Thames,Kolten Wong,Jedd Gyorko,Carlos Correa,Mike Trout,Dexter Fowler,Stephen Piscotty
Jacob deGrom,Johnny Cueto,Jeff Mathis,Josh Bell,Josh Harrison,David Freese,Freddy Galvis,Andrew McCutchen,Mike Trout,Adam Frazier
Carlos Carrasco,Jon Gray,Jeff Mathis,Hanley Ramirez,Dustin Pedroia,Kyle Seager,Xander Bogaerts,Mookie Betts,AJ Pollock,Chris Young
Carlos Carrasco,Zach Davies,Ryan Hanigan,Hanley Ramirez,Robinson Cano,Kyle Seager,Jean Segura,Nelson Cruz,Shin-Soo Choo,Ben Gamel
Jacob deGrom,Johnny Cueto,Yadier Molina,Hanley Ramirez,Drew Robinson,Jedd Gyorko,Xander Bogaerts,Dexter Fowler,Tommy Pham,Stephen Piscotty
Jacob deGrom,Johnny Cueto,Kevan Smith,Matt Davidson,Tyler Saladino,Kyle Seager,Tim Anderson,Bryce Harper,Jose Bautista,Adam Engel
Jacob deGrom,Jon Gray,Bruce Maxwell,Tommy Joseph,Jonathan Villar,Maikel Franco,Freddy Galvis,Mike Trout,Aaron Altherr,Nick Williams
Nick Pivetta,Zach Davies,Kevan Smith,Ryan Zimmerman,Wilmer Difo,Stephen Drew,Jean Segura,Bryce Harper,Aaron Judge,Brian Goodwin
Jacob deGrom,Dan Straily,Yan Gomes,Paul Goldschmidt,Drew Robinson,Jake Lamb,Chris Owings,AJ Pollock,David Peralta,Kyle Schwarber
Gio Gonzalez,Taijuan Walker,Kevan Smith,Eric Thames,Jonathan Villar,Travis Shaw,Carlos Correa,Domingo Santana,Ryan Braun,Josh Reddick
James Paxton,Jon Gray,Yadier Molina,Danny Valencia,Robinson Cano,Kyle Seager,Carlos Correa,Nelson Cruz,Mike Trout,Mitch Haniger
Jacob deGrom,Charlie Morton,Bruce Maxwell,Eric Hosmer,Whit Merrifield,Kyle Seager,Carlos Correa,Lorenzo Cain,Jorge Bonifacio,Alex Gordon
Jacob deGrom,Johnny Cueto,Yadier Molina,Kendrys Morales,Darwin Barney,Kris Bryant,Troy Tulowitzki,Bryce Harper,Kevin Pillar,Steve Pearce
James Paxton,Nick Pivetta,Bruce Maxwell,Matt Carpenter,Robinson Cano,Kyle Seager,Jean Segura,Mookie Betts,Nelson Cruz,Ben Gamel
Carlos Carrasco,Dan Straily,Ryan Hanigan,Hanley Ramirez,Dustin Pedroia,Deven Marrero,Xander Bogaerts,Bryce Harper,Mookie Betts,Odubel Herrera
Jon Gray,Zach Davies,Yan Gomes,Matt Carpenter,Jose Altuve,Alex Bregman,Carlos Correa,George Springer,Josh Reddick,Kyle Schwarber
Jacob deGrom,Johnny Cueto,Bruce Maxwell,Victor Martinez,Andrew Romine,Nicholas Castellanos,Jose Iglesias,Bryce Harper,Mike Trout,JD Martinez
Carlos Carrasco,Johnny Cueto,Yan Gomes,Eric Thames,Whit Merrifield,Travis Shaw,Alcides Escobar,Jorge Bonifacio,Jorge Soler,Alex Gordon
Jacob deGrom,Johnny Cueto,Yan Gomes,Carlos Santana,Erik Gonzalez,Kyle Seager,Carlos Correa,Mike Trout,Bradley Zimmer,Tyler Naquin
Gerrit Cole,Jon Gray,Yan Gomes,Anthony Rizzo,Rougned Odor,Adrian Beltre,Elvis Andrus,Mike Trout,Nomar Mazara,Shin-Soo Choo
Jacob deGrom,Charlie Morton,Bruce Maxwell,Joey Votto,Drew Robinson,Eugenio Suarez,Zack Cozart,Adam Duvall,Scott Schebler,Shin-Soo Choo
Jacob deGrom,Johnny Cueto,Bruce Maxwell,Jose Abreu,Robinson Cano,Todd Frazier,Tim Anderson,Melky Cabrera,Kyle Schwarber,Adam Engel
James Paxton,Justin Verlander,Ryan Hanigan,Ryan Zimmerman,Wilmer Difo,Stephen Drew,Elvis Andrus,Bryce Harper,Nelson Cruz,Brian Goodwin
Jacob deGrom,Charlie Morton,Bruce Maxwell,Justin Bour,Jonathan Villar,Martin Prado,Carlos Correa,Giancarlo Stanton,Marcell Ozuna,Christian Yelich
Carlos Carrasco,Charlie Morton,Yan Gomes,Freddie Freeman,Brandon Phillips,Manny Machado,Carlos Correa,Nick Markakis,Ender Inciarte,Matt Kemp
Jacob deGrom,Charlie Morton,Kevan Smith,Eric Thames,Tyler Saladino,Travis Shaw,Tim Anderson,Mike Trout,Melky Cabrera,Adam Engel
Johnny Cueto,Charlie Morton,Yadier Molina,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Carlos Correa,Bryce Harper,Charlie Blackmon,Gerardo Parra
Carlos Carrasco,Charlie Morton,Yan Gomes,Buster Posey,Joe Panik,Kris Bryant,Brandon Crawford,Mike Trout,Hunter Pence,Gorkys Hernandez
Gio Gonzalez,Gerrit Cole,Kevan Smith,Hanley Ramirez,Dustin Pedroia,Travis Shaw,Xander Bogaerts,Mookie Betts,Mike Trout,Chris Young
Carlos Carrasco,Charlie Morton,Yadier Molina,Eric Thames,Robinson Cano,Jedd Gyorko,Addison Russell,Dexter Fowler,Tommy Pham,Stephen Piscotty
Johnny Cueto,Dan Straily,Yan Gomes,Joey Votto,Robinson Cano,Eugenio Suarez,Zack Cozart,Adam Duvall,Josh Reddick,Scott Schebler
Jacob deGrom,Johnny Cueto,Bruce Maxwell,Edwin Encarnacion,Erik Gonzalez,Stephen Drew,Francisco Lindor,Michael Brantley,Bradley Zimmer,Kyle Schwarber
Justin Verlander,Zach Davies,Jeff Mathis,Eric Thames,Jonathan Villar,Travis Shaw,Elvis Andrus,Domingo Santana,Ryan Braun,Mookie Betts
Carlos Carrasco,Jon Gray,Yadier Molina,Kennys Vargas,Jonathan Villar,Miguel Sano,Jorge Polanco,Max Kepler,Mike Trout,Robbie Grossman
Gerrit Cole,Dan Straily,Ryan Hanigan,Joey Gallo,Jose Altuve,Adrian Beltre,Elvis Andrus,Bryce Harper,Nomar Mazara,Shin-Soo Choo
Gio Gonzalez,Nick Pivetta,Yadier Molina,Danny Valencia,Robinson Cano,Kyle Seager,Freddy Galvis,Aaron Judge,Nelson Cruz,Ben Gamel
Carlos Carrasco,Johnny Cueto,Jeff Mathis,Eric Hosmer,Whit Merrifield,Stephen Drew,Freddy Galvis,Lorenzo Cain,Jorge Bonifacio,Alex Gordon
Gio Gonzalez,Justin Verlander,Jeff Mathis,Paul Goldschmidt,Robinson Cano,Kyle Seager,Jean Segura,Nelson Cruz,AJ Pollock,Ben Gamel
Jacob deGrom,Charlie Morton,Bruce Maxwell,Logan Morrison,Robinson Cano,Evan Longoria,Carlos Correa,Mallex Smith,Corey Dickerson,Shane Peterson
Carlos Carrasco,Dan Straily,Yadier Molina,Joey Gallo,Jonathan Villar,Stephen Drew,Elvis Andrus,Carlos Gomez,Nomar Mazara,Shin-Soo Choo
Jacob deGrom,Charlie Morton,Yadier Molina,Wil Myers,Carlos Asuaje,Cory Spangenberg,Carlos Correa,Bryce Harper,Jose Pirela,Manuel Margot
Gio Gonzalez,Gerrit Cole,Bruce Maxwell,Danny Valencia,Robinson Cano,Kyle Seager,Xander Bogaerts,Nelson Cruz,Josh Reddick,Mitch Haniger
Jon Gray,Dan Straily,Kevan Smith,Hanley Ramirez,Dustin Pedroia,Anthony Rendon,Xander Bogaerts,Bryce Harper,Jackie Bradley,Chris Young
Gerrit Cole,Jon Gray,Yan Gomes,Paul Goldschmidt,Brandon Drury,Jake Lamb,Chris Owings,Bryce Harper,David Peralta,Jose Bautista
Jon Gray,Zach Davies,Yadier Molina,Paul Goldschmidt,Robinson Cano,Jake Lamb,Chris Owings,Mookie Betts,AJ Pollock,David Peralta
Carlos Carrasco,Johnny Cueto,Yan Gomes,Albert Pujols,Drew Robinson,Yunel Escobar,Andrelton Simmons,Mike Trout,Josh Reddick,Kole Calhoun
Jacob deGrom,Tim Adleman,Kevan Smith,Hanley Ramirez,Jose Altuve,Alex Bregman,Carlos Correa,George Springer,Josh Reddick,Odubel Herrera
Carlos Carrasco,Charlie Morton,Kevan Smith,Anthony Rizzo,Whit Merrifield,Manny Machado,Alcides Escobar,Lorenzo Cain,Jorge Bonifacio,Alex Gordon
Carlos Carrasco,Johnny Cueto,Yan Gomes,Jose Abreu,Kolten Wong,Todd Frazier,Tim Anderson,Mike Trout,Melky Cabrera,Avisail Garcia
Jacob deGrom,Dan Straily,Bruce Maxwell,Chris Davis,Jonathan Schoop,Manny Machado,Freddy Galvis,Mark Trumbo,Shin-Soo Choo,Adam Jones
Carlos Carrasco,Charlie Morton,Kevan Smith,Albert Pujols,Jose Altuve,Yunel Escobar,Xander Bogaerts,Mike Trout,Cameron Maybin,Kole Calhoun
Carlos Carrasco,Charlie Morton,Yan Gomes,Justin Bour,Dee Gordon,Manny Machado,Xander Bogaerts,Giancarlo Stanton,Marcell Ozuna,Christian Yelich
James Paxton,Nick Pivetta,Bruce Maxwell,Hanley Ramirez,Dustin Pedroia,Manny Machado,Xander Bogaerts,Mookie Betts,Nelson Cruz,Chris Young
Johnny Cueto,Charlie Morton,Ryan Hanigan,Mark Reynolds,Pat Valaika,Kris Bryant,Freddy Galvis,Bryce Harper,Gerardo Parra,Carlos Gonzalez
Jacob deGrom,Jon Gray,Jeff Mathis,Joey Gallo,Dustin Pedroia,Kyle Seager,Elvis Andrus,Carlos Gomez,Nomar Mazara,Shin-Soo Choo
Carlos Carrasco,RA Dickey,Ryan Hanigan,Eric Thames,Jonathan Villar,Travis Shaw,Jorge Polanco,Domingo Santana,Ryan Braun,Shin-Soo Choo
Carlos Carrasco,Charlie Morton,Kevan Smith,TJ Rivera,Asdrubal Cabrera,Kris Bryant,Xander Bogaerts,Jay Bruce,Michael Conforto,Yoenis Cespedes
Carlos Carrasco,Dan Straily,Kevan Smith,Tommy Joseph,Robinson Cano,Maikel Franco,Freddy Galvis,Josh Reddick,Aaron Altherr,Nick Williams
Gio Gonzalez,Nick Pivetta,Bruce Maxwell,Matt Carpenter,Rougned Odor,Adrian Beltre,Elvis Andrus,Josh Reddick,Nomar Mazara,Shin-Soo Choo
Jacob deGrom,Dan Straily,Yadier Molina,Joey Votto,Andres Blanco,Eugenio Suarez,Zack Cozart,Adam Duvall,Billy Hamilton,Kyle Schwarber
Carlos Carrasco,Charlie Morton,Yan Gomes,Josh Bell,Josh Harrison,David Freese,Jean Segura,Andrew McCutchen,Josh Reddick,Adam Frazier
Jacob deGrom,Charlie Morton,Yadier Molina,Anthony Rizzo,Erik Gonzalez,Travis Shaw,Francisco Lindor,Michael Brantley,Bradley Zimmer,Tyler Naquin
Carlos Carrasco,Taijuan Walker,Kevan Smith,Hanley Ramirez,Rougned Odor,Adrian Beltre,Elvis Andrus,Nomar Mazara,Shin-Soo Choo,Brian Goodwin
Carlos Carrasco,Jon Gray,Yadier Molina,Matt Carpenter,Drew Robinson,Jedd Gyorko,Jean Segura,Dexter Fowler,Tommy Pham,Kyle Schwarber
Gerrit Cole,Jason Hammel,Jeff Mathis,Anthony Rizzo,Jose Altuve,Alex Bregman,Carlos Correa,George Springer,Mike Trout,Josh Reddick
Carlos Carrasco,Charlie Morton,Yan Gomes,Alex Avila,Andrew Romine,Nicholas Castellanos,Jose Iglesias,Bryce Harper,Mike Trout,Alex Presley
Gerrit Cole,Taijuan Walker,Bruce Maxwell,Paul Goldschmidt,Jose Altuve,Jake Lamb,Chris Owings,Mike Trout,AJ Pollock,David Peralta
Carlos Carrasco,Charlie Morton,Yadier Molina,Logan Morrison,Whit Merrifield,Evan Longoria,Xander Bogaerts,Steven Souza,Mallex Smith,Corey Dickerson
