"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,784641297,"aquafinatim (17/20)",0,168.25,"P Chris Smith OF Carlos González C Buster Posey OF Charlie Blackmon 3B Anthony Rendon 1B Wil Myers OF Bryce Harper SS Trevor Story P Mike Clevinger 2B Carlos Asuaje",NA,"Mike Clevinger","76.53%",24.5
2,784251184,"Houdinij5 (1/2)",0,164.45,"P Edwin Jackson 1B Adam Lind 2B Daniel Murphy OF Gerardo Parra C Matt Wieters OF Charlie Blackmon 3B Anthony Rendon SS Alexi Amarista OF Bryce Harper P Mike Clevinger",NA,"Charlie Blackmon","63.10%",14
3,784445455,"Kmwenner",0,160.25,"P Chris Smith OF Gerardo Parra C Matt Wieters OF Jabari Blash 3B Anthony Rendon 2B DJ LeMahieu 1B Wil Myers OF Bryce Harper SS Francisco Lindor P Mike Clevinger",NA,"Bryce Harper","50.26%",30
4,784272150,"lamondatd",0,159.25,"1B Edwin Encarnacion SS Erick Aybar P Chris Smith OF Khris Davis C Buster Posey OF Charlie Blackmon 3B Anthony Rendon OF Bryce Harper P Mike Clevinger 2B Carlos Asuaje",NA,"Mike Trout","47.87%",16
5,784336529,"bluester111 (4/20)",0,158.25,"SS Erick Aybar P Chris Smith C Buster Posey OF Charlie Blackmon OF Mike Trout 1B Wil Myers OF Bryce Harper 3B Cory Spangenberg P Mike Clevinger 2B Carlos Asuaje",NA,"Blake Snell","45.66%",11.4
6,784341204,"eladk (2/2)",0,156.25,"P Chris Smith 1B Mark Reynolds C Martín Maldonado 2B Daniel Murphy OF Gerardo Parra 3B Anthony Rendon OF José Pirela OF Bryce Harper SS Andrelton Simmons P Mike Clevinger",NA,"Daniel Murphy","37.67%",0
7,784733871,"scottnbrandi (1/2)",0,155.9,"1B Adam Lind OF Gerardo Parra C Matt Wieters OF Charlie Blackmon 3B Anthony Rendon SS Alexi Amarista OF Bryce Harper 2B Wilmer Difo P Blake Snell P Mike Clevinger",NA,"Francisco Lindor","31.21%",2
8,784734692,"JimmieJameson666",0,155.55,"1B Mark Reynolds 3B Evan Longoria OF Khris Davis OF Steven Souza Jr. C Buster Posey SS Alexi Amarista OF Bryce Harper P Mike Clevinger P Antonio Senzatela 2B Carlos Asuaje",NA,"DJ LeMahieu","29.51%",4
9,784784825,"njchaaancy (1/2)",0,153.9,"C Martín Maldonado 1B Ryan Zimmerman OF Jabari Blash 3B Anthony Rendon OF Mike Trout OF Bryce Harper SS Andrelton Simmons P Blake Snell P Mike Clevinger 2B Carlos Asuaje",NA,"Trevor Story","28.06%",0
9,784784835,"njchaaancy (2/2)",0,153.9,"C Martín Maldonado 1B Ryan Zimmerman OF Jabari Blash 3B Anthony Rendon OF Mike Trout OF Bryce Harper SS Andrelton Simmons P Blake Snell P Mike Clevinger 2B Carlos Asuaje",NA,"Anthony Rendon","27.64%",17
