"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,785181352,"gooey911 (1/5)",0,224.95,"C Ryan Hanigan OF Matt Joyce 1B Yonder Alonso OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado 2B DJ LeMahieu P Jon Gray OF Jaycob Brugman SS Trevor Story",NA,"Jake Faria","59.40%",5.25
2,785108247,"Robstar (2/2)",0,214.95,"OF Denard Span OF Matt Joyce 1B Carlos Santana OF Gerardo Parra P Sonny Gray 3B Nolan Arenado P Jon Gray SS Trevor Story 2B José Ramírez C Bruce Maxwell",NA,"Sonny Gray","46.60%",20.85
2,785147724,"DarthLeeman",0,214.95,"C Ryan Hanigan OF Denard Span 1B Carlos Santana OF Abraham Almonte OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado 2B Erik González P Jon Gray SS Trevor Story",NA,"Jon Gray","39.37%",18.1
2,784716752,"Bkid22",0,214.95,"OF Michael Brantley OF Matt Joyce 1B Carlos Santana P Sonny Gray 3B Nolan Arenado P Jon Gray OF Cory Spangenberg SS Trevor Story 2B José Ramírez C Bruce Maxwell",NA,"Héctor Sánchez","37.41%",8
5,785200134,"krazykatz (2/3)",0,213.15,"P Matt Cain C Ryan Hanigan OF Michael Brantley 1B Carlos Santana OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story OF Bradley Zimmer",NA,"Nolan Arenado","35.55%",58
6,785047462,"aquafinatim (10/20)",0,209.1,"C Ryan Hanigan OF Denard Span 2B Jed Lowrie OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado 1B Wil Myers OF Jaycob Brugman SS Trevor Story P Jake Faria",NA,"Carlos Carrasco","31.46%",16.7
6,785047471,"aquafinatim (11/20)",0,209.1,"C Ryan Hanigan OF Denard Span OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado 1B Wil Myers OF Jaycob Brugman SS Trevor Story 2B Brad Miller P Jake Faria",NA,"José Ramírez","30.71%",12
8,785226452,"ffball (1/4)",0,205.95,"C Ryan Hanigan 2B Jed Lowrie OF Abraham Almonte 1B Yonder Alonso OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado P Jon Gray SS Trevor Story OF Manuel Margot",NA,"Charlie Blackmon","30.13%",28
9,785242338,"omahaviking (5/20)",0,204.15,"P Matt Cain 1B Mark Reynolds OF Michael Brantley OF Matt Joyce OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado 2B DJ LeMahieu C Héctor Sánchez SS Trevor Story",NA,"Trevor Story","29.91%",35
9,785242907,"HeeHawTime",0,204.15,"P Matt Cain 1B Mark Reynolds OF Jabari Blash OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado 2B DJ LeMahieu C Héctor Sánchez OF Cory Spangenberg SS Trevor Story",NA,"Ian Desmond","27.95%",6
11,785221481,"WaterboyRI (19/20)",0,200.95,"OF Michael Brantley P Sonny Gray 3B Nolan Arenado 1B Wil Myers C Héctor Sánchez P Jon Gray OF Jaycob Brugman OF Cory Spangenberg SS Trevor Story 2B José Ramírez",NA,"Corey Dickerson","27.10%",6
12,785242650,"roos2015",0,198.4,"P Matt Cain OF Ian Desmond C Nick Hundley 1B Carlos Santana OF Gerardo Parra OF Charlie Blackmon 3B Nolan Arenado P Jon Gray SS Trevor Story 2B José Ramírez",NA,"Wil Myers","25.66%",3
13,785110672,"ThePaintProfessors",0,198.15,"P Matt Cain OF Gerardo Parra OF Jabari Blash OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado 1B Wil Myers C Héctor Sánchez SS Trevor Story 2B Carlos Asuaje",NA,"Carlos Asuaje","25.45%",5
13,785238255,"chuckstrong (1/2)",0,198.15,"P Matt Cain OF Gerardo Parra OF Jabari Blash OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado 1B Wil Myers C Héctor Sánchez SS Trevor Story 2B Carlos Asuaje",NA,"Jabari Blash","25.45%",11
15,785238394,"cxt7 (20/20)",0,197.8,"C Ryan Hanigan P Carlos Carrasco OF Matt Joyce 2B Jed Lowrie 1B Carlos Santana 3B Nolan Arenado OF Corey Dickerson P Jon Gray OF Jaycob Brugman SS Trevor Story",NA,"Francisco Lindor","24.76%",2
16,785242346,"omahaviking (13/20)",0,197.15,"P Matt Cain OF Ian Desmond OF Matt Joyce OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado 2B DJ LeMahieu 1B Wil Myers C Héctor Sánchez SS Trevor Story",NA,"DJ LeMahieu","24.18%",9
17,785005778,"Gecue",0,195.95,"C Ryan Hanigan 1B Mark Reynolds OF Brandon Belt P Sonny Gray 3B Nolan Arenado 2B DJ LeMahieu P Jon Gray OF Jaycob Brugman OF Cory Spangenberg SS Trevor Story",NA,"Mark Reynolds","22.42%",0
17,785221465,"WaterboyRI (3/20)",0,195.95,"C Ryan Hanigan OF Michael Brantley OF Khris Davis P Sonny Gray 3B Nolan Arenado 1B Wil Myers P Jon Gray OF Jaycob Brugman SS Trevor Story 2B José Ramírez",NA,"Abraham Almonte","21.15%",0
19,785242353,"omahaviking (20/20)",0,195.15,"P Matt Cain OF Ian Desmond 1B Mark Reynolds OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado C Héctor Sánchez OF Cory Spangenberg SS Trevor Story 2B Carlos Asuaje",NA,"Wilson Ramos","21.09%",5
20,785169498,"FloridasFinest86 (2/2)",0,195.1,"OF Denard Span OF Michael Brantley 1B Carlos Santana P Sonny Gray 3B Nolan Arenado C Héctor Sánchez OF Jaycob Brugman SS Trevor Story P Jake Faria 2B José Ramírez",NA,"Michael Brantley","19.93%",16
21,785138911,"Vols4life19",0,194.95,"C Ryan Hanigan OF Ian Desmond 2B Jed Lowrie OF Gerardo Parra OF Abraham Almonte 1B Yonder Alonso P Sonny Gray 3B Nolan Arenado P Jon Gray SS Trevor Story",NA,"Cory Spangenberg","19.71%",21
22,785225984,"Odd_Cow",0,194.15,"P Matt Cain 1B Mark Reynolds 2B Jed Lowrie OF Khris Davis OF Gerardo Parra OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado C Héctor Sánchez SS Trevor Story",NA,"Carlos Santana","18.60%",10
23,785223351,"blakeskylarrogers (1/9)",0,193.95,"OF Denard Span OF Matt Joyce 1B Carlos Santana OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado C Héctor Sánchez SS Marcus Semien P Jon Gray 2B Carlos Asuaje",NA,"Khris Davis","18.54%",5
23,785223475,"blakeskylarrogers (2/9)",0,193.95,"OF Denard Span OF Matt Joyce 1B Carlos Santana OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado C Héctor Sánchez SS Marcus Semien P Jon Gray 2B Carlos Asuaje",NA,"Jaycob Brugman","17.38%",9
23,785223642,"blakeskylarrogers (3/9)",0,193.95,"OF Denard Span OF Matt Joyce 1B Carlos Santana OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado C Héctor Sánchez SS Marcus Semien P Jon Gray 2B Carlos Asuaje",NA,"Tim Beckham","17.27%",0
23,785223686,"blakeskylarrogers (4/9)",0,193.95,"OF Denard Span OF Matt Joyce 1B Carlos Santana OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado C Héctor Sánchez SS Marcus Semien P Jon Gray 2B Carlos Asuaje",NA,"Evan Longoria","15.30%",10
23,785233475,"blakeskylarrogers (5/9)",0,193.95,"OF Denard Span OF Matt Joyce 1B Carlos Santana OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado C Héctor Sánchez SS Marcus Semien P Jon Gray 2B Carlos Asuaje",NA,"Manuel Margot","15.25%",5
23,785233489,"blakeskylarrogers (6/9)",0,193.95,"OF Denard Span OF Matt Joyce 1B Carlos Santana OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado C Héctor Sánchez SS Marcus Semien P Jon Gray 2B Carlos Asuaje",NA,"Steven Souza Jr.","14.51%",2
23,785233518,"blakeskylarrogers (7/9)",0,193.95,"OF Denard Span OF Matt Joyce 1B Carlos Santana OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado C Héctor Sánchez SS Marcus Semien P Jon Gray 2B Carlos Asuaje",NA,"Gerardo Parra","14.40%",16
23,785233538,"blakeskylarrogers (8/9)",0,193.95,"OF Denard Span OF Matt Joyce 1B Carlos Santana OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado C Héctor Sánchez SS Marcus Semien P Jon Gray 2B Carlos Asuaje",NA,"Ryan Hanigan","13.60%",19
23,785233567,"blakeskylarrogers (9/9)",0,193.95,"OF Denard Span OF Matt Joyce 1B Carlos Santana OF Charlie Blackmon P Sonny Gray 3B Nolan Arenado C Héctor Sánchez SS Marcus Semien P Jon Gray 2B Carlos Asuaje",NA,"Jed Lowrie","13.12%",10
32,785183832,"jrsr75",0,193.4,"P Matt Cain 1B Brandon Belt OF Khris Davis OF Gerardo Parra C Wilson Ramos OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu P Jon Gray SS Trevor Story",NA,"Matt Cain","13.07%",13.3
