"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,785809232,"thelandontaylor (7/8)",0,177.4,"OF Brandon Moss OF Adam Jones SS Elvis Andrus OF Alex Gordon 3B Mike Moustakas P Madison Bumgarner C Salvador Perez 1B Eric Hosmer 2B Jonathan Schoop P Luis Severino",NA,"Madison Bumgarner","45.32%",12.05
2,785950224,"acekingkong (4/9)",0,177.1,"2B Brandon Phillips OF Shin-soo Choo P Felix Hernandez OF Adam Jones SS Alcides Escobar C Kurt Suzuki 1B Eric Hosmer 3B Nicholas Castellanos OF Aaron Judge P Luis Severino",NA,"Cody Bellinger","33.23%",5
3,785959839,"boozinbuffalo (2/20)",0,176.4,"OF Brandon Moss OF Adam Jones SS Alcides Escobar OF Alex Gordon P Madison Bumgarner C Salvador Perez 1B Eric Hosmer 2B Jonathan Schoop 3B Manny Machado P Luis Severino",NA,"Brandon McCarthy","33.20%",1
4,785926314,"traholmes21",0,175.2,"1B Mike Napoli OF Shin-soo Choo OF Adam Jones OF Mark Trumbo SS Elvis Andrus 3B Mike Moustakas P Danny Duffy C Salvador Perez 2B Whit Merrifield P Luis Severino",NA,"Corey Seager","27.52%",7
5,785800616,"juanshen (6/20)",0,171.4,"OF Brandon Moss OF Adam Jones OF Mark Trumbo 3B Mike Moustakas P Madison Bumgarner C Salvador Perez SS Rubén Tejada 1B Eric Hosmer 2B Starlin Castro P Luis Severino",NA,"Adrián Béltre","25.22%",10
6,785796426,"invertedcheese (19/20)",0,170.1,"3B Adrián Béltre OF Shin-soo Choo P Felix Hernandez OF Lorenzo Cain C Salvador Perez 1B Eric Hosmer 2B Whit Merrifield OF Jorge Bonifacio P Luis Severino SS Corey Seager",NA,"Luis Severino","23.79%",26.35
7,785909247,"ehlowel (3/20)",0,169.8,"P Felix Hernandez OF Adam Jones SS Alcides Escobar OF Mark Trumbo OF Lorenzo Cain P Madison Bumgarner C Salvador Perez 1B Eric Hosmer 2B Jonathan Schoop 3B Manny Machado",NA,"Elvis Andrus","22.46%",2
8,786013390,"Jimwest528 (10/11)",0,168.85,"1B Mike Napoli OF Adam Jones C Welington Castillo 3B Mike Moustakas P Jhoulys Chacin SS Didi Gregorius 2B Jonathan Schoop OF Aaron Judge OF Mikie Mahtook P Luis Severino",NA,"James McCann","22.26%",3
9,785950009,"gfella05",0,168.8,"OF Shin-soo Choo P Felix Hernandez OF Adam Jones OF Justin Upton P Madison Bumgarner C Salvador Perez 1B Eric Hosmer SS Jean Segura 3B Kyle Seager 2B Whit Merrifield",NA,"Justin Upton","22.07%",10
10,785761753,"jgAllDay (15/20)",0,167.9,"OF Brandon Moss OF Adam Jones OF Mark Trumbo 3B Mike Moustakas P Madison Bumgarner P Danny Duffy C Salvador Perez 1B Eric Hosmer 2B Whit Merrifield SS Corey Seager",NA,"Mike Napoli","21.86%",21
