"Charlie Blackmon_COL","Nolan Arenado_COL","Mookie Betts_BOS","Andrew McCutchen_PIT","Mike Trout_LAA","Josh Bell_PIT","Starling Marte_PIT","Mark Reynolds_COL","Gerardo Parra_COL","Josh Harrison_PIT","Gregory Polanco_PIT","Trevor Story_COL","Dustin Pedroia_BOS","DJ LeMahieu_COL","Adam Frazier_PIT","Ian Desmond_COL","David Freese_PIT","Jordy Mercer_PIT","David Dahl_COL","Xander Bogaerts_BOS","Andrew Benintendi_BOS","Hanley Ramirez_BOS","Carlos Gonzalez_COL","Jose Osuna_PIT","Jackie Bradley_BOS","Francisco Cervelli_PIT","Raimel Tapia_COL","Pat Valaika_COL","Cameron Maybin_LAA","Mitch Moreland_BOS","Chris Young_BOS","Danny Ortiz_PIT","Elias Diaz_PIT","Albert Pujols_LAA","Jefry Marte_LAA","Andrelton Simmons_LAA","Jordan Patterson_COL","Jhonny Peralta_BOS","Mike Tauchman_COL","Ben Revere_LAA","Nick Franklin_LAA","Brock Holt_BOS","CJ Cron_LAA","Alexi Amarista_COL","Stephen Cardullo_COL","Jacob Stallings_PIT","Tom Murphy_COL","Max Moroff_PIT","Yunel Escobar_LAA","Kole Calhoun_LAA","Gift Ngoepe_PIT","Cristhian Adames_COL","Martin Maldonado_LAA","Pablo Sandoval_BOS","Luis Valbuena_LAA","Danny Espinosa_LAA","Ryan Hanigan_COL","John Jaso_PIT","Tony Wolters_COL","Kevin Newman_PIT","John Bormann_PIT","Steve Selsky_BOS","Marco Hernandez_BOS","Chris Stewart_PIT","Eric Young_LAA","Deven Marrero_BOS","Josh Rutledge_BOS","Sam Travis_BOS","Tzu-Wei Lin_BOS","David Fletcher_LAA","Dustin Garneau_COL","Phil Gosselin_PIT","Chris Bostick_PIT","Sandy Leon_BOS","Christian Vazquez_BOS","Nolan Fontana_LAA","Cliff Pennington_LAA","Carlos Perez_LAA","Juan Graterol_LAA","Shane Robinson_LAA","Kaleb Cowart_LAA"
72.6626570435712,23.6385542168675,0,0,0,0,0,14.2893028024607,17.9676113360324,0,0,11.7647058823529,0,11.6227848101266,0,7.81176470588235,0,0,0,0,0,0,7.29393939393939,0,0,0,25.1184210526316,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4448529411765,5.4,0,0,0,0,0,0,0,0,0,0,0,32.8205128205128,0,11.9593613933237,0,0,0,0,0,0,0,0,0,0,0,4.21428571428571,0,0,0,0,0,0,0,0,0,0
23.6385542168675,98.7677154582763,0,0,0,0,0,4.61614035087719,7.29230769230769,0,0,27.5137529137529,0,15.0478740668614,0,15.472850678733,0,0,0,0,0,0,1.875,0,0,0,7.85,38.7032967032967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.625,14.05,0,0,0,0,0,0,0,0,0,0,0,76.7472527472527,0,-3.53294117647059,0,0,0,0,0,0,0,0,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0
0,0,99.1774770173647,0,0,0,0,0,0,0,0,0,24.2150905432596,0,0,0,0,0,0,10.4943037974684,17.0695488721805,22.3972602739726,0,0,8.98474178403756,0,0,0,0,0.435024065161051,-17.6452347083926,0,0,0,0,0,0,0,0,0,0,11.9107142857143,0,0,0,0,0,0,0,0,0,0,0,10.9387351778656,0,0,0,0,0,0,0,0,-5.1,0,0,20.3776276276276,-1.33833333333333,5.81944444444444,48.8181818181818,0,0,0,0,12.6231501057082,-4.73787878787879,0,0,0,0,0,0
0,0,0,64.4973876698015,0,6.38875598086124,28.7,0,0,1.62059620596206,0.349531116794544,0,0,0,2.84615384615385,0,12.8556319407721,7.98518518518518,0,0,0,0,0,19.5289855072464,0,9.33473095737247,0,0,0,0,0,0,2.03333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5714285714286,0,0,0,0,0,0,0,0,0,2.74777183600713,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,48.0310204081633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2674253200569,0,0,0,0,9.59800664451827,13.5281385281385,11.0416666666667,0,0,0,23.1241830065359,-8,0,14.0238095238095,0,0,0,0,0,4.20084033613445,1.37222222222222,0,0,-7.29268292682927,0,-2.23529411764706,18.6755793226381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.8333333333333,6.63461538461539,0,16.55,0,0
0,0,0,6.38875598086124,0,60.7095679012346,56.6987179487179,0,0,-0.84703196347032,6.67636171337916,0,0,0,-0.00935374149659864,0,-6.19090909090909,2.64087375046279,0,0,0,0,0,-19.7236842105263,0,2.03018707482993,0,0,0,0,0,0,20.030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.5178571428571,0,0,0,0,0,0,0,0,0,-2.3508064516129,0,0,0,0,0,-4.02614379084967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,28.7,0,56.6987179487179,102.533333333333,0,0,16.8681318681319,-9.58181818181818,0,0,0,34.4444444444444,0,-3.07692307692308,16.2307692307692,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.2893028024607,4.61614035087719,0,0,0,0,0,69.3949367088608,4.28125,0,0,-4.09216589861751,0,5.51921613394216,0,3.2719806763285,0,0,0,0,0,0,14.2199032062916,0,0,0,-4.95424836601307,15.0477941176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2527472527473,0.1,0,0,0,0,0,0,0,0,0,0,0,1.58241758241758,0,10.7257169287697,0,0,0,0,0,0,0,0,0,0,0,2.06593406593407,0,0,0,0,0,0,0,0,0,0
17.9676113360324,7.29230769230769,0,0,0,0,0,4.28125,57.5719512195122,0,0,11.125,0,-4.08771929824561,0,-12.2,0,0,0,0,0,0,12.6724137931034,0,0,0,2.5,-5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,42.6666666666667,0,-1.72044334975369,0,0,0,0,0,0,0,0,0,0,0,-1.85714285714286,0,0,0,0,0,0,0,0,0,0
0,0,0,1.62059620596206,0,-0.84703196347032,16.8681318681319,0,0,44.7313539873781,-7.26314484126984,0,0,0,12.6489361702128,0,4.84336645236704,5.21326042378674,0,0,0,0,0,8.90333333333333,0,15.969387755102,0,0,0,0,0,0,30.7714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42857142857143,0,0,0,0,0,0,0,0,0,5.92150537634409,0,0,0,0,0,-10.8014705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
