"Cody Bellinger_LAD","Michael Conforto_NYM","Chris Taylor_LAD","Corey Seager_LAD","Yoenis Cespedes_NYM","Jay Bruce_NYM","Justin Turner_LAD","Lucas Duda_NYM","Yasmani Grandal_LAD","Asdrubal Cabrera_NYM","Miguel Sano_MIN","Wilmer Flores_NYM","Brian Dozier_MIN","Yasiel Puig_LAD","Neil Walker_NYM","Wil Myers_SD","Cory Spangenberg_SD","Adrian Gonzalez_LAD","Chase Utley_LAD","Eddie Rosario_MIN","Kike Hernandez_LAD","Austin Barnes_LAD","Jose Reyes_NYM","David Wright_NYM","Jose Pirela_SD","Ryan Schimpf_SD","Curtis Granderson_NYM","Travis d'Arnaud_NYM","Yangervis Solarte_SD","Hunter Renfroe_SD","Eduardo Escobar_MIN","Franklin Gutierrez_LAD","Max Kepler_MIN","Peter O'Brien_LAD","Alex Dickerson_SD","Joe Mauer_MIN","Joc Pederson_LAD","TJ Rivera_NYM","Kennys Vargas_MIN","Carlos Asuaje_SD","Amed Rosario_NYM","Trayce Thompson_LAD","Byron Buxton_MIN","Jabari Blash_SD","Hector Sanchez_SD","Travis Jankowski_SD","Brandon Nimmo_NYM","Logan Forsythe_LAD","Robbie Grossman_MIN","Andrew Toles_LAD","Willie Calhoun_LAD","Matt Szczur_SD","Jason Castro_MIN","Rob Segedin_LAD","Alex Verdugo_LAD","Juan Lagares_NYM","Chase d'Arnaud_SD","Matt Reynolds_NYM","Manuel Margot_SD","Gavin Cecchini_NYM","Andre Ethier_LAD","Zack Granite_MIN","Christian Bethancourt_SD","Austin Hedges_SD","Kevin Plawecki_NYM","Luis Urias_SD","Scott Van Slyke_LAD","Erick Aybar_SD","Ehire Adrianza_MIN","Franchy Cordero_SD","Rene Rivera_NYM","Chris Gimenez_MIN","Anthony Recker_MIN","Mike Freeman_LAD","Daniel Palka_MIN","Jorge Polanco_MIN","Brett Eibner_LAD","Dusty Coleman_SD","Jose Rondon_SD","Allen Cordoba_SD","Luis Torrens_SD"
73,0,61,65,0,0,48,0,56,0,0,0,0,59,0,0,0,25,47,0,0,19,0,0,0,0,0,0,0,0,0,8,0,0,0,0,37,0,0,0,0,6,0,0,0,0,0,38,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0,64,0,0,21,60,0,43,0,40,0,33,0,0,42,0,0,0,0,0,0,0,53,0,0,0,45,29,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,2,0,0,0,0,5,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
61,0,66,57,0,0,42,0,46,0,0,0,0,53,0,0,0,19,36,0,0,22,0,0,0,0,0,0,0,0,0,10,0,0,0,0,32,0,0,0,0,5,0,0,0,0,0,34,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0
65,0,57,84,0,0,58,0,65,0,0,0,0,72,0,0,0,38,49,0,0,20,0,0,0,0,0,0,0,0,0,11,0,0,0,0,43,0,0,0,0,7,0,0,0,0,0,45,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0
0,21,0,0,46,43,0,33,0,37,0,21,0,0,20,0,0,0,0,0,0,0,44,0,0,0,27,33,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
0,60,0,0,43,87,0,58,0,58,0,45,0,0,55,0,0,0,0,0,0,0,74,0,0,0,65,49,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,0,4,0,0,0,0,6,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
48,0,42,58,0,0,66,0,47,0,0,0,0,57,0,0,0,21,30,0,0,20,0,0,0,0,0,0,0,0,0,10,0,0,0,0,40,0,0,0,0,7,0,0,0,0,0,32,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,43,0,0,33,58,0,62,0,42,0,32,0,0,34,0,0,0,0,0,0,0,51,0,0,0,46,37,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,2,0,0,0,0,2,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
56,0,46,65,0,0,47,0,70,0,0,0,0,63,0,0,0,36,50,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,42,0,0,0,0,3,0,0,0,0,0,36,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40,0,0,37,58,0,42,0,61,0,23,0,0,37,0,0,0,0,0,0,0,49,0,0,0,47,39,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,76,0,69,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,43,0,64,0,0,60,0,0,29,0,0,0,60,0,0,0,0,0,59,0,0,0,53,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,14,0,0,24,0,0,0,57,0,0,0,0,0
0,33,0,0,21,45,0,32,0,23,0,48,0,0,27,0,0,0,0,0,0,0,38,0,0,0,37,26,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,3,0,0,0,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
