"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Chris Sale",13400,"BOS@SEA 03:40PM ET",30.625,"BOS","SEA",32.7,26,26.1785,NA,38.75
"SP","Yu Darvish",12100,"MIA@TEX 08:05PM ET",19.79,"TEX","MIA",21.93,19.9,19.408,NA,-8.35
"SP","Luis Severino",11500,"CIN@NYY 01:05PM ET",20.984,"NYY","CIN",25.74,19.5,21.81,NA,34.75
"SP","Carlos Carrasco",11000,"LAA@CLE 07:10PM ET",20.434,"CLE","LAA",24.2,19,21.082,NA,15.45
"SP","Mike Fiers",10200,"HOU@PHI 07:05PM ET",15.583,"HOU","PHI",NA,15.3,15.212,NA,11
"SP","Gio Gonzalez",9700,"MIL@WAS 07:05PM ET",19.145,"WAS","MIL",22.76,16,21.568,NA,24.15
"SP","Jake Arrieta",9300,"CHC@CWS 08:08PM ET",13.909,"CHC","CWS",22.78,16.7,20.743,NA,22.6
"SP","Alex Cobb",8600,"BAL@TB 12:10PM ET",14.648,"TB","BAL",18.87,15.4,20.015,NA,26.75
"SP","Carlos Martinez",8400,"COL@STL 08:15PM ET",20.12,"STL","COL",23.3,16.8,20.017,NA,18.1
"SP","Jimmy Nelson",8000,"MIL@WAS 07:05PM ET",19.21,"MIL","WAS",15.08,14.4,16.357,NA,28.75
"SP","Patrick Corbin",7900,"ATL@ARI 03:40PM ET",12.87,"ARI","ATL",17.85,14.2,13.61,NA,16.3
"SP","Ian Kennedy",7800,"KC@DET 07:10PM ET",12.942,"KC","DET",14.56,14.4,13.206,NA,20.5
"SP","Steven Matz",7700,"NYM@SD 10:10PM ET",8.455,"NYM","SD",17.26,15.1,19.56,NA,-3.25
"SP","Jeff Samardzija",7600,"PIT@SF 03:45PM ET",14.841,"SF","PIT",19.31,17.4,20.4995,NA,30.75
"SP","Aaron Nola",7500,"HOU@PHI 07:05PM ET",19.653,"PHI","HOU",19.98,17.3,16.1035,NA,34.5
"SP","Ervin Santana",7400,"MIN@LAD 10:10PM ET",18.073,"MIN","LAD",14.38,13.1,18.8195,NA,16.8
"SP","Jhoulys Chacin",7400,"NYM@SD 10:10PM ET",12.941,"SD","NYM",16.89,14.4,15.514,NA,17.8
"SP","Jeff Hoffman",6600,"COL@STL 08:15PM ET",12.75,"COL","STL",14.24,14.4,14.144,NA,-3
"SP","Ricky Nolasco",6500,"LAA@CLE 07:10PM ET",12.178,"LAA","CLE",10.83,11.3,15.151,NA,10.4
"SP","Jose Urena",6400,"MIA@TEX 08:05PM ET",9.474,"MIA","TEX",10.32,8.1,7.438,NA,10.45
"RP","Trevor Williams",6300,"PIT@SF 03:45PM ET",8.625,"PIT","SF",14.86,12.7,12.311,NA,11.3
"SP","Anibal Sanchez",5900,"KC@DET 07:10PM ET",6.682,"DET","KC",14.76,13.3,13.877,NA,1.65
"SP","Marco Estrada",5800,"OAK@TOR 07:07PM ET",13.28,"TOR","OAK",14.79,13.8,17.367,NA,11.05
"SP","Paul Blackburn",5600,"OAK@TOR 07:07PM ET",11.063,"OAK","TOR",10.8,8.7,9.742,NA,18.75
"SP","Homer Bailey",5500,"CIN@NYY 01:05PM ET",3.783,"CIN","NYY",7.95,10.6,15.667,NA,-3.7
"SP","James Shields",5000,"CHC@CWS 08:08PM ET",8.178,"CWS","CHC",8.15,10.2,12.048,NA,6.2
"SP","Ubaldo Jimenez",4900,"BAL@TB 12:10PM ET",7.195,"BAL","TB",9.94,12,14.744,NA,24.5
"SP","Andrew Moore",4800,"BOS@SEA 03:40PM ET",7.58,"SEA","BOS",10.72,10.7,11.21,NA,8.8
"SP","Aaron Blair",4500,"ATL@ARI 03:40PM ET",0,"ATL","ARI",7.51,8.2,6.705,NA,-3.25
"SP","Brock Stewart",4100,"MIN@LAD 10:10PM ET",7.308,"LAD","MIN",12.66,17.1,17.666,NA,8.65
