"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,789291234,"luportermc (5/20)",0,199.9,"P Jon Lester 1B Anthony Rizzo OF Kyle Schwarber P Zack Godley SS Tim Beckham 3B Derek Dietrich 2B Dee Gordon OF Christian Yelich C J.T. Realmuto OF Manuel Margot",NA,"Zack Godley","39.35%",30.15
2,788982719,"DANDOGCAR (1/2)",0,195.25,"1B Anthony Rizzo OF Kyle Schwarber P Zack Godley 3B Evan Longoria P Chris Archer SS Tim Beckham 2B Dee Gordon OF Christian Yelich C J.T. Realmuto OF Manuel Margot",NA,"Giancarlo Stanton","38.85%",8
2,789120581,"A_PIMP_NAMED_SLICK (6/8)",0,195.25,"1B Anthony Rizzo OF Kyle Schwarber P Zack Godley 3B Evan Longoria P Chris Archer SS Tim Beckham 2B Dee Gordon OF Christian Yelich C J.T. Realmuto OF Manuel Margot",NA,"J.T. Realmuto","34.81%",5
2,789120582,"A_PIMP_NAMED_SLICK (7/8)",0,195.25,"1B Anthony Rizzo OF Kyle Schwarber P Zack Godley 3B Evan Longoria P Chris Archer SS Tim Beckham 2B Dee Gordon OF Christian Yelich C J.T. Realmuto OF Manuel Margot",NA,"Anthony Rizzo","33.97%",22
2,789165497,"jtaack (5/7)",0,195.25,"1B Anthony Rizzo OF Kyle Schwarber P Zack Godley 3B Evan Longoria P Chris Archer SS Tim Beckham 2B Dee Gordon OF Christian Yelich C J.T. Realmuto OF Manuel Margot",NA,"Dee Gordon","32.33%",13
2,789182034,"mbunner23",0,195.25,"1B Anthony Rizzo OF Kyle Schwarber P Zack Godley 3B Evan Longoria P Chris Archer SS Tim Beckham 2B Dee Gordon OF Christian Yelich C J.T. Realmuto OF Manuel Margot",NA,"Jon Lester","31.57%",20.75
2,789196055,"jmyers07",0,195.25,"1B Anthony Rizzo OF Kyle Schwarber P Zack Godley 3B Evan Longoria P Chris Archer SS Tim Beckham 2B Dee Gordon OF Christian Yelich C J.T. Realmuto OF Manuel Margot",NA,"Chris Flexen","30.03%",-1.25
2,789253108,"bradrunner (1/2)",0,195.25,"1B Anthony Rizzo OF Kyle Schwarber P Zack Godley 3B Evan Longoria P Chris Archer SS Tim Beckham 2B Dee Gordon OF Christian Yelich C J.T. Realmuto OF Manuel Margot",NA,"Christian Yelich","29.36%",14
2,789326391,"Doc_Holliday1851",0,195.25,"1B Anthony Rizzo OF Kyle Schwarber P Zack Godley 3B Evan Longoria P Chris Archer SS Tim Beckham 2B Dee Gordon OF Christian Yelich C J.T. Realmuto OF Manuel Margot",NA,"CC Sabathia","27.84%",4.15
10,789291232,"luportermc (3/20)",0,194.25,"1B Anthony Rizzo OF Kyle Schwarber P Zack Godley 3B Evan Longoria P Chris Archer 2B Dee Gordon SS Miguel Rojas OF Christian Yelich C J.T. Realmuto OF Manuel Margot",NA,"Chris Archer","27.47%",22.1
11,789128122,"jabraun42 (3/14)",0,193.25,"1B José Abreu OF Kyle Schwarber P Zack Godley 3B Evan Longoria P Chris Archer SS Tim Beckham 2B Dee Gordon OF Christian Yelich C J.T. Realmuto OF Jay Bruce",NA,"Paul DeJong","27.13%",8
12,789297406,"albaturgil (2/2)",0,191.9,"P Jon Lester OF Jason Heyward 1B José Abreu OF Kyle Schwarber 2B Yoán Moncada P Zack Godley SS Paul DeJong 3B Evan Longoria C Gary Sánchez OF Manuel Margot",NA,"Kyle Schwarber","24.03%",40
12,789330191,"stoney12 (1/20)",0,191.9,"P Jon Lester 1B Anthony Rizzo OF Kyle Schwarber SS Chris Owings P Zack Godley 3B Derek Dietrich 2B Dee Gordon C Tucker Barnhart OF Christian Yelich OF Manuel Margot",NA,"Ben Zobrist","23.90%",0
14,789205988,"jro530",0,191.25,"OF Melky Cabrera 1B José Abreu OF Kyle Schwarber P Zack Godley 2B Paul DeJong OF Brett Gardner 3B Evan Longoria P Chris Archer C J.T. Realmuto SS Asdrúbal Cabrera",NA,"Didi Gregorius","23.09%",8
15,789263020,"patsalko (19/20)",0,190.25,"2B Ben Zobrist 1B Anthony Rizzo C Willson Contreras OF Kyle Schwarber SS Tim Anderson P Zack Godley P Chris Archer OF Christian Yelich 3B Dusty Coleman OF Manuel Margot",NA,"Evan Longoria","22.04%",17
15,789263022,"patsalko (20/20)",0,190.25,"2B Ben Zobrist 1B Anthony Rizzo C Willson Contreras OF Kyle Schwarber SS Chris Owings P Zack Godley P Chris Archer OF Christian Yelich 3B Dusty Coleman OF Manuel Margot",NA,"Marcell Ozuna","21.83%",2
17,789329141,"anubis007",0,190.1,"1B Anthony Rizzo C Willson Contreras OF Kyle Schwarber OF Tommy Pham P Zack Godley 2B Paul DeJong 3B Evan Longoria SS Didi Gregorius P Chris O'Grady OF Manuel Margot",NA,"Kris Bryant","20.50%",2
18,789262989,"patsalko (16/20)",0,189.25,"OF Ben Zobrist 1B Anthony Rizzo C Willson Contreras OF Kyle Schwarber SS Tim Anderson P Zack Godley P Chris Archer 2B Dee Gordon 3B Dusty Coleman OF Manuel Margot",NA,"Willson Contreras","19.72%",11
19,789156522,"ricky.eades (7/8)",0,187.1,"1B Anthony Rizzo 3B Kris Bryant OF Kyle Schwarber P Zack Godley OF Brett Gardner SS Didi Gregorius C Gary Sánchez OF Aaron Judge P Chris O'Grady 2B Asdrúbal Cabrera",NA,"Aaron Judge","16.58%",3
20,789330396,"stoney12 (8/20)",0,184.9,"P Jon Lester 1B Anthony Rizzo OF Kyle Schwarber SS Chris Owings P Zack Godley 3B Derek Dietrich OF Christian Yelich C J.T. Realmuto OF Manuel Margot 2B Carlos Asuaje",NA,"Wilson Ramos","13.94%",0
21,789314291,"dancop69 (1/6)",0,183.1,"1B José Abreu OF A.J. Pollock OF J.D. Martinez 3B Jake Lamb P Zack Godley OF Brett Gardner SS Didi Gregorius C Gary Sánchez 2B Dee Gordon P Chris O'Grady",NA,"Luke Weaver","13.92%",9.05
22,789163034,"cozman1959 (19/20)",0,181.9,"1B Anthony Rizzo OF Kyle Schwarber P Zack Godley OF Brett Gardner 3B Evan Longoria SS Didi Gregorius C Gary Sánchez OF Giancarlo Stanton 2B Dee Gordon P Chris Flexen",NA,"Chris O'Grady","13.58%",24.95
22,789290171,"13jp",0,181.9,"P Jon Lester 1B Anthony Rizzo OF Kyle Schwarber P Zack Godley 3B Evan Longoria SS Tim Beckham OF Manuel Margot 2B Carlos Asuaje OF Michael Conforto C Luis Torrens",NA,"Addison Russell","13.57%",0
