"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Charlie Blackmon",5600,"COL@WAS 07:05PM ET",10.816,"COL","WAS",10.72,8.3,11.37,NA,"1","1",27
"1B/OF","Cody Bellinger",5500,"SF@LAD 08:08PM ET",9.929,"LAD","SF",6.46,7,10.82,NA,"4","4",7
"OF","Bryce Harper",5500,"COL@WAS 07:05PM ET",11.419,"WAS","COL",11.12,8.7,10.72,NA,"3","3",NA
"3B","Nolan Arenado",5400,"COL@WAS 07:05PM ET",9.902,"COL","WAS",10.21,8.3,10.75,NA,"3","3",22
"SS","Corey Seager",5300,"SF@LAD 08:08PM ET",9.01,"LAD","SF",6.5,6.8,10.56,NA,"2","2",17
"2B","Daniel Murphy",5100,"COL@WAS 07:05PM ET",9.684,"WAS","COL",NA,NA,NA,NA,"5","x",0
"OF","Gerardo Parra",5000,"COL@WAS 07:05PM ET",7.625,"COL","WAS",7.59,6.7,9.13,NA,"4","4",0
"2B/OF","Chris Taylor",4900,"SF@LAD 08:08PM ET",8.793,"LAD","SF",NA,7.6,9.86,NA,"1","1",0
"1B","Ryan Zimmerman",4800,"COL@WAS 07:05PM ET",9.163,"WAS","COL",8.24,9.3,9.02,NA,"4","4",NA
"OF","Khris Davis",4700,"MIN@OAK 04:05PM ET",8.755,"OAK","MIN",9.62,8.7,10.48,NA,"4","4",7
"OF","Andrew McCutchen",4700,"PIT@SD 04:40PM ET",9,"PIT","SD",8.76,11.2,9.13,NA,"3","3",48
"OF","Michael Conforto",4600,"NYM@SEA 04:10PM ET",9.14,"NYM","SEA",6.69,7.6,6.78,NA,"1","1",3
"3B","Anthony Rendon",4600,"COL@WAS 07:05PM ET",9.596,"WAS","COL",7.82,8.4,8.66,NA,"6","5",8
"3B","Justin Turner",4500,"SF@LAD 08:08PM ET",9.051,"LAD","SF",7.7,7.7,11.09,NA,"3","3",7
"2B","DJ LeMahieu",4500,"COL@WAS 07:05PM ET",7.48,"COL","WAS",7.6,7,9.43,NA,"2","2",NA
"SS","Trea Turner",4500,"COL@WAS 07:05PM ET",10.559,"WAS","COL",NA,0,NA,NA,"x","x",NA
"1B/OF","Ian Desmond",4400,"COL@WAS 07:05PM ET",7.338,"COL","WAS",NA,0,NA,NA,"x","x",NA
"SS","Trevor Story",4400,"COL@WAS 07:05PM ET",6.944,"COL","WAS",7.48,6.7,8.32,NA,"7","7",NA
"OF","Joc Pederson",4300,"SF@LAD 08:08PM ET",6.77,"LAD","SF",5.31,0,2.31,NA,"x","x",NA
"1B","Mark Reynolds",4300,"COL@WAS 07:05PM ET",8.786,"COL","WAS",NA,NA,NA,NA,"5","x",0
"OF","Brian Goodwin",4300,"COL@WAS 07:05PM ET",6.817,"WAS","COL",6.94,6.8,9.09,NA,"1","1",12
"SS","Marcus Semien",4200,"MIN@OAK 04:05PM ET",8.067,"OAK","MIN",6.89,7.7,9.73,NA,"2","2",0
"OF","Starling Marte",4200,"PIT@SD 04:40PM ET",7.958,"PIT","SD",8.3,10.5,2.08,NA,"1","1",3
"OF","Hunter Renfroe",4200,"PIT@SD 04:40PM ET",7.063,"SD","PIT",5.95,6,6.4,NA,"x","5",3
"OF","Nelson Cruz",4100,"NYM@SEA 04:10PM ET",8.099,"SEA","NYM",7.88,8.2,10.61,NA,"4","4",22
"C","Yasmani Grandal",4100,"SF@LAD 08:08PM ET",6.835,"LAD","SF",6.38,0,2.13,NA,"x","x",NA
"OF","Jay Bruce",4000,"NYM@SEA 04:10PM ET",8.99,"NYM","SEA",6.01,7,6.6,NA,"4","4",3
"OF","Yasiel Puig",4000,"SF@LAD 08:08PM ET",7.525,"LAD","SF",6.45,7.7,8.16,NA,"7","8",8
"OF","Gregory Polanco",4000,"PIT@SD 04:40PM ET",6.704,"PIT","SD",NA,0,NA,NA,"x","x",NA
"OF","Adam Eaton",4000,"COL@WAS 07:05PM ET",10.13,"WAS","COL",NA,0,NA,NA,"x","x",NA
"2B/SS","Wilmer Difo",4000,"COL@WAS 07:05PM ET",4.246,"WAS","COL",5.4,7.8,8.6,NA,"2","2",22
"OF","David Dahl",4000,"COL@WAS 07:05PM ET",0,"COL","WAS",NA,0,NA,NA,"x","x",NA
"1B","Yonder Alonso",3900,"MIN@OAK 04:05PM ET",7.532,"OAK","MIN",8.7,8,8.67,NA,"3","5",26
"3B","Miguel Sano",3900,"MIN@OAK 04:05PM ET",8.917,"MIN","OAK",8.23,8.5,7.49,NA,"3","3",3
"2B/SS","Asdrubal Cabrera",3900,"NYM@SEA 04:10PM ET",7.114,"NYM","SEA",NA,NA,NA,NA,"2","x",NA
"OF","Ben Gamel",3900,"NYM@SEA 04:10PM ET",7.975,"SEA","NYM",NA,7,9.28,NA,"2","1",17
"OF","Yoenis Cespedes",3900,"NYM@SEA 04:10PM ET",7.561,"NYM","SEA",7.31,7.5,6.88,NA,"3","3",3
"1B","Adrian Gonzalez",3900,"SF@LAD 08:08PM ET",4.9,"LAD","SF",NA,0,NA,NA,"x","x",NA
"1B/2B","Chase Utley",3900,"SF@LAD 08:08PM ET",5.167,"LAD","SF",5.4,0,1.92,NA,"x","x",NA
"1B/C","Buster Posey",3900,"SF@LAD 08:08PM ET",7.783,"SF","LAD",7.77,9.7,6.52,NA,"4","4",10
"C","Austin Barnes",3900,"SF@LAD 08:08PM ET",5.983,"LAD","SF",5.58,6.8,8.68,NA,"6","6",0
"2B/3B","Josh Harrison",3900,"PIT@SD 04:40PM ET",7.58,"PIT","SD",7.27,9.7,8.33,NA,"2","2",0
"OF","Adam Frazier",3900,"PIT@SD 04:40PM ET",6.432,"PIT","SD",6.31,0,1.6,NA,"x","x",NA
"2B","Robinson Cano",3800,"NYM@SEA 04:10PM ET",8.179,"SEA","NYM",8.97,8.9,10.73,NA,"3","3",12
"SS","Jean Segura",3800,"NYM@SEA 04:10PM ET",8.707,"SEA","NYM",7.7,8,10.62,NA,"1","2",5
"3B","David Freese",3800,"PIT@SD 04:40PM ET",6.11,"PIT","SD",6.14,8.9,7.47,NA,"4","4",5
"1B","Josh Bell",3800,"PIT@SD 04:40PM ET",7.32,"PIT","SD",NA,NA,NA,NA,"5","x",NA
"OF","Manuel Margot",3800,"PIT@SD 04:40PM ET",7.437,"SD","PIT",5.82,6.5,6.02,NA,"1","1",8
"OF","Rajai Davis",3700,"MIN@OAK 04:05PM ET",5.988,"OAK","MIN",7.05,0,7.54,NA,"x","x",NA
"2B","Brian Dozier",3700,"MIN@OAK 04:05PM ET",8.365,"MIN","OAK",7.95,8.3,7.68,NA,"1","1",14
"OF","Eddie Rosario",3700,"MIN@OAK 04:05PM ET",6.574,"MIN","OAK",5.97,7.1,6.48,NA,"5","6",4
"3B","Kyle Seager",3700,"NYM@SEA 04:10PM ET",7.287,"SEA","NYM",7.09,7.9,9.27,NA,"5","5",8
"1B/OF","Brandon Belt",3700,"SF@LAD 08:08PM ET",7.79,"SF","LAD",5.76,8.8,7.33,NA,"3","7",4
"2B/OF","Howie Kendrick",3700,"COL@WAS 07:05PM ET",7.875,"WAS","COL",NA,7.1,2,NA,"x","6",5
"1B","Joe Mauer",3600,"MIN@OAK 04:05PM ET",6.918,"MIN","OAK",5.82,7.3,6.15,NA,"4","4",12
"2B","Jed Lowrie",3600,"MIN@OAK 04:05PM ET",6.93,"OAK","MIN",7.06,6.6,8.68,NA,"5","3",8
"OF","Max Kepler",3600,"MIN@OAK 04:05PM ET",6.711,"MIN","OAK",NA,NA,NA,NA,"2","x",NA
"1B/3B","Wilmer Flores",3600,"NYM@SEA 04:10PM ET",5.926,"NYM","SEA",6.1,7.4,5.14,NA,"5","5",6
"C","Mike Zunino",3600,"NYM@SEA 04:10PM ET",6.618,"SEA","NYM",6.52,6.1,6.83,NA,"9","8",6
"OF","Guillermo Heredia",3600,"NYM@SEA 04:10PM ET",5.372,"SEA","NYM",NA,NA,NA,NA,"7","x",NA
"OF/SS","Kike Hernandez",3600,"SF@LAD 08:08PM ET",4.978,"LAD","SF",NA,5.9,7.72,NA,"8","7",NA
