P,P,C,1B,2B,3B,SS,OF,OF,OF
Drew Pomeranz,RA Dickey,Welington Castillo,Trey Mancini,Ben Zobrist,Manny Machado,Francisco Lindor,Mike Trout,Adam Jones,Joey Rickard
Drew Pomeranz,RA Dickey,Willson Contreras,Eric Thames,Ben Zobrist,Kris Bryant,Addison Russell,Mike Trout,Mookie Betts,Jason Heyward
Drew Pomeranz,RA Dickey,Robinson Chirinos,Mike Napoli,Ben Zobrist,Adrian Beltre,Elvis Andrus,Mike Trout,Delino DeShields,Kole Calhoun
Lance McCullers,Drew Pomeranz,Martin Maldonado,Albert Pujols,Ben Zobrist,Yunel Escobar,Francisco Lindor,Mike Trout,Mookie Betts,Kole Calhoun
Drew Pomeranz,RA Dickey,Roberto Perez,Carlos Santana,Jose Ramirez,Manny Machado,Francisco Lindor,Mike Trout,Mookie Betts,Austin Jackson
Drew Pomeranz,Vince Velasquez,Evan Gattis,Hanley Ramirez,Ben Zobrist,Eduardo Nunez,Xander Bogaerts,Mike Trout,Mookie Betts,Andrew Benintendi
Drew Pomeranz,Vince Velasquez,Victor Caratini,Albert Pujols,Ben Zobrist,Kris Bryant,Francisco Lindor,Mike Trout,Jon Jay,Jason Heyward
Drew Pomeranz,Vince Velasquez,Roberto Perez,Edwin Encarnacion,Jose Ramirez,Adrian Beltre,Francisco Lindor,Mike Trout,Jason Heyward,Brandon Guyer
Taijuan Walker,Vince Velasquez,Welington Castillo,Trey Mancini,Jonathan Schoop,Manny Machado,Francisco Lindor,Adam Jones,Mookie Betts,Jason Heyward
Taijuan Walker,Vince Velasquez,Welington Castillo,Mike Napoli,Rougned Odor,Adrian Beltre,Elvis Andrus,Mike Trout,Delino DeShields,Jason Heyward
Drew Pomeranz,Vince Velasquez,Martin Maldonado,Albert Pujols,Jose Ramirez,Manny Machado,Andrelton Simmons,Mike Trout,Adam Jones,Kole Calhoun
Drew Pomeranz,Taijuan Walker,Welington Castillo,Carlos Santana,Jose Ramirez,Giovanny Urshela,Francisco Lindor,Mike Trout,Adam Jones,Brandon Guyer
Vince Velasquez,RA Dickey,Robinson Chirinos,Mike Napoli,Rougned Odor,Adrian Beltre,Francisco Lindor,Mike Trout,Mookie Betts,Carlos Gomez
Justin Verlander,Taijuan Walker,Victor Caratini,Mike Napoli,Ben Zobrist,Kris Bryant,Addison Russell,Mike Trout,Adam Jones,Jason Heyward
Taijuan Walker,Vince Velasquez,Willson Contreras,Carlos Santana,Ben Zobrist,Manny Machado,Addison Russell,Mike Trout,Jon Jay,Jason Heyward
Drew Pomeranz,RA Dickey,Jett Bandy,Eric Thames,Jonathan Villar,Travis Shaw,Francisco Lindor,Mike Trout,Mookie Betts,Ryan Braun
Drew Pomeranz,Taijuan Walker,Robinson Chirinos,Mike Napoli,Brandon Phillips,Adrian Beltre,Elvis Andrus,Mookie Betts,Carlos Gomez,Jason Heyward
Vince Velasquez,Carlos Rodon,Robinson Chirinos,Eric Thames,Jonathan Villar,Adrian Beltre,Elvis Andrus,Mike Trout,Carlos Gomez,Delino DeShields
Drew Pomeranz,Taijuan Walker,Welington Castillo,Albert Pujols,Jonathan Schoop,Manny Machado,Addison Russell,Mike Trout,Adam Jones,Craig Gentry
