"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,791602352,"dlamp81",0,174.95,"P Jeff Samardzija 1B Brandon Belt OF Ben Revere P Jhoulys Chacin C Buster Posey OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu SS Kelby Tomlinson OF Michael Conforto",NA,"Nolan Arenado","66.33%",23
2,791530096,"J-Birdalot",0,163.05,"1B Albert Pujols P Ricky Nolasco OF Jay Bruce C Buster Posey OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Andrelton Simmons OF Max Kepler P José Berríos",NA,"Charlie Blackmon","46.34%",14
3,791975468,"ettuBrute (6/8)",0,159.3,"2B Asdrúbal Cabrera OF Hunter Pence P Jeff Samardzija 1B Brandon Belt OF Gorkys Hernández C Buster Posey OF Charlie Blackmon 3B Nolan Arenado SS Kelby Tomlinson P Aaron Nola",NA,"José Berríos","41.50%",19.35
4,791947988,"sasmallen (3/12)",0,159.1,"OF Hunter Pence OF Jay Bruce P Jhoulys Chacin SS Freddy Galvis C Buster Posey 1B Tommy Joseph 3B Nolan Arenado 2B DJ LeMahieu OF Yoenis Céspedes P José Berríos",NA,"Yoenis Céspedes","39.71%",12
4,791948001,"sasmallen (7/12)",0,159.1,"OF Hunter Pence OF Jay Bruce P Jhoulys Chacin SS Freddy Galvis C Buster Posey 1B Tommy Joseph 3B Nolan Arenado 2B DJ LeMahieu OF Yoenis Céspedes P José Berríos",NA,"Aaron Nola","38.35%",10.1
4,791948008,"sasmallen (11/12)",0,159.1,"OF Hunter Pence OF Jay Bruce P Jhoulys Chacin SS Freddy Galvis C Buster Posey 1B Tommy Joseph 3B Nolan Arenado 2B DJ LeMahieu OF Yoenis Céspedes P José Berríos",NA,"Mike Trout","36.22%",12
7,791612199,"lawrencekubisasr",0,157.05,"1B Albert Pujols P Ricky Nolasco C Buster Posey OF Charlie Blackmon SS Eduardo Escobar OF Mike Trout 3B Nolan Arenado 2B Brian Dozier P José Berríos OF Michael Conforto",NA,"Sean Manaea","35.88%",-1.25
8,791517855,"arweaver2015 (1/2)",0,155.95,"1B Albert Pujols 2B Asdrúbal Cabrera P Jeff Samardzija P Jhoulys Chacin C Buster Posey OF Charlie Blackmon OF Mike Trout 3B Kaleb Cowart SS Andrelton Simmons OF Michael Conforto",NA,"Buster Posey","34.52%",19
9,791628006,"omahaviking (18/20)",0,154.45,"P Ricky Nolasco 1B Mark Reynolds SS Asdrúbal Cabrera OF Matt Joyce P Jhoulys Chacin C Buster Posey 3B Nolan Arenado 2B DJ LeMahieu OF Yoenis Céspedes OF Michael Conforto",NA,"Michael Conforto","34.27%",12
10,791737145,"TheWadd",0,153.9,"1B Albert Pujols OF Carlos González P Jeff Samardzija C Buster Posey OF Charlie Blackmon OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story P Jeff Hoffman",NA,"Mark Reynolds","33.50%",10
11,791562977,"aquafinatim (20/20)",0,149.95,"OF Matt Joyce P Jeff Samardzija P Jhoulys Chacin 1B Buster Posey OF Charlie Blackmon OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story C Bruce Maxwell",NA,"Trevor Story","31.97%",5
12,792012696,"angerisagift",0,149.55,"C Martín Maldonado OF Jay Bruce OF Matt Joyce P Jeff Samardzija 1B Brandon Belt OF Charlie Blackmon 3B Nolan Arenado 2B Brian Dozier SS Marcus Semien P José Berríos",NA,"Jeff Samardzija","24.57%",21.2
13,791477672,"WilRake",0,149.4,"P Ricky Nolasco 1B Mark Reynolds OF Jay Bruce C Buster Posey OF Charlie Blackmon OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Marcus Semien P Jeff Hoffman",NA,"Jhoulys Chacin","24.40%",22.75
14,791553076,"aquafinatim (10/20)",0,149.1,"OF Carlos González 1B Mark Reynolds OF Matt Joyce P Jhoulys Chacin C Buster Posey OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story P José Berríos",NA,"DJ LeMahieu","24.06%",10
15,792032502,"Ryan0812",0,148.55,"OF Matt Joyce P Jeff Samardzija OF Ben Revere C Buster Posey 1B Wilmer Flores OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Andrelton Simmons P José Berríos",NA,"Ricky Nolasco","22.36%",20.7
16,791645418,"oCtoberClassiC",0,147.95,"P Jeff Samardzija 1B Brandon Belt P Jhoulys Chacin C Buster Posey OF Charlie Blackmon OF José Pirela OF Mike Trout 3B Nolan Arenado 2B César Hernández SS Marcus Semien",NA,"Jay Bruce","20.83%",21
17,792018976,"crabboy (5/6)",0,147.1,"OF Ben Revere P Jhoulys Chacin SS Freddy Galvis OF Charlie Blackmon 1B Tommy Joseph 3B Nolan Arenado 2B DJ LeMahieu C Austin Hedges P José Berríos OF Michael Conforto",NA,"Khris Davis","20.66%",2
18,791766325,"staggydiddy",0,146.95,"1B Albert Pujols 2B Asdrúbal Cabrera P Jeff Samardzija OF Khris Davis P Jhoulys Chacin C Buster Posey OF Mike Trout 3B Nolan Arenado OF Yoenis Céspedes SS Amed Rosario",NA,"Brian Dozier","19.56%",0
19,791834237,"thamann2051 (1/4)",0,145.5,"1B Albert Pujols OF Jay Bruce 2B Jed Lowrie P Jhoulys Chacin C Buster Posey OF Charlie Blackmon OF Mike Trout 3B Nolan Arenado SS Marcus Semien P Sean Manaea",NA,"Neil Walker","19.22%",0
19,791836439,"thamann2051 (2/4)",0,145.5,"1B Albert Pujols OF Jay Bruce 2B Jed Lowrie P Jhoulys Chacin C Buster Posey OF Charlie Blackmon OF Mike Trout 3B Nolan Arenado SS Marcus Semien P Sean Manaea",NA,"Odúbel Herrera","15.56%",3
19,791844340,"thamann2051 (3/4)",0,145.5,"1B Albert Pujols OF Jay Bruce 2B Jed Lowrie P Jhoulys Chacin C Buster Posey OF Charlie Blackmon OF Mike Trout 3B Nolan Arenado SS Marcus Semien P Sean Manaea",NA,"Jonathan Lucroy","15.14%",0
19,791845231,"thamann2051 (4/4)",0,145.5,"1B Albert Pujols OF Jay Bruce 2B Jed Lowrie P Jhoulys Chacin C Buster Posey OF Charlie Blackmon OF Mike Trout 3B Nolan Arenado SS Marcus Semien P Sean Manaea",NA,"Marcus Semien","14.54%",5
23,791525787,"JoshCSportsMan (6/8)",0,144.55,"2B Asdrúbal Cabrera OF Hunter Pence P Jeff Samardzija 1B Brandon Belt C Buster Posey SS Brandon Crawford OF Mike Trout 3B Nolan Arenado OF Odúbel Herrera P José Berríos",NA,"Bruce Maxwell","14.46%",0
23,791622311,"kylehaeussler (10/20)",0,144.55,"C Ryan Hanigan OF Hunter Pence OF Jay Bruce P Jeff Samardzija 1B Tommy Joseph 3B Nolan Arenado 2B DJ LeMahieu OF Yoenis Céspedes P José Berríos SS Amed Rosario",NA,"Asdrúbal Cabrera","14.12%",2
25,791517858,"arweaver2015 (2/2)",0,143.55,"OF Hunter Pence P Jeff Samardzija 1B Brandon Belt 2B Yangervis Solarte C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado OF Manuel Margot P José Berríos",NA,"Tommy Joseph","13.69%",12
26,791585416,"TheXir (1/2)",0,143.05,"P Ricky Nolasco 1B Mark Reynolds OF Hunter Pence OF Gerardo Parra C Buster Posey OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Andrelton Simmons P José Berríos",NA,"Miguel Sanó","13.18%",3
27,791515032,"dirkadude",0,142.55,"1B Albert Pujols C Ryan Hanigan OF Carlos González P Jeff Samardzija OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story OF Yoenis Céspedes P José Berríos",NA,"Wil Myers","13.01%",0
27,792029712,"smol7815 (1/20)",0,142.55,"1B Albert Pujols C Ryan Hanigan OF Carlos González P Jeff Samardzija OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story OF Yoenis Céspedes P José Berríos",NA,"César Hernández","12.67%",8
27,792029897,"smol7815 (2/20)",0,142.55,"1B Albert Pujols C Ryan Hanigan OF Carlos González P Jeff Samardzija OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story OF Yoenis Céspedes P José Berríos",NA,"Amed Rosario","11.73%",3
27,792029919,"smol7815 (3/20)",0,142.55,"1B Albert Pujols C Ryan Hanigan OF Carlos González P Jeff Samardzija OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story OF Yoenis Céspedes P José Berríos",NA,"Carlos González","11.56%",5
27,792029944,"smol7815 (4/20)",0,142.55,"1B Albert Pujols C Ryan Hanigan OF Carlos González P Jeff Samardzija OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story OF Yoenis Céspedes P José Berríos",NA,"Nick Williams","11.39%",3
27,792029968,"smol7815 (5/20)",0,142.55,"1B Albert Pujols C Ryan Hanigan OF Carlos González P Jeff Samardzija OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story OF Yoenis Céspedes P José Berríos",NA,"Freddy Galvis","11.22%",2
27,792030095,"smol7815 (6/20)",0,142.55,"1B Albert Pujols C Ryan Hanigan OF Carlos González P Jeff Samardzija OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story OF Yoenis Céspedes P José Berríos",NA,"Ryan Hanigan","11.22%",5
27,792030142,"smol7815 (7/20)",0,142.55,"1B Albert Pujols C Ryan Hanigan OF Carlos González P Jeff Samardzija OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story OF Yoenis Céspedes P José Berríos",NA,"Travis d'Arnaud","11.14%",5
27,792038648,"smol7815 (8/20)",0,142.55,"1B Albert Pujols C Ryan Hanigan OF Carlos González P Jeff Samardzija OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story OF Yoenis Céspedes P José Berríos",NA,"Yonder Alonso","10.71%",5
27,792038669,"smol7815 (9/20)",0,142.55,"1B Albert Pujols C Ryan Hanigan OF Carlos González P Jeff Samardzija OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story OF Yoenis Céspedes P José Berríos",NA,"Aaron Altherr","9.95%",0
27,792038694,"smol7815 (10/20)",0,142.55,"1B Albert Pujols C Ryan Hanigan OF Carlos González P Jeff Samardzija OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story OF Yoenis Céspedes P José Berríos",NA,"Wilmer Flores","9.95%",2
27,792038733,"smol7815 (11/20)",0,142.55,"1B Albert Pujols C Ryan Hanigan OF Carlos González P Jeff Samardzija OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story OF Yoenis Céspedes P José Berríos",NA,"Gerardo Parra","9.95%",3
27,792038762,"smol7815 (12/20)",0,142.55,"1B Albert Pujols C Ryan Hanigan OF Carlos González P Jeff Samardzija OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story OF Yoenis Céspedes P José Berríos",NA,"Andrelton Simmons","9.61%",8
27,792038788,"smol7815 (13/20)",0,142.55,"1B Albert Pujols C Ryan Hanigan OF Carlos González P Jeff Samardzija OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story OF Yoenis Céspedes P José Berríos",NA,"Jed Lowrie","9.01%",0
27,792038914,"smol7815 (14/20)",0,142.55,"1B Albert Pujols C Ryan Hanigan OF Carlos González P Jeff Samardzija OF Mike Trout 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story OF Yoenis Céspedes P José Berríos",NA,"Jeff Hoffman","7.99%",14.7
