"Aaron Judge_NYY","Justin Smoak_TOR","Brett Gardner_NYY","Gary Sanchez_NYY","Jose Abreu_CWS","Manuel Margot_SD","Justin Upton_DET","Clint Frazier_NYY","Steve Pearce_TOR","Matt Davidson_CWS","Josh Donaldson_TOR","Kendrys Morales_TOR","Brian Dozier_MIN","Leury Garcia_CWS","Troy Tulowitzki_TOR","Didi Gregorius_NYY","Mason Williams_NYY","Ezequiel Carrera_TOR","Yangervis Solarte_SD","Miguel Sano_MIN","Devon Travis_TOR","Nicholas Castellanos_DET","Mikie Mahtook_DET","Todd Frazier_NYY","Russell Martin_TOR","Chase Headley_NYY","Eduardo Escobar_MIN","Avisail Garcia_CWS","Alen Hanson_CWS","Joe Mauer_MIN","Miguel Cabrera_DET","James McCann_DET","Aaron Hicks_NYY","Miguel Andujar_NYY","Jason Castro_MIN","Cory Spangenberg_SD","Tyler Wade_NYY","Starlin Castro_NYY","Ronald Torreyes_NYY","Robbie Grossman_MIN","Kennys Vargas_MIN","Norichika Aoki_TOR","Jose Bautista_TOR","Garrett Cooper_NYY","Greg Bird_NYY","Ji-Man Choi_NYY","Jose Pirela_SD","Byron Buxton_MIN","Hunter Renfroe_SD","Ryan Schimpf_SD","Kevin Pillar_TOR","Jose Iglesias_DET","Ian Kinsler_DET","Matt Holliday_NYY","Yoan Moncada_CWS","Miguel Montero_TOR","Rob Refsnyder_TOR","Eddie Rosario_MIN","Ian Parmley_TOR","Rowdy Tellez_TOR","Harold Ramirez_TOR","Dalton Pompey_TOR","Richard Urena_TOR","Tyler Austin_NYY","Jacoby Ellsbury_NYY","Max Kepler_MIN","Charlie Tilson_CWS","Willy Garcia_CWS","Jarrod Saltalamacchia_TOR","Jeimer Candelario_DET","Alex Dickerson_SD","Wil Myers_SD","Darrell Ceciliani_TOR","Dixon Machado_DET","Alex Presley_DET","Ehire Adrianza_MIN","Austin Hedges_SD","Anthony Alford_TOR","Chris Coghlan_TOR","Gleyber Torres_NYY","JaCoby Jones_DET","Travis Jankowski_SD","Jacob May_CWS","John Hicks_DET","Victor Martinez_DET","Matt Szczur_SD","Hector Sanchez_SD","Yolmer Sanchez_CWS","Teoscar Hernandez_TOR","Dwight Smith_TOR","Tyler Collins_DET","Andrew Romine_DET","Chase d'Arnaud_SD","Omar Narvaez_CWS","Cody Asche_CWS","Tyler Saladino_CWS","Ryan Goins_TOR","Darwin Barney_TOR","Luke Maile_TOR","Geovany Soto_CWS","Austin Romine_NYY","Jim Adduci_DET","Kyle Higashioka_NYY","Christian Bethancourt_SD","Luis Urias_SD","Chris Gimenez_MIN","Adam Engel_CWS","Tim Anderson_CWS","Erick Aybar_SD","Franchy Cordero_SD","Carlos Asuaje_SD","Jorge Polanco_MIN","Jabari Blash_SD","Kevan Smith_CWS","Anthony Recker_MIN","Allen Cordoba_SD","Mike Ohlman_TOR","Zack Collins_CWS","Luis Torrens_SD","Zack Granite_MIN","Dusty Coleman_SD","Grant Green_CWS","Matt den Dekker_DET","Daniel Palka_MIN","Jose Rondon_SD"
94,0,81,61,0,0,0,18,0,0,0,0,0,0,0,70,3,0,0,0,0,0,0,11,0,80,0,0,0,0,0,0,47,0,0,0,10,73,47,0,0,0,0,4,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,91,0,0,0,0,0,0,48,0,55,84,0,0,55,0,0,43,0,0,39,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,85,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,59,48,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,87,62,0,0,0,18,0,0,0,0,0,0,0,68,2,0,0,0,0,0,0,11,0,73,0,0,0,0,0,0,41,0,0,0,9,65,46,0,0,0,0,4,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,62,66,0,0,0,17,0,0,0,0,0,0,0,58,2,0,0,0,0,0,0,10,0,55,0,0,0,0,0,0,33,0,0,0,8,45,31,0,0,0,0,4,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,91,0,0,0,0,69,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,74,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,58,0,0,0,0,0,45,14,34,0,0,0,9,0,0,0,0,0,0,34,79,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,21,0,59,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,44,0,0,0,0,12,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,23,0,18,0,0,16,0,0,14,0,3,0,0,0,0
0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,75,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,0,0,0,0,0,8,0,0,13,69,0,0,0,0,0,25,40,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,18,17,0,0,0,20,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,11,0,17,0,0,0,0,0,0,0,0,0,0,7,4,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,48,0,0,0,0,0,0,52,0,33,46,0,0,30,0,0,11,0,0,19,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,48,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,33,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,69,0,0,0,0,70,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,58,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,46,0,0,0,0,0,32,3,26,0,0,0,5,0,0,0,0,0,0,28,61,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
