"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,792176612,"Sierra40 (2/10)",0,160.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Steve Pearce 3B Josh Donaldson OF José Pirela OF Kevin Pillar 2B Ian Kinsler C Miguel Montero SS Tim Anderson",NA,"Didi Gregorius","62.09%",3
2,792295342,"WatsonBankz (10/20)",0,159.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Steve Pearce 3B Josh Donaldson 2B Yangervis Solarte SS Eduardo Escobar OF José Pirela OF Kevin Pillar C Kevan Smith",NA,"Masahiro Tanaka","60.57%",21.3
3,792247005,"jbird1111 (12/15)",0,158.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak C Gary Sánchez OF Steve Pearce 3B Josh Donaldson OF Kevin Pillar OF Rob Refsnyder 2B Tyler Saladino SS Tim Anderson",NA,"Josh Donaldson","58.96%",20
4,792295340,"WatsonBankz (8/20)",0,157.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Steve Pearce 3B Josh Donaldson 2B Yangervis Solarte SS Eduardo Escobar OF José Pirela OF José Bautista C Kevan Smith",NA,"Aaron Judge","55.24%",3
4,792295352,"WatsonBankz (20/20)",0,157.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Steve Pearce 3B Josh Donaldson 2B Yangervis Solarte SS Eduardo Escobar OF José Pirela OF José Bautista C Kevan Smith",NA,"J.A. Happ","52.47%",33.55
6,792276521,"SuperStax (2/3)",0,156.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Steve Pearce 3B Josh Donaldson SS Eduardo Escobar C Jason Castro OF José Pirela OF José Bautista 2B Yolmer Sánchez",NA,"José Bautista","46.70%",3
7,792198962,"Casha24 (6/6)",0,155.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Steve Pearce 3B Josh Donaldson SS Eduardo Escobar OF Kevin Pillar OF Rob Refsnyder 2B Tyler Saladino C Kevan Smith",NA,"Ervin Santana","44.92%",37.75
7,792295351,"WatsonBankz (19/20)",0,155.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Steve Pearce 3B Josh Donaldson 2B Yangervis Solarte OF José Pirela OF Kevin Pillar C Miguel Montero SS Tim Anderson",NA,"Gary Sánchez","43.41%",7
9,792260064,"Batman1321 (5/7)",0,153.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Steve Pearce 3B Josh Donaldson SS Eduardo Escobar C Jason Castro OF Kevin Pillar OF Jacoby Ellsbury 2B Tyler Saladino",NA,"Luis Perdomo","33.10%",6.1
9,792295345,"WatsonBankz (13/20)",0,153.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Steve Pearce 3B Josh Donaldson 2B Yangervis Solarte OF José Pirela OF José Bautista C Miguel Montero SS Tim Anderson",NA,"Justin Smoak","32.22%",12
9,792297249,"PSUpested (1/4)",0,153.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Steve Pearce 3B Josh Donaldson OF José Bautista OF Kevin Pillar 2B Tyler Saladino SS Tim Anderson C Kevan Smith",NA,"Brett Gardner","31.80%",3
12,792229606,"brandman219",0,150.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Steve Pearce 3B Josh Donaldson SS Didi Gregorius C Russell Martin 2B Ian Kinsler OF Jacoby Ellsbury OF Tyler Collins",NA,"Steve Pearce","29.14%",18
12,792269813,"lpk8787 (1/3)",0,150.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Steve Pearce 3B Josh Donaldson SS Eduardo Escobar C James McCann OF Kevin Pillar OF Jacoby Ellsbury 2B Darwin Barney",NA,"Jacoby Ellsbury","28.32%",11
12,792293832,"jackdaniels219 (2/2)",0,150.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak C Gary Sánchez 3B Josh Donaldson SS Didi Gregorius OF José Pirela OF Kevin Pillar OF Jacoby Ellsbury 2B Darwin Barney",NA,"Yangervis Solarte","27.10%",0
15,792148074,"player-x",0,149.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Brett Gardner OF Steve Pearce 3B Josh Donaldson SS Didi Gregorius OF Jacoby Ellsbury 2B Darwin Barney C Kevan Smith",NA,"Darwin Barney","23.68%",3
15,792210757,"Phillips29 (2/3)",0,149.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Brett Gardner OF Steve Pearce 3B Josh Donaldson SS Didi Gregorius OF Jacoby Ellsbury 2B Darwin Barney C Kevan Smith",NA,"Kevin Pillar","20.10%",5
15,792266982,"Numeral (2/10)",0,149.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Justin Upton OF Steve Pearce 3B Josh Donaldson C Miguel Montero OF Jacoby Ellsbury 2B Darwin Barney SS Jorge Polanco",NA,"Ian Kinsler","19.43%",5
15,792273960,"bengals69 (1/3)",0,149.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Brett Gardner OF Steve Pearce 3B Josh Donaldson SS Didi Gregorius OF Jacoby Ellsbury 2B Darwin Barney C Kevan Smith",NA,"Kendrys Morales","19.11%",2
15,792296400,"bostoneagle5 (1/10)",0,149.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Steve Pearce 3B Josh Donaldson SS Eduardo Escobar OF Kevin Pillar 2B Ian Kinsler C Miguel Montero OF Jacoby Ellsbury",NA,"Tyler Saladino","15.14%",5
15,792296448,"dramakings (1/2)",0,149.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Brett Gardner OF Steve Pearce 3B Josh Donaldson SS Didi Gregorius OF Jacoby Ellsbury 2B Darwin Barney C Kevan Smith",NA,"Kevan Smith","15.10%",8
15,792296517,"dramakings (2/2)",0,149.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Brett Gardner OF Steve Pearce 3B Josh Donaldson SS Didi Gregorius OF Jacoby Ellsbury 2B Darwin Barney C Kevan Smith",NA,"Justin Upton","14.44%",7
15,792301144,"gazmon (18/20)",0,149.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Justin Upton OF Steve Pearce 3B Josh Donaldson OF Kevin Pillar 2B Ian Kinsler C Miguel Montero SS Tim Anderson",NA,"Tim Anderson","14.41%",11
23,792246937,"weelonny",0,148.3,"P Ervin Santana P J.A. Happ OF Aaron Judge 1B Justin Smoak OF Steve Pearce SS Didi Gregorius 3B Miguel Sanó OF Jacoby Ellsbury 2B Yolmer Sánchez C Kevan Smith",NA,"Miguel Montero","14.08%",0
23,792257070,"thillman (8/20)",0,148.3,"P Ervin Santana P J.A. Happ OF Steve Pearce 3B Josh Donaldson 1B Kendrys Morales SS Eduardo Escobar C Jason Castro OF José Pirela OF Kevin Pillar 2B Darwin Barney",NA,"Eduardo Escobar","13.26%",7
23,792300813,"Dbcartwr",0,148.3,"P Ervin Santana P Jordan Zimmermann 1B Justin Smoak OF Justin Upton OF Steve Pearce 3B Josh Donaldson OF Mikie Mahtook SS Eduardo Escobar C James McCann 2B Ian Kinsler",NA,"Matt Holliday","13.20%",0
23,792315831,"billmontk",0,148.3,"P Ervin Santana P Jordan Zimmermann 1B Justin Smoak OF Justin Upton OF Steve Pearce 3B Josh Donaldson OF Mikie Mahtook SS Eduardo Escobar C James McCann 2B Ian Kinsler",NA,"Miguel Sanó","11.74%",19
23,792321962,"gobluejrm",0,148.3,"P Ervin Santana P J.A. Happ OF Aaron Judge 1B Justin Smoak C Gary Sánchez 3B Josh Donaldson 2B Ian Kinsler OF Jacoby Ellsbury OF Jim Adduci SS Tim Anderson",NA,"José Abreu","11.41%",2
28,792137439,"malta1986",0,147.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Brett Gardner OF Steve Pearce 3B Josh Donaldson 2B Ian Kinsler C Miguel Montero OF Jacoby Ellsbury SS Jorge Polanco",NA,"Leury García","10.40%",5
28,792194833,"Harvo99 (3/5)",0,147.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Justin Upton OF Steve Pearce 3B Josh Donaldson SS Didi Gregorius OF José Bautista 2B Tyler Saladino C Kevan Smith",NA,"Manuel Margot","9.96%",3
28,792295348,"WatsonBankz (16/20)",0,147.3,"P Ervin Santana P J.A. Happ 1B Justin Smoak OF Steve Pearce 3B Josh Donaldson 2B Yangervis Solarte OF José Pirela OF José Bautista C Miguel Montero SS Tyler Saladino",NA,"Max Kepler","9.06%",0
