P,P,C,1B,2B,3B,SS,OF,OF,OF
Corey Kluber,Matthew Boyd,Evan Gattis,Hanley Ramirez,Jose Altuve,Eduardo Nunez,Xander Bogaerts,Mookie Betts,Andrew Benintendi,Denard Span
Corey Kluber,Collin McHugh,Welington Castillo,Hanley Ramirez,Robinson Cano,Rafael Devers,Xander Bogaerts,Mookie Betts,Adam Jones,Andrew Benintendi
Alex Wood,Corey Kluber,Tucker Barnhart,Hanley Ramirez,Brad Miller,Rafael Devers,Tim Anderson,Mookie Betts,Jackie Bradley,Andrew Benintendi
Corey Kluber,Blake Snell,Salvador Perez,Hanley Ramirez,Robinson Cano,Eduardo Nunez,Marcus Semien,Mookie Betts,Jackie Bradley,Andrew Benintendi
Corey Kluber,Eduardo Rodriguez,Evan Gattis,Joey Votto,Logan Forsythe,Rafael Devers,Xander Bogaerts,Mookie Betts,Jackie Bradley,Andrew Benintendi
Corey Kluber,Collin McHugh,Evan Gattis,Mitch Moreland,Tyler Saladino,Eduardo Nunez,Tim Anderson,Mookie Betts,Jackie Bradley,Andrew Benintendi
Corey Kluber,Ty Blach,Austin Barnes,Hanley Ramirez,Chris Taylor,Manny Machado,Xander Bogaerts,Mookie Betts,Jackie Bradley,Andrew Benintendi
Corey Kluber,Blake Snell,Welington Castillo,Trey Mancini,Jonathan Schoop,Manny Machado,Tim Anderson,Mookie Betts,Adam Jones,Andrew Benintendi
Alex Wood,Corey Kluber,Kevan Smith,Hanley Ramirez,Logan Forsythe,Eduardo Nunez,Xander Bogaerts,Jackie Bradley,Andrew Benintendi,Jim Adduci
Corey Kluber,Blake Snell,Welington Castillo,Mitch Moreland,Brad Miller,Eduardo Nunez,Xander Bogaerts,Justin Upton,Mookie Betts,Andrew Benintendi
Corey Kluber,Ty Blach,Evan Gattis,Miguel Cabrera,Ian Kinsler,Nicholas Castellanos,Tim Anderson,Justin Upton,Mookie Betts,Jim Adduci
Corey Kluber,Ty Blach,Evan Gattis,Yuli Gurriel,Jose Altuve,Marwin Gonzalez,Tim Anderson,Mookie Betts,Carlos Beltran,Andrew Benintendi
Corey Kluber,Chad Kuhl,Salvador Perez,Hanley Ramirez,Jose Altuve,Rafael Devers,Xander Bogaerts,Mookie Betts,Jarrod Dyson,Jackie Bradley
Corey Kluber,Eduardo Rodriguez,Robinson Chirinos,Hanley Ramirez,Ian Kinsler,Eduardo Nunez,Xander Bogaerts,Mookie Betts,Jackie Bradley,Adam Jones
Corey Kluber,Blake Snell,Tucker Barnhart,Joey Votto,Scooter Gennett,Manny Machado,Marcus Semien,Mookie Betts,Billy Hamilton,Jesse Winker
Corey Kluber,Ty Blach,Christian Vazquez,Hanley Ramirez,Logan Forsythe,Eduardo Nunez,Tim Anderson,Justin Upton,Mookie Betts,Andrew Benintendi
Alex Wood,Corey Kluber,Kevan Smith,Jose Abreu,Tyler Saladino,Rafael Devers,Tim Anderson,Mookie Betts,Adam Jones,Adam Engel
Corey Kluber,Eduardo Rodriguez,Evan Gattis,Lucas Duda,Brad Miller,Evan Longoria,Adeiny Hechavarria,Mookie Betts,Corey Dickerson,Andrew Benintendi
Corey Kluber,Collin McHugh,Evan Gattis,Danny Valencia,Robinson Cano,Kyle Seager,Tim Anderson,Mookie Betts,Nelson Cruz,Ben Gamel
Corey Kluber,Chad Kuhl,Welington Castillo,Chris Davis,Robinson Cano,Manny Machado,Elvis Andrus,Mookie Betts,Adam Jones,Craig Gentry
Corey Kluber,AJ Griffin,Austin Barnes,Mitch Moreland,Jose Altuve,Rafael Devers,Xander Bogaerts,Mookie Betts,Andrew Benintendi,Jim Adduci
Alex Wood,Corey Kluber,Welington Castillo,Hanley Ramirez,Brad Miller,Manny Machado,Tim Anderson,Adam Jones,Craig Gentry,Joey Rickard
Corey Kluber,Blake Snell,Mike Zunino,Hanley Ramirez,Robinson Cano,Kyle Seager,Xander Bogaerts,Mookie Betts,Nelson Cruz,Jarrod Dyson
Corey Kluber,Blake Snell,Christian Vazquez,Hanley Ramirez,Tyler Saladino,Adrian Beltre,Xander Bogaerts,Mike Trout,Mookie Betts,Andrew Benintendi
Corey Kluber,Matthew Boyd,Evan Gattis,Yuli Gurriel,Jose Altuve,Alex Bregman,Marcus Semien,Mookie Betts,Jarrod Dyson,Derek Fisher
Corey Kluber,Chad Kuhl,Christian Vazquez,Yuli Gurriel,Chris Taylor,Eduardo Nunez,Xander Bogaerts,Mookie Betts,Adam Jones,Andrew Benintendi
Alex Wood,Corey Kluber,Evan Gattis,Lucas Duda,Brad Miller,Evan Longoria,Tim Anderson,Mallex Smith,Peter Bourjos,Jim Adduci
Corey Kluber,AJ Griffin,Tucker Barnhart,Miguel Cabrera,Scooter Gennett,Eduardo Nunez,Xander Bogaerts,Mookie Betts,Jackie Bradley,Andrew Benintendi
