"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,792926344,"ektdar",0,226.35,"P Michael Wacha P Matt Garza OF Charlie Blackmon 1B Paul Goldschmidt OF Yoenis Céspedes 3B Kris Bryant OF J.D. Martinez C Willson Contreras SS Javier Báez 2B Brandon Drury",NA,"German Márquez","57.59%",12.1
2,792938850,"celgalvao",0,217.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado OF Gerardo Parra 1B Paul Goldschmidt OF J.D. Martinez C Willson Contreras SS Javier Báez 2B Brandon Drury",NA,"Charlie Blackmon","54.68%",26
3,792851882,"shawnzhan (8/60)",0,200.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Paul Goldschmidt OF A.J. Pollock OF J.D. Martinez C Willson Contreras SS Adam Rosales 2B Brandon Drury",NA,"Michael Wacha","52.60%",12.2
3,792887487,"grace32810",0,200.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 1B Paul Goldschmidt OF A.J. Pollock OF J.D. Martinez 2B Ian Happ 3B Jake Lamb C Willson Contreras SS Javier Báez",NA,"Nolan Arenado","45.59%",12
3,792903808,"Rags11FSU (2/3)",0,200.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Paul Goldschmidt OF A.J. Pollock OF J.D. Martinez C Willson Contreras SS Adam Rosales 2B Brandon Drury",NA,"José Quintana","44.27%",6.45
6,792926145,"youdacao (52/60)",0,198.3,"P Michael Wacha P German Márquez OF Charlie Blackmon OF Michael Conforto 1B Paul Goldschmidt 3B Kris Bryant OF J.D. Martinez C Willson Contreras 2B Javier Báez SS Adam Rosales",NA,"Carlos González","42.74%",0
7,792913044,"xkmacx (1/2)",0,190.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Paul Goldschmidt SS Trevor Story OF J.D. Martinez C Willson Contreras OF Carlos González 2B Brandon Drury",NA,"Kolten Wong","42.19%",8
7,792990221,"dokcash (1/2)",0,190.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Paul Goldschmidt SS Trevor Story OF J.D. Martinez C Willson Contreras OF Carlos González 2B Brandon Drury",NA,"Matt Carpenter","34.25%",0
9,792923632,"Simmsandstrahan",0,189.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 2B DJ LeMahieu 1B Paul Goldschmidt OF J.D. Martinez 3B Jake Lamb OF José Martínez C Jonathan Lucroy SS Javier Báez",NA,"Trevor Story","28.77%",0
10,793014742,"thejuguar (3/6)",0,189.25,"P Matt Garza P German Márquez OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu OF Jay Bruce 1B Paul Goldschmidt OF J.D. Martinez C Yadier Molina SS Javier Báez",NA,"Yadier Molina","24.11%",7
10,793025259,"thejuguar (6/6)",0,189.25,"P Matt Garza P German Márquez OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu OF Jay Bruce 1B Paul Goldschmidt OF J.D. Martinez C Yadier Molina SS Javier Báez",NA,"Adam Rosales","22.85%",5
12,792776979,"fantasynow1",0,188.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu 1B Paul Goldschmidt C Willson Contreras OF Carlos González OF Jon Jay SS Adam Rosales",NA,"Eric Thames","22.03%",0
12,792901877,"jumargordon",0,188.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado OF Gerardo Parra 1B Paul Goldschmidt OF J.D. Martinez C Jonathan Lucroy SS Javier Báez 2B Brandon Drury",NA,"Zack Greinke","21.15%",12.1
14,793005896,"DEFIB-GOD (7/7)",0,188.25,"P Matt Garza P German Márquez OF Charlie Blackmon 3B Nolan Arenado OF Michael Conforto OF Gerardo Parra 1B Paul Goldschmidt 2B Asdrúbal Cabrera C Willson Contreras SS Adam Rosales",NA,"DJ LeMahieu","20.66%",19
