"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,793794877,"jkid528",0,177.85,"P Zach Davies P Alex Cobb C Willson Contreras OF Cody Bellinger 2B Chris Taylor SS Corey Seager OF Michael Conforto OF Yasiel Puig 3B Justin Turner 1B Alex Avila",NA,"Alex Cobb","59.61%",19.9
2,793941617,"sangrea",0,173.95,"P Alex Cobb P John Lackey C Willson Contreras 1B Cody Bellinger OF Bryce Harper 2B Chris Taylor SS Corey Seager OF Michael Conforto OF Curtis Granderson 3B Wilmer Flores",NA,"Bryce Harper","52.60%",19
3,793930834,"laner1964 (19/20)",0,169,"P Zach Davies P John Lackey 1B Cody Bellinger OF Bryce Harper 2B Chris Taylor SS Corey Seager OF Michael Conforto OF Yasiel Puig 3B Justin Turner C Alex Avila",NA,"Rich Hill","48.86%",17.05
4,793823454,"altjr1962",0,166.85,"P Zach Davies P Alex Cobb 1B Cody Bellinger OF Bryce Harper OF Chris Taylor SS Corey Seager 2B Daniel Murphy OF Yasiel Puig 3B Justin Turner C Alex Avila",NA,"Cody Bellinger","45.19%",16
4,793878567,"nmarc10 (1/2)",0,166.85,"P Zach Davies P Alex Cobb 1B Cody Bellinger OF Bryce Harper OF Chris Taylor SS Corey Seager 2B Daniel Murphy OF Yasiel Puig 3B Justin Turner C Alex Avila",NA,"Corey Seager","44.10%",18
4,793947147,"nmarc10 (2/2)",0,166.85,"P Zach Davies P Alex Cobb 1B Cody Bellinger OF Bryce Harper OF Chris Taylor SS Corey Seager 2B Daniel Murphy OF Yasiel Puig 3B Justin Turner C Alex Avila",NA,"Zach Davies","39.24%",21.95
7,793832292,"Hump",0,164.85,"P Zach Davies P Alex Cobb OF Cody Bellinger 1B Ryan Zimmerman OF Bryce Harper 2B Chris Taylor SS Corey Seager 3B Justin Turner C Alex Avila OF Jon Jay",NA,"Daniel Murphy","35.91%",5
8,793843914,"eugenemac3 (2/3)",0,163.85,"P Zach Davies P Alex Cobb C Willson Contreras 1B Cody Bellinger 2B Chris Taylor SS Corey Seager OF Brian Goodwin OF Yasiel Puig 3B Justin Turner OF Jon Jay",NA,"Chris Taylor","33.63%",16
9,793846794,"pitdog333",0,161.85,"P Zach Davies P Alex Cobb C Willson Contreras OF Cody Bellinger OF Bryce Harper OF Chris Taylor SS Javier Báez 3B Justin Turner 2B Ben Zobrist 1B Alex Avila",NA,"Ben Zobrist","31.76%",5
9,793868584,"Houstoners713",0,161.85,"P Zach Davies P Alex Cobb C Willson Contreras OF Bryce Harper 2B Chris Taylor SS Javier Báez OF Ian Happ OF Michael Conforto 3B Justin Turner 1B Wilmer Flores",NA,"Anthony Rizzo","30.02%",5
11,793842310,"jhenel (3/3)",0,161,"P Zach Davies P John Lackey C Willson Contreras 1B Cody Bellinger OF Bryce Harper OF Chris Taylor SS Corey Seager 3B Justin Turner 2B Ben Zobrist OF Jon Jay",NA,"Willson Contreras","25.81%",21
12,793946370,"brocan514",0,160.85,"P Zach Davies P Alex Cobb OF Cody Bellinger 1B Ryan Zimmerman OF Bryce Harper SS Corey Seager OF Michael Conforto 3B Justin Turner 2B Wilmer Difo C Alex Avila",NA,"Alex Avila","25.09%",16
13,793934891,"88teamfan (2/4)",0,159.85,"P Zach Davies P Alex Cobb C Willson Contreras OF Cody Bellinger 3B Kris Bryant OF Chris Taylor SS Corey Seager 2B Javier Báez 1B Alex Avila OF Jon Jay",NA,"John Lackey","25.03%",13.05
14,793926839,"jmorales3167 (2/3)",0,159.55,"P Alex Cobb P Edwin Jackson C Willson Contreras 1B Ryan Zimmerman OF Bryce Harper OF Chris Taylor SS Corey Seager 2B Javier Báez OF Yasiel Puig 3B Justin Turner",NA,"Jon Jay","24.11%",12
15,793875655,"fearthebeard.cl (17/20)",0,158.85,"P Zach Davies P Alex Cobb 1B Anthony Rizzo C Willson Contreras OF Cody Bellinger SS Corey Seager OF Yasiel Puig 3B Justin Turner 2B Wilmer Difo OF Jon Jay",NA,"Yasmani Grandal","24.11%",5
16,793901513,"AcesWayUp (5/9)",0,158,"P Zach Davies P John Lackey C Willson Contreras OF Cody Bellinger 2B Chris Taylor SS Corey Seager OF Michael Conforto 3B Justin Turner OF Yoenis Céspedes 1B Wilmer Flores",NA,"Kris Bryant","23.90%",11
17,793923747,"Dubbzz (9/20)",0,156.85,"P Zach Davies P Alex Cobb C Willson Contreras 1B Cody Bellinger OF Chris Taylor SS Corey Seager 2B Javier Báez 3B Justin Turner OF Ben Zobrist OF Jon Jay",NA,"Justin Turner","21.59%",19
18,793915277,"rscott12 (1/3)",0,155.95,"P Rich Hill P Alex Cobb OF Chris Taylor SS Corey Seager 2B Javier Báez OF Yasiel Puig 3B Justin Turner 1B Wilmer Flores C Alex Avila OF Jon Jay",NA,"Javier Báez","19.08%",8
19,793851285,"FeliciaTucker2010",0,155.85,"P Zach Davies P Alex Cobb C Willson Contreras OF Cody Bellinger 3B Kris Bryant OF Bryce Harper OF Chris Taylor SS Wilmer Difo 2B Ben Zobrist 1B Alex Avila",NA,"Jason Heyward","17.27%",0
19,793885912,"bulldog222 (1/2)",0,155.85,"P Zach Davies P Alex Cobb C Willson Contreras 1B Cody Bellinger OF Bryce Harper OF Chris Taylor SS Corey Seager 3B Justin Turner 2B Ben Zobrist OF Jason Heyward",NA,"Eric Thames","17.21%",2
19,793910962,"moneypit1",0,155.85,"P Zach Davies P Alex Cobb OF Steven Souza Jr. 1B Cody Bellinger OF Bryce Harper 2B Chris Taylor SS Corey Seager OF Yasiel Puig 3B Justin Turner C Matt Wieters",NA,"Edwin Jackson","16.63%",15.65
19,793945380,"ehlowel (6/20)",0,155.85,"P Zach Davies P Alex Cobb 1B Anthony Rizzo OF Cody Bellinger OF Bryce Harper SS Corey Seager OF Yasiel Puig 3B Justin Turner 2B Ben Zobrist C Alex Avila",NA,"Wilmer Difo","16.22%",10
23,793852323,"mhanback",0,154.85,"P Zach Davies P Alex Cobb 1B Cody Bellinger OF Bryce Harper OF Chris Taylor SS Corey Seager 2B Daniel Murphy OF Brian Goodwin 3B Justin Turner C Alex Avila",NA,"Matt Wieters","16.15%",10
23,793865089,"elmodelmo",0,154.85,"P Zach Davies P Alex Cobb 1B Cody Bellinger 3B Kris Bryant OF Bryce Harper OF Chris Taylor SS Corey Seager 2B Daniel Murphy C Alex Avila OF Jon Jay",NA,"Anthony Rendon","15.84%",2
23,793936774,"LionKing1957",0,154.85,"P Zach Davies P Alex Cobb C Willson Contreras OF Cody Bellinger OF Bryce Harper 2B Daniel Murphy 3B Justin Turner OF Curtis Granderson 1B Adam Lind SS Wilmer Difo",NA,"Brian Goodwin","15.78%",4
26,793904293,"rsctty1",0,154.6,"P Zach Davies P Edwin Jackson 1B Cody Bellinger OF Bryce Harper 2B Chris Taylor SS Corey Seager OF Michael Conforto OF Domingo Santana 3B Justin Turner C Yasmani Grandal",NA,"Travis Shaw","15.78%",8
27,793825006,"dirtycadillac (1/2)",0,154.55,"P Alex Cobb P Edwin Jackson C Willson Contreras 1B Cody Bellinger OF Bryce Harper OF Chris Taylor SS Corey Seager 2B Daniel Murphy 3B Justin Turner OF Yoenis Céspedes",NA,"Joc Pederson","14.99%",0
27,793953198,"dirtycadillac (2/2)",0,154.55,"P Alex Cobb P Edwin Jackson C Willson Contreras 1B Cody Bellinger OF Bryce Harper OF Chris Taylor SS Corey Seager 2B Daniel Murphy 3B Justin Turner OF Yoenis Céspedes",NA,"Corey Dickerson","14.82%",0
29,793908273,"hdsnfire20",0,153.85,"P Zach Davies P Alex Cobb 1B Cody Bellinger OF Bryce Harper SS Corey Seager 2B Daniel Murphy OF Michael Conforto OF Yasiel Puig 3B Justin Turner C Yasmani Grandal",NA,"Logan Forsythe","14.45%",4
30,793930524,"jlee20",0,153.6,"P Zach Davies P Edwin Jackson C Willson Contreras 1B Ryan Zimmerman OF Bryce Harper 2B Chris Taylor SS Corey Seager OF Yasiel Puig OF Yoenis Céspedes 3B Wilmer Flores",NA,"Yasiel Puig","13.57%",16
31,793888130,"stunner23 (4/20)",0,153,"P Zach Davies P John Lackey C Willson Contreras OF Cody Bellinger 2B Chris Taylor SS Corey Seager OF Michael Conforto 3B Justin Turner OF Joc Pederson 1B Wilmer Flores",NA,"Ryan Zimmerman","13.23%",7
32,793942111,"BabyBoomers83",0,152.95,"P Rich Hill P Alex Cobb 1B Cody Bellinger OF Chris Taylor SS Corey Seager OF Yasiel Puig 3B Justin Turner C Alex Avila OF Jon Jay 2B Neil Walker",NA,"Michael Conforto","13.19%",14
33,793778150,"RedDogS43",0,152.85,"P Zach Davies P Alex Cobb C Willson Contreras OF Cody Bellinger 1B Ryan Zimmerman OF Bryce Harper OF Chris Taylor 3B Justin Turner SS Wilmer Difo 2B Neil Walker",NA,"Asdrúbal Cabrera","11.76%",0
33,793795661,"Mr.Pigskin",0,152.85,"P Zach Davies P Alex Cobb OF Cody Bellinger 1B Ryan Zimmerman OF Bryce Harper 2B Chris Taylor SS Corey Seager 3B Justin Turner OF Joc Pederson C Alex Avila",NA,"Steven Souza Jr.","11.73%",0
33,793832442,"yesiiirrrr (9/20)",0,152.85,"P Zach Davies P Alex Cobb C Willson Contreras 1B Cody Bellinger SS Corey Seager OF Michael Conforto OF Curtis Granderson OF Yoenis Céspedes 2B Asdrúbal Cabrera 3B Wilmer Flores",NA,"Yoenis Céspedes","11.29%",5
33,793876508,"Mtbe",0,152.85,"P Zach Davies P Alex Cobb C Willson Contreras 1B Cody Bellinger OF Bryce Harper 2B Chris Taylor OF Brian Goodwin OF Yasiel Puig 3B Justin Turner SS Amed Rosario",NA,"Ryan Braun","10.61%",0
33,793943398,"drftlykeme (3/3)",0,152.85,"P Zach Davies P Alex Cobb C Willson Contreras 1B Cody Bellinger 2B Chris Taylor SS Corey Seager OF Yasiel Puig 3B Justin Turner OF Ben Zobrist OF Jason Heyward",NA,"Seth Lugo","10.06%",13.15
38,793929047,"hokiekk",0,152.6,"P Zach Davies P Edwin Jackson 1B Cody Bellinger OF Bryce Harper OF Chris Taylor SS Corey Seager 3B Justin Turner 2B Wilmer Difo C Yasmani Grandal OF Jon Jay",NA,"Adam Lind","9.49%",0
39,793852862,"Calvin19691969 (3/5)",0,152.55,"P Alex Cobb P Edwin Jackson C Willson Contreras OF Cody Bellinger 3B Kris Bryant 2B Chris Taylor SS Corey Seager OF Yasiel Puig OF Yoenis Céspedes 1B Wilmer Flores",NA,"Evan Longoria","9.21%",0
40,793791104,"Dola78",0,152,"P Zach Davies P John Lackey 1B Cody Bellinger OF Bryce Harper 2B Chris Taylor SS Corey Seager OF Michael Conforto OF Brian Goodwin 3B Wilmer Flores C Alex Avila",NA,"Amed Rosario","8.70%",0
41,793879845,"APOCALYPSE65 (1/3)",0,151.55,"P Alex Cobb P Edwin Jackson C Willson Contreras 1B Ryan Zimmerman OF Bryce Harper 2B Chris Taylor SS Corey Seager OF Michael Conforto OF Eric Thames 3B Justin Turner",NA,"Wilmer Flores","8.26%",14
42,793904520,"Mabs9900 (2/4)",0,151,"P Zach Davies P John Lackey C Willson Contreras 1B Cody Bellinger SS Corey Seager OF Michael Conforto 3B Justin Turner OF Curtis Granderson OF Yoenis Céspedes 2B Asdrúbal Cabrera",NA,"Logan Morrison","8.16%",0
43,793813212,"sjseaston66 (1/2)",0,150.85,"P Zach Davies P Alex Cobb 1B Cody Bellinger OF Bryce Harper 2B Chris Taylor SS Corey Seager 3B Justin Turner OF Yoenis Céspedes OF Joc Pederson C Alex Avila",NA,"Mallex Smith","8.06%",2
43,793933060,"openskies5000",0,150.85,"P Zach Davies P Alex Cobb OF Steven Souza Jr. 1B Cody Bellinger OF Bryce Harper OF Chris Taylor SS Corey Seager 3B Justin Turner C Alex Avila 2B Brad Miller",NA,"Eric Sogard","7.24%",0
45,793847278,"KillaRedOG (2/2)",0,150.7,"P John Lackey P Edwin Jackson OF Steven Souza Jr. C Willson Contreras OF Cody Bellinger 2B Chris Taylor SS Corey Seager OF Yasiel Puig 3B Justin Turner 1B Alex Avila",NA,"Orlando Arcia","6.83%",7
46,793904234,"rowdybear (1/6)",0,150.2,"P Rich Hill P Seth Lugo 1B Cody Bellinger 2B Chris Taylor SS Corey Seager OF Michael Conforto OF Brian Goodwin OF Yasiel Puig 3B Justin Turner C René Rivera",NA,"Manny Piña","6.32%",2
46,793909932,"rowdybear (2/6)",0,150.2,"P Rich Hill P Seth Lugo 1B Cody Bellinger 2B Chris Taylor SS Corey Seager OF Michael Conforto OF Brian Goodwin OF Yasiel Puig 3B Justin Turner C René Rivera",NA,"Brad Miller","5.61%",5
46,793909933,"rowdybear (3/6)",0,150.2,"P Rich Hill P Seth Lugo 1B Cody Bellinger 2B Chris Taylor SS Corey Seager OF Michael Conforto OF Brian Goodwin OF Yasiel Puig 3B Justin Turner C René Rivera",NA,"Domingo Santana","5.44%",10
46,793909934,"rowdybear (4/6)",0,150.2,"P Rich Hill P Seth Lugo 1B Cody Bellinger 2B Chris Taylor SS Corey Seager OF Michael Conforto OF Brian Goodwin OF Yasiel Puig 3B Justin Turner C René Rivera",NA,"Keon Broxton","4.73%",12
46,793909935,"rowdybear (5/6)",0,150.2,"P Rich Hill P Seth Lugo 1B Cody Bellinger 2B Chris Taylor SS Corey Seager OF Michael Conforto OF Brian Goodwin OF Yasiel Puig 3B Justin Turner C René Rivera",NA,"Lucas Duda","4.32%",5
46,793909936,"rowdybear (6/6)",0,150.2,"P Rich Hill P Seth Lugo 1B Cody Bellinger 2B Chris Taylor SS Corey Seager OF Michael Conforto OF Brian Goodwin OF Yasiel Puig 3B Justin Turner C René Rivera",NA,"Adeiny Hechavarria","3.98%",3
52,793828647,"TrevoneD",0,149.95,"P Rich Hill P Alex Cobb OF Bryce Harper SS Corey Seager 2B Javier Báez OF Yasiel Puig 3B Justin Turner C Yasmani Grandal 1B Alex Avila OF Jon Jay",NA,"Curtis Granderson","2.69%",23
52,793891353,"darlinlee (3/4)",0,149.95,"P Rich Hill P Alex Cobb OF Bryce Harper SS Corey Seager OF Michael Conforto 3B Justin Turner 2B Wilmer Difo C Yasmani Grandal 1B Alex Avila OF Jon Jay",NA,"René Rivera","2.65%",17
54,793912681,"bendawg20 (2/3)",0,149.85,"P Zach Davies P Alex Cobb C Willson Contreras 3B Anthony Rendon OF Bryce Harper OF Chris Taylor SS Corey Seager OF Michael Conforto 1B Wilmer Flores 2B Logan Forsythe",NA,"Jesús Sucre","2.14%",3
55,793867185,"vaomark (1/2)",0,149.55,"P Alex Cobb P Edwin Jackson C Willson Contreras OF Cody Bellinger OF Bryce Harper OF Chris Taylor 1B Lucas Duda SS Corey Seager 2B Daniel Murphy 3B Wilmer Flores",NA,"Jesús Aguilar","2.11%",8
55,793900385,"mosephis (2/2)",0,149.55,"P Alex Cobb P Edwin Jackson C Willson Contreras 1B Cody Bellinger OF Bryce Harper OF Chris Taylor SS Corey Seager 2B Daniel Murphy 3B Justin Turner OF Joc Pederson",NA,"Neil Walker","2.01%",3
57,793886096,"storckman",0,149.2,"P John Lackey P Seth Lugo C Willson Contreras OF Cody Bellinger OF Bryce Harper 2B Chris Taylor 1B Lucas Duda SS Corey Seager OF Ian Happ 3B Justin Turner",NA,"Howie Kendrick","1.53%",0
