"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,794720435,"sgtflipdcup",0,186.25,"OF Hunter Pence 3B Justin Turner OF Gorkys Hernández C Buster Posey P Patrick Corbin 1B Paul Goldschmidt 2B Chris Taylor SS Corey Seager P Hyun-Jin Ryu OF Cody Bellinger",NA,"Chris Taylor","73.98%",10
2,794341900,"Hosehead01",0,184.6,"OF Hunter Pence P Jeff Samardzija 3B Justin Turner OF Gorkys Hernández C Buster Posey 2B Logan Forsythe OF Chris Taylor SS Corey Seager P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Patrick Corbin","64.46%",22.1
2,794719050,"ChipotleAddict",0,184.6,"OF Hunter Pence P Jeff Samardzija 3B Justin Turner OF Gorkys Hernández C Buster Posey 2B Logan Forsythe OF Chris Taylor SS Corey Seager P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Cody Bellinger","64.29%",25
4,794320897,"ladyfingers",0,182.25,"3B Justin Turner OF David Peralta C Buster Posey 2B Logan Forsythe P Patrick Corbin 1B Paul Goldschmidt OF Chris Taylor SS Corey Seager P Hyun-Jin Ryu OF Cody Bellinger",NA,"Hyun-Jin Ryu","62.07%",35.15
4,794720996,"MAIRJ23 (1/2)",0,182.25,"3B Justin Turner OF David Peralta C Buster Posey 2B Logan Forsythe P Patrick Corbin 1B Paul Goldschmidt OF Chris Taylor SS Corey Seager P Hyun-Jin Ryu OF Cody Bellinger",NA,"Corey Seager","61.22%",10
6,794394450,"gfay63 (6/17)",0,178.6,"OF Hunter Pence P Jeff Samardzija 3B Justin Turner OF Gorkys Hernández C Buster Posey 2B Logan Forsythe SS Corey Seager OF Yasiel Puig P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Buster Posey","54.25%",18
7,794393247,"stephen218",0,176.6,"OF Hunter Pence P Jeff Samardzija 3B Justin Turner C Buster Posey OF Jarrett Parker 2B Chris Taylor SS Corey Seager OF Yasiel Puig P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Jeff Samardzija","52.38%",13.45
7,794712929,"rambrose808 (1/2)",0,176.6,"OF Hunter Pence P Jeff Samardzija 3B Justin Turner C Buster Posey OF Jarrett Parker 2B Chris Taylor SS Corey Seager OF Yasiel Puig P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Paul Goldschmidt","48.64%",7
7,794719373,"wioux",0,176.6,"OF Hunter Pence P Jeff Samardzija 3B Justin Turner C Buster Posey OF Jarrett Parker 2B Chris Taylor SS Corey Seager OF Yasiel Puig P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Justin Turner","48.13%",35
10,794490365,"Osyder_Ryder",0,176.25,"3B Justin Turner OF Gorkys Hernández C Buster Posey P Patrick Corbin 1B Paul Goldschmidt 2B Chris Taylor OF Yoenis Céspedes SS Corey Seager P Hyun-Jin Ryu OF Cody Bellinger",NA,"J.D. Martinez","37.76%",3
11,794720326,"timbar9 (1/2)",0,174.6,"OF Hunter Pence P Jeff Samardzija 3B Justin Turner OF Gorkys Hernández C Buster Posey 2B Chris Taylor SS Corey Seager OF Yasiel Puig P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Michael Conforto","36.73%",0
12,794441118,"MexiMelt (1/2)",0,173.6,"C Nick Hundley P Jeff Samardzija 3B Justin Turner 1B Buster Posey OF Jarrett Parker 2B Chris Taylor SS Corey Seager OF Yasiel Puig P Hyun-Jin Ryu OF Cody Bellinger",NA,"Jake Lamb","35.54%",7
13,794399367,"charloots",0,173.25,"3B Justin Turner OF David Peralta OF Daniel Descalso C Buster Posey P Patrick Corbin 1B Paul Goldschmidt 2B Chris Taylor SS Corey Seager P Hyun-Jin Ryu OF Cody Bellinger",NA,"Yoenis Céspedes","30.78%",0
13,794558821,"Curt32811",0,173.25,"3B Justin Turner OF David Peralta OF Daniel Descalso C Buster Posey P Patrick Corbin 1B Paul Goldschmidt 2B Chris Taylor SS Corey Seager P Hyun-Jin Ryu OF Cody Bellinger",NA,"Asdrúbal Cabrera","27.55%",0
13,794710464,"wawie22",0,173.25,"3B Justin Turner OF David Peralta 2B Daniel Descalso C Buster Posey P Patrick Corbin 1B Paul Goldschmidt OF Chris Taylor SS Corey Seager P Hyun-Jin Ryu OF Cody Bellinger",NA,"Hunter Pence","25.34%",10
13,794713486,"willn2live",0,173.25,"OF Hunter Pence 3B Justin Turner C Buster Posey P Patrick Corbin 1B Paul Goldschmidt OF J.D. Martinez SS Ketel Marte 2B Chris Taylor P Hyun-Jin Ryu OF Cody Bellinger",NA,"Yasiel Puig","24.49%",4
13,794718498,"Phloxy97",0,173.25,"3B Justin Turner OF David Peralta 2B Daniel Descalso C Buster Posey P Patrick Corbin 1B Paul Goldschmidt OF Chris Taylor SS Corey Seager P Hyun-Jin Ryu OF Cody Bellinger",NA,"Austin Barnes","23.30%",7
18,794720329,"dhunt8701",0,172.6,"P Jeff Samardzija 3B Justin Turner OF Gorkys Hernández OF Daniel Descalso C Buster Posey 1B Paul Goldschmidt 2B Chris Taylor SS Corey Seager P Hyun-Jin Ryu OF Cody Bellinger",NA,"David Peralta","22.96%",6
19,794704694,"grantbob24",0,170.6,"OF Hunter Pence P Jeff Samardzija 3B Justin Turner OF Gorkys Hernández C Buster Posey 2B Chris Taylor SS Corey Seager OF Michael Conforto P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Daniel Descalso","18.03%",5
19,794710706,"vengven",0,170.6,"OF Hunter Pence OF Jay Bruce P Jeff Samardzija 3B Justin Turner C Buster Posey 2B Logan Forsythe OF Chris Taylor SS Corey Seager P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Grégor Blanco","17.35%",0
19,794712436,"Chris360xx (1/2)",0,170.6,"OF Hunter Pence P Jeff Samardzija 3B Justin Turner C Buster Posey 2B Logan Forsythe OF Chris Taylor SS Corey Seager OF Michael Conforto P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Steven Matz","17.35%",11.2
19,794721391,"Chris360xx (2/2)",0,170.6,"OF Hunter Pence P Jeff Samardzija 3B Justin Turner C Buster Posey 2B Logan Forsythe OF Chris Taylor SS Corey Seager OF Michael Conforto P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Logan Forsythe","15.82%",14
19,794722167,"dont-buy-leace",0,170.6,"OF Hunter Pence P Jeff Samardzija 3B Justin Turner C Buster Posey 2B Logan Forsythe OF Chris Taylor SS Corey Seager OF Michael Conforto P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Wilmer Flores","14.12%",0
24,794721004,"MAIRJ23 (2/2)",0,169.6,"P Jeff Samardzija 3B Justin Turner OF David Peralta C Buster Posey 2B Logan Forsythe OF J.D. Martinez OF Chris Taylor SS Corey Seager P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Chris Herrmann","12.93%",2
25,794314019,"mtakurth",0,169.25,"OF Denard Span 3B Justin Turner C Buster Posey 2B Logan Forsythe P Patrick Corbin 1B Paul Goldschmidt OF J.D. Martinez SS Corey Seager P Hyun-Jin Ryu OF Cody Bellinger",NA,"Curtis Granderson","11.90%",0
26,794657235,"HTOWN1234",0,168.25,"3B Justin Turner OF David Peralta 1B Buster Posey P Patrick Corbin C Austin Barnes 2B Chris Taylor SS Corey Seager OF Michael Conforto P Hyun-Jin Ryu OF Cody Bellinger",NA,"Ketel Marte","11.22%",8
26,794687625,"Zurc33",0,168.25,"3B Justin Turner OF David Peralta C Buster Posey P Patrick Corbin OF J.D. Martinez 2B Chris Taylor SS Corey Seager OF Yasiel Puig P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Kelby Tomlinson","10.88%",0
28,794707871,"dbcooper1954 (3/3)",0,167.6,"OF Hunter Pence P Jeff Samardzija 3B Justin Turner OF David Peralta C Buster Posey 1B Paul Goldschmidt SS Ketel Marte 2B Chris Taylor P Hyun-Jin Ryu OF Cody Bellinger",NA,"Nick Hundley","10.37%",7
28,794719616,"oldskoolvike (2/2)",0,167.6,"P Jeff Samardzija 3B Justin Turner OF Gorkys Hernández C Buster Posey OF J.D. Martinez 2B Chris Taylor SS Corey Seager OF Yasiel Puig P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Kiké Hernández","9.35%",3
28,794720692,"Jeter717",0,167.6,"P Jeff Samardzija 3B Justin Turner OF Gorkys Hernández C Buster Posey OF J.D. Martinez 2B Chris Taylor SS Corey Seager OF Yasiel Puig P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Gorkys Hernández","8.84%",14
31,794708380,"superjack777",0,167.25,"3B Justin Turner 2B Daniel Descalso 1B Buster Posey P Patrick Corbin C Austin Barnes OF Chris Taylor SS Corey Seager OF Michael Conforto P Hyun-Jin Ryu OF Cody Bellinger",NA,"Travis d'Arnaud","8.33%",3
32,794322330,"seancarroll31",0,166.6,"P Jeff Samardzija 3B Justin Turner OF David Peralta C Buster Posey 2B Logan Forsythe SS Kiké Hernández 1B Paul Goldschmidt OF Chris Taylor P Hyun-Jin Ryu OF Cody Bellinger",NA,"José Reyes","4.42%",0
33,794361748,"freezerpopman",0,166.25,"3B Justin Turner 2B Logan Forsythe P Patrick Corbin 1B Paul Goldschmidt OF J.D. Martinez C Austin Barnes SS Ketel Marte OF Chris Taylor P Hyun-Jin Ryu OF Cody Bellinger",NA,"Jarrett Parker","4.42%",16
33,794719463,"Kywildcats32785",0,166.25,"3B Justin Turner OF David Peralta C Buster Posey P Patrick Corbin 1B Paul Goldschmidt SS Ketel Marte 2B Chris Taylor OF Yoenis Céspedes P Hyun-Jin Ryu OF Cody Bellinger",NA,"Amed Rosario","2.38%",0
35,794332981,"Reaper8899",0,165.6,"OF Hunter Pence P Jeff Samardzija 3B Justin Turner 2B Daniel Descalso C Buster Posey OF Chris Taylor SS Corey Seager OF Yasiel Puig P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Jay Bruce","2.04%",0
35,794647468,"dirtydawg84",0,165.6,"OF Hunter Pence P Jeff Samardzija 3B Justin Turner OF David Peralta C Buster Posey OF J.D. Martinez 2B Chris Taylor SS Corey Seager P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Chase Utley","1.87%",0
37,794720889,"stockscore",0,165.35,"3B Justin Turner C Buster Posey 2B Logan Forsythe P Steven Matz 1B Paul Goldschmidt OF Chris Taylor SS Corey Seager OF Michael Conforto P Hyun-Jin Ryu OF Cody Bellinger",NA,"Miguel Gómez","1.19%",8
38,794254830,"donmaddenking",0,165.25,"1B Chase Utley OF Hunter Pence OF Jay Bruce 3B Justin Turner C Buster Posey P Patrick Corbin 2B Chris Taylor SS Corey Seager P Hyun-Jin Ryu OF Cody Bellinger",NA,"Joc Pederson","1.02%",0
38,794623775,"dieseljohnny",0,165.25,"OF Hunter Pence 3B Justin Turner C Buster Posey SS Brandon Crawford P Patrick Corbin 1B Paul Goldschmidt OF J.D. Martinez 2B Chris Taylor P Hyun-Jin Ryu OF Cody Bellinger",NA,"A.J. Pollock","1.02%",0
38,794687580,"virgila (1/2)",0,165.25,"3B Justin Turner 1B Buster Posey P Patrick Corbin OF J.D. Martinez C Austin Barnes 2B Chris Taylor OF Yoenis Céspedes SS Corey Seager P Hyun-Jin Ryu OF Cody Bellinger",NA,"Brandon Crawford","0.68%",0
38,794688845,"virgila (2/2)",0,165.25,"3B Justin Turner 1B Buster Posey P Patrick Corbin OF J.D. Martinez C Austin Barnes 2B Chris Taylor OF Yoenis Céspedes SS Corey Seager P Hyun-Jin Ryu OF Cody Bellinger",NA,"Neil Walker","0.68%",0
38,794710616,"oldzcool",0,165.25,"3B Justin Turner OF David Peralta C Buster Posey P Patrick Corbin 2B Chris Taylor OF Yoenis Céspedes SS Corey Seager OF Yasiel Puig P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Denard Span","0.34%",0
43,794721104,"TopOfCharts11986",0,164.6,"2B Asdrúbal Cabrera P Jeff Samardzija 3B Justin Turner OF Gorkys Hernández C Buster Posey OF Chris Taylor SS Corey Seager OF Yasiel Puig P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Joe Panik","0.34%",0
44,794473174,"deucenina (3/4)",0,164.35,"OF Hunter Pence 3B Justin Turner C Buster Posey P Steven Matz 1B Paul Goldschmidt OF J.D. Martinez 2B Chris Taylor SS Corey Seager P Hyun-Jin Ryu OF Cody Bellinger",NA,"Kenley Jansen","0.34%",7.65
45,794615062,"PatriotKidd5433",0,164.25,"3B Justin Turner OF David Peralta C Buster Posey OF A.J. Pollock P Patrick Corbin OF J.D. Martinez 2B Chris Taylor SS Corey Seager P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Ryder Jones","0.34%",0
45,794708595,"jcaljr88",0,164.25,"3B Justin Turner OF David Peralta 1B Buster Posey P Patrick Corbin SS Kiké Hernández OF J.D. Martinez C Austin Barnes 2B Chris Taylor P Hyun-Jin Ryu OF Cody Bellinger",NA,"Chris Iannetta","0.17%",0
45,794710110,"Nucor541",0,164.25,"3B Justin Turner OF David Peralta C Buster Posey P Patrick Corbin OF J.D. Martinez 2B Chris Taylor SS Corey Seager OF Michael Conforto P Hyun-Jin Ryu 1B Cody Bellinger",NA,"René Rivera","0.17%",0
45,794710335,"moiseslmendez (2/4)",0,164.25,"3B Justin Turner OF David Peralta C Buster Posey P Patrick Corbin OF J.D. Martinez 2B Chris Taylor SS Corey Seager OF Michael Conforto P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Jeff Mathis","0.17%",0
45,794720340,"timbar9 (2/2)",0,164.25,"3B Justin Turner OF David Peralta C Buster Posey P Patrick Corbin OF J.D. Martinez 2B Chris Taylor SS Corey Seager OF Michael Conforto P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Tim Federowicz","0.17%",0
45,794721114,"HEAVYHAT792 (2/2)",0,164.25,"3B Justin Turner OF Daniel Descalso C Buster Posey P Patrick Corbin 2B Chris Taylor SS Corey Seager OF Yasiel Puig OF Michael Conforto P Hyun-Jin Ryu 1B Cody Bellinger",NA,"Yasmani Grandal","0.17%",0
51,794285967,"mrussell1982",0,163.6,"P Jeff Samardzija 3B Justin Turner OF David Peralta C Buster Posey 2B Logan Forsythe 1B Paul Goldschmidt OF Yoenis Céspedes SS Corey Seager P Hyun-Jin Ryu OF Cody Bellinger",NA,"Trayce Thompson","0.17%",0
51,794358118,"nowitki3041",0,163.6,"OF Hunter Pence P Jeff Samardzija 3B Justin Turner C Travis d'Arnaud 1B Buster Posey 2B Chris Taylor SS Corey Seager OF Yasiel Puig P Hyun-Jin Ryu OF Cody Bellinger",NA,"Aaron Hill","0.17%",0
51,794427309,"dclili",0,163.6,"2B Asdrúbal Cabrera OF Hunter Pence P Jeff Samardzija 3B Justin Turner 1B Buster Posey C Austin Barnes OF Chris Taylor SS Corey Seager P Hyun-Jin Ryu OF Cody Bellinger",NA,"Kyle Farmer","0.17%",0
51,794710245,"kook47 (1/2)",0,163.6,"P Jeff Samardzija 3B Justin Turner OF David Peralta C Buster Posey 2B Logan Forsythe 1B Paul Goldschmidt OF Yoenis Céspedes SS Corey Seager P Hyun-Jin Ryu OF Cody Bellinger",NA,"Brett Eibner","0.17%",0
51,794711886,"BigRob22",0,163.6,"P Jeff Samardzija 3B Justin Turner OF David Peralta C Buster Posey 2B Logan Forsythe 1B Paul Goldschmidt OF Yoenis Céspedes SS Corey Seager P Hyun-Jin Ryu OF Cody Bellinger",NA,"","",NA
51,794713526,"Skadoosh",0,163.6,"P Jeff Samardzija 3B Justin Turner C Buster Posey 2B Logan Forsythe 1B Wilmer Flores OF J.D. Martinez OF Chris Taylor SS Corey Seager P Hyun-Jin Ryu OF Cody Bellinger",NA,"","",NA
51,794722434,"youdacao (9/16)",0,163.6,"P Jeff Samardzija 3B Justin Turner C Buster Posey 2B Logan Forsythe OF J.D. Martinez OF Chris Taylor OF Yoenis Céspedes SS Corey Seager P Hyun-Jin Ryu 1B Cody Bellinger",NA,"","",NA
58,794455899,"trulo22",0,163.25,"3B Justin Turner 2B Logan Forsythe C Chris Herrmann P Patrick Corbin 1B Paul Goldschmidt OF J.D. Martinez OF Chris Taylor SS Corey Seager P Hyun-Jin Ryu OF Cody Bellinger",NA,"","",NA
59,794636140,"farmerbrown1",0,162.25,"2B Asdrúbal Cabrera 3B Justin Turner C Buster Posey P Patrick Corbin OF J.D. Martinez OF Chris Taylor SS Corey Seager OF Yasiel Puig P Hyun-Jin Ryu 1B Cody Bellinger",NA,"","",NA
59,794650848,"Wiffleball",0,162.25,"3B Justin Turner C Buster Posey 2B Logan Forsythe P Patrick Corbin SS Kiké Hernández 1B Paul Goldschmidt OF J.D. Martinez OF Michael Conforto P Hyun-Jin Ryu OF Cody Bellinger",NA,"","",NA
59,794663536,"houdini6908",0,162.25,"OF Grégor Blanco OF Hunter Pence 3B Justin Turner C Buster Posey P Patrick Corbin SS Kiké Hernández 2B Chris Taylor OF Yasiel Puig P Hyun-Jin Ryu 1B Cody Bellinger",NA,"","",NA
59,794712009,"crazycanuck100",0,162.25,"3B Justin Turner OF David Peralta 2B Logan Forsythe C Chris Herrmann P Patrick Corbin OF J.D. Martinez OF Chris Taylor SS Corey Seager P Hyun-Jin Ryu 1B Cody Bellinger",NA,"","",NA
63,794358231,"46Dustin",0,161.6,"OF Hunter Pence P Jeff Samardzija 3B Justin Turner 2B Daniel Descalso C Buster Posey OF Chris Taylor SS Corey Seager OF Michael Conforto P Hyun-Jin Ryu 1B Cody Bellinger",NA,"","",NA
