"Player","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Max Scherzer","P","WSH","vs MIA",2.93,"O'Grady, L 5.40","R",2.2,0,0,6.4,12.4,0.83,NA,12800,53.6,27.7,29.91,29.91,"%",57,2.3,25.55,2
"Jake Arrieta","P","CHC","@ SF",3.46,"Moore, L 5.80","R",3.88,0,0,5.6,8.7,1.18,NA,11600,38,16.1,18.16,18.16,"%",39,1.6,18.25,1.6
"Ervin Santana","P","MIN","vs MIL",4.5,"Suter, L 3.04","R",3.32,0,0,6.4,7,1.1,NA,9500,42,18.2,14.68,14.68,"%",25,1.5,16.7,1.8
"Carlos Martinez","P","STL","@ KC",4.38,"Kennedy, R 4.60","R",3.54,0,0,5.9,9.9,1.2,NA,8200,36.6,18.8,13.42,13.42,"%",38,1.6,27.8,3.4
"Jhoulys Chacin","P","SD","@ CIN",5.09,"Adleman, R 5.42","R",4.06,0,0,5.5,7.4,1.22,NA,8100,35.1,14.2,11.66,11.66,"%",17,1.4,8.7,1.1
"J.C. Ramirez","P","LAA","vs BAL",4.11,"Bundy, R 4.24","R",4.03,0,0,5.4,6.8,1.31,NA,7500,31.4,12.9,13.55,13.55,"%",31,1.8,1.15,0.2
"Dylan Bundy","P","BAL","@ LAA",4.89,"Ramirez, R 4.03","R",4.24,0,0,6.1,6.8,1.22,NA,7400,28.8,14.5,9.56,9.56,"%",34,1.3,32.75,4.4
"Jordan Zimmermann","P","DET","@ PIT",5.11,"Williams, R 4.56","R",5.35,0,0,5.7,6.3,1.47,NA,6900,28.1,10.1,8.86,8.86,"%",5,1.3,8.35,1.2
"Ian Kennedy","P","KC","vs STL",4.62,"Martinez, R 3.54","R",4.6,0,0,5.4,7.7,1.2,NA,6800,31.9,12.7,11.52,11.52,"%",20,1.7,5.5,0.8
"Brent Suter","P","MIL","@ MIN",4.5,"Santana, R 3.32","L",3.04,0,0,3.4,7.7,1.19,NA,6400,29.5,9.2,9.7,9.7,"%",0,1.5,2.8,0.4
"Trevor Williams","P","PIT","vs DET",3.89,"Zimmermann, R 5.35","R",4.56,0,0,4.5,6.4,1.32,NA,6200,26.5,9.1,12.08,12.08,"%",21,1.9,27.95,4.5
"Mike Trout","OF","LAA","vs BAL",4.89,"Bundy, R 4.24","R",0.343,0.483,0.36,0,0,0,2,5700,28.2,12.2,14.39,14.39,"%",72,2.5,21,3.7
"Bryce Harper","OF","WSH","vs MIA",5.57,"O'Grady, L 5.40","L",0.324,0.437,0.282,0,0,0,3,5600,36.3,10.9,16.25,16.25,"%",54,2.9,17,3
"Justin Upton","OF","DET","@ PIT",3.89,"Williams, R 4.56","R",0.279,0.383,0.25,0,0,0,3,5400,27.4,9.3,11.41,11.41,"%",57,2.1,2,0.4
"Anthony Rizzo","1B","CHC","@ SF",4.55,"Moore, L 5.80","L",0.26,0.39,0.255,0,0,0,3,5400,29.7,9.3,13.61,13.61,"%",57,2.5,18,3.3
"Joey Votto","1B","CIN","vs SD",5.09,"Chacin, R 4.06","L",0.31,0.438,0.284,0,0,0,3,5300,27.8,9.9,13.68,13.68,"%",64,2.6,25,4.7
"Kris Bryant","3B","CHC","@ SF",4.55,"Moore, L 5.80","R",0.277,0.39,0.234,0,0,0,2,5300,30.1,9.1,12.92,12.92,"%",53,2.4,13,2.5
"Daniel Murphy","2B","WSH","vs MIA",5.57,"O'Grady, L 5.40","L",0.341,0.417,0.248,0,0,0,5,5000,29.6,9.8,12.24,12.24,"%",56,2.4,0,NA
"Matt Moore","P","SF","vs CHC",4.55,"Arrieta, R 3.88","L",5.8,0,0,5.6,7.6,1.57,NA,5000,30.5,10,9.17,9.17,"%",0,1.8,11.5,2.3
"Willson Contreras","C","CHC","@ SF",4.55,"Moore, L 5.80","R",0.28,0.373,0.249,0,0,0,4,4900,28.4,7.8,11.67,11.67,"%",46,2.4,0,NA
"Tommy Pham","OF","STL","@ KC",4.62,"Kennedy, R 4.60","R",0.315,0.397,0.196,0,0,0,2,4800,29.4,9.5,11.85,11.85,"%",54,2.5,2,0.4
"Brian Dozier","2B","MIN","vs MIL",4.5,"Suter, L 3.04","R",0.248,0.338,0.198,0,0,0,1,4800,25.1,8.6,10.71,10.71,"%",58,2.2,0,NA
"Chris O'Grady","P","MIA","@ WSH",5.57,"Scherzer, R 2.20","L",5.4,0,0,5,8.6,1.56,NA,4800,25.3,11.7,6.33,6.33,"%",19,1.3,4.4,0.9
"Andrew McCutchen","OF","PIT","vs DET",5.11,"Zimmermann, R 5.35","R",0.292,0.392,0.23,0,0,0,3,4700,29.5,9.2,12.44,12.44,"%",54,2.6,8,1.7
"Adam Duvall","OF","CIN","vs SD",5.09,"Chacin, R 4.06","R",0.265,0.354,0.262,0,0,0,4,4700,27.8,8.6,11.95,11.95,"%",54,2.5,16,3.4
"Paul DeJong","2B/SS","STL","@ KC",4.62,"Kennedy, R 4.60","R",0.284,0.36,0.266,0,0,0,3,4600,25.6,7.8,10.85,10.85,"%",53,2.4,16,3.5
"Tim Beckham","SS","BAL","@ LAA",4.11,"Ramirez, R 4.03","R",0.285,0.347,0.181,0,0,0,6,4600,22.6,7.2,7.63,7.63,"%",48,1.7,5,1.1
"Timothy Adleman","P","CIN","vs SD",4.41,"Chacin, R 4.06","R",5.42,0,0,5.2,8.1,1.4,NA,4600,27.3,11.3,8.96,8.96,"%",19,1.9,10.3,2.2
"Manny Machado","3B","BAL","@ LAA",4.11,"Ramirez, R 4.03","R",0.257,0.334,0.202,0,0,0,2,4500,27.4,8.1,10.3,10.3,"%",47,2.3,20,4.4
"Ryan Zimmerman","1B","WSH","vs MIA",5.57,"O'Grady, L 5.40","R",0.308,0.389,0.264,0,0,0,4,4500,30.2,9.1,12.03,12.03,"%",50,2.7,4,0.9
"Anthony Rendon","3B","WSH","vs MIA",5.57,"O'Grady, L 5.40","R",0.307,0.416,0.258,0,0,0,6,4500,30.5,9.4,9.63,9.63,"%",44,2.1,2,0.4
"Lorenzo Cain","OF","KC","vs STL",4.38,"Martinez, R 3.54","R",0.285,0.346,0.151,0,0,0,2,4400,24.6,8.2,9.92,9.92,"%",55,2.3,6,1.4
"Andrelton Simmons","SS","LAA","vs BAL",4.89,"Bundy, R 4.24","R",0.302,0.354,0.156,0,0,0,5,4400,22.4,7.9,9.62,9.62,"%",60,2.2,8,1.8
