"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,799116659,"A_playa_named_gus (2/3)",0,176.35,"P Zack Greinke OF Adam Jones SS Tim Beckham OF Odúbel Herrera 2B Jonathan Schoop C Cameron Rupp 3B Manny Machado P Kevin Gausman OF Trey Mancini 1B Rhys Hoskins",NA,"Zack Greinke","54.23%",32.8
2,799172347,"fkpdmr (2/2)",0,171.35,"P Zack Greinke OF Adam Jones OF Khris Davis SS Tim Beckham 1B Eric Hosmer 2B Jonathan Schoop 3B Manny Machado P Kevin Gausman C Cam Gallagher OF Trey Mancini",NA,"Jerad Eickhoff","51.02%",14.45
3,799190368,"djiz1010 (9/20)",0,170.35,"P Zack Greinke 1B Chris Davis OF Khris Davis SS Tim Beckham OF J.D. Martinez 2B Jonathan Schoop 3B Manny Machado P Kevin Gausman C Austin Hedges OF Trey Mancini",NA,"Paul Goldschmidt","42.35%",9
4,799098924,"paulm5117",0,169.35,"P Zack Greinke OF Adam Jones OF Khris Davis OF J.D. Martinez 3B Manny Machado P Kevin Gausman SS Ketel Marte C Austin Hedges 2B Carlos Asuaje 1B Rhys Hoskins",NA,"J.D. Martinez","40.71%",7
4,799176099,"Omenator (1/3)",0,169.35,"P Zack Greinke OF Adam Jones SS Tim Beckham OF José Pirela 1B Paul Goldschmidt 2B Jonathan Schoop 3B Manny Machado P Kevin Gausman C Austin Hedges OF Trey Mancini",NA,"Kevin Gausman","35.00%",23.55
6,799157931,"jwhornyak (1/4)",0,169.25,"OF Nelson Cruz P Zack Greinke OF Adam Jones SS Tim Beckham 2B Jonathan Schoop 3B Manny Machado P Jerad Eickhoff OF Cory Spangenberg C Bruce Maxwell 1B Trey Mancini",NA,"Khris Davis","32.91%",4
6,799158116,"jwhornyak (2/4)",0,169.25,"OF Nelson Cruz P Zack Greinke OF Adam Jones SS Tim Beckham 2B Jonathan Schoop 3B Manny Machado P Jerad Eickhoff OF Cory Spangenberg C Bruce Maxwell 1B Trey Mancini",NA,"Nelson Cruz","32.50%",14
6,799164773,"jwhornyak (3/4)",0,169.25,"OF Nelson Cruz P Zack Greinke OF Adam Jones SS Tim Beckham 2B Jonathan Schoop 3B Manny Machado P Jerad Eickhoff OF Cory Spangenberg C Bruce Maxwell 1B Trey Mancini",NA,"Manny Machado","30.41%",23
6,799164781,"jwhornyak (4/4)",0,169.25,"OF Nelson Cruz P Zack Greinke OF Adam Jones SS Tim Beckham 2B Jonathan Schoop 3B Manny Machado P Jerad Eickhoff OF Cory Spangenberg C Bruce Maxwell 1B Trey Mancini",NA,"Tim Beckham","29.18%",22
10,799184922,"heebs (2/3)",0,168.35,"P Zack Greinke OF Adam Jones OF Mark Trumbo OF Lorenzo Cain SS Tim Beckham 1B Paul Goldschmidt 2B Jonathan Schoop 3B Manny Machado P Kevin Gausman C Cam Gallagher",NA,"Jake Lamb","27.14%",10
11,799156075,"mastermind30 (7/20)",0,167.75,"2B Robinson Canó P Zack Greinke OF Seth Smith OF Mark Trumbo 1B Chris Davis SS Tim Beckham P Collin McHugh OF J.D. Martinez 3B Manny Machado C Austin Hedges",NA,"Cameron Rupp","26.84%",3
12,798799809,"mrtoe71",0,166.35,"2B Robinson Canó OF Nelson Cruz P Zack Greinke SS Alcides Escobar 1B Chris Davis OF J.D. Martinez C Cameron Rupp 3B Manny Machado P Kevin Gausman OF Cory Spangenberg",NA,"Jake Junis","24.29%",13.9
12,799142958,"Stsikurios",0,166.35,"P Zack Greinke OF Adam Jones OF Lorenzo Cain OF Khris Davis SS Tim Beckham 2B Whit Merrifield 3B Manny Machado P Kevin Gausman C Austin Hedges 1B Trey Mancini",NA,"George Springer","23.62%",3
12,799154138,"pstuhr (9/20)",0,166.35,"P Zack Greinke 2B Yangervis Solarte OF A.J. Pollock OF J.D. Martinez 3B Jake Lamb P Kevin Gausman SS Ketel Marte OF Cory Spangenberg C Austin Hedges 1B Rhys Hoskins",NA,"Adam Jones","22.45%",10
15,799198427,"ninails",0,166.25,"2B Robinson Canó OF Nelson Cruz P Zack Greinke OF Lorenzo Cain 3B Mike Moustakas SS Tim Beckham OF Odúbel Herrera P Jerad Eickhoff C Cam Gallagher 1B Rhys Hoskins",NA,"Jean Segura","22.19%",7
16,798718630,"evilkneville",0,165.35,"2B Robinson Canó OF Nelson Cruz P Zack Greinke OF Mark Trumbo 1B Chris Davis OF Khris Davis SS Tim Beckham 3B Manny Machado P Kevin Gausman C Austin Hedges",NA,"José Altuve","21.79%",3
17,799156572,"jmckee22 (2/2)",0,164.7,"P Zack Greinke SS Tim Beckham OF José Pirela 1B Paul Goldschmidt 2B Jonathan Schoop 3B Manny Machado C Cam Gallagher P Jake Junis OF Nick Williams OF Trey Mancini",NA,"Mike Moustakas","21.58%",5
18,799156523,"Hogfan72425 (1/6)",0,163.7,"P Zack Greinke OF Melky Cabrera OF Mark Trumbo SS Tim Beckham 1B Eric Hosmer 2B César Hernández 3B Manny Machado C Cam Gallagher P Jake Junis OF Trey Mancini",NA,"Eric Hosmer","21.33%",7
19,799177074,"Mrhelo",0,163.35,"P Zack Greinke OF Seth Smith OF Lorenzo Cain SS Tim Beckham C Caleb Joseph OF A.J. Pollock 1B Paul Goldschmidt 2B Whit Merrifield P Kevin Gausman 3B Cory Spangenberg",NA,"Jonathan Schoop","20.82%",6
20,799174590,"Nebraskanate",0,162.35,"P Zack Greinke OF Lorenzo Cain 1B Chris Davis OF Khris Davis SS Tim Beckham OF J.D. Martinez 2B Jonathan Schoop 3B Manny Machado P Kevin Gausman C Austin Hedges",NA,"Whit Merrifield","18.72%",10
20,799190364,"djiz1010 (5/20)",0,162.35,"P Zack Greinke OF Lorenzo Cain 1B Chris Davis OF Khris Davis SS Tim Beckham OF J.D. Martinez 2B Jonathan Schoop 3B Manny Machado P Kevin Gausman C Austin Hedges",NA,"Lorenzo Cain","18.62%",8
22,799135483,"Italopg5 (1/4)",0,161.35,"P Zack Greinke OF Adam Jones OF Mark Trumbo OF Khris Davis SS Tim Beckham 2B Jonathan Schoop C Cameron Rupp 3B Manny Machado P Kevin Gausman 1B Rhys Hoskins",NA,"A.J. Pollock","18.11%",2
22,799142119,"Italopg5 (2/4)",0,161.35,"P Zack Greinke OF Adam Jones OF Mark Trumbo OF Khris Davis SS Tim Beckham 2B Jonathan Schoop C Cameron Rupp 3B Manny Machado P Kevin Gausman 1B Rhys Hoskins",NA,"Melky Cabrera","17.76%",6
22,799153368,"jerseyboys21 (1/2)",0,161.35,"P Zack Greinke OF Mark Trumbo 1B Chris Davis OF Khris Davis SS Tim Beckham OF J.D. Martinez 2B Jonathan Schoop 3B Manny Machado P Kevin Gausman C Austin Hedges",NA,"Robinson Canó","17.70%",3
22,799167784,"koni1212 (2/2)",0,161.35,"P Zack Greinke OF Mark Trumbo 1B Chris Davis OF Khris Davis SS Tim Beckham OF J.D. Martinez 2B Jonathan Schoop 3B Manny Machado P Kevin Gausman C Austin Hedges",NA,"Caleb Joseph","17.04%",4
22,799168232,"bfrey91",0,161.35,"P Zack Greinke OF Mark Trumbo 1B Chris Davis OF Khris Davis SS Tim Beckham OF J.D. Martinez 2B Jonathan Schoop 3B Manny Machado P Kevin Gausman C Austin Hedges",NA,"Marcus Semien","14.85%",13
22,799182322,"sammyl720",0,161.35,"P Zack Greinke OF Mark Trumbo 1B Chris Davis OF Khris Davis SS Tim Beckham OF J.D. Martinez 2B Jonathan Schoop 3B Manny Machado P Kevin Gausman C Austin Hedges",NA,"Freddy Galvis","14.13%",6
22,799189822,"Queentela (6/6)",0,161.35,"P Zack Greinke OF Mark Trumbo 1B Chris Davis OF Khris Davis SS Tim Beckham OF J.D. Martinez 2B Jonathan Schoop 3B Manny Machado P Kevin Gausman C Austin Hedges",NA,"Odúbel Herrera","13.37%",10
22,799190360,"djiz1010 (1/20)",0,161.35,"P Zack Greinke OF Mark Trumbo 1B Chris Davis OF Khris Davis SS Tim Beckham OF J.D. Martinez 2B Jonathan Schoop 3B Manny Machado P Kevin Gausman C Austin Hedges",NA,"Collin McHugh","12.81%",15.95
30,798964712,"zjlogan44 (2/8)",0,160.75,"OF Nelson Cruz P Zack Greinke OF Mark Trumbo 1B Chris Davis OF Khris Davis SS Tim Beckham P Collin McHugh C Mike Zunino 2B Jonathan Schoop 3B Manny Machado",NA,"César Hernández","12.55%",9
31,799141102,"austinrb",0,160.7,"2B Robinson Canó OF Nelson Cruz P Zack Greinke SS Tim Beckham 1B Paul Goldschmidt OF Odúbel Herrera 3B Manny Machado C Austin Hedges P Jake Junis OF Trey Mancini",NA,"Mark Trumbo","12.40%",7
32,798834313,"djdew871 (3/6)",0,160.5,"OF Nelson Cruz OF Matt Szczur SS Freddy Galvis P Collin McHugh 2B César Hernández OF Odúbel Herrera P Kevin Gausman 3B Cory Spangenberg C Austin Hedges 1B Rhys Hoskins",NA,"Trey Mancini","12.40%",16
33,799184763,"bmalcolm0",0,160.35,"P Zack Greinke OF Adam Jones OF Mark Trumbo SS Freddy Galvis 2B César Hernández C Cameron Rupp 3B Manny Machado P Kevin Gausman OF Trey Mancini 1B Rhys Hoskins",NA,"Juan Centeno","11.99%",0
34,799149452,"bradhr",0,159.35,"P Zack Greinke 2B Yangervis Solarte SS Tim Beckham OF José Pirela 1B Paul Goldschmidt OF J.D. Martinez P Kevin Gausman 3B Cory Spangenberg C Austin Hedges OF Manuel Margot",NA,"Mike Zunino","11.73%",17
