"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,799749705,"brian.holmes (13/18)",0,182.9,"OF Lorenzo Cain C Drew Butera OF Matt Joyce 3B Mike Moustakas 1B Eric Hosmer 2B Whit Merrifield SS Marcus Semien OF Matt Olson P Alex Wood P Dinelson Lamet",NA,"Alex Wood","75.72%",22.15
2,799734982,"cptnspaulding (5/14)",0,177.9,"OF Matt Joyce OF Khris Davis SS Marcus Semien P Alex Wood 2B Yangervis Solarte 1B Wil Myers C Héctor Sánchez 3B Cory Spangenberg OF Manuel Margot P Dinelson Lamet",NA,"Cody Bellinger","66.79%",14
3,799749706,"brian.holmes (14/18)",0,176.9,"OF Lorenzo Cain C Drew Butera OF Khris Davis 3B Mike Moustakas 1B Eric Hosmer 2B Whit Merrifield SS Marcus Semien OF Matt Olson P Alex Wood P Dinelson Lamet",NA,"Dinelson Lamet","52.99%",26.75
3,799758349,"joesboy12 (5/5)",0,176.9,"OF Matt Joyce OF Khris Davis 1B Eric Hosmer 2B Whit Merrifield SS Marcus Semien C Mike Zunino OF Trey Mancini P Alex Wood 3B Cory Spangenberg P Dinelson Lamet",NA,"Chris Taylor","45.82%",3
5,799528259,"Joesas",0,175.9,"2B Jed Lowrie 3B Mike Moustakas 1B Eric Hosmer OF Matt Olson OF Joc Pederson P Alex Wood SS Corey Seager OF Cody Bellinger C Héctor Sánchez P Dinelson Lamet",NA,"Yasmani Grandal","36.81%",7
6,799685108,"Fraiby",0,173.9,"OF Khris Davis SS Marcus Semien OF Nelson Cruz 2B Jonathan Schoop OF Joc Pederson P Alex Wood 1B Cody Bellinger C Héctor Sánchez 3B Cory Spangenberg P Dinelson Lamet",NA,"Corey Seager","36.61%",12
7,799636062,"leakedout (1/2)",0,170.9,"1B Eric Hosmer P Alex Wood SS Corey Seager OF Cody Bellinger 2B Yangervis Solarte OF José Pirela C Héctor Sánchez 3B Cory Spangenberg OF Manuel Margot P Dinelson Lamet",NA,"Nelson Cruz","32.36%",9
7,799705705,"dreg2202 (1/2)",0,170.9,"3B Mike Moustakas 1B Eric Hosmer 2B Whit Merrifield OF Matt Olson OF Mark Trumbo C Mike Zunino P Alex Wood SS Corey Seager OF Cory Spangenberg P Dinelson Lamet",NA,"Justin Turner","31.99%",6
7,799712543,"Bill1505 (17/20)",0,170.9,"C Drew Butera OF Matt Joyce 2B Jed Lowrie OF Alex Gordon OF Khris Davis 3B Mike Moustakas P Alex Wood SS Corey Seager 1B Cody Bellinger P Dinelson Lamet",NA,"Manny Machado","31.74%",5
7,799734978,"cptnspaulding (1/14)",0,170.9,"OF Brandon Moss C Drew Butera OF Matt Joyce OF Khris Davis 3B Mike Moustakas 1B Eric Hosmer 2B Whit Merrifield SS Marcus Semien P Alex Wood P Dinelson Lamet",NA,"Jason Hammel","30.49%",12.1
