"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,800247291,"rms4mlb",0,217.6,"P John Lackey 1B Anthony Rizzo 3B Adrián Béltre C Robinson Chirinos SS Elvis Andrus 2B Rougned Odor OF Nomar Mazara OF Josh Reddick OF George Springer P Jon Gray",NA,"Yu Darvish","32.51%",6.1
2,799819792,"chris024 (7/20)",0,212.25,"OF Mookie Betts 3B Joey Gallo P Jaime García P Charlie Morton 2B Logan Forsythe 1B Mark Reynolds OF Gerardo Parra C Jonathan Lucroy OF Charlie Blackmon SS Trevor Story",NA,"Kyle Schwarber","28.35%",9
3,800231731,"condia8902 (3/15)",0,211.15,"3B Adrián Béltre OF Shin-soo Choo 2B Ian Kinsler SS Elvis Andrus OF Mikie Mahtook 1B Joey Gallo OF Nomar Mazara P Charlie Morton C Juan Centeno P Carlos Rodón",NA,"Charlie Blackmon","24.28%",11
3,800292316,"condia8902 (6/15)",0,211.15,"3B Adrián Béltre OF Shin-soo Choo 2B Ian Kinsler SS Elvis Andrus OF Mikie Mahtook 1B Joey Gallo OF Nomar Mazara P Charlie Morton C Juan Centeno P Carlos Rodón",NA,"Rougned Odor","24.27%",10
5,800016734,"redbrick22 (1/20)",0,203.15,"OF Jay Bruce 3B Adrián Béltre C Robinson Chirinos SS Elvis Andrus 2B Rougned Odor 1B Joey Gallo P Charlie Morton OF Nicky Delmonico P Carlos Rodón OF Charlie Blackmon",NA,"Ben Zobrist","23.81%",7
5,800096777,"redbrick22 (2/20)",0,203.15,"OF Jay Bruce 3B Adrián Béltre C Robinson Chirinos SS Elvis Andrus 2B Rougned Odor 1B Joey Gallo P Charlie Morton OF Nicky Delmonico P Carlos Rodón OF Charlie Blackmon",NA,"Charlie Morton","23.29%",30.05
5,800096788,"redbrick22 (3/20)",0,203.15,"OF Jay Bruce 3B Adrián Béltre C Robinson Chirinos SS Elvis Andrus 2B Rougned Odor 1B Joey Gallo P Charlie Morton OF Nicky Delmonico P Carlos Rodón OF Charlie Blackmon",NA,"Jaime García","22.15%",7.2
5,800096793,"redbrick22 (4/20)",0,203.15,"OF Jay Bruce 3B Adrián Béltre C Robinson Chirinos SS Elvis Andrus 2B Rougned Odor 1B Joey Gallo P Charlie Morton OF Nicky Delmonico P Carlos Rodón OF Charlie Blackmon",NA,"Eduardo Rodríguez","21.62%",10.6
5,800096808,"redbrick22 (5/20)",0,203.15,"OF Jay Bruce 3B Adrián Béltre C Robinson Chirinos SS Elvis Andrus 2B Rougned Odor 1B Joey Gallo P Charlie Morton OF Nicky Delmonico P Carlos Rodón OF Charlie Blackmon",NA,"Anthony Rizzo","21.44%",27
5,800096814,"redbrick22 (6/20)",0,203.15,"OF Jay Bruce 3B Adrián Béltre C Robinson Chirinos SS Elvis Andrus 2B Rougned Odor 1B Joey Gallo P Charlie Morton OF Nicky Delmonico P Carlos Rodón OF Charlie Blackmon",NA,"Joey Gallo","18.68%",21
5,800096820,"redbrick22 (7/20)",0,203.15,"OF Jay Bruce 3B Adrián Béltre C Robinson Chirinos SS Elvis Andrus 2B Rougned Odor 1B Joey Gallo P Charlie Morton OF Nicky Delmonico P Carlos Rodón OF Charlie Blackmon",NA,"Carlos Rodón","16.58%",15.1
5,800096834,"redbrick22 (8/20)",0,203.15,"OF Jay Bruce 3B Adrián Béltre C Robinson Chirinos SS Elvis Andrus 2B Rougned Odor 1B Joey Gallo P Charlie Morton OF Nicky Delmonico P Carlos Rodón OF Charlie Blackmon",NA,"Jake Faria","15.97%",6.6
5,800096841,"redbrick22 (9/20)",0,203.15,"OF Jay Bruce 3B Adrián Béltre C Robinson Chirinos SS Elvis Andrus 2B Rougned Odor 1B Joey Gallo P Charlie Morton OF Nicky Delmonico P Carlos Rodón OF Charlie Blackmon",NA,"Alex Avila","14.04%",5
5,800102677,"redbrick22 (10/20)",0,203.15,"OF Jay Bruce 3B Adrián Béltre C Robinson Chirinos SS Elvis Andrus 2B Rougned Odor 1B Joey Gallo P Charlie Morton OF Nicky Delmonico P Carlos Rodón OF Charlie Blackmon",NA,"Aaron Judge","12.84%",19
15,800033197,"kiffyk (1/5)",0,201.35,"P John Lackey 1B Anthony Rizzo 3B Kris Bryant OF Kyle Schwarber 2B Ian Kinsler SS Elvis Andrus P Charlie Morton OF Nicky Delmonico C Kurt Suzuki OF Charlie Blackmon",NA,"Cole Hamels","12.04%",9.7
16,800193950,"bobloblaw7648 (6/15)",0,201.25,"3B Adrián Béltre OF Shin-soo Choo 2B Ian Kinsler SS Elvis Andrus C James McCann OF Mikie Mahtook 1B Joey Gallo OF Nomar Mazara P Jaime García P Charlie Morton",NA,"George Springer","11.25%",13
17,799806203,"rouxdog (1/20)",0,200.4,"C Robinson Chirinos OF Delino DeShields 2B Rougned Odor P Carlos Rodón 1B Mark Reynolds OF Gerardo Parra OF Charlie Blackmon 3B Nolan Arenado P Jon Gray SS Trevor Story",NA,"John Lackey","11.21%",19.3
18,800071135,"GGHOSTMANH (6/20)",0,200.35,"P John Lackey OF Ben Zobrist 1B Anthony Rizzo OF Mookie Betts 2B Rougned Odor P Charlie Morton C Jonathan Lucroy OF Charlie Blackmon 3B Nolan Arenado SS Trevor Story",NA,"Kris Bryant","11.06%",4
