"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,800074214,"cwsavage (2/25)",0,170.3,"OF Melky Cabrera OF Lorenzo Cain OF Alex Gordon 3B Mike Moustakas P Danny Duffy 2B Whit Merrifield SS Tim Beckham P Clayton Richard 1B Wil Myers C Austin Hedges",NA,"Danny Duffy","76.12%",14.45
1,800101529,"jmhat1983 (2/2)",0,170.3,"OF Lorenzo Cain 3B Mike Moustakas P Danny Duffy OF Nelson Cruz SS Tim Beckham C Caleb Joseph 2B Jonathan Schoop OF Guillermo Heredia P Clayton Richard 1B Wil Myers",NA,"Nelson Cruz","56.22%",7
3,799888830,"Nucky_T (5/15)",0,167.3,"OF Lorenzo Cain 3B Mike Moustakas 2B Whit Merrifield OF Nelson Cruz 1B Yonder Alonso SS Jean Segura C Mike Zunino P Clayton Richard OF Cory Spangenberg P Nick Pivetta",NA,"Manny Machado","47.14%",5
3,800019242,"Burgerfolk",0,167.3,"OF Melky Cabrera OF Lorenzo Cain 3B Mike Moustakas P Danny Duffy OF Nelson Cruz SS Jean Segura C Mike Zunino P Clayton Richard 1B Wil Myers 2B Carlos Asuaje",NA,"Nick Pivetta","42.96%",22.45
3,800074224,"cwsavage (12/25)",0,167.3,"OF Lorenzo Cain OF Alex Gordon 3B Mike Moustakas P Danny Duffy SS Tim Beckham 1B Yonder Alonso OF Leonys Martin 2B Jonathan Schoop P Clayton Richard C Austin Hedges",NA,"Clayton Richard","39.29%",38.85
6,800030736,"fewfew (5/25)",0,166.3,"OF Brandon Moss SS Alcides Escobar OF Lorenzo Cain 3B Mike Moustakas P Danny Duffy 2B Whit Merrifield OF Leonys Martin P Clayton Richard 1B Wil Myers C Austin Hedges",NA,"Tim Beckham","37.65%",21
6,800054717,"Quimoestealth",0,166.3,"OF Lorenzo Cain 3B Mike Moustakas P Danny Duffy 2B Robinson Canó 1B Yonder Alonso SS Jean Segura C Mike Zunino OF Guillermo Heredia P Clayton Richard OF Manuel Margot",NA,"Lorenzo Cain","37.65%",23
8,800074215,"cwsavage (3/25)",0,165.3,"OF Melky Cabrera OF Lorenzo Cain C Drew Butera 3B Mike Moustakas P Danny Duffy SS Tim Beckham 1B Yonder Alonso OF Leonys Martin 2B Jonathan Schoop P Clayton Richard",NA,"Robinson Canó","35.61%",7
9,799821303,"Awesemo (22/25)",0,162.3,"OF Lorenzo Cain OF Khris Davis 2B Robinson Canó OF Nelson Cruz SS Jean Segura C Mike Zunino 3B Manny Machado P Clayton Richard 1B Wil Myers P Nick Pivetta",NA,"Eric Hosmer","34.49%",12
9,799969699,"ArtfulPossum (12/12)",0,162.3,"C Dustin Garneau SS Marcus Semien 3B Matt Chapman 2B Robinson Canó OF Nelson Cruz 1B Yonder Alonso OF Leonys Martin OF Ben Gamel P Clayton Richard P Nick Pivetta",NA,"Trey Mancini","34.08%",5
11,800073449,"GreenMonsta (1/5)",0,161.3,"OF Brandon Moss OF Lorenzo Cain C Drew Butera 3B Mike Moustakas P Danny Duffy OF Mark Trumbo SS Tim Beckham 2B Jonathan Schoop P Clayton Richard 1B Wil Myers",NA,"Jean Segura","32.76%",16
12,800091528,"jorge_soler",0,160.3,"OF Rajai Davis OF Lorenzo Cain OF Khris Davis SS Marcus Semien 1B Ryon Healy 3B Matt Chapman C Mike Zunino 2B Jonathan Schoop P Clayton Richard P Nick Pivetta",NA,"Cory Spangenberg","32.04%",5
12,799888826,"Nucky_T (1/15)",0,160.3,"OF Brandon Moss OF Lorenzo Cain C Drew Butera 3B Mike Moustakas P Danny Duffy 2B Whit Merrifield OF Nelson Cruz SS Jean Segura P Clayton Richard 1B Wil Myers",NA,"Mike Moustakas","31.12%",12
14,799984687,"Serenitynow1209",0,159.3,"OF Rajai Davis OF Brandon Moss OF Melky Cabrera 3B Mike Moustakas P Danny Duffy 2B Whit Merrifield SS Tim Beckham C Mike Zunino P Clayton Richard 1B Wil Myers",NA,"Jonathan Schoop","28.06%",3
15,800074216,"cwsavage (4/25)",0,158.3,"OF Brandon Moss OF Melky Cabrera SS Alcides Escobar OF Lorenzo Cain 3B Mike Moustakas P Danny Duffy 2B Robinson Canó P Clayton Richard 1B Wil Myers C Austin Hedges",NA,"Mike Zunino","26.43%",12
15,800107754,"bretteddie (5/11)",0,158.3,"SS Alcides Escobar OF Lorenzo Cain C Drew Butera P Danny Duffy 3B Ryon Healy OF Nelson Cruz OF Mark Trumbo 2B Jonathan Schoop P Clayton Richard 1B Wil Myers",NA,"Mark Trumbo","26.12%",7
