"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,801854171,"theedeazz (1/3)",0,163.3,"C Yasmani Grandal P Hyun-Jin Ryu OF Starling Marte OF Adam Frazier P Chad Kuhl 2B Robinson Canó OF Nelson Cruz 1B Yonder Alonso SS Jean Segura 3B Kyle Seager",NA,"Cody Bellinger","58.29%",0
2,801766438,"ChipotleAddict (8/20)",0,150.4,"P Michael Fulmer OF Sean Rodríguez OF Starling Marte P Chad Kuhl 2B Robinson Canó OF Nelson Cruz C Wilson Ramos 1B Yonder Alonso SS Jean Segura 3B Kyle Seager",NA,"Ariel Miranda","53.71%",15.05
3,801595898,"JTDowner",0,147.3,"C Yasmani Grandal 3B Logan Forsythe 2B Chris Taylor P Hyun-Jin Ryu OF Starling Marte P Chad Kuhl SS Paul DeJong OF Nelson Cruz 1B Yonder Alonso OF Ben Gamel",NA,"Corey Seager","49.65%",3
4,801922712,"BarOfSoap (4/20)",0,142.2,"3B Justin Turner P Michael Fulmer 2B Robinson Canó OF Nelson Cruz C Wilson Ramos OF Steven Souza Jr. 1B Yonder Alonso SS Jean Segura OF Mitch Haniger P Ariel Miranda",NA,"Justin Upton","46.79%",2
4,801946780,"Buckohfive (4/4)",0,142.2,"P Michael Fulmer P Hyun-Jin Ryu 2B Robinson Canó OF Nelson Cruz 3B Evan Longoria C Wilson Ramos 1B Lucas Duda SS Jean Segura OF Mitch Haniger OF Kevin Kiermaier",NA,"Michael Wacha","43.68%",-0.4
6,801822913,"cwiert17",0,141.1,"3B Justin Turner C Yasmani Grandal SS Corey Seager P Hyun-Jin Ryu 1B Cody Bellinger OF Sean Rodríguez OF Starling Marte 2B Adam Frazier OF Nelson Cruz P Ariel Miranda",NA,"Nelson Cruz","41.97%",23
7,801922709,"BarOfSoap (1/20)",0,140.2,"2B Ian Kinsler P Michael Fulmer OF Starling Marte OF Nelson Cruz OF Steven Souza Jr. 1B Yonder Alonso SS Jean Segura 3B Kyle Seager C Mike Zunino P Ariel Miranda",NA,"Yasmani Grandal","41.78%",16
8,801766447,"ChipotleAddict (17/20)",0,138.4,"P Michael Fulmer P Chad Kuhl 2B Robinson Canó OF Nelson Cruz 3B Evan Longoria C Wilson Ramos OF Steven Souza Jr. 1B Lucas Duda SS Jean Segura OF Kevin Kiermaier",NA,"Chris Taylor","39.56%",7
9,801817708,"butterbeandog (1/3)",0,137.85,"3B Justin Turner C Yasmani Grandal SS Corey Seager OF Starling Marte P Michael Wacha OF Adam Frazier P Chad Kuhl 2B Robinson Canó 1B Lucas Duda OF Kevin Kiermaier",NA,"Justin Turner","33.90%",5
10,801912915,"rwalkersc (13/20)",0,135.2,"P Michael Fulmer P Hyun-Jin Ryu OF José Martínez 2B Kolten Wong SS Paul DeJong 3B Evan Longoria C Wilson Ramos OF Steven Souza Jr. 1B Lucas Duda OF Kevin Kiermaier",NA,"Jake Odorizzi","32.83%",-9.55
10,801947433,"ballcoachjg (3/4)",0,135.2,"P Michael Fulmer P Hyun-Jin Ryu 2B Robinson Canó OF Nelson Cruz 3B Evan Longoria C Wilson Ramos 1B Yonder Alonso SS Jean Segura OF Mitch Haniger OF Kevin Kiermaier",NA,"Robinson Canó","29.71%",10
12,801880194,"jrock328 (13/20)",0,134.2,"1B Miguel Cabrera C Yasmani Grandal P Michael Fulmer OF Cody Bellinger OF Starling Marte SS Paul DeJong 2B Robinson Canó 3B Evan Longoria OF Steven Souza Jr. P Ariel Miranda",NA,"Hyun-Jin Ryu","27.56%",15.05
12,801912513,"turbbo2001 (1/2)",0,134.2,"OF Justin Upton 3B Justin Turner C Yasmani Grandal P Michael Fulmer OF Chris Taylor OF Adam Frazier 2B Paul DeJong 1B Lucas Duda SS Jean Segura P Ariel Miranda",NA,"Paul DeJong","26.41%",18
12,801944309,"Fsjewell (4/4)",0,134.2,"1B Victor Martinez P Michael Fulmer SS Corey Seager P Hyun-Jin Ryu 2B Adam Frazier OF Nelson Cruz 3B Evan Longoria OF Steven Souza Jr. C Mike Zunino OF Mitch Haniger",NA,"Tommy Pham","25.21%",0
15,801915643,"Jroberto7",0,133.3,"P Hyun-Jin Ryu P Chad Kuhl 2B Robinson Canó OF Nelson Cruz 3B Evan Longoria C Wilson Ramos OF Steven Souza Jr. 1B Yonder Alonso OF Mitch Haniger SS Adeiny Hechavarria",NA,"Jean Segura","23.81%",7
