"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,802520459,"buckshock (18/20)",0,140.95,"P Miguel González C Manny Piña OF Gerardo Parra OF Keon Broxton 3B Nolan Arenado 2B DJ LeMahieu P A.J. Griffin OF Domingo Santana 1B Jesús Aguilar SS Orlando Arcia",NA,"A.J. Griffin","76.96%",5.25
2,802514947,"lbelton22",0,136.75,"P Miguel González OF Ryan Braun C Manny Piña OF Charlie Blackmon 3B Nolan Arenado P Chase Anderson 2B Jonathan Villar OF Domingo Santana 1B Jesús Aguilar SS Tim Anderson",NA,"Charlie Blackmon","65.99%",7
3,802225543,"berkman12",0,133.4,"OF Charlie Blackmon OF Keon Broxton 3B Nolan Arenado P Chase Anderson 1B Jesús Aguilar C Brett Nicholas SS Orlando Arcia 2B Rougned Odor P Kyle Freeland OF Nomar Mazara",NA,"Kyle Freeland","53.57%",17.35
4,802521889,"brewerfan003",0,133.3,"SS Elvis Andrus C Manny Piña OF Charlie Blackmon OF Keon Broxton 3B Nolan Arenado P Chase Anderson P A.J. Griffin 1B Jesús Aguilar OF Delino DeShields 2B Rougned Odor",NA,"Rougned Odor","48.89%",18
5,802285430,"dirtysnachez",0,132.95,"P Miguel González C Manny Piña OF Gerardo Parra OF Charlie Blackmon OF Keon Broxton 3B Nolan Arenado P A.J. Griffin 2B Jonathan Villar 1B Jesús Aguilar SS Tim Anderson",NA,"Elvis Andrus","47.02%",5
6,802298846,"mdb770 (17/20)",0,132.05,"OF Carlos González 1B Mark Reynolds P Miguel González OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu SS Tyler Saladino C Omar Narváez OF Nicky Delmonico P Kyle Freeland",NA,"Nolan Arenado","44.56%",11
7,802520451,"buckshock (10/20)",0,131.95,"C Ryan Hanigan P Miguel González OF Charlie Blackmon OF Keon Broxton 3B Nolan Arenado 2B DJ LeMahieu P A.J. Griffin OF Domingo Santana 1B Jesús Aguilar SS Orlando Arcia",NA,"Chase Anderson","42.52%",17.05
8,802202087,"Danielk40 (4/4)",0,131.75,"OF Carlos González 1B Mark Reynolds P Miguel González SS Elvis Andrus OF Charlie Blackmon 3B Nolan Arenado P Chase Anderson OF Delino DeShields C Brett Nicholas 2B Rougned Odor",NA,"Domingo Santana","38.27%",12
9,802520460,"buckshock (19/20)",0,130.95,"P Miguel González C Manny Piña OF Charlie Blackmon OF Keon Broxton 3B Nolan Arenado P A.J. Griffin 2B Jonathan Villar OF Domingo Santana 1B Jesús Aguilar SS Trevor Story",NA,"Manny Piña","38.01%",7
10,802503731,"glenflores4 (12/20)",0,129.95,"OF Carlos González P Miguel González C Manny Piña OF Charlie Blackmon 3B Nolan Arenado P A.J. Griffin 2B Jonathan Villar OF Domingo Santana 1B Jesús Aguilar SS Trevor Story",NA,"Brett Nicholas","36.82%",0
11,802422704,"Natiboy63",0,129.75,"P Miguel González OF Ryan Braun OF Leury García OF Avisaíl García P Chase Anderson 2B Jonathan Villar C Omar Narváez 1B Jesús Aguilar 3B Travis Shaw SS Orlando Arcia",NA,"Ryan Braun","35.97%",5
12,802445959,"cpic1 (16/20)",0,129.4,"OF Ryan Braun SS Elvis Andrus OF Gerardo Parra P Chase Anderson OF Domingo Santana C Omar Narváez 1B Jesús Aguilar 3B Travis Shaw 2B Rougned Odor P Kyle Freeland",NA,"Joey Gallo","34.86%",2
13,802341511,"tarheels23523 (2/2)",0,128.95,"OF Carlos González P Miguel González SS Elvis Andrus C Manny Piña OF Gerardo Parra OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu P A.J. Griffin 1B Jesús Aguilar",NA,"Nomar Mazara","28.06%",2
13,802457745,"educatorob",0,128.95,"P Miguel González OF Ryan Braun SS Elvis Andrus C Manny Piña OF Charlie Blackmon OF Keon Broxton 3B Nolan Arenado P A.J. Griffin 2B Jonathan Villar 1B Jesús Aguilar",NA,"Miguel González","26.11%",24.7
13,802520444,"buckshock (3/20)",0,128.95,"C Ryan Hanigan OF Carlos González P Miguel González OF Keon Broxton 3B Nolan Arenado 2B DJ LeMahieu P A.J. Griffin OF Domingo Santana 1B Jesús Aguilar SS Trevor Story",NA,"DJ LeMahieu","25.68%",11
13,802520457,"buckshock (16/20)",0,128.95,"1B Mark Reynolds P Miguel González C Manny Piña OF Charlie Blackmon OF Keon Broxton 3B Nolan Arenado P A.J. Griffin 2B Jonathan Villar OF Domingo Santana SS Orlando Arcia",NA,"José Abreu","25.34%",5
17,802385866,"kschilo",0,128.3,"C Manny Piña OF Charlie Blackmon OF Keon Broxton 3B Nolan Arenado P Chase Anderson P A.J. Griffin 1B Jesús Aguilar SS Orlando Arcia 2B Rougned Odor OF Nomar Mazara",NA,"Adrián Béltre","24.49%",2
18,802503735,"glenflores4 (16/20)",0,127.95,"P Miguel González OF Ryan Braun C Manny Piña OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu P A.J. Griffin OF Domingo Santana 1B Jesús Aguilar SS Orlando Arcia",NA,"Mark Reynolds","24.06%",21
18,802518712,"reedo714",0,127.95,"P Miguel González C Manny Piña OF Gerardo Parra OF Charlie Blackmon OF Keon Broxton 3B Nolan Arenado P A.J. Griffin 2B Jonathan Villar 1B Jesús Aguilar SS Trevor Story",NA,"Trevor Story","22.45%",0
20,802344645,"Jbsportsfan12345",0,127.3,"OF Ryan Braun SS Elvis Andrus C Manny Piña 3B Nolan Arenado P Chase Anderson P A.J. Griffin OF Domingo Santana 1B Jesús Aguilar OF Delino DeShields 2B Rougned Odor",NA,"Gerardo Parra","22.02%",9
21,802487773,"georios",0,126.95,"P Miguel González C Manny Piña OF Charlie Blackmon OF Avisaíl García P A.J. Griffin SS Tyler Saladino 2B Jonathan Villar OF Domingo Santana 1B Jesús Aguilar 3B Travis Shaw",NA,"Nicky Delmonico","21.26%",9
21,802503730,"glenflores4 (11/20)",0,126.95,"OF Carlos González P Miguel González C Manny Piña OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu P A.J. Griffin OF Domingo Santana 1B Jesús Aguilar SS Trevor Story",NA,"Delino DeShields","21.09%",13
21,802520442,"buckshock (1/20)",0,126.95,"C Ryan Hanigan OF Carlos González 1B Mark Reynolds P Miguel González OF Keon Broxton 3B Nolan Arenado 2B DJ LeMahieu P A.J. Griffin OF Domingo Santana SS Orlando Arcia",NA,"Travis Shaw","20.92%",5
24,802205138,"Mophead138",0,126.05,"1B Mark Reynolds P Miguel González SS Elvis Andrus C Manny Piña OF Charlie Blackmon OF Avisaíl García 3B Nolan Arenado 2B DJ LeMahieu OF Delino DeShields P Kyle Freeland",NA,"Avisaíl García","20.24%",9
24,802226844,"TXswing72 (2/6)",0,126.05,"1B Mark Reynolds P Miguel González C Manny Piña OF Gerardo Parra OF Charlie Blackmon OF Domingo Santana 3B Travis Shaw 2B Rougned Odor P Kyle Freeland SS Tim Anderson",NA,"Jonathan Villar","18.88%",14
26,802520450,"buckshock (9/20)",0,125.95,"C Ryan Hanigan P Miguel González OF Gerardo Parra OF Keon Broxton 3B Nolan Arenado P A.J. Griffin 2B Jonathan Villar OF Domingo Santana 1B Jesús Aguilar SS Trevor Story",NA,"Keon Broxton","17.01%",16
26,802520458,"buckshock (17/20)",0,125.95,"P Miguel González OF Ryan Braun C Manny Piña OF Keon Broxton 3B Nolan Arenado 2B DJ LeMahieu P A.J. Griffin OF Domingo Santana 1B Jesús Aguilar SS Trevor Story",NA,"Orlando Arcia","15.22%",11
28,802419324,"streck44 (2/2)",0,124.95,"P Miguel González C Manny Piña OF Gerardo Parra OF Charlie Blackmon OF Keon Broxton 3B Nolan Arenado 2B DJ LeMahieu P A.J. Griffin 1B Jesús Aguilar SS Trevor Story",NA,"Carlos González","13.44%",15
29,802445944,"cpic1 (1/20)",0,124.4,"1B Mark Reynolds SS Elvis Andrus C Manny Piña OF Gerardo Parra P Chase Anderson OF Domingo Santana OF Delino DeShields 3B Travis Shaw 2B Rougned Odor P Kyle Freeland",NA,"Mike Napoli","13.10%",6
30,802300862,"hyroad (4/4)",0,124.05,"OF Carlos González 1B Mark Reynolds P Miguel González OF Leury García OF Avisaíl García 3B Nolan Arenado 2B DJ LeMahieu C Omar Narváez P Kyle Freeland SS Tim Anderson",NA,"Tim Anderson","12.84%",5
31,802503739,"glenflores4 (20/20)",0,123.95,"P Miguel González C Manny Piña OF Gerardo Parra OF Charlie Blackmon 3B Nolan Arenado P A.J. Griffin 2B Jonathan Villar OF Domingo Santana 1B Jesús Aguilar SS Trevor Story",NA,"Omar Narváez","11.90%",7
31,802509483,"cpv45 (14/20)",0,123.95,"1B Mark Reynolds P Miguel González SS Elvis Andrus C Manny Piña OF Charlie Blackmon OF Keon Broxton OF Avisaíl García 3B Nolan Arenado P A.J. Griffin 2B Rougned Odor",NA,"Jesús Aguilar","10.12%",34
31,802520454,"buckshock (13/20)",0,123.95,"1B Mark Reynolds P Miguel González OF Ryan Braun C Manny Piña OF Keon Broxton 3B Nolan Arenado 2B DJ LeMahieu P A.J. Griffin OF Domingo Santana SS Orlando Arcia",NA,"Leury García","8.59%",3
34,802222363,"dec1268 (12/20)",0,123.75,"P Miguel González OF Ryan Braun OF Leury García OF Avisaíl García P Chase Anderson 2B Jonathan Villar C Omar Narváez 1B Jesús Aguilar 3B Travis Shaw SS Tim Anderson",NA,"Ryan Hanigan","8.25%",0
34,802222373,"dec1268 (14/20)",0,123.75,"P Miguel González OF Ryan Braun OF Leury García OF Avisaíl García P Chase Anderson 2B Jonathan Villar C Omar Narváez 1B Jesús Aguilar 3B Travis Shaw SS Tim Anderson",NA,"Yolmer Sánchez","4.85%",2
34,802222382,"dec1268 (16/20)",0,123.75,"P Miguel González OF Ryan Braun OF Leury García OF Avisaíl García P Chase Anderson 2B Jonathan Villar C Omar Narváez 1B Jesús Aguilar 3B Travis Shaw SS Tim Anderson",NA,"Drew Robinson","4.68%",7
34,802222393,"dec1268 (20/20)",0,123.75,"P Miguel González OF Ryan Braun OF Leury García OF Avisaíl García P Chase Anderson 2B Jonathan Villar C Omar Narváez 1B Jesús Aguilar 3B Travis Shaw SS Tim Anderson",NA,"Tyler Saladino","2.21%",9
38,802369466,"chill1229 (13/16)",0,123.6,"SS Elvis Andrus C Manny Piña OF Gerardo Parra 3B Nolan Arenado P A.J. Griffin 2B Jonathan Villar OF Domingo Santana 1B Jesús Aguilar OF Nicky Delmonico P Kyle Freeland",NA,"Jonathan Lucroy","2.13%",0
39,802289460,"TITOSR (6/9)",0,123.3,"SS Elvis Andrus C Manny Piña OF Charlie Blackmon P Chase Anderson P A.J. Griffin OF Domingo Santana 1B Jesús Aguilar OF Delino DeShields 3B Travis Shaw 2B Rougned Odor",NA,"Robinson Chirinos","1.87%",2
40,802321478,"luckyme123",0,123.05,"1B Mark Reynolds P Miguel González C Manny Piña OF Gerardo Parra OF Charlie Blackmon 3B Nolan Arenado 2B Jonathan Villar OF Domingo Santana SS Trevor Story P Kyle Freeland",NA,"Shin-soo Choo","1.70%",0
41,802503729,"glenflores4 (10/20)",0,122.95,"OF Carlos González P Miguel González OF Ryan Braun C Manny Piña OF Charlie Blackmon 3B Nolan Arenado P A.J. Griffin 2B Jonathan Villar 1B Jesús Aguilar SS Trevor Story",NA,"Eric Thames","1.02%",0
