"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,822705330,"NILKNARF (8/10)",0,184.38,"DST Ravens  QB Tom Brady TE Rob Gronkowski FLEX Travis Kelce RB Le'Veon Bell RB James White WR J.J. Nelson WR Marqise Lee WR Adam Thielen",NA,"Tom Brady","62.02%",33.78
2,827844328,"dbredenberg",0,178.98,"DST Ravens  QB Tom Brady TE Travis Kelce RB Mike Gillislee WR J.J. Nelson FLEX Chris Hogan WR Adam Thielen RB Kareem Hunt WR Tyreek Hill",NA,"Larry Fitzgerald","56.80%",5.1
3,826833432,"ccharles",0,173.18,"DST Chiefs  QB Tom Brady FLEX Rob Gronkowski TE Charles Clay WR Chris Hogan WR Mike Evans RB Javorius Allen WR Adam Thielen RB Kareem Hunt",NA,"Tyreek Hill","48.10%",8.9
4,824190093,"RexGrossman",0,169.08,"DST Ravens  QB Tom Brady TE Coby Fleener FLEX Le'Veon Bell WR J.J. Nelson WR Chris Hogan WR Adam Thielen RB Kareem Hunt RB Tarik Cohen",NA,"Coby Fleener","47.66%",12.3
5,828145495,"ChipotleAddict",0,168.68,"DST Buccaneers  QB Tom Brady WR Larry Fitzgerald TE Coby Fleener FLEX Travis Kelce WR Mike Evans WR Marqise Lee RB Kareem Hunt RB Dalvin Cook",NA,"Kareem Hunt","43.74%",25.9
6,827700214,"roalex2 (3/3)",0,167.28,"DST Buccaneers  QB Tom Brady FLEX Rob Gronkowski RB James White WR Chris Hogan WR Mike Evans TE Jesse James WR Adam Thielen RB Leonard Fournette",NA,"Tarik Cohen","33.19%",13.8
7,827946613,"DeezHuttHutts",0,167.14,"DST Browns  QB Drew Brees TE Travis Kelce RB Le'Veon Bell WR J.J. Nelson WR Chris Hogan WR Mike Evans FLEX Marqise Lee RB Tarik Cohen",NA,"Le'Veon Bell","32.43%",13.1
8,822705332,"NILKNARF (10/10)",0,166.08,"DST Steelers  QB Tom Brady WR Larry Fitzgerald TE Coby Fleener FLEX Travis Kelce RB Le'Veon Bell WR J.J. Nelson WR Marqise Lee RB Kareem Hunt",NA,"Ravens ","31.88%",17
9,826790553,"EMunny",0,165.78,"DST Ravens  QB Tom Brady FLEX Jeremy Maclin TE Coby Fleener WR Antonio Brown RB James White WR J.J. Nelson RB Kareem Hunt WR Tyreek Hill",NA,"James White","26.88%",17.6
10,826463732,"SleepyW",0,165.58,"DST Buccaneers  QB Tom Brady WR Larry Fitzgerald TE Coby Fleener WR Allen Hurns RB Le'Veon Bell WR J.J. Nelson FLEX Mike Evans RB Tarik Cohen",NA,"Leonard Fournette","26.33%",14.1
11,822816917,"charder30",0,165.28,"DST Ravens  QB Tom Brady WR Larry Fitzgerald TE Rob Gronkowski RB Jacquizz Rodgers WR J.J. Nelson RB Javorius Allen FLEX Leonard Fournette WR Tyreek Hill",NA,"Chris Hogan","24.92%",18.8
11,824906760,"delmar327 (1/2)",0,165.28,"DST Ravens  QB Tom Brady RB James White WR Chris Hogan WR Mike Evans WR Martavis Bryant TE O.J. Howard FLEX Kareem Hunt RB Christian McCaffrey",NA,"Jeremy Maclin","23.39%",13.1
11,824922952,"delmar327 (2/2)",0,165.28,"DST Ravens  QB Tom Brady RB James White WR Chris Hogan WR Mike Evans WR Martavis Bryant TE O.J. Howard FLEX Kareem Hunt RB Christian McCaffrey",NA,"Christian McCaffrey","22.74%",8.4
14,827328890,"Bonster",0,164.18,"DST Buccaneers  QB Tom Brady TE Rob Gronkowski FLEX Antonio Brown RB Jacquizz Rodgers WR Kendall Wright RB Kerwynn Williams WR J.J. Nelson WR Chris Hogan",NA,"J.J. Nelson","22.74%",26
15,823374915,"Clane78",0,163.68,"DST Ravens  QB Tom Brady WR Larry Fitzgerald TE Rob Gronkowski RB LeSean McCoy FLEX Jacquizz Rodgers RB James White WR J.J. Nelson WR Marqise Lee",NA,"Steelers ","22.52%",8
16,822705327,"NILKNARF (5/10)",0,163.38,"DST Ravens  QB Tom Brady WR Larry Fitzgerald TE Travis Kelce WR T.Y. Hilton RB Le'Veon Bell RB James White FLEX J.J. Nelson WR Marqise Lee",NA,"Mike Evans","19.91%",22.3
17,822705325,"NILKNARF (3/10)",0,162.88,"DST Ravens  QB Tom Brady WR Larry Fitzgerald TE Travis Kelce RB Le'Veon Bell RB James White FLEX J.J. Nelson WR Marqise Lee WR Adam Thielen",NA,"Marqise Lee","18.61%",14.6
18,826142917,"CHaufff (1/2)",0,162.48,"DST Steelers  QB Tom Brady TE Rob Gronkowski RB Jacquizz Rodgers WR J.J. Nelson FLEX Chris Hogan WR Michael Thomas RB Tarik Cohen WR Tyreek Hill",NA,"Rob Gronkowski","17.30%",26.6
18,826143013,"CHaufff (2/2)",0,162.48,"DST Steelers  QB Tom Brady TE Rob Gronkowski RB Jacquizz Rodgers WR J.J. Nelson FLEX Chris Hogan WR Michael Thomas RB Tarik Cohen WR Tyreek Hill",NA,"Brandin Cooks","16.21%",6.3
20,824144433,"fg007",0,161.78,"DST Buccaneers  QB Tom Brady TE Rob Gronkowski RB Doug Martin FLEX Mike Gillislee WR Rishard Matthews WR Chris Hogan WR Mike Evans RB Javorius Allen",NA,"Jacquizz Rodgers","15.67%",12.7
21,825713019,"RikkyRock",0,161.58,"DST Buccaneers  QB Tom Brady TE Rob Gronkowski RB Mike Gillislee WR Jordan Matthews FLEX Chris Hogan WR Mike Evans WR Adam Thielen RB Tarik Cohen",NA,"Antonio Brown","15.23%",11.2
22,822705329,"NILKNARF (7/10)",0,161.18,"DST Ravens  QB Tom Brady WR Larry Fitzgerald FLEX Rob Gronkowski TE Coby Fleener RB Jacquizz Rodgers RB Le'Veon Bell WR J.J. Nelson WR Marqise Lee",NA,"Jameis Winston","13.38%",12.46
23,826890751,"AT1Yancey",0,161.08,"DST Cardinals  QB Tom Brady TE Delanie Walker FLEX Jeremy Maclin WR J.J. Nelson WR Chris Hogan RB Kareem Hunt WR Tyreek Hill RB Dalvin Cook",NA,"Chiefs ","12.08%",11
24,825401886,"joed1047",0,160.18,"DST Buccaneers  QB Tom Brady WR Jeremy Maclin TE Rob Gronkowski RB Jacquizz Rodgers FLEX J.J. Nelson WR Brandin Cooks RB Tarik Cohen WR Tyreek Hill",NA,"Charles Clay","11.97%",5.3
24,826402101,"bearsfan55",0,160.18,"DST Ravens  QB Tom Brady WR Jeremy Maclin TE Rob Gronkowski RB Jacquizz Rodgers WR Adam Thielen FLEX Kareem Hunt RB Tarik Cohen WR Tyreek Hill",NA,"Kerwynn Williams","10.66%",2.2
26,823757540,"Rholden11 (1/2)",0,159.76,"DST Buccaneers  WR DeSean Jackson TE Rob Gronkowski WR Alshon Jeffery WR Martavis Bryant QB Jameis Winston FLEX Kareem Hunt RB Tarik Cohen RB Leonard Fournette",NA,"Adam Thielen","10.66%",8.4
26,823760154,"Rholden11 (2/2)",0,159.76,"DST Buccaneers  WR DeSean Jackson TE Rob Gronkowski WR Alshon Jeffery WR Martavis Bryant QB Jameis Winston FLEX Kareem Hunt RB Tarik Cohen RB Leonard Fournette",NA,"Travis Kelce","10.12%",27.3
28,823474326,"mattttobrien (1/2)",0,159.58,"DST Cardinals  QB Tom Brady WR Larry Fitzgerald TE Coby Fleener RB James White WR Chris Hogan WR Mike Evans RB Kareem Hunt FLEX Tarik Cohen",NA,"Buccaneers ","9.79%",19
29,827724406,"kroop9",0,158.98,"DST Buccaneers  QB Tom Brady TE Delanie Walker FLEX Larry Fitzgerald WR Chris Hogan WR Mike Evans RB Javorius Allen RB Tarik Cohen WR Tyreek Hill",NA,"Cardinals ","8.49%",10
30,827302294,"psufans2",0,158.78,"DST Steelers  QB Tom Brady TE Coby Fleener WR J.J. Nelson WR Chris Hogan WR Brandin Cooks FLEX Michael Thomas RB Kareem Hunt RB Tarik Cohen",NA,"Michael Thomas","8.38%",13.9
31,825808969,"underjones (1/13)",0,158.58,"DST Steelers  QB Tom Brady WR Larry Fitzgerald TE Rob Gronkowski RB Le'Veon Bell FLEX James White WR J.J. Nelson WR Marqise Lee RB Tarik Cohen",NA,"Dalvin Cook","7.94%",8.4
