"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,821670782,"EmileHeskey (30/30)",0,212.18,"WR Larry Fitzgerald WR J.J. Nelson FLEX Travis Kelce QB Tom Brady TE Rob Gronkowski WR Keenan Allen DST Raiders  RB C.J. Anderson RB Ty Montgomery",NA,"Ty Montgomery","81.10%",29
2,828265122,"GrindersCam",0,199.42,"DST Ravens  WR J.J. Nelson WR Chris Hogan TE Rob Gronkowski RB Tarik Cohen RB Melvin Gordon QB Aaron Rodgers FLEX Ty Montgomery WR Davante Adams",NA,"Coby Fleener","67.69%",12.3
3,822815330,"David.Mora001",0,190.88,"DST Colts  RB Kareem Hunt QB Tom Brady WR Chris Hogan TE Rob Gronkowski FLEX DeVante Parker RB C.J. Anderson WR Emmanuel Sanders WR Jamison Crowder",NA,"Melvin Gordon","62.29%",20.8
4,827663066,"themasterson (1/13)",0,190.18,"WR J.J. Nelson QB Tom Brady RB James White TE Rob Gronkowski RB Alvin Kamara DST Steelers  WR Keenan Allen WR Julio Jones FLEX Ty Montgomery",NA,"Keenan Allen","58.78%",22
4,827663067,"themasterson (2/13)",0,190.18,"WR J.J. Nelson QB Tom Brady RB James White TE Rob Gronkowski RB Alvin Kamara DST Steelers  WR Keenan Allen WR Julio Jones FLEX Ty Montgomery",NA,"Larry Fitzgerald","51.04%",5.1
4,827663068,"themasterson (3/13)",0,190.18,"WR J.J. Nelson QB Tom Brady RB James White TE Rob Gronkowski RB Alvin Kamara DST Steelers  WR Keenan Allen WR Julio Jones FLEX Ty Montgomery",NA,"J.J. Nelson","38.43%",26
4,827663069,"themasterson (4/13)",0,190.18,"WR J.J. Nelson QB Tom Brady RB James White TE Rob Gronkowski RB Alvin Kamara DST Steelers  WR Keenan Allen WR Julio Jones FLEX Ty Montgomery",NA,"Aaron Rodgers","38.07%",23.52
4,827663070,"themasterson (5/13)",0,190.18,"WR J.J. Nelson QB Tom Brady RB James White TE Rob Gronkowski RB Alvin Kamara DST Steelers  WR Keenan Allen WR Julio Jones FLEX Ty Montgomery",NA,"Tom Brady","34.47%",33.78
4,827663071,"themasterson (6/13)",0,190.18,"WR J.J. Nelson QB Tom Brady RB James White TE Rob Gronkowski RB Alvin Kamara DST Steelers  WR Keenan Allen WR Julio Jones FLEX Ty Montgomery",NA,"Julio Jones","31.50%",18.8
4,827663072,"themasterson (7/13)",0,190.18,"WR J.J. Nelson QB Tom Brady RB James White TE Rob Gronkowski RB Alvin Kamara DST Steelers  WR Keenan Allen WR Julio Jones FLEX Ty Montgomery",NA,"Steelers ","28.53%",8
