"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Actual_fpts","RankTargets","RollingTargetPctg","FreqInd","TierRank","ValueWR"
"RB","David Johnson",10000,"ARI@IND 01:00PM ET",14.1,"ARI","IND",0,0,0,0,0,0,0,0
"RB","Le'Veon Bell",9800,"MIN@PIT 01:00PM ET",7.7,"PIT","MIN",0,21.7,0,0,0,0,0,0
"WR","Antonio Brown",9400,"MIN@PIT 01:00PM ET",32.2,"PIT","MIN",0,20.3,0,0,0,0,0,0
"WR","Julio Jones",9200,"GB@ATL 08:30PM ET",10.6,"ATL","GB",0,24.2,0,0,0,0,0,0
"RB","LeSean McCoy",8600,"BUF@CAR 01:00PM ET",23.9,"BUF","CAR",0,16.3,0,0,0,0,0,0
"WR","Brandin Cooks",8200,"NE@NO 01:00PM ET",11.8,"NE","NO",0,20.1,0,0,0,0,0,0
"WR","Amari Cooper",8100,"NYJ@OAK 04:05PM ET",17.2,"OAK","NYJ",0,13.2,0,0,0,0,0,0
"WR","Odell Beckham",8000,"DET@NYG 08:30PM ET",0,"NYG","DET",0,17,0,0,0,0,0,0
"QB","Tom Brady",7900,"NE@NO 01:00PM ET",10.68,"NE","NO",0,24.8,0,0,0,0,0,0
"WR","Jordy Nelson",7900,"GB@ATL 08:30PM ET",20.9,"GB","ATL",0,16.7,0,0,0,0,0,0
"WR","AJ Green",7800,"HOU@CIN 08:25PM ET",12.4,"CIN","HOU",0,19.1,0,0,0,0,0,0
"RB","Ezekiel Elliott",7800,"DAL@DEN 04:25PM ET",22,"DAL","DEN",0,21,0,0,0,0,0,0
"QB","Drew Brees",7700,"NE@NO 01:00PM ET",15.64,"NO","NE",0,19.7,0,0,0,0,0,0
"WR","Mike Evans",7700,"CHI@TB 01:00PM ET",0,"TB","CHI",0,19.5,0,0,0,0,0,0
"WR","Michael Thomas",7500,"NE@NO 01:00PM ET",9.5,"NO","NE",0,16.3,0,0,0,0,0,0
"QB","Matt Ryan",7500,"GB@ATL 08:30PM ET",20.94,"ATL","GB",0,23,0,0,0,0,0,0
"QB","Aaron Rodgers",7400,"GB@ATL 08:30PM ET",20.54,"GB","ATL",0,22.2,0,0,0,0,0,0
"RB","Devonta Freeman",7300,"GB@ATL 08:30PM ET",11.9,"ATL","GB",0,13.6,0,0,0,0,0,0
"QB","Derek Carr",7200,"NYJ@OAK 04:05PM ET",18.68,"OAK","NYJ",0,18.6,0,0,0,0,0,0
"WR","Michael Crabtree",7100,"NYJ@OAK 04:05PM ET",14.3,"OAK","NYJ",0,13.1,0,0,0,0,0,0
"RB","Melvin Gordon",7000,"MIA@LAC 04:05PM ET",18.9,"LAC","MIA",0,19.3,0,0,0,0,0,0
"TE","Rob Gronkowski",6900,"NE@NO 01:00PM ET",5.3,"NE","NO",0,12.9,0,0,0,0,0,0
"RB","Kareem Hunt",6800,"PHI@KC 01:00PM ET",49.6,"KC","PHI",0,15.2,0,0,0,0,0,0
"RB","Todd Gurley II",6800,"WAS@LAR 04:25PM ET",20.6,"LAR","WAS",0,16,0,0,0,0,0,0
"QB","Russell Wilson",6800,"SF@SEA 04:25PM ET",9.32,"SEA","SF",0,19.8,0,0,0,0,0,0
"WR","Golden Tate",6800,"DET@NYG 08:30PM ET",24.4,"DET","NYG",0,12.9,0,0,0,0,0,0
"QB","Ben Roethlisberger",6700,"MIN@PIT 01:00PM ET",16.72,"PIT","MIN",0,18.2,0,0,0,0,0,0
"WR","Doug Baldwin",6700,"SF@SEA 04:25PM ET",10,"SEA","SF",0,13.2,0,0,0,0,0,0
"WR","Dez Bryant",6600,"DAL@DEN 04:25PM ET",6.3,"DAL","DEN",0,13.6,0,0,0,0,0,0
"QB","Cam Newton",6500,"BUF@CAR 01:00PM ET",14.14,"CAR","BUF",0,22.3,0,0,0,0,0,0
"WR","Larry Fitzgerald",6500,"ARI@IND 01:00PM ET",13.4,"ARI","IND",0,14.3,0,0,0,0,0,0
"RB","Leonard Fournette",6500,"TEN@JAX 01:00PM ET",24.4,"JAX","TEN",0,15.6,0,0,0,0,0,0
"QB","Marcus Mariota",6400,"TEN@JAX 01:00PM ET",18.84,"TEN","JAX",0,16.3,0,0,0,0,0,0
"RB","Jay Ajayi",6400,"MIA@LAC 04:05PM ET",0,"MIA","LAC",0,15.3,0,0,0,0,0,0
"RB","DeMarco Murray",6300,"TEN@JAX 01:00PM ET",8,"TEN","JAX",0,13.3,0,0,0,0,0,0
"QB","Jameis Winston",6300,"CHI@TB 01:00PM ET",0,"TB","CHI",0,18.1,0,0,0,0,0,0
"WR","Tyreek Hill",6200,"PHI@KC 01:00PM ET",29.8,"KC","PHI",0,18.3,0,0,0,0,0,0
"WR","Stefon Diggs",6100,"MIN@PIT 01:00PM ET",27.7,"MIN","PIT",0,11.3,0,0,0,0,0,0
"QB","Kirk Cousins",6100,"WAS@LAR 04:25PM ET",13.6,"WAS","LAR",0,18.7,0,0,0,0,0,0
"QB","Carson Palmer",6000,"ARI@IND 01:00PM ET",11.96,"ARI","IND",0,18.9,0,0,0,0,0,0
"RB","Marshawn Lynch",6000,"NYJ@OAK 04:05PM ET",10.2,"OAK","NYJ",0,15.6,0,0,0,0,0,0
"WR","Terrelle Pryor",6000,"WAS@LAR 04:25PM ET",12.6,"WAS","LAR",0,13.8,0,0,0,0,0,0
"QB","Andrew Luck",5900,"ARI@IND 01:00PM ET",0,"IND","ARI",0,0,0,0,0,0,0,0
"QB","Carson Wentz",5900,"PHI@KC 01:00PM ET",23.88,"PHI","KC",0,15,0,0,0,0,0,0
"RB","Dalvin Cook",5900,"MIN@PIT 01:00PM ET",19.7,"MIN","PIT",0,13.5,0,0,0,0,0,0
"RB","Jordan Howard",5900,"CHI@TB 01:00PM ET",15.6,"CHI","TB",0,16.6,0,0,0,0,0,0
"WR","Demaryius Thomas",5900,"DAL@DEN 04:25PM ET",11.7,"DEN","DAL",0,14.9,0,0,0,0,0,0
"WR","Randall Cobb",5900,"GB@ATL 08:30PM ET",17.5,"GB","ATL",0,11.1,0,0,0,0,0,0
"WR","DeAndre Hopkins",5800,"HOU@CIN 08:25PM ET",18.5,"HOU","CIN",0,14.9,0,0,0,0,0,0
"QB","Jimmy Garoppolo",5800,"NE@NO 01:00PM ET",0,"NE","NO",0,0,0,0,0,0,0,0
"QB","Philip Rivers",5800,"MIA@LAC 04:05PM ET",18.68,"LAC","MIA",0,18.5,0,0,0,0,0,0
"WR","Keenan Allen",5800,"MIA@LAC 04:05PM ET",14.5,"LAC","MIA",0,13.9,0,0,0,0,0,0
"RB","Ty Montgomery",5800,"GB@ATL 08:30PM ET",19.3,"GB","ATL",0,15,0,0,0,0,0,0
"QB","Matthew Stafford",5800,"DET@NYG 08:30PM ET",28.08,"DET","NYG",0,17.8,0,0,0,0,0,0
"QB","Alex Smith",5700,"PHI@KC 01:00PM ET",34.02,"KC","PHI",0,17.9,0,0,0,0,0,0
"WR","Alshon Jeffery",5700,"PHI@KC 01:00PM ET",8.8,"PHI","KC",0,16.3,0,0,0,0,0,0
"RB","Mike Gillislee",5700,"NE@NO 01:00PM ET",22.5,"NE","NO",0,9.7,0,0,0,0,0,0
"WR","Kelvin Benjamin",5600,"BUF@CAR 01:00PM ET",3.5,"CAR","BUF",0,17.2,0,0,0,0,0,0
"RB","Christian McCaffrey",5600,"BUF@CAR 01:00PM ET",12.5,"CAR","BUF",0,12.5,0,0,0,0,0,0
"WR","Chris Hogan",5600,"NE@NO 01:00PM ET",3.5,"NE","NO",0,11.8,0,0,0,0,0,0
"QB","Dak Prescott",5600,"DAL@DEN 04:25PM ET",17.12,"DAL","DEN",0,15.4,0,0,0,0,0,0
"WR","Davante Adams",5600,"GB@ATL 08:30PM ET",7.7,"GB","ATL",0,12,0,0,0,0,0,0
"QB","Andy Dalton",5500,"HOU@CIN 08:25PM ET",2,"CIN","HOU",0,15,0,0,0,0,0,0
"QB","Derek Anderson",5500,"BUF@CAR 01:00PM ET",0,"CAR","BUF",0,0,0,0,0,0,0,0
"TE","Greg Olsen",5500,"BUF@CAR 01:00PM ET",3.8,"CAR","BUF",0,10,0,0,0,0,0,0
"RB","Derrick Henry",5500,"TEN@JAX 01:00PM ET",2.5,"TEN","JAX",0,7.3,0,0,0,0,0,0
"QB","Sam Bradford",5500,"MIN@PIT 01:00PM ET",28.54,"MIN","PIT",0,14.8,0,0,0,0,0,0
"WR","Martavis Bryant",5500,"MIN@PIT 01:00PM ET",3.4,"PIT","MIN",0,11,0,0,0,0,0,0
"WR","Jarvis Landry",5500,"MIA@LAC 04:05PM ET",0,"MIA","LAC",0,13.9,0,0,0,0,0,0
"QB","Jay Cutler",5400,"MIA@LAC 04:05PM ET",0,"MIA","LAC",0,15.3,0,0,0,0,0,0
"WR","DeVante Parker",5400,"MIA@LAC 04:05PM ET",0,"MIA","LAC",0,12.1,0,0,0,0,0,0
"RB","Lamar Miller",5300,"HOU@CIN 08:25PM ET",11.6,"HOU","CIN",0,13.5,0,0,0,0,0,0
"QB","Tyrod Taylor",5300,"BUF@CAR 01:00PM ET",19.76,"BUF","CAR",0,16,0,0,0,0,0,0
"WR","TY Hilton",5300,"ARI@IND 01:00PM ET",7.7,"IND","ARI",0,15.2,0,0,0,0,0,0
"TE","Zach Ertz",5300,"PHI@KC 01:00PM ET",17.3,"PHI","KC",0,8.1,0,0,0,0,0,0
"RB","Tevin Coleman",5300,"GB@ATL 08:30PM ET",9.8,"ATL","GB",0,10,0,0,0,0,0,0
"QB","Eli Manning",5300,"DET@NYG 08:30PM ET",7.7,"NYG","DET",0,18.7,0,0,0,0,0,0
"QB","Joe Flacco",5200,"CLE@BAL 01:00PM ET",7.84,"BAL","CLE",0,17.1,0,0,0,0,0,0
"RB","Darren McFadden",5200,"DAL@DEN 04:25PM ET",0,"DAL","DEN",0,0,0,0,0,0,0,0
"WR","Emmanuel Sanders",5200,"DAL@DEN 04:25PM ET",5.6,"DEN","DAL",0,13.2,0,0,0,0,0,0
"TE","Jordan Reed",5200,"WAS@LAR 04:25PM ET",8.6,"WAS","LAR",0,12.9,0,0,0,0,0,0
"WR","Sammy Watkins",5200,"WAS@LAR 04:25PM ET",10.8,"LAR","WAS",0,14.7,0,0,0,0,0,0
"RB","Terrance West",5100,"CLE@BAL 01:00PM ET",14,"BAL","CLE",0,11.7,0,0,0,0,0,0
"QB","DeShone Kizer",5100,"CLE@BAL 01:00PM ET",19.58,"CLE","BAL",0,14.6,0,0,0,0,0,0
"TE","Travis Kelce",5100,"PHI@KC 01:00PM ET",9.4,"KC","PHI",0,9.9,0,0,0,0,0,0
