"Position","Name...ID","Name","ID","Salary","GameInfo","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"DST","Ravens  (9505332)","Ravens ",9505332,3900,"BAL@JAX 09:30AM ET","BAL","JAX",12.73,8.7,0
"DST","Patriots  (9505320)","Patriots ",9505320,3800,"HOU@NE 01:00PM ET","NE","HOU",9.96,11.3,0
"DST","Dolphins  (9505318)","Dolphins ",9505318,3700,"MIA@NYJ 01:00PM ET","MIA","NYJ",10.99,9.4,0
"DST","Broncos  (9505311)","Broncos ",9505311,3600,"DEN@BUF 01:00PM ET","DEN","BUF",10.83,8.1,0
"DST","Seahawks  (9505327)","Seahawks ",9505327,3500,"SEA@TEN 04:05PM ET","SEA","TEN",8.83,6.9,0
"DST","Jaguars  (9505331)","Jaguars ",9505331,3400,"BAL@JAX 09:30AM ET","JAX","BAL",8.74,8.6,0
"DST","Steelers  (9505325)","Steelers ",9505325,3400,"PIT@CHI 01:00PM ET","PIT","CHI",11.44,9.3,0
"DST","Packers  (9505313)","Packers ",9505313,3400,"CIN@GB 04:25PM ET","GB","CIN",10.02,7.5,0
"DST","Vikings  (9505319)","Vikings ",9505319,3300,"TB@MIN 01:00PM ET","MIN","TB",9.73,7.1,0
"DST","Colts  (9505315)","Colts ",9505315,3200,"CLE@IND 01:00PM ET","IND","CLE",9.09,6.2,0
"DST","Buccaneers  (9505328)","Buccaneers ",9505328,3200,"TB@MIN 01:00PM ET","TB","MIN",8.7,8.7,0
"DST","Giants  (9505322)","Giants ",9505322,3100,"NYG@PHI 01:00PM ET","NYG","PHI",8.57,5.4,0
"DST","Browns  (9505310)","Browns ",9505310,3000,"CLE@IND 01:00PM ET","CLE","IND",8.92,7.2,0
"DST","Eagles  (9505324)","Eagles ",9505324,3000,"NYG@PHI 01:00PM ET","PHI","NYG",11.26,8,0
"DST","Chiefs  (9505316)","Chiefs ",9505316,2900,"KC@LAC 04:25PM ET","KC","LAC",9.76,7.8,0
"DST","Chargers  (9505326)","Chargers ",9505326,2800,"KC@LAC 04:25PM ET","LAC","KC",7.32,5.7,0
"DST","Titans  (9505314)","Titans ",9505314,2700,"SEA@TEN 04:05PM ET","TEN","SEA",9.72,7.2,0
"DST","Bills  (9505306)","Bills ",9505306,2600,"DEN@BUF 01:00PM ET","BUF","DEN",8.68,5.6,0
"DST","Panthers  (9505330)","Panthers ",9505330,2600,"NO@CAR 01:00PM ET","CAR","NO",11.13,7.8,0
"DST","Falcons  (9505305)","Falcons ",9505305,2500,"ATL@DET 01:00PM ET","ATL","DET",7.25,6.2,0
"DST","Bengals  (9505309)","Bengals ",9505309,2500,"CIN@GB 04:25PM ET","CIN","GB",7.08,4.9,0
"DST","Raiders  (9505317)","Raiders ",9505317,2500,"OAK@WAS 08:30PM ET","OAK","WAS",7.74,5.2,0
"DST","Lions  (9505312)","Lions ",9505312,2400,"ATL@DET 01:00PM ET","DET","ATL",8.13,3.9,0
"DST","Redskins  (9505329)","Redskins ",9505329,2400,"OAK@WAS 08:30PM ET","WAS","OAK",7.49,3.6,0
"DST","Texans  (9505307)","Texans ",9505307,2300,"HOU@NE 01:00PM ET","HOU","NE",5.82,3.4,0
"DST","Bears  (9505308)","Bears ",9505308,2200,"PIT@CHI 01:00PM ET","CHI","PIT",6.28,5.7,0
"DST","Jets  (9505323)","Jets ",9505323,2100,"MIA@NYJ 01:00PM ET","NYJ","MIA",6.53,5.6,0
"DST","Saints  (9505321)","Saints ",9505321,2000,"NO@CAR 01:00PM ET","NO","CAR",4.52,5.4,0
