"ID","Player","Pos","Team","Opp","Week","Snaps","Snap.Pct","Rush.Pct","Tgt.Pct","Touch.Pct","Util.Pct","Fantasy.Points","Points.100.Snaps"
7969,"Jamaal Charles","RB","KC","OAK",15,30,56,27,27,53,53,62.5,171.7
371,"Michael Bush","RB","CHI","CLE",15,7,10,43,0,43,43,10.4,148.6
12506,"James Starks","RB","GB","DAL",15,7,10,43,14,57,57,9.3,118.6
2927,"Stephen Nicholas","OLB","ATL","WAS",15,7,10,0,0,0,0,0,85.7
6739,"Alex Smith","QB","KC","OAK",15,43,80,9,0,56,56,32.18,72.5
7580,"DeAngelo Williams","RB","CAR","NYJ",15,32,50,47,13,56,59,25.8,71.2
14821,"Edwin Baker","RB","CLE","CHI",15,21,36,38,19,57,57,18.4,68.6
3931,"Rashard Mendenhall","RB","ARI","TEN",15,31,46,68,7,71,74,20.8,63.9
15224,"Andre Ellington","RB","ARI","TEN",15,27,40,37,19,52,56,19.8,58.5
15336,"Joseph Fauria","TE","DET","BAL",15,13,20,0,8,8,8,8.4,56.9
14866,"Chris Gragg","TE","BUF","JAX",15,5,7,0,20,20,20,3.8,56
13337,"Mark Ingram","RB","NO","LA",15,8,9,13,25,38,38,6.4,55
14806,"Michael Preston","WR","TEN","ARI",15,27,31,0,19,11,19,17.7,54.4
15045,"Knile Davis","RB","KC","OAK",15,19,35,47,11,58,58,12.2,53.7
14830,"Julian Posey","CB","CLE","CHI",15,11,16,0,0,0,0,0,52.7
11256,"Ryan Mathews","RB","SD","DEN",15,36,50,81,3,83,83,22.8,52.2
3989,"Andre Caldwell","WR","DEN","SD",15,37,69,0,27,16,27,23.9,48.4
13723,"Nick Foles","QB","PHI","MIN",15,69,100,7,0,77,77,37.22,48.1
1652,"Steven Jackson","RB","ATL","WAS",15,35,52,43,17,54,60,20.3,46.6
6597,"Greg Jennings","WR","MIN","PHI",15,50,67,0,26,22,26,36.3,44.6
13857,"DeAngelo Tyson","DT","BAL","DET",15,9,14,0,0,0,0,0,44.4
15221,"Zac Stacy","RB","LA","NO",15,46,85,61,4,63,65,24.3,44.1
15589,"Michael Thomas","FS","MIA","NE",15,16,20,0,0,0,0,0,43.8
2640,"Fred Davis","TE","WAS","ATL",15,19,28,0,16,5,16,9.3,43.7
4640,"Reggie Bush","RB","DET","BAL",15,37,57,46,11,51,57,18.1,43.5
12762,"Daniel Thomas","RB","MIA","NE",15,18,28,28,6,33,33,8.8,43.3
7121,"Wallace Gilberry","DE","CIN","PIT",15,18,29,0,0,0,0,0,42.8
14070,"Cyrus Gray","RB","KC","OAK",15,5,9,20,20,40,40,3.1,42
14465,"Jarius Wright","WR","MIN","PHI",15,23,31,0,22,17,22,13.5,41.3
15138,"Eddie Lacy","RB","GB","DAL",15,56,77,38,9,45,46,30.1,41.2
3943,"DeSean Jackson","WR","PHI","MIN",15,63,91,0,25,16,25,38.5,40.5
11181,"Perrish Cox","CB","SEA","NYG",15,5,9,0,0,0,0,0,40
9169,"Captain Munnerlyn","CB","CAR","NYJ",15,59,95,0,0,0,0,0,39.8
9994,"Michael Bennett","DE","SEA","NYG",15,35,64,0,0,0,0,0,39.4
8723,"Matt Cassel","QB","MIN","PHI",15,75,100,4,0,51,51,33.18,38.9
15617,"Jose Gumbs","SS","WAS","ATL",15,13,19,0,0,0,0,0,38.5
13799,"Ryan Tannehill","QB","MIA","NE",15,64,100,2,0,59,59,27.38,38.1
13255,"Matt Asiata","RB","MIN","PHI",15,65,87,46,8,51,54,27.6,37.8
12386,"Marshawn Lynch","RB","SEA","NYG",15,48,70,33,13,46,46,24,37.5
15371,"MarQueis Gray","TE","CLE","CHI",15,8,14,25,0,25,25,3,37.5
15301,"Josh Martin","OLB","KC","OAK",15,8,11,0,0,0,0,0,37.5
12262,"Jonathan Dwyer","RB","PIT","CIN",15,7,11,86,0,86,86,2.6,37.1
7290,"Felix Jones","RB","PIT","CIN",15,6,10,83,0,83,83,2.2,36.7
8649,"Rashad Jennings","RB","OAK","KC",15,61,77,38,5,43,43,25.3,36.6
8283,"Ryan Fitzpatrick","QB","TEN","ARI",15,86,100,4,0,71,71,35.28,35.2
3895,"Matt Flynn","QB","GB","DAL",15,73,100,4,0,58,58,26.66,35.2
13894,"Tashaun Gipson","FS","CLE","CHI",15,65,97,0,0,0,0,0,34.6
14764,"Cory Harkey","TE","LA","NO",15,26,48,0,12,12,12,11.9,34.2
14967,"Le'Veon Bell","RB","PIT","CIN",15,49,79,49,10,59,59,21.7,34.1
13941,"Zach Brown","ILB","TEN","ARI",15,6,9,0,0,0,0,0,33.3
13902,"Trent Richardson","RB","IND","HOU",15,49,70,39,12,47,51,20.2,33.1
15773,"Jordan Hill","DE","SEA","NYG",15,17,31,0,0,0,0,0,32.9
13124,"DeMarco Murray","RB","DAL","GB",15,65,89,28,11,34,39,28.3,32.8
8950,"Brian Orakpo","OLB","WAS","ATL",15,58,85,0,0,0,0,0,32.8
14594,"Griff Whalen","WR","IND","HOU",15,32,46,0,16,13,16,14.5,32.8
5400,"Osi Umenyiora","OLB","ATL","WAS",15,27,40,0,0,0,0,0,32.6
7328,"Peyton Manning","QB","DEN","SD",15,54,100,0,0,76,76,18.56,32.5
6767,"Pierre Garcon","WR","WAS","ATL",15,59,87,0,17,12,17,28.9,32
12293,"George Selvie","DE","DAL","GB",15,36,49,0,0,0,0,0,31.9
11270,"Dez Bryant","WR","DAL","GB",15,67,92,0,25,16,25,35.3,31.8
8529,"Mike Wallace","WR","MIA","NE",15,56,88,2,16,13,18,26.8,31.8
13391,"Austin Pettis","WR","LA","NO",15,13,24,0,31,31,31,8.1,31.5
14252,"Kirk Cousins","QB","WAS","ATL",15,68,100,0,0,66,66,27.24,31.2
