Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Sck,Int,FF,FR,Fantasy Points
1,11197,Demaryius Thomas,WR,10,DEN,SD,0,0,0,0,0,7,108,3,0,0,0,0,38.80
2,13788,Rishard Matthews,WR,10,MIA,TB,0,0,0,0,0,11,120,2,0,0,0,0,38
3,15215,Tavon Austin,WR,10,LA,IND,0,0,0,4,0,2,138,2,0,0,0,0,37.20
4,11667,Brandon Marshall,WR,10,CHI,DET,0,0,0,0,0,7,139,2,0,0,0,0,35.90
5,7242,Drew Brees,QB,10,NO,DAL,392,4,0,0,0,0,0,0,0,0,0,0,34.68
6,12845,AJ Green,WR,10,CIN,BAL,0,0,0,0,0,8,151,1,0,0,0,0,32.10
7,7328,Peyton Manning,QB,10,DEN,SD,330,4,0,-1,0,0,0,0,0,0,0,0,31.10
8,957,Pierre Thomas,RB,10,NO,DAL,0,0,0,87,1,7,24,1,0,0,0,0,30.10
9,32,Los Angeles Rams,DST,10,LA,IND,0,0,0,0,0,0,0,0,3,4,1,1,29
10,11313,Riley Cooper,WR,10,PHI,GB,0,0,0,0,0,3,102,2,0,0,0,0,28.20
11,12386,Marshawn Lynch,RB,10,SEA,ATL,0,0,0,145,1,3,16,0,0,0,0,0,28.10
12,6767,Pierre Garcon,WR,10,WAS,MIN,0,0,0,0,0,7,119,1,0,0,0,0,27.90
13,14257,Robert Griffin III,QB,10,WAS,MIN,281,3,0,44,0,0,0,0,0,0,0,0,27.64
14,13337,Mark Ingram,RB,10,NO,DAL,0,0,0,145,1,2,15,0,0,0,0,0,27
15,6198,Darren Sproles,RB,10,NO,DAL,0,0,0,12,1,7,76,1,0,0,0,0,26.80
16,5094,Marques Colston,WR,10,NO,DAL,0,0,0,0,0,7,107,1,0,0,0,0,26.70
17,6029,Calvin Johnson,WR,10,DET,CHI,0,0,0,0,0,6,83,2,0,0,0,0,26.30
18,11611,Golden Tate,WR,10,SEA,ATL,0,0,0,0,0,6,106,1,0,0,0,0,25.60
19,8283,Ryan Fitzpatrick,QB,10,TEN,JAX,264,2,0,13,1,0,0,0,0,0,0,0,24.86
20,13723,Nick Foles,QB,10,PHI,GB,228,3,0,38,0,0,0,0,0,0,0,0,23.92
21,14187,Alshon Jeffery,WR,10,CHI,DET,0,0,0,5,0,9,114,0,0,0,0,0,23.90
22,14916,Giovani Bernard,RB,10,CIN,BAL,0,0,0,58,0,8,37,1,0,0,0,0,23.50
23,14005,TY Hilton,WR,10,IND,LA,0,0,0,0,0,7,130,0,0,0,0,0,23
24,3878,John Carlson,TE,10,MIN,WAS,0,0,0,0,0,7,98,1,0,0,0,0,22.80
25,14275,Jarrett Boykin,WR,10,GB,PHI,0,0,0,0,0,8,112,0,0,0,0,0,22.20
26,12536,Andre Brown,RB,10,NYG,OAK,0,0,0,115,1,1,4,0,0,0,0,0,21.90
27,4807,Adrian Peterson,RB,10,MIN,WAS,0,0,0,75,2,2,2,0,0,0,0,0,21.70
28,14536,Russell Wilson,QB,10,SEA,ATL,287,2,0,20,0,0,0,0,0,0,0,0,21.48
29,14008,Andrew Luck,QB,10,IND,LA,353,1,3,17,0,0,0,0,0,0,0,0,20.82
30,2429,Andre Johnson,WR,10,HOU,ARI,0,0,0,0,0,5,37,2,0,0,0,0,20.70
31,15694,Case Keenum,QB,10,HOU,ARI,201,3,0,13,0,0,0,0,0,0,0,0,20.34
32,11932,LeSean McCoy,RB,10,PHI,GB,0,0,0,155,0,1,6,0,0,0,0,0,20.10
33,9038,Matthew Stafford,QB,10,DET,CHI,219,3,1,-1,0,0,0,0,0,0,0,0,19.66
34,8699,Knowshon Moreno,RB,10,DEN,SD,0,0,0,65,0,8,49,0,0,0,0,0,19.40
35,11056,Antonio Brown,WR,10,PIT,BUF,0,0,0,0,0,6,104,0,0,0,0,0,19.40
36,14967,Le'Veon Bell,RB,10,PIT,BUF,0,0,0,57,1,3,39,0,0,0,0,0,18.60
37,13027,Julius Thomas,TE,10,DEN,SD,0,0,0,0,0,3,96,1,0,0,0,0,18.60
38,11565,Andre Roberts,WR,10,ARI,HOU,0,0,0,0,0,5,72,1,0,0,0,0,18.20
39,15100,Jordan Reed,TE,10,WAS,MIN,0,0,0,0,0,6,62,1,0,0,0,0,18.20
40,12841,Andy Dalton,QB,10,CIN,BAL,274,2,3,22,0,0,0,0,0,0,0,0,18.16
41,3943,DeSean Jackson,WR,10,PHI,GB,0,0,0,0,0,4,80,1,0,0,0,0,18
42,7308,Maurice Jones-Drew,RB,10,JAX,TEN,0,0,0,41,1,4,33,0,0,0,0,0,17.40
43,8604,Donald Brown,RB,10,IND,LA,0,0,0,-1,0,5,64,1,0,0,0,0,17.30
44,4640,Reggie Bush,RB,10,DET,CHI,0,0,0,105,0,3,8,0,0,0,0,0,17.30
45,5054,Kellen Clemens,QB,10,LA,IND,247,2,0,2,0,0,0,0,0,0,0,0,17.08
46,52,Jacksonville Jaguars,DST,10,JAX,TEN,0,0,0,0,0,0,0,0,1,1,3,3,17
47,75,New York Giants,DST,10,NYG,OAK,0,0,0,0,0,0,0,0,4,1,1,1,17
48,14269,Alfred Morris,RB,10,WAS,MIN,0,0,0,139,0,0,0,0,0,0,0,0,16.90
49,13124,DeMarco Murray,RB,10,DAL,NO,0,0,0,89,1,1,6,0,0,0,0,0,16.50
50,14749,Jermaine Kearse,WR,10,SEA,ATL,0,0,0,0,0,3,75,1,0,0,0,0,16.50
51,15196,Kenny Stills,WR,10,NO,DAL,0,0,0,0,0,3,75,1,0,0,0,0,16.50
52,13799,Ryan Tannehill,QB,10,MIA,TB,229,2,1,2,0,0,0,0,0,0,0,0,16.36
53,7175,Delanie Walker,TE,10,TEN,JAX,0,0,0,0,0,4,62,1,0,0,0,0,16.20
54,13406,Rob Housler,TE,10,ARI,HOU,0,0,0,0,0,4,57,1,0,0,0,0,15.70
55,12830,Torrey Smith,WR,10,BAL,CIN,0,0,0,0,0,5,46,1,0,0,0,0,15.60
56,2428,Carson Palmer,QB,10,ARI,HOU,241,2,1,-2,0,0,0,0,0,0,0,0,15.44
57,13270,Christian Ponder,QB,10,MIN,WAS,174,2,1,13,0,0,0,0,0,0,0,0,15.26
58,13103,Scott Tolzien,QB,10,GB,PHI,280,1,2,19,0,0,0,0,0,0,0,0,15.10
59,83,Oakland Raiders,DST,10,OAK,NYG,0,0,0,0,0,0,0,0,3,1,3,2,15
