Rk,ID,Player,Pos,Team,Opp,Week,Snaps,Snap Pct,Rush Pct,Tgt Pct,Touch Pct,Util Pct,Fantasy Points,Points/100 Snaps
1,14252,Kirk Cousins,QB,WAS,NO,10,59,95,0,0,42,42,31.96,49.1
2,16307,Charcandrick West,RB,KC,DEN,10,61,88,39,8,44,48,31.10,46.1
3,3807,Ben Roethlisberger,QB,PIT,CLE,10,59,89,3,0,59,59,30.96,45.7
4,16568,Brandin Cooks,WR,NO,WAS,10,51,90,2,16,12,18,27.90,44.9
5,12415,Zach Miller,TE,CHI,LA,10,52,80,0,10,10,10,30.70,43.7
6,11056,Antonio Brown,WR,PIT,CLE,10,64,97,0,22,16,22,40.90,43.6
7,16146,Martavis Bryant,WR,PIT,CLE,10,55,83,0,18,11,18,31.80,39.6
8,8972,Jay Cutler,QB,CHI,LA,10,65,100,5,0,42,42,24.72,38
9,14478,Michael Floyd,WR,ARI,SEA,10,62,70,0,15,11,15,33.30,37.6
10,13460,Doug Baldwin,WR,SEA,ARI,10,55,90,0,18,13,18,29.40,35.3
11,16618,Aaron Donald,DT,LA,CHI,10,52,80,0,0,0,0,0,32.6
12,13320,Cam Newton,QB,CAR,TEN,10,68,100,13,0,50,50,20.98,30.9
13,11932,LeSean McCoy,RB,BUF,NYJ,10,52,80,37,10,46,46,23.90,30.6
14,5940,Dashon Goldson,FS,WAS,NO,10,50,91,0,0,0,0,0,30
15,611,Joe Flacco,QB,BAL,JAX,10,68,100,3,0,69,69,26.34,29.9
16,4932,Eli Manning,QB,NYG,NE,10,75,100,1,0,60,60,25.44,28.6
17,5916,Terence Newman,CB,MIN,OAK,10,53,83,0,0,0,0,0,28.3
18,13791,Lamar Miller,RB,MIA,PHI,10,55,82,29,15,40,44,21.30,27.8
19,13117,Dwayne Harris,WR,NYG,NE,10,51,68,0,18,12,18,20.20,27.8
20,14536,Russell Wilson,QB,SEA,ARI,10,61,100,10,0,62,62,17.80,27.5
21,16311,Derek Carr,QB,OAK,MIN,10,64,100,3,0,70,70,22.28,27
22,13036,Justin Houston,OLB,KC,DEN,10,53,74,0,0,0,0,0,27
23,5451,Jonathan Stewart,RB,CAR,TEN,10,57,84,39,0,39,39,15.10,26.5
24,14375,Lavonte David,OLB,TB,DAL,10,54,100,0,0,0,0,0,25.6
25,2593,Aaron Rodgers,QB,GB,DET,10,87,100,2,0,72,72,25.12,25.4
26,11182,Eric Decker,WR,NYJ,BUF,10,57,97,0,19,11,19,20.50,25.4
27,4314,Tom Brady,QB,NE,NYG,10,73,100,3,0,60,60,23.26,25
28,14189,Shea McClellin,OLB,CHI,LA,10,52,83,0,0,0,0,0,25
29,8283,Ryan Fitzpatrick,QB,NYJ,BUF,10,59,100,5,0,63,63,16.72,24.9
30,12806,Muhammad Wilkerson,DE,NYJ,BUF,10,62,95,0,0,0,0,0,24.7
31,13799,Ryan Tannehill,QB,MIA,PHI,10,67,100,3,0,57,57,16.48,24.6
32,9038,Matthew Stafford,QB,DET,GB,10,65,100,3,0,62,62,16.78,24.3
33,16473,Ha'Sean Clinton-Dix,FS,GB,DET,10,62,95,0,0,0,0,0,24.2
34,10974,Rob Gronkowski,TE,NE,NYG,10,72,99,0,10,7,10,25.30,24
35,16135,Johnny Manziel,QB,CLE,PIT,10,69,100,4,0,70,70,21.58,24
36,11527,Sam Bradford,QB,PHI,MIA,10,58,60,2,0,45,45,13.44,23.2
37,5511,Brent Celek,TE,PHI,MIA,10,58,60,0,7,7,7,20.40,23.1
38,2428,Carson Palmer,QB,ARI,SEA,10,89,100,3,0,56,56,26.32,22.8
39,13236,Davon House,CB,JAX,BAL,10,68,100,0,0,0,0,0,22.8
40,4399,Cliff Avril,DE,SEA,ARI,10,67,75,0,0,0,0,0,22.7
41,7420,Lawrence Timmons,ILB,PIT,CLE,10,69,100,0,0,0,0,0,22.5
42,6739,Alex Smith,QB,KC,DEN,10,69,100,9,0,54,54,15.46,22.4
43,832,Elvis Dumervil,OLB,BAL,JAX,10,58,78,0,0,0,0,0,22.4
44,16389,Odell Beckham Jr,WR,NYG,NE,10,74,99,0,16,5,16,23.40,22.2
45,16182,Avery Williamson,ILB,TEN,CAR,10,68,100,0,0,0,0,0,22
46,11382,Ndamukong Suh,DT,MIA,PHI,10,81,84,0,0,0,0,0,21.9
47,7242,Drew Brees,QB,NO,WAS,10,57,100,0,0,49,49,14.36,21.7
48,16245,Blake Bortles,QB,JAX,BAL,10,74,100,3,0,64,64,17.02,21.6
49,11759,Will Allen,SS,PIT,CLE,10,67,97,0,0,0,0,0,20.9
50,14534,Bobby Wagner,ILB,SEA,ARI,10,89,100,0,0,0,0,0,20.8
51,16157,Ryan Shazier,ILB,PIT,CLE,10,50,73,0,0,0,0,0,20.8
52,14519,Jaye Howard,DE,KC,DEN,10,53,74,0,0,0,0,0,20.2
53,16597,Mike Evans,WR,TB,DAL,10,63,89,0,21,13,21,23.60,20
54,4577,Gary Barnidge,TE,CLE,PIT,10,63,91,0,13,10,13,18.50,19.8
55,13124,DeMarco Murray,RB,PHI,MIA,10,60,63,37,13,47,50,17.90,19.8
56,8231,Derrick Johnson,ILB,KC,DEN,10,62,86,0,0,0,0,0,19.7
57,13887,Travis Benjamin,WR,CLE,PIT,10,55,80,2,20,15,22,20.60,19.3
58,16497,Teddy Bridgewater,QB,MIN,OAK,10,62,100,3,0,39,39,11.90,19.2
59,15226,Tyrann Mathieu,FS,ARI,SEA,10,60,98,0,0,0,0,0,19.2
60,13484,KJ Wright,OLB,SEA,ARI,10,88,99,0,0,0,0,0,18.9
61,11613,Walter Thurmond,S,PHI,MIA,10,67,100,0,0,0,0,0,18.8
62,14986,DeAndre Hopkins,WR,HOU,CIN,10,63,100,0,18,8,18,16.70,18.6
63,16253,Allen Hurns,WR,JAX,BAL,10,66,89,0,14,8,14,17.20,18.5
64,16020,Jarvis Landry,WR,MIA,PHI,10,65,97,2,19,12,20,18.80,18.2
65,16762,Jameis Winston,QB,TB,DAL,10,71,100,4,0,59,59,14.86,18.1
66,16791,Damarious Randall,CB,GB,DET,10,50,77,0,0,0,0,0,18
67,12831,Tyrod Taylor,QB,BUF,NYJ,10,65,100,9,0,51,51,11.52,17.7
68,13810,Demario Davis,ILB,NYJ,BUF,10,65,100,0,0,0,0,0,17.1
69,16491,Richard Rodgers,TE,GB,DET,10,54,62,0,9,9,9,14.20,17
70,12253,Rolando McClain,ILB,DAL,TB,10,59,84,0,0,0,0,0,16.9
71,15302,Brad McDougald,FS,TB,DAL,10,54,100,0,0,0,0,0,16.7
72,12742,Kelvin Sheppard,ILB,MIA,PHI,10,70,73,0,0,0,0,0,16.4
73,9196,Malcolm Jenkins,S,PHI,MIA,10,67,100,0,0,0,0,0,16.4
74,14225,Tahir Whitehead,ILB,DET,GB,10,81,93,0,0,0,0,0,16.3
75,16885,Kwon Alexander,ILB,TB,DAL,10,54,100,0,0,0,0,0,16.3
76,12215,Reshad Jones,SS,MIA,PHI,10,96,100,0,0,0,0,0,16.2
77,13977,Whitney Mercilus,OLB,HOU,CIN,10,66,97,0,0,0,0,0,16.1
78,16143,K'Waun Williams,CB,CLE,PIT,10,50,76,0,0,0,0,0,16
79,5571,Larry Fitzgerald,WR,ARI,SEA,10,82,92,0,17,12,17,26,15.9
80,12167,Reggie Nelson,FS,CIN,HOU,10,63,100,0,0,0,0,0,15.9
