Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
1,11056,Antonio Brown,WR,1,PIT,WAS,24,29,9800,26.3
2,13291,Julio Jones,WR,1,ATL,TB,21,25,9400,25.7
3,7242,Drew Brees,QB,1,NO,OAK,20,21,8100,23.8
4,14008,Andrew Luck,QB,1,IND,DET,23,20,8300,22
5,14536,Russell Wilson,QB,1,SEA,MIA,26,18,7900,21.8
6,2593,Aaron Rodgers,QB,1,GB,JAX,29,28,8500,21.1
7,16389,Odell Beckham Jr,WR,1,NYG,DAL,14,7,9300,20.1
8,16311,Derek Carr,QB,1,OAK,NO,32,32,7300,19.7
9,14986,DeAndre Hopkins,WR,1,HOU,CHI,17,10,8800,19.1
10,9038,Matthew Stafford,QB,1,DET,IND,27,22,7200,19.1
11,13320,Cam Newton,QB,1,CAR,DEN,2,1,7700,19
12,4932,Eli Manning,QB,1,NYG,DAL,14,13,7500,18.4
13,3807,Ben Roethlisberger,QB,1,PIT,WAS,24,24,7800,18.4
14,16245,Blake Bortles,QB,1,JAX,GB,9,9,7200,18.4
15,16762,Jameis Winston,QB,1,TB,ATL,10,8,6600,17.9
16,14252,Kirk Cousins,QB,1,WAS,PIT,18,19,7400,17.9
17,2428,Carson Palmer,QB,1,ARI,NE,11,14,7100,17.8
18,12831,Tyrod Taylor,QB,1,BUF,BAL,19,25,6900,17.8
19,732,Matt Ryan,QB,1,ATL,TB,21,23,7100,17.8
20,16771,Todd Gurley,RB,1,LA,SF,25,31,7800,17.7
21,16847,David Johnson,RB,1,ARI,NE,11,5,7500,17.4
22,6739,Alex Smith,QB,1,KC,SD,16,12,6500,17.4
23,16765,Amari Cooper,WR,1,OAK,NO,32,27,7200,17.3
24,14053,Brock Osweiler,QB,1,HOU,CHI,17,26,6300,17.1
25,16763,Marcus Mariota,QB,1,TEN,MIN,12,15,6400,16.9
26,13791,Lamar Miller,RB,1,HOU,CHI,17,23,7000,16.8
27,18055,Dak Prescott,QB,1,DAL,NYG,31,30,5000,16.7
28,8283,Ryan Fitzpatrick,QB,1,NYJ,CIN,5,3,6500,16.7
29,11667,Brandon Marshall,WR,1,NYJ,CIN,5,12,7800,16.5
30,8244,Philip Rivers,QB,1,SD,KC,7,5,7000,16.4
31,16524,Devonta Freeman,RB,1,ATL,TB,21,14,6900,16.3
32,7580,DeAngelo Williams,RB,1,PIT,WAS,24,17,7000,16.3
