"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12"
"WR","Kenny Britt (0000000)","Kenny Britt",0,5000,"LA@NE 00:00PM ET","LA","Kenny","Britt","NE",14.71,11.5,1,0.228723404255319,1,10.7,15.4,6.8,12.2,12.5,35.6,7.3,NA,14.9,20.9,9.3,16.2
"WR","Mike Wallace (0000000)","Mike Wallace",0,5000,"Mia@Bal 00:00PM ET","Bal","Mike","Wallace","Mia",13.95,11.3,1,0.2,1,19.2,20.1,6.9,10.7,13.3,13.7,25,NA,25.4,9.9,12.5,8.6
"WR","DeSean Jackson (0000000)","DeSean Jackson",0,5000,"Was@Ari 00:00PM ET","Was","DeSean","Jackson","Ari",11.92,13.4,3,0.168141592920354,1,19.2,7,20.6,1.5,6.5,9.5,8.5,7.8,NA,NA,15.1,24.8
"WR","Adam Thielen (0000000)","Adam Thielen",0,4900,"Dal@Min 00:00PM ET","Min","Adam","Thielen","Dal",11.92,9.6,3,0.158031088082902,1,9.4,8.1,5.9,4.1,28.7,NA,7.2,7,10.8,12.2,17.5,13.3
"WR","Sterling Shepard (0000000)","Sterling Shepard",0,4900,"NYG@Pit 00:00PM ET","NYG","Sterling","Shepard","Pit",10.36,13.6,2,0.172169811320755,1,13.3,22.7,18.3,7,3.4,6.5,8.2,NA,14,15.2,16,2.2
"WR","Will Fuller (0000000)","Will Fuller",0,4700,"Hou@GB 00:00PM ET","Hou","Will","Fuller","GB",10.66,9.4,2,0.151741293532338,1,24.7,17.4,6.1,27.1,1.4,NA,6.2,3.3,NA,NA,2.7,10
"WR","Tyreek Hill (0000000)","Tyreek Hill",0,4600,"KC@Atl 00:00PM ET","KC","Tyreek","Hill","Atl",12.59,15.9,2,0.140394088669951,1,7.9,2.7,5.3,13.2,NA,4,13.1,21.5,6.2,20.1,10.1,32.5
"WR","Travis Benjamin (0000000)","Travis Benjamin",0,4600,"TB@SD 00:00PM ET","SD","Travis","Benjamin","TB",8.94,8.9,3,0.155555555555556,1,10.2,32.4,11.2,7.8,21.7,3.7,9.4,13.4,1.5,NA,NA,1.8
"WR","Quincy Enunwa (0000000)","Quincy Enunwa",0,4500,"Ind@NYJ 00:00PM ET","NYJ","Quincy","Enunwa","Ind",9.92,9.8,2,0.196850393700787,1,18.4,15.2,7.7,12,9.1,7.2,15.3,19.3,3.5,1.7,NA,24.9
"WR","Mohamed Sanu (0000000)","Mohamed Sanu",0,4400,"KC@Atl 00:00PM ET","Atl","Mohamed","Sanu","KC",10.89,12.7,2,0.184415584415584,1,21,4.9,6.1,4.2,6.3,15.7,3.6,23.4,12.4,3.4,NA,15
