"Player.Name","Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Ownership.Pctg"
"Le'Veon Bell",12,0,9400,26,-0.04,-0.24,-0.1,30,21.9,18.9,2.6,4.8,6.7,8.2,6.5,0.6,6.7,33,27.7,41,16.4,39,25.4,31.7,5,3,18.1,54.8,26.2,73,93,1,0.171903881700555,2,2,6,0
"David Johnson",8,0,9200,17.3,-0.06,-0.12,-0.23,16.7,18.6,20.6,3.3,4.4,8.3,7.8,6.6,0.9,7.3,27.8,27.4,44,19.1,35.8,22.1,34.6,2,1,26.8,18.1,38.5,77,112,4,0.215799614643545,2,2,3,7.20326672174758
"LeSean McCoy",16,0,9000,24.3,-0.02,0.23,-0.02,16,15.8,18.7,2.5,5.5,5.7,3.9,4,0.5,6.5,28.9,22.2,37,11.9,32.6,19.6,28.5,23,14,34.9,22.8,29.1,46,53,1,0.12958435207824,2,4,4,18.8640015979517
"Mike Evans",7,0,8500,25,0.11,-0.08,0.06,0,0,0,0,0,7.3,10.9,11,1.1,7.6,9,19.7,18,9,30.4,21.1,22.7,29,14,9.9,8.2,8.8,88,158,10,0.31041257367387,1,1,1,15.2674753270807
"Antonio Brown",10,0,8200,26,-0.04,-0.24,0.03,0,0.2,0.2,0,3,7.7,10.2,10.8,0.9,8.3,13,21,18,11.1,30.8,23.5,25.6,5,23,8.8,12.8,17.4,99,152,12,0.280961182994455,1,1,1,0
"Julio Jones",18,0,8100,26,0.14,-0.21,0.1,0,0,0,0,0,10.7,9.4,9.3,0.5,11.1,18.4,20.7,15,6.6,34.7,22.6,10,27,26,0,0,21.3,74,115,5,0.241090146750524,1,1,2,17.3738662260194
"Ezekiel Elliott",9,0,7900,26.5,0.01,-0.08,-0.09,22.3,22.1,21.5,2.6,5,3.3,2.8,3,0.2,9,21.7,23.2,40,14.5,31.9,20.3,22.2,17,6,30.8,13.7,20.5,31,39,1,0.0878378378378378,5,5,6,0
"T.Y. Hilton",22,0,7800,24.3,0.05,0.08,0.05,0,0,0.2,0,0,10,9.6,8.1,0.9,9.3,21.2,18.3,14,7.3,29.4,18.4,19.5,24,17,7.5,29.5,26.6,85,145,7,0.273584905660377,1,1,1,25.3752008788734
"Melvin Gordon",0,1,7400,25.3,0,0.44,0.27,12.3,19.5,0,3.8,3.9,3.7,4.4,0,0.6,7.4,12.4,20.1,0,9.8,30.4,0,0,31,31,0,0.5,23.8,42,58,2,0.119587628865979,4,5,6,0.114398816063046
"A.J. Green",0,1,7200,19,-0.16,-0.05,-0.13,0,0,0,0,0,10,10,0,1,9.6,14.6,19.8,0,6.5,33.2,0,0,4,4,0,0,0,68,108,4,0.216867469879518,1,1,3,0.0835292942682561
"Devonta Freeman",3,0,7100,26,0.14,-0.21,-0.07,13.7,14.4,13.2,3.2,4.6,3.3,3.7,3.5,1,6.7,22.6,17.5,27,7.4,27.7,13.1,16.8,27,8,37.5,3.8,26.5,43,54,2,0.113207547169811,3,3,7,7.45748631299879
"Jordy Nelson",8,0,7000,25.3,-0.12,-0.02,-0.2,0,0,0,0,0,9,9.6,8.7,2,7.7,24.4,19.2,14,10.7,27.7,16.5,39.4,3,2,22.4,22.1,28.8,85,142,12,0.256781193490054,1,1,1,11.8647914945388
"DeMarco Murray",15,0,7000,24,-0.14,0.03,-0.02,18.7,19.1,21.3,2.6,4.6,4.3,4.4,3.4,1,5.8,15.9,21.4,41,15.8,26.9,18.9,8,10,15,19.1,15.2,0,50,62,3,0.139325842696629,3,4,3,22.300959678957
"Julian Edelman",18,0,6900,31,0.02,-0.08,0.07,0,0.8,0.3,0.1,4.6,13,9.9,8.6,0.9,6.2,16.3,13.5,14,8.3,18.8,17.7,13.9,26,20,13.5,14.3,21.1,89,144,2,0.280155642023346,1,1,7,16.9305708137751
"Brandin Cooks",10,0,6800,28,0.04,0.07,0,0.3,0.5,0.3,0.2,5,9,7.8,7,0.8,10.4,22.1,18.1,11,6.6,29.7,15,14.8,21,16,40.6,11.1,14.7,72,104,9,0.175972927241963,2,1,1,14.2367510736238
"Golden Tate",4,0,6600,20,0.08,-0.26,0.07,0.3,0.6,0.4,0.1,-0.3,11.3,8.5,7.9,0.9,7.9,22.1,14.3,14,4.2,24.5,15.2,11.8,11,15,23.2,11.7,31.5,79,124,4,0.239382239382239,1,1,3,0
"Amari Cooper",10,0,6500,27.8,0.07,0.01,-0.03,0.3,0.1,0.3,0,0,5.7,8.4,7.7,0.9,8.9,8.5,15.6,13,5.2,25.9,15.7,11.2,25,12,3.8,7.9,13.9,77,130,4,0.234657039711191,2,2,2,7.93324011948321
"Todd Gurley",19,0,6500,22.8,0.01,0.63,0.51,13.7,17.2,21.9,2,3.2,3.7,3.6,2.8,0.6,5.4,9.5,12.1,40,7.1,17.2,19.9,17.7,32,32,4.6,17.3,6.7,38,53,0,0.108829568788501,5,5,5,19.2373866226019
"Dez Bryant",1,1,6500,26.5,0.01,-0.08,-0.01,0,0,0,0,0,8.3,8.2,7.5,1.1,8.1,11.9,14.8,12,5.2,24.3,15.2,27.4,17,13,16.2,1,18.4,48,92,7,0.207207207207207,3,2,1,0
"Demaryius Thomas",7,0,6400,17.3,0.02,0.15,0.13,0,0,0,0,0,12.3,9.3,9.3,1.2,7.8,17.9,15.8,15,10,21.5,16.9,5,15,25,16.1,25.6,12.1,86,143,5,0.285429141716567,1,1,1,0
"Alshon Jeffery",1,0,6300,23,0.08,0.07,-0.02,0,0,0,0,0,8.7,8.1,8,0.9,8.9,15.3,13.3,13,8.6,18,15.4,14.2,28,11,20.9,0,0,47,83,2,0.162109375,3,2,3,3.87094724035554
"Jordan Howard",30,0,6300,23,0.08,0.07,0.15,20.7,16.2,21.1,2.1,5,3.3,3.6,3.6,0.5,6.1,22.3,16.8,41,7.1,26.6,19.5,16.8,28,29,21.3,13,32.7,30,50,1,0.09765625,5,4,5,36.1034946114526
"Russell Wilson",4,0,6300,26.3,-0.09,-0.08,-0.06,4.3,4.3,4.9,0.1,3.6,0,0.1,0,0.1,7,16.3,17.1,65,9.9,24.3,18.4,37.6,8,9,21.4,10.5,17,2,2,1,0.0044543429844098,13,14,4,2.1038940993817
"Latavius Murray",13,0,6200,27.8,0.07,0.01,0.06,18.3,14.6,14.4,3,4.2,2.3,3.3,2.9,0.4,6,18,17.1,28,8.9,25.2,13.9,7.1,25,22,9.2,19.3,25.5,31,42,1,0.075812274368231,4,5,6,13.9750410837018
"Taylor Gabriel",2,0,6200,26,0.14,-0.21,0.1,0.3,0.4,0,0.1,12.8,6,4.2,5.3,0.5,12.3,13.9,12.3,9,4.9,19.7,11.7,4.5,27,26,0,0,0,32,47,6,0.0985324947589098,4,4,1,6.19682951852625
"Larry Fitzgerald",0,0,6100,17.3,-0.06,-0.12,0.02,0,0.1,0,0,1,9.7,10,8.1,1.3,6.8,11.2,16.2,13,8.9,23.5,15.9,7.1,2,18,11.7,4.2,17.8,102,149,6,0.287090558766859,1,1,1,2.07869912203448
"Michael Crabtree",13,0,6100,27.8,0.07,0.01,-0.03,0,0,0,0,0,8.7,9.1,8,1.4,6.8,14.8,15.9,13,6.9,24.9,14.7,16,25,12,18,6.1,20.4,80,136,9,0.245487364620939,1,1,1,9.51711896568943
"Michael Thomas",16,0,6000,28,0.04,0.07,0,0,0,0,0,0,8.3,7.6,8.1,1,8.9,20.4,16.6,13,8.5,24.8,15.3,15.8,21,16,18.2,0,8.2,78,104,8,0.175972927241963,1,1,2,22.9937080651165
"Doug Baldwin",6,0,6000,26.3,-0.09,-0.08,0.08,0,0.1,0,0,-4,8,7.3,6.9,0.9,9,12.9,15.5,12,6.9,24,14.5,39.7,8,21,14.5,10.6,13.5,81,110,6,0.244988864142539,1,1,1,7.85720122388575
"Emmanuel Sanders",8,0,6000,17.3,0.02,0.15,0.13,0.3,0.1,0.3,0,4,9.7,9.6,8.9,1.3,7.5,14.7,15.6,15,5.4,25.8,15.8,3.6,15,25,7.8,30,6.2,78,136,5,0.271457085828343,2,2,1,0
"Bilal Powell",6,0,6000,14,0.03,-0.19,-0.07,15.3,6.7,15.5,0.9,5.7,6,4.9,5.7,0.7,5.2,21.8,12.1,36,1.3,22.8,16.7,9.4,7,7,27.2,37.9,0.3,55,70,0,0.140845070422535,2,3,7,10.7757329241608
"Dontrelle Inman",11,0,6000,25.3,0,0.44,-0.01,0,0,0,0,0,6.7,5.9,6.7,0.4,8.7,14.6,10.9,11,2.2,19.6,13,7.4,31,24,11.8,19.1,12.9,53,89,4,0.183505154639175,2,2,4,7.28906583379486
"Tyreek Hill",7,0,5900,20.8,-0.22,0.18,-0.38,1.3,1.1,1.3,0.2,10.5,5,5.1,7,0.8,7.7,16.3,13.2,13,4.7,21.8,13.3,15.5,1,1,12.8,23.8,12.2,57,72,6,0.149068322981366,2,2,1,0
