"Player.Name","Pos","Salary","Team","Opp","Proj.FP","Actual.FP","Ownership.Pctg"
"Broncos","D",3900,"DEN","@JAX",9.1,16,17.4258505295148
"Patriots","D",3700,"NE","LA",11.6,14,8.51724257925323
"Seahawks","D",3500,"SEA","CAR",8.2,8,5.3835357436986
"Vikings","D",3400,"MIN","DAL",8.2,10,0
"Bears","D",3300,"CHI","SF",6.2,15,1.18847942837921
"Raiders","D",3200,"OAK","BUF",7.5,8,1.23348528610038
"Jets","D",3200,"NYJ","IND",9.5,-3,0
"Eagles","D",3100,"PHI","@CIN",8.8,3,3.87792741065525
"Ravens","D",3000,"BAL","MIA",8.3,15,11.8952337868717
"Cowboys","D",2900,"DAL","@MIN",9.6,6,0
"Falcons","D",2900,"ATL","KC",7.6,5,0.435675261857536
"Packers","D",2900,"GB","HOU",7.5,8,7.00328264374616
"Chargers","D",2900,"SD","TB",8.1,3,3.35780816833119
"Steelers","D",2800,"PIT","NYG",7.2,9,1.48960109498788
"Chiefs","D",2800,"KC","@ATL",7,9,2.10970757791929
"49ers","D",2800,"SF","@CHI",6,3,1.57914883251557
"Bills","D",2700,"BUF","@OAK",6.4,-4,0.546565983459187
"Giants","D",2700,"NYG","@PIT",7.1,6,0.700838640080732
"Cardinals","D",2700,"ARI","WAS",8.4,6,3.14205843801835
"Bengals","D",2600,"CIN","PHI",7,8,2.6646251638422
"Dolphins","D",2600,"MIA","@BAL",9.4,2,5.2993237521894
"Jaguars","D",2600,"JAX","DEN",5.3,3,5.26429341963323
"Panthers","D",2600,"CAR","@SEA",5.2,1,0.860911020635418
"Colts","D",2600,"IND","@NYJ",7,11,0
"Texans","D",2500,"HOU","@GB",6.6,3,0.636345709944207
"Buccaneers","D",2500,"TB","@SD",6.7,12,5.18634512997181
"Redskins","D",2400,"WAS","@ARI",7.6,3,4.81029103014696
"Lions","D",2300,"DET","@NO",4,11,0.57881244852745
"Rams","D",2200,"LA","@NE",6.6,0,1.02307130180603
"Saints","D",2100,"NO","DET",8.7,1,3.78953961791419
