"Player.Name","Pos","Salary","Team","Opp","Proj.FP","Actual.FP","Ownership.Pctg"
"Le'Veon Bell","RB",10400,"PIT","CLE",0,0,1.21857800850931
"David Johnson","RB",9800,"ARI","@LA",25.4,7.4,23.3249736523674
"Odell Beckham Jr.","WR",9000,"NYG","@WAS",9.8,9.4,0
"LeSean McCoy","RB",8900,"BUF","@NYJ",15.5,2.6,7.63081111674929
"Antonio Brown","WR",8700,"PIT","CLE",0,0,0.744564580975058
"Julio Jones","WR",8400,"ATL","NO",22.5,22.6,15.665375307389
"Jordy Nelson","WR",8100,"GB","@DET",21.2,12.6,39.3970295483821
"Mike Evans","WR",8000,"TB","CAR",22.8,17.5,14.5431613255787
"Aaron Rodgers","QB",7700,"GB","@DET",22.4,37.2,26.4669288418752
"Melvin Gordon","RB",7700,"SD","KC",0,0,0.00439127210273625
"T.Y. Hilton","WR",7600,"IND","JAX",17.1,15.5,7.26901908739607
"Drew Brees","QB",7600,"NO","@ATL",23,24,10.2309321206917
"Ezekiel Elliott","RB",7400,"DAL","@PHI",7.2,0,1.69332331472735
"Matt Ryan","QB",7400,"ATL","NO",22.7,32.4,11.4685389749795
"Ben Roethlisberger","QB",7300,"PIT","CLE",0,0,0.667717319177173
"Doug Baldwin","WR",7200,"SEA","@SF",16,6.4,15.5882840860299
"Tom Brady","QB",7200,"NE","@MIA",19.2,25.6,2.99704321011749
"Devonta Freeman","RB",7000,"ATL","NO",16,28.7,23.9317010812288
"Brandin Cooks","WR",6900,"NO","@ATL",16.4,4.9,10.0323490378235
"A.J. Green","WR",6800,"CIN","BAL",0,0,0.00536711034778875
"Jordan Howard","RB",6800,"CHI","@MIN",20.4,16.5,5.98847535032593
"Russell Wilson","QB",6800,"SEA","@SF",22.4,14.7,6.84623716772708
"Michael Thomas","WR",6700,"NO","@ATL",16.9,34.6,12.0701432530544
"Andrew Luck","QB",6700,"IND","JAX",19,23.5,2.80992622662867
"Golden Tate","WR",6600,"DET","GB",14.6,20.4,21.53894570436
"Bilal Powell","RB",6500,"NYJ","BUF",20.3,25.7,2.8243198407432
"DeAndre Hopkins","WR",6500,"HOU","@TEN",13.4,22.3,3.17781724501347
"Kirk Cousins","QB",6500,"WAS","NYG",19.6,13.5,9.04748428900426
"Julian Edelman","WR",6400,"NE","@MIA",17.6,34.7,6.00677231742066
"Demaryius Thomas","WR",6300,"DEN","OAK",16.8,8.7,1.37959131894297
"DeMarco Murray","RB",6300,"TEN","HOU",17.7,2.9,6.3902767477263
"Philip Rivers","QB",6300,"SD","KC",16.9,16.9,0.457424177368359
"Cam Newton","QB",6200,"CAR","@TB",18.1,11.1,0.319587025254694
"Dez Bryant","WR",6200,"DAL","@PHI",5.3,0,1.29298567469456
"Emmanuel Sanders","WR",6100,"DEN","OAK",15.7,0,1.69088371911472
"Jameis Winston","QB",6100,"TB","CAR",19.3,11.9,2.74552090245521
"Tyrod Taylor","QB",6100,"BUF","@NYJ",0,0,0.246155197314493
"Matthew Stafford","QB",6000,"DET","GB",18.8,23.9,10.7354404933838
"Larry Fitzgerald","WR",6000,"ARI","@LA",16.7,15.3,4.86357781334166
"Derek Carr","QB",5900,"OAK","@DEN",0,0,0.0009758382450525
"Eli Manning","QB",5900,"NYG","@WAS",6.8,7.2,0.646492837347281
"Jay Ajayi","RB",5900,"MIA","NE",11.5,10.9,1.91117920293532
"Alshon Jeffery","WR",5900,"CHI","@MIN",13.5,2,1.28005581794762
"Thomas Rawls","RB",5800,"SEA","@SF",13.5,7.4,11.8017877356649
"Dak Prescott","QB",5800,"DAL","@PHI",5,2.4,0.294703150005855
"Sammy Watkins","WR",5800,"BUF","@NYJ",12.7,7.1,1.97997579921152
"Ty Montgomery","RB",5700,"GB","@DET",14.8,9.1,11.7344548967563
"Carson Palmer","QB",5700,"ARI","@LA",18.4,21.2,1.22199344236699
"Tyrell Williams","WR",5700,"SD","KC",13.6,13,1.7499219329404
"Davante Adams","WR",5700,"GB","@DET",13.8,23.1,21.1932550060502
"LeGarrette Blount","RB",5700,"NE","@MIA",11.1,11.1,10.6539579999219
"DeSean Jackson","WR",5600,"WAS","NYG",14.9,5.4,11.2645887817635
"Adam Thielen","WR",5600,"MIN","CHI",15.5,1.7,17.9332233888911
"Michael Crabtree","WR",5600,"OAK","@DEN",11.9,9.7,0.342031304890901
"Tyreek Hill","WR",5600,"KC","@SD",15.4,17.1,10.0852882626176
