Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fantasy Points
1,7328,Peyton Manning,QB,12,DEN,NE,465,3,1,-3,0,0,0,0,32.30
2,7242,Drew Brees,QB,12,NO,ATL,425,3,1,2,0,0,0,0,31.20
3,12246,Victor Cruz,WR,12,NYG,DAL,0,0,0,0,0,12,156,0,30.60
4,6029,Calvin Johnson,WR,12,DET,TB,0,0,0,0,0,7,138,1,29.80
5,2429,Andre Johnson,WR,12,HOU,JAX,0,0,0,0,0,7,115,1,27.50
6,4314,Tom Brady,QB,12,NE,DEN,393,2,1,6,0,0,0,0,26.32
7,13957,Kendall Wright,WR,12,TEN,OAK,0,0,0,0,0,10,124,0,25.40
8,9038,Matthew Stafford,QB,12,DET,TB,359,2,1,8,0,0,0,0,25.16
9,6767,Pierre Garcon,WR,12,WAS,SF,0,0,0,2,0,9,125,0,24.70
10,7969,Jamaal Charles,RB,12,KC,SD,0,0,0,115,0,6,37,0,24.20
11,13103,Scott Tolzien,QB,12,GB,MIN,557,0,4,27,0,0,0,0,23.98
12,4631,Wes Welker,WR,12,DEN,NE,0,0,0,0,0,10,108,0,23.80
13,3867,Tony Romo,QB,12,DAL,NYG,333,2,1,4,0,0,0,0,23.72
14,11488,Jimmy Graham,TE,12,NO,ATL,0,0,0,0,0,8,97,1,23.70
15,732,Matt Ryan,QB,12,ATL,NO,351,2,2,5,0,0,0,0,23.54
16,11270,Dez Bryant,WR,12,DAL,NYG,0,0,0,0,0,8,119,0,22.90
17,4932,Eli Manning,QB,12,NYG,DAL,414,1,1,1,0,0,0,0,22.66
18,3519,Vincent Jackson,WR,12,TB,DET,0,0,0,0,0,8,116,0,22.60
19,14187,Alshon Jeffery,WR,12,CHI,LA,0,0,0,14,0,7,105,0,21.90
20,11197,Demaryius Thomas,WR,12,DEN,NE,0,0,0,0,0,6,98,1,21.80
21,13557,Ben Tate,RB,12,HOU,JAX,0,0,0,116,0,5,22,0,21.80
22,4556,Jordy Nelson,WR,12,GB,MIN,0,0,0,0,0,8,103,0,21.30
23,15694,Case Keenum,QB,12,HOU,JAX,293,2,0,14,0,0,0,0,21.12
24,4807,Adrian Peterson,RB,12,MIN,GB,0,0,0,94,1,3,23,0,20.70
25,14275,Jarrett Boykin,WR,12,GB,MIN,0,0,0,0,0,7,106,0,20.60
26,10974,Rob Gronkowski,TE,12,NE,DEN,0,0,0,0,0,7,104,0,20.40
27,11056,Antonio Brown,WR,12,PIT,CLE,0,0,0,0,0,7,101,0,20.10
28,6211,Harry Douglas,WR,12,ATL,NO,0,0,0,0,0,7,100,0,20
29,11182,Eric Decker,WR,12,DEN,NE,0,0,0,0,0,7,100,0,20
30,8244,Philip Rivers,QB,12,SD,KC,304,1,0,6,0,0,0,0,19.76
31,3807,Ben Roethlisberger,QB,12,PIT,CLE,296,2,1,7,0,0,0,0,19.54
32,957,Pierre Thomas,RB,12,NO,ATL,0,0,0,77,0,6,51,0,18.80
33,12536,Andre Brown,RB,12,NYG,DAL,0,0,0,88,1,2,16,0,18.40
34,4640,Reggie Bush,RB,12,DET,TB,0,0,0,92,0,5,42,0,18.40
