"ID","Player","Pos","Team","Opp","Week","Snaps","Snap.Pct","Rush.Pct","Tgt.Pct","Touch.Pct","Util.Pct","Fantasy.Points","Points.100.Snaps"
13476,"Ron Parker","FS","KC","DAL",2,5,8,0,0,0,0,0,186
1652,"Steven Jackson","RB","ATL","LA",2,9,14,33,22,44,56,7.8,75.6
11317,"Clay Harbor","TE","JAX","OAK",2,13,19,0,31,23,31,12.4,72.3
15224,"Andre Ellington","RB","ARI","DET",2,18,25,22,11,33,33,14.2,67.8
14916,"Giovani Bernard","RB","CIN","PIT",2,28,34,29,7,32,36,19.5,66.1
12386,"Marshawn Lynch","RB","SEA","SF",2,51,67,55,6,61,61,34.5,61.8
3989,"Andre Caldwell","WR","DEN","NYG",2,6,8,0,17,17,17,4.6,60
9447,"Michael Vick","QB","PHI","SD",2,58,98,9,0,71,71,37.32,59.2
12207,"Leger Douzable","DT","NYJ","NE",2,11,17,0,0,0,0,0,51.8
8699,"Knowshon Moreno","RB","DEN","NYG",2,44,60,30,7,36,36,25.7,51.6
364,"Usama Young","FS","OAK","JAX",2,19,28,0,0,0,0,0,50
2593,"Aaron Rodgers","QB","GB","WAS",2,72,100,4,0,63,63,37.9,48.5
14856,"Zach Ertz","TE","PHI","SD",2,12,20,0,17,17,17,7.8,48.3
13557,"Ben Tate","RB","HOU","TEN",2,21,26,43,19,57,62,13.1,48.1
13358,"Mason Foster","ILB","TB","NO",2,34,47,0,0,0,0,0,47.1
3943,"DeSean Jackson","WR","PHI","SD",2,54,92,0,28,17,28,37.3,46.9
13291,"Julio Jones","WR","ATL","LA",2,53,83,0,26,21,26,38.2,45.7
2254,"Brandon Jacobs","RB","NYG","DEN",2,14,18,50,7,50,57,6.4,45.7
7389,"Eddie Royal","WR","SD","PHI",2,61,74,0,13,12,13,34,44.3
14884,"Michael Buchanan","DE","NE","NYJ",2,15,21,0,0,0,0,0,44
13791,"Lamar Miller","RB","MIA","IND",2,31,47,45,7,52,52,15.5,43.5
3931,"Rashard Mendenhall","RB","ARI","DET",2,36,51,42,6,47,47,17.4,42.8
5412,"Jason Snelling","RB","ATL","LA",2,29,45,7,14,21,21,16,41.4
