Rk,ID,Player,Pos,Team,Opp,Week,Snaps,Snap Pct,Rush Pct,Tgt Pct,Touch Pct,Util Pct,Fantasy Points,Points/100 Snaps
1,15020,CJ Anderson,RB,DEN,OAK,17,36,46,36,8,42,44,30.70,79.7
2,11182,Eric Decker,WR,NYJ,MIA,17,50,81,0,22,20,22,41.10,56.2
3,12822,Pernell McPhee,OLB,BAL,CLE,17,33,51,0,0,0,0,0,49.7
4,14008,Andrew Luck,QB,IND,TEN,17,30,46,3,0,57,57,14.90,49.7
5,13791,Lamar Miller,RB,MIA,NYJ,17,48,69,40,4,40,44,26.80,49.6
6,16345,Branden Oliver,RB,SD,KC,17,29,41,48,7,55,55,15.50,46.6
7,4080,Anthony Spencer,OLB,DAL,WAS,17,25,36,0,0,0,0,0,46
8,12955,JJ Watt,DE,HOU,JAX,17,57,100,0,0,0,0,0,45.6
9,13124,DeMarco Murray,RB,DAL,WAS,17,40,63,50,8,58,58,24.10,45.2
10,15188,Star Lotulelei,DT,CAR,ATL,17,42,59,0,0,0,0,0,42.6
11,14715,Chris Owusu,WR,NYJ,MIA,17,28,45,4,4,7,7,12.90,42.5
12,14916,Giovani Bernard,RB,CIN,PIT,17,30,42,10,27,33,37,19.40,41.3
13,12386,Marshawn Lynch,RB,SEA,LA,17,34,55,41,9,50,50,17.60,40
14,11270,Dez Bryant,WR,DAL,WAS,17,55,86,0,11,7,11,25.90,39.8
15,14478,Michael Floyd,WR,ARI,SF,17,69,99,0,17,12,17,38.30,39.6
16,2593,Aaron Rodgers,QB,GB,DET,17,62,94,3,0,39,39,24.44,39.4
17,14885,Jamie Collins,OLB,NE,BUF,17,32,55,0,0,0,0,0,39.4
18,14583,Bruce Irvin,OLB,SEA,LA,17,54,87,0,0,0,0,0,38.9
19,16609,Charles Sims,RB,TB,NO,17,36,54,50,6,53,56,14.50,37.5
20,13320,Cam Newton,QB,CAR,ATL,17,53,100,11,0,42,42,19.66,37.1
21,13036,Justin Houston,OLB,KC,SD,17,68,97,0,0,0,0,0,36.9
22,16402,Andre Williams,RB,NYG,PHI,17,34,43,44,9,53,53,15.20,35.9
23,12239,Chris Ivory,RB,NYJ,MIA,17,27,44,48,4,52,52,10.70,35.9
24,13443,Colin Kaepernick,QB,SF,ARI,17,63,100,11,0,52,52,22.46,35.7
25,16597,Mike Evans,WR,TB,NO,17,32,48,0,19,16,19,16.40,35.6
26,13102,Jordan Todman,RB,JAX,HOU,17,45,79,16,13,27,29,20.80,35.1
27,14385,Doug Martin,RB,TB,NO,17,31,46,61,0,61,61,13.80,34.8
28,15974,Jordan Matthews,WR,PHI,NYG,17,48,66,0,21,17,21,27.50,34.4
29,11056,Antonio Brown,WR,PIT,CIN,17,57,97,0,23,12,23,34.80,33
30,9801,Paul Kruger,DE,CLE,BAL,17,37,55,0,0,0,0,0,33
31,16389,Odell Beckham Jr,WR,NYG,PHI,17,75,94,0,28,16,28,39.50,32.7
32,13112,Bruce Carter,ILB,DAL,WAS,17,56,81,0,0,0,0,0,32.1
33,13337,Mark Ingram,RB,NO,TB,17,38,59,37,8,42,45,14.10,31.8
34,3943,DeSean Jackson,WR,WAS,DAL,17,46,67,0,7,4,7,16.60,31.7
35,9038,Matthew Stafford,QB,DET,GB,17,69,100,6,0,65,65,22.58,31.3
36,16142,Terrance West,RB,CLE,BAL,17,53,82,34,6,38,40,18.60,31.3
37,16146,Martavis Bryant,WR,PIT,CIN,17,26,44,0,8,4,8,9.10,31.2
38,13227,Randall Cobb,WR,GB,DET,17,60,91,3,8,10,12,23.60,31
39,5820,Frank Gore,RB,SF,ARI,17,48,76,52,6,56,58,19.90,31
40,11932,LeSean McCoy,RB,PHI,NYG,17,37,51,46,3,49,49,12.40,30.8
41,611,Joe Flacco,QB,BAL,CLE,17,67,100,5,0,58,58,23.58,30.7
42,12460,Clinton McDonald,DT,TB,NO,17,31,49,0,0,0,0,0,30
43,13932,Sean Spence,ILB,PIT,CIN,17,26,37,0,0,0,0,0,29.6
44,6990,Jeremy Mincey,DE,DAL,WAS,17,35,51,0,0,0,0,0,29.4
45,12293,George Selvie,DE,DAL,WAS,17,26,38,0,0,0,0,0,29.2
46,184,David Harris,ILB,NYJ,MIA,17,70,100,0,0,0,0,0,29
47,13997,Coby Fleener,TE,IND,TEN,17,61,92,0,12,8,12,22.60,28.9
48,16189,Alfred Blue,RB,HOU,JAX,17,47,58,36,13,49,49,19.60,28.9
49,3807,Ben Roethlisberger,QB,PIT,CIN,17,59,100,7,0,71,71,21.98,28.8
50,15154,Joplo Bartu,ILB,ATL,CAR,17,25,47,0,0,0,0,0,28.8
51,16234,Jonathan Newsome,OLB,IND,TEN,17,59,100,0,0,0,0,0,28.6
52,3867,Tony Romo,QB,DAL,WAS,17,63,98,2,0,56,56,18.96,28.5
53,15071,Latavius Murray,RB,OAK,DEN,17,34,59,29,12,41,41,13.70,28.5
54,14257,Robert Griffin III,QB,WAS,DAL,17,69,100,9,0,68,68,25.34,28
55,14375,Lavonte David,OLB,TB,NO,17,25,40,0,0,0,0,0,28
56,16538,Prince Shembo,OLB,ATL,CAR,17,25,47,0,0,0,0,0,28
57,14020,Antwon Blake,CB,PIT,CIN,17,45,63,0,0,0,0,0,27.8
58,16618,Aaron Donald,DT,LA,SEA,17,45,73,0,0,0,0,0,27.6
59,12830,Torrey Smith,WR,BAL,CLE,17,52,78,0,14,8,14,18.30,27.5
60,8415,Mark Sanchez,QB,PHI,NYG,17,73,100,10,0,59,59,20.88,27.2
61,14719,Jonathan Grimes,RB,HOU,JAX,17,25,31,44,12,52,56,8.80,27.2
62,5094,Marques Colston,WR,NO,TB,17,41,63,0,17,5,17,13.10,27.1
63,13255,Matt Asiata,RB,MIN,CHI,17,40,65,48,10,53,58,12.80,27
64,1034,Matt Hasselbeck,QB,IND,TEN,17,35,53,11,0,66,66,9.40,26.9
65,4701,Aqib Talib,CB,DEN,OAK,17,31,53,0,0,0,0,0,26.8
66,14533,Robert Turbin,RB,SEA,LA,17,25,40,44,4,48,48,7.60,26.4
67,13808,Quinton Coples,DE,NYJ,MIA,17,43,61,0,0,0,0,0,26.3
68,9369,Justin Forsett,RB,BAL,CLE,17,52,78,33,8,37,40,18.60,26.2
69,16112,Jeremy Hill,RB,CIN,PIT,17,42,59,55,7,60,62,16,26.2
70,16625,Lamarcus Joyner,CB,LA,SEA,17,29,47,0,0,0,0,0,26.2
71,6029,Calvin Johnson,WR,DET,GB,17,61,88,0,18,7,18,19.90,26.1
72,15010,Kerwynn Williams,RB,ARI,SF,17,26,37,65,4,65,69,6.70,25.8
73,734,Roman Harper,SS,CAR,ATL,17,63,89,0,0,0,0,0,25.4
74,15048,Travis Kelce,TE,KC,SD,17,57,95,0,14,12,14,21.40,25.3
75,14967,Le'Veon Bell,RB,PIT,CIN,17,40,68,20,15,35,35,16,25
76,7383,Terrell Suggs,OLB,BAL,CLE,17,46,71,0,0,0,0,0,24.8
77,13857,DeAngelo Tyson,DT,BAL,CLE,17,34,52,0,0,0,0,0,24.7
78,12241,Junior Galette,OLB,NO,TB,17,29,45,0,0,0,0,0,24.5
79,15233,Cornellius Carradine,OLB,SF,ARI,17,36,51,0,0,0,0,0,24.4
80,14788,Dan Herron,RB,IND,TEN,17,27,41,37,11,48,48,9.60,24.4
81,2429,Andre Johnson,WR,HOU,JAX,17,80,99,0,19,13,19,32.40,24.2
82,14442,Audie Cole,ILB,MIN,CHI,17,60,98,0,0,0,0,0,24.2
83,13022,Von Miller,OLB,DEN,OAK,17,38,66,0,0,0,0,0,24.2
84,4932,Eli Manning,QB,NYG,PHI,17,80,100,0,0,66,66,23.16,24
85,14294,Nick Perry,OLB,GB,DET,17,25,36,0,0,0,0,0,24
86,11712,Anquan Boldin,WR,SF,ARI,17,59,94,0,15,3,15,16.10,23.9
87,5451,Jonathan Stewart,RB,CAR,ATL,17,29,55,45,7,52,52,8.90,23.8
88,16553,Corey Brown,WR,CAR,ATL,17,29,55,7,3,10,10,7.90,23.8
89,13016,Virgil Green,TE,DEN,OAK,17,45,58,0,7,7,7,13.60,23.6
90,2503,D'Qwell Jackson,ILB,IND,TEN,17,36,61,0,0,0,0,0,23.6
91,16630,Marcus Roberson,CB,LA,SEA,17,36,58,0,0,0,0,0,23.6
92,16240,Zurlon Tipton,RB,IND,TEN,17,28,42,32,7,39,39,8.60,23.6
93,11612,Earl Thomas,FS,SEA,LA,17,62,100,0,0,0,0,0,23.4
94,15196,Kenny Stills,WR,NO,TB,17,35,54,0,20,14,20,13.20,23.4
95,14894,Sheldon Richardson,OLB,NYJ,MIA,17,32,46,0,0,0,0,0,23.4
96,12806,Muhammad Wilkerson,DE,NYJ,MIA,17,57,81,0,0,0,0,0,23.3
97,11311,Kurt Coleman,SS,KC,SD,17,43,61,0,0,0,0,0,23.3
98,13319,Terrell McClain,DT,DAL,WAS,17,40,58,0,0,0,0,0,23.2
99,2253,Randy Starks,DE,MIA,NYJ,17,37,60,0,0,0,0,0,23.2
100,16555,Kony Ealy,DE,CAR,ATL,17,25,35,0,0,0,0,0,22.4
101,4175,Wes Horton,DE,CAR,ATL,17,25,35,0,0,0,0,0,22.4
102,16670,Aaron Lynch,OLB,SF,ARI,17,31,44,0,0,0,0,0,22.3
103,11026,Jermaine Gresham,TE,CIN,PIT,17,36,51,0,8,8,8,11,22.2
104,12247,Jason Pierre-Paul,DE,NYG,PHI,17,71,97,0,0,0,0,0,22
105,4517,Jay Ratliff,NT,CHI,MIN,17,40,65,0,0,0,0,0,22
106,14711,Craig Robertson,ILB,CLE,BAL,17,39,58,0,0,0,0,0,21.8
107,14871,Robert Woods,WR,BUF,NE,17,46,78,0,9,9,9,13.90,21.5
108,14269,Alfred Morris,RB,WAS,DAL,17,29,42,41,10,48,52,8.20,21.4
109,14285,Casey Hayward,CB,GB,DET,17,31,45,0,0,0,0,0,21
110,14482,Ryan Lindley,QB,ARI,SF,17,70,100,0,0,56,56,20.64,20.9
111,15136,Micah Hyde,SS,GB,DET,17,43,62,0,0,0,0,6,20.9
112,14242,Rueben Randle,WR,NYG,PHI,17,76,95,0,17,8,17,24.80,20.8
113,13163,Roy Helu,RB,WAS,DAL,17,40,58,15,13,25,28,12.30,20.8
114,2307,Justin Tuck,DE,OAK,DEN,17,62,80,0,0,0,0,0,20.6
115,12841,Andy Dalton,QB,CIN,PIT,17,71,100,4,0,58,58,16.56,20.5
116,15138,Eddie Lacy,RB,GB,DET,17,52,79,50,8,56,58,17.60,20.4
117,16626,Tre Mason,RB,LA,SEA,17,28,45,39,14,50,54,8.70,20.4
