"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Team","LastName","Opponent","FirstName","Projection","Projection_dfn"
"DST","Broncos ",3700,"SD@Den 04:05PM ET",10.286,"Den","","","SD","Broncos",NA,9.7
"DST","Jets ",3400,"NYJ@Cle 01:00PM ET",4,"NYJ","","","NYJ","Jets",NA,7.5
"DST","Patriots ",3300,"NE@Buf 01:00PM ET",7.143,"NE","","","NE","Patriots",NA,9.3
"DST","Eagles ",3200,"Phi@Dal 08:30PM ET",13.667,"Phi","","","Phi","Eagles",NA,6.3
"DST","Texans ",3100,"Det@Hou 01:00PM ET",5.571,"Hou","","","Det","Texans",NA,6.5
"DST","Seahawks ",3000,"Sea@NO 01:00PM ET",9.167,"Sea","","","Sea","Seahawks",NA,9.5
"DST","Cowboys ",3000,"Phi@Dal 08:30PM ET",5.667,"Dal","","","Phi","Cowboys",NA,5.5
"DST","Panthers ",2900,"Ari@Car 01:00PM ET",5.667,"Car","","","Ari","Panthers",NA,9.3
"DST","Chiefs ",2800,"KC@Ind 01:00PM ET",10.333,"KC","","","KC","Chiefs",NA,8
"DST","Bills ",2800,"NE@Buf 01:00PM ET",10.714,"Buf","","","NE","Bills",NA,5.3
"DST","Cardinals ",2700,"Ari@Car 01:00PM ET",10.857,"Ari","","","Ari","Cardinals",NA,8.9
"DST","Raiders ",2600,"Oak@TB 01:00PM ET",4.857,"Oak","","","Oak","Raiders",NA,8
"DST","Lions ",2500,"Det@Hou 01:00PM ET",4.857,"Det","","","Det","Lions",NA,7.5
"DST","Browns ",2500,"NYJ@Cle 01:00PM ET",4.143,"Cle","","","NYJ","Browns",NA,7.7
"DST","Packers ",2500,"GB@Atl 04:25PM ET",6.833,"GB","","","GB","Packers",NA,5.6
"DST","Falcons ",2400,"GB@Atl 04:25PM ET",6.857,"Atl","","","GB","Falcons",NA,6.9
"DST","Chargers ",2400,"SD@Den 04:05PM ET",6.857,"SD","","","SD","Chargers",NA,6.1
"DST","Buccaneers ",2300,"Oak@TB 01:00PM ET",6.167,"TB","","","Oak","Buccaneers",NA,7.7
"DST","Colts ",2200,"KC@Ind 01:00PM ET",4.143,"Ind","","","KC","Colts",NA,5.4
"DST","Saints ",2000,"Sea@NO 01:00PM ET",2.167,"NO","","","Sea","Saints",NA,6.8
