"Player.Name","Pos","Salary","Team","Opp","Proj.FP","Actual.FP","Ownership.Pctg"
"Antonio Brown","WR",9600,"PIT","@PHI",25.2,29,19.6005202792519
"Julio Jones","WR",9500,"ATL","@NO",24.5,2.6,0
"Odell Beckham","WR",9100,"NYG","WAS",19.7,22.1,8.34243685896716
"DeAndre Hopkins","WR",8600,"HOU","@NE",19.7,9.6,0
"Dez Bryant","WR",8400,"DAL","CHI",17.1,13,4.84035308747348
"A.J. Green","WR",8100,"CIN","DEN",18,15.7,1.80852171675818
"Alshon Jeffery","WR",8000,"CHI","@DAL",19.3,12,0.664029877260652
"Brandin Cooks","WR",7900,"NO","ATL",17.3,3.9,0
"Drew Brees","QB",7900,"NO","ATL",20.5,29.9,0
"Cam Newton","QB",7800,"CAR","MIN",22.4,16.1,8.47944917374019
"Aaron Rodgers","QB",7700,"GB","DET",22.8,26.4,8.40512356632233
"David Johnson","RB",7700,"ARI","@BUF",19,26.1,16.975233645814
"Amari Cooper","WR",7700,"OAK","@TEN",16.8,10.2,10.1352358510793
"Andrew Luck","QB",7600,"IND","SD",21.9,18.2,5.61382946356922
"Allen Robinson","WR",7500,"JAX","BAL",17.1,24.7,8.85230235820451
"DeAngelo Williams","RB",7500,"PIT","@PHI",20.3,8.4,25.3197124170728
"Matt Ryan","QB",7400,"ATL","@NO",20.5,19.9,0
"Jordy Nelson","WR",7400,"GB","DET",18.3,31.1,10.7659825579852
"C.J. Anderson","RB",7300,"DEN","@CIN",16,5.1,8.11925584548441
"Brandon Marshall","WR",7300,"NYJ","@KC",11.2,5.7,0.239107929358002
"Ben Roethlisberger","QB",7300,"PIT","@PHI",21.7,9,6.09551657318112
"Randall Cobb","WR",7300,"GB","DET",15.3,4.3,2.14217018522186
"Carson Palmer","QB",7200,"ARI","@BUF",18.3,7.5,5.54154576844306
"Kelvin Benjamin","WR",7200,"CAR","MIN",15.2,0,16.0169642073194
"Lamar Miller","RB",7200,"HOU","@NE",16.4,14.7,0
"Jordan Matthews","WR",7100,"PHI","PIT",17.7,9.9,3.74568390789342
"Todd Gurley","RB",7100,"LA","@TB",17.1,21,4.72110540963823
"Russell Wilson","QB",7100,"SEA","SF",25.3,14,1.74073022867376
"Mike Evans","WR",7000,"TB","LA",18.5,32.2,6.99518312890388
"Matt Forte","RB",7000,"NYJ","@KC",16.4,8.4,14.9445518717189
"Eli Manning","QB",7000,"NYG","WAS",18.5,19,5.5290901034637
"Ezekiel Elliott","RB",6900,"DAL","CHI",15.7,21,11.3487443260362
"Derek Carr","QB",6900,"OAK","@TEN",20.7,12.9,4.28434037044373
"Larry Fitzgerald","WR",6900,"ARI","@BUF",16.2,13,19.4620786258747
"Eric Decker","WR",6900,"NYJ","@KC",14.3,4.1,5.20748891752104
"T.Y. Hilton","WR",6800,"IND","SD",19.3,34.4,4.45647357663399
"Rob Gronkowski","TE",6800,"NE","HOU",13.4,0,0
"Matthew Stafford","QB",6800,"DET","@GB",17.8,30.5,2.1921970363685
"Adrian Peterson","RB",6700,"MIN","@CAR",0,0,0.00837184039596763
"Philip Rivers","QB",6700,"SD","@IND",20,15.4,13.2199527501496
"Donte Moncrief","WR",6700,"IND","SD",0,0,0.00612573687509827
"Jarvis Landry","WR",6600,"MIA","CLE",19,29.6,29.4102753110343
"Willie Snead","WR",6500,"NO","ATL",0,0,0
"Jordan Reed","TE",6500,"WAS","@NYG",15.9,9.6,7.70270573797773
"LeSean McCoy","RB",6500,"BUF","ARI",15.5,29.6,1.58472812958792
"Blake Bortles","QB",6500,"JAX","BAL",19.9,14.5,3.24112738061449
"Demaryius Thomas","WR",6400,"DEN","@CIN",14.8,24,1.01932261601635
"Julian Edelman","WR",6400,"NE","HOU",12.8,9.2,0
"Kirk Cousins","QB",6400,"WAS","@NYG",20.1,19.3,1.05526027235026
"DeMarco Murray","RB",6300,"TEN","OAK",14.6,29.5,17.6727508846585
"Doug Baldwin","WR",6300,"SEA","SF",17.5,33,2.82253536081611
"Ryan Tannehill","QB",6200,"MIA","CLE",21.3,25,11.5267990778724
"Marvin Jones","WR",6200,"DET","@GB",18.4,41.5,10.2648972816022
"Eddie Lacy","RB",6100,"GB","DET",13.3,14.5,2.57546397352048
"Sammy Watkins","WR",6100,"BUF","ARI",0,0,0.060032221375963
"Joe Flacco","QB",6100,"BAL","@JAX",18.2,13.8,3.6031584299328
"Emmanuel Sanders","WR",6000,"DEN","@CIN",12.2,35.7,0.559892350383982
"Michael Crabtree","WR",6000,"OAK","@TEN",14.4,21.2,3.62398593530813
"Tony Romo","QB",6000,"DAL","CHI",0,0,0
"Jameis Winston","QB",6000,"TB","LA",18.2,30.5,1.74644758309052
"Brock Osweiler","QB",6000,"HOU","@NE",16.8,8.1,0
"Jeremy Maclin","WR",6000,"KC","NYJ",14.9,7.5,7.44930442257783
"Ryan Fitzpatrick","QB",5900,"NYJ","@KC",18.5,3.7,1.25455091202013
"Golden Tate","WR",5900,"DET","@GB",13.4,7.2,1.42219191116865
"Mark Ingram","RB",5900,"NO","ATL",17.4,22.7,0
"DeSean Jackson","WR",5900,"WAS","@NYG",13,20.6,1.60228857529654
"Marcus Mariota","QB",5900,"TEN","OAK",17.2,7.8,8.00919677296181
"Alex Smith","QB",5800,"KC","NYJ",15.5,13.2,1.1263188201014
"Tyrod Taylor","QB",5800,"BUF","ARI",16.8,17.4,0.230123515274525
"Ryan Mathews","RB",5800,"PHI","PIT",11.5,-0.5,1.64578130710973
"Devonta Freeman","RB",5800,"ATL","@NO",15.7,34.7,0
"Michael Floyd","WR",5800,"ARI","@BUF",12,10.5,2.56117058747859
"Greg Olsen","TE",5800,"CAR","MIN",13.1,12.4,13.5062288534458
"Melvin Gordon","RB",5800,"SD","@IND",16.8,17.8,42.1781486798016
"Doug Martin","RB",5700,"TB","LA",0,0,0.00490058950007861
"Spencer Ware","RB",5700,"KC","NYJ",11.1,8.3,5.24097627910491
"Dak Prescott","QB",5700,"DAL","CHI",17.7,23.5,3.75405574828939
"Latavius Murray","RB",5700,"OAK","@TEN",12.4,10.8,3.13147669055023
"Andy Dalton","QB",5700,"CIN","DEN",16.2,11.2,0.576227648717577
"Mohamed Sanu","WR",5700,"ATL","@NO",11.8,6.1,0
"Josh McCown","QB",5600,"CLE","@MIA",0,0,0.00122514737501965
"Jamaal Charles","RB",5600,"KC","NYJ",9.1,0,0.0234819913545434
"Jay Cutler","QB",5600,"CHI","@DAL",0,0,0.00347125089588902
"Jimmy Garoppolo","QB",5600,"NE","HOU",0,0,0
