Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Julio Jones,WR,ATL,@ NYG,1st,8900,12.7,48.7,24.8,24.68,24.68,100,28,2.8,29.5,3.3
Odell Beckham Jr.,WR,NYG,vs ATL,22nd,8800,11.1,45.3,22.9,22.5,22.5,100,0,2.6,30.6,3.5
Antonio Brown,WR,PIT,vs SF,13th,8800,16.2,42,26.1,24.82,24.82,100,76,2.8,39.5,4.5
Demaryius Thomas,WR,DEN,@ KC,17th,8400,10,39.1,17.6,19.74,19.74,100,0,2.4,22.6,2.7
Aaron Rodgers,QB,GB,vs SEA,15th,8300,11.9,37.7,20.1,20.51,20.51,100,64,2.5,22.26,2.7
Andrew Luck,QB,IND,vs NYJ,2nd,8200,14.4,39.6,21.4,22.78,22.78,100,78,2.8,12.4,1.5
Calvin Johnson,WR,DET,@ MIN,7th,8200,6,41.4,16.8,17.81,17.81,100,0,2.2,24.3,3
Drew Brees,QB,NO,vs TB,12th,7800,15.7,38.8,23.1,23.38,23.38,100,78,3,13.1,1.7
Adrian Peterson,RB,MIN,vs DET,31st,7700,16.5,27,17.8,20.01,20.01,100,0,2.6,23.2,3
Matt Forte,RB,CHI,vs ARI,32nd,7700,12.6,44.7,16.8,23.31,23.31,100,48,3,14.5,1.9
Emmanuel Sanders,WR,DEN,@ KC,17th,7600,5.9,35.3,15.9,15.68,15.68,100,1,2.1,28.7,3.8
Jamaal Charles,RB,KC,vs DEN,30th,7600,9.1,39.1,21.2,19.11,19.11,100,0,2.5,23.7,3.1
Tom Brady,QB,NE,@ BUF,21st,7500,10.4,37.4,23.4,19.43,19.43,100,0,2.6,32.24,4.3
A.J. Green,WR,CIN,vs SD,14th,7500,8,43.4,17.9,19.78,19.78,100,70,2.6,13.5,1.8
Peyton Manning,QB,DEN,@ KC,17th,7500,10.9,36.4,11.4,19.36,19.36,100,0,2.6,21.24,2.8
Jeremy Hill,RB,CIN,vs SD,14th,7400,11.4,36.6,10.8,19.82,19.82,100,8,2.7,3.1,0.4
Matt Ryan,QB,ATL,@ NYG,1st,7400,14,36.5,16.9,21.51,21.51,100,73,2.9,21.42,2.9
DeAndre Hopkins,WR,HOU,@ CAR,20th,7400,9.2,35,21.8,17.75,17.75,100,48,2.4,10.3,1.4
Randall Cobb,WR,GB,vs SEA,15th,7400,6.9,33.6,12.9,15.8,15.8,100,30,2.1,22.6,3.1
Mike Evans,WR,TB,@ NO,4th,7400,4.7,34.7,15.1,14.66,14.66,100,52,2,0,
Rob Gronkowski,TE,NE,@ BUF,22nd,7300,7.5,37.5,18,17.49,17.49,100,0,2.4,27.3,3.7
Russell Wilson,QB,SEA,@ GB,29th,7300,11.1,38.4,21.9,20.17,20.17,100,35,2.8,23.04,3.2
T.Y. Hilton,WR,IND,vs NYJ,2nd,7200,0,27.3,13.6,6.3,6.3,100,24,0.9,8.5,1.2
Eddie Lacy,RB,GB,vs SEA,15th,7200,8.1,33.6,10.1,16.59,16.59,100,3,2.3,0.9,0.1
Ben Roethlisberger,QB,PIT,vs SF,13th,7200,9.6,39,22.3,19.42,19.42,100,62,2.7,33.66,4.7
Marshawn Lynch,RB,SEA,@ GB,29th,7200,11.6,40.4,12.2,21.23,21.23,100,0,2.9,9.2,1.3
Cam Newton,QB,CAR,vs HOU,28th,7200,10,32.2,25.9,17.42,17.42,100,67,2.4,28.4,3.9
Tony Romo,QB,DAL,@ PHI,8th,7100,14.4,33.3,12.9,20.72,20.72,100,0,2.9,8,1.1
Jordan Matthews,WR,PHI,vs DAL,25th,7100,12.4,37.6,15.2,20.84,20.84,100,69,2.9,20,2.8
Keenan Allen,WR,SD,@ CIN,19th,7100,10.9,40.3,21.4,20.74,20.74,100,20,2.9,2.6,0.4
Eli Manning,QB,NYG,vs ATL,22nd,7100,12.8,34.4,20.2,20.01,20.01,100,63,2.8,20.98,3
Brandin Cooks,WR,NO,vs TB,12th,7000,8,37,16.6,17.65,17.65,100,73,2.5,10.8,1.5
DeMarco Murray,RB,PHI,vs DAL,25th,7000,11.4,33,12.6,18.61,18.61,100,70,2.7,10.5,1.5
Ryan Tannehill,QB,MIA,@ JAC,27th,7000,12,32.7,18.2,18.85,18.85,100,54,2.7,27.06,3.9
Sam Bradford,QB,PHI,vs DAL,25th,6900,13.7,31.4,16.2,19.63,19.63,100,0,2.8,10.86,1.6
Matthew Stafford,QB,DET,@ MIN,7th,6800,10.9,32.8,19.7,18.16,18.16,100,75,2.7,20.44,3
Philip Rivers,QB,SD,@ CIN,19th,6700,11.7,33,20.2,18.78,18.78,100,51,2.8,16.14,2.4
Carson Palmer,QB,ARI,@ CHI,18th,6700,14,31.1,21.8,19.69,19.69,100,70,2.9,22.2,3.3
C.J. Anderson,RB,DEN,@ KC,17th,6700,3.7,35.8,10,14.38,14.38,100,64,2.1,3.9,0.6
Julian Edelman,WR,NE,@ BUF,21st,6700,8.7,31.2,19.6,16.19,16.19,100,51,2.4,33.9,5.1
Colin Kaepernick,QB,SF,@ PIT,9th,6600,8.8,32.5,13.6,16.71,16.71,100,0,2.5,30.5,4.6
LeSean McCoy,RB,BUF,vs NE,5th,6600,6.4,35.8,15.8,16.18,16.18,100,42,2.5,14.6,2.2
Jeremy Maclin,WR,KC,vs DEN,30th,6500,2.7,33.3,16.9,12.88,12.88,100,41,2,9.2,1.4
Amari Cooper,WR,OAK,vs BAL,23rd,6400,4.1,32.9,14.3,13.68,13.68,100,61,2.1,26.9,4.2
Joe Flacco,QB,BAL,@ OAK,3rd,6400,10.5,31.2,19.1,17.35,17.35,100,47,2.7,25.56,4
Teddy Bridgewater,QB,MIN,vs DET,31st,6400,12.2,30.2,13.7,18.21,18.21,100,0,2.8,18.22,2.8
Brandon Marshall,WR,NYJ,@ IND,26th,6400,6.5,30.8,23.2,14.63,14.63,100,0,2.3,26.1,4.1
Alex Smith,QB,KC,vs DEN,30th,6300,10.9,28.3,17.6,16.72,16.72,100,82,2.7,7.14,1.1
Golden Tate,WR,DET,@ MIN,7th,6300,4.8,32.1,13.2,13.93,13.93,100,19,2.2,14,2.2
Justin Forsett,RB,BAL,@ OAK,3rd,6200,10.4,33.8,12.8,18.16,18.16,100,9,2.9,12,1.9
Sammy Watkins,WR,BUF,vs NE,5th,6200,2.4,31.2,18,12.03,12.03,100,0,1.9,18,2.9
Tyrod Taylor,QB,BUF,vs NE,5th,6200,9.7,33.7,19.9,17.66,17.66,100,0,2.8,28.98,4.7
Marcus Mariota,QB,TEN,@ CLE,24th,6000,9.9,35.7,19.7,18.53,18.53,100,54,3.1,18.18,3
Jay Cutler,QB,CHI,vs ARI,32nd,6000,9.7,31.3,16.8,16.94,16.94,100,44,2.8,10.2,1.7
Steve Smith Sr.,WR,BAL,@ OAK,3rd,6000,5.6,29.6,20,13.55,13.55,100,0,2.3,28,4.7
Jarvis Landry,WR,MIA,@ JAC,27th,5900,9.1,29.5,17.8,15.89,15.89,100,47,2.7,22.6,3.8
Mark Ingram,RB,NO,vs TB,12th,5900,4.9,31.6,17.3,13.81,13.81,100,17,2.3,13.8,2.3
Roddy White,WR,ATL,@ NYG,1st,5800,5.7,24,6.6,11.77,11.77,100,0,2,0,
Andre Johnson,WR,IND,vs NYJ,2nd,5800,6.8,28.4,7.2,14.04,14.04,100,0,2.4,5.7,1
Jimmy Graham,TE,SEA,@ GB,31st,5800,6.1,32.5,11.2,14.89,14.89,100,0,2.6,2.1,0.4
Andy Dalton,QB,CIN,vs SD,14th,5800,11,29.9,20.4,17.34,17.34,100,70,3,21.56,3.7
Latavius Murray,RB,OAK,vs BAL,23rd,5800,5.3,31.7,13.2,14.07,14.07,100,38,2.4,17.7,3.1
Anquan Boldin,WR,SF,@ PIT,9th,5700,6.5,26,12.6,13.03,13.03,100,0,2.3,18,3.2
Doug Martin,RB,TB,@ NO,4th,5600,9,23.7,15.6,13.93,13.93,100,66,2.5,10.8,1.9
Joseph Randle,RB,DAL,@ PHI,8th,5600,8.7,21,12.3,12.8,12.8,100,0,2.3,7.5,1.3
Ronnie Hillman,RB,DEN,@ KC,17th,5600,1.8,27.6,10.9,10.45,10.45,100,0,1.9,3.4,0.6
